web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,image,image2,image3,image4,data21,data22,image5,image6
1775468847-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d2006562-Reviews-Los_Montes_de_Galicia-Madrid.html,Muy buen servicio,Rodrigo,"Todo exquisito, las recomendaciones de Manuel todo un acierto además de un trato impecable. Las croquetas de cecina estaban estupendas, muy recomendadas. Volveremos seguro","Muchas gracias por compartir su experiencia con nosotros. Nos alegra saber que disfrutó de la comida y que las recomendaciones de Manuel fueron todo un acierto, así como su trato impecable durante la visita.

Nos hace especial ilusión que mencione las croquetas de cecina; comentarios como el suyo son una gran motivación para todo el equipo. Será un verdadero placer volver a recibirles muy pronto. Muchas gracias por su confianza.",1 contribución,1.0,Escrita el 16 de febrero de 2026,Escrita el 20 de febrero de 2026,feb 2026 • Parejas,Los montes de Galicia,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,,,,
1775468847-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d2006562-Reviews-Los_Montes_de_Galicia-Madrid.html,Un trato excepcional,Álvaro A,"“Quiero destacar el servicio excepcional de Manuel y Alex. Desde que llegamos estuvieron pendientes sin resultar invasivos, recomendaron platos con mucho acierto y mantuvieron siempre una actitud amable y profesional. Gracias a ellos la experiencia fue aún mejor. ¡Muy recomendables!”","Muchas gracias por compartir su valoración y por destacar el trabajo de Manuel y Alex. Nos alegra enormemente saber que su atención, recomendaciones y profesionalidad contribuyeron a que la experiencia fuese aún más especial, siempre buscando el equilibrio entre cercanía y discreción.

Transmitiremos con mucho gusto sus amables palabras al equipo; reconocimientos como el suyo son una gran motivación para seguir cuidando cada detalle.

Será un verdadero placer volver a recibirle muy pronto. Muchas gracias por recomendarnos.",4 contribuciones,4.0,Escrita el 16 de febrero de 2026,Escrita el 20 de febrero de 2026,feb 2026 • Parejas,Los montes de Galicia,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,,4 contribuciones,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/71/75/b0/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/71/75/b1/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,,,,
1775468847-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d2006562-Reviews-Los_Montes_de_Galicia-Madrid.html,Experiencia increíble,Olena M,Una experiencia increíble!!!!!! la comida y el ambiente te trasladan a la misma Galicia. El cuidado y la  atención a los detalles por parte de Manuel nos ha hecho sentir como en casa. VOLVEMOS 100%,"Muchas gracias por compartir una valoración tan entusiasta. Nos alegra profundamente saber que la experiencia, la comida y el ambiente consiguieron transportarle a Galicia y hacerle disfrutar de cada momento.

Agradecemos especialmente sus palabras hacia Manuel; le haremos llegar su reconocimiento, ya que para nosotros es fundamental que cada cliente se sienta como en casa gracias al cuidado y la atención a los detalles.

Será un verdadero placer volver a recibirles muy pronto. Muchas gracias por su confianza.",1 contribución,1.0,Escrita el 16 de febrero de 2026,Escrita el 20 de febrero de 2026,feb 2026 • Amigos,Los montes de Galicia,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1 contribución,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,,,,
1775468847-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d2006562-Reviews-Los_Montes_de_Galicia-Madrid.html,Espectacular,Sr.Bago,"Comida espectacular en platos de un nivel exquisito, servicio con clase y precio algo alto pero al saborearlo se olvida todo. Creo que todo es recomendable en la carta, creo que es difícil elegir solo una cosa, de lo que probamos, croquetas de cecina, pulpo y lomo bajo. Top!","Muchas gracias por compartir su experiencia y por sus palabras tan positivas. Nos alegra enormemente saber que disfrutó del nivel de nuestros platos y del servicio, y que especialidades como las croquetas de cecina, el pulpo y el lomo bajo fueron todo un acierto.

Agradecemos también su valoración sincera; trabajamos cada día para que cada visita merezca la pena y para ofrecer una experiencia que invite a volver. Será un placer recibirle de nuevo muy pronto. Muchas gracias por su confianza.",993 contribuciones,993.0,Escrita el 13 de febrero de 2026,Escrita el 19 de febrero de 2026,feb 2026 • Negocios,Los montes de Galicia,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Madrid, España",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/71/39/08/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/71/39/09/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/c6/2f/45/avatar.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,,,,
1775468847-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d2006562-Reviews-Los_Montes_de_Galicia-Madrid.html,Excelente experiencia!,David V,"Excelente experiencia, la comida súper rica,  nos ha atendido Manuel, súper amable y muy servicial, todo lo que nos ha recomendado estaba buenísimo un 10!","Muchas gracias por compartir su experiencia y por sus amables palabras. Nos alegra enormemente saber que disfrutó de la comida y que las recomendaciones de Manuel fueron todo un acierto. Estaremos encantados de hacerle llegar su reconocimiento por su amabilidad y profesionalidad.

Será un placer volver a recibirle muy pronto. Muchas gracias por su confianza.",3 contribuciones,3.0,Escrita el 13 de febrero de 2026,Escrita el 19 de febrero de 2026,feb 2026 • Parejas,Los montes de Galicia,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",3 contribuciones,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/70/fb/46/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/60/default-avatar-2020-64.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,,,,
1775468847-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d2006562-Reviews-Los_Montes_de_Galicia-Madrid.html,Espectacular,José Antonio V,"Magnífica comida, desde todo punto de vista, lo mejor hoy fue el carpaccio de ventresca de atun, realmente espectacular, y la tapa de callos, de esas que nunca de encuetran, gelatina pura. Hay que preguntar por Manuel, siempre recomienda lo mejor. Y nos ha dicho que la próxima vez, lasaña de merluza. Gracias","Muchas gracias por compartir su experiencia y por sus palabras. Nos alegra enormemente saber que disfrutó de la comida y que platos como el carpaccio de ventresca de atún y la tapa de callos fueron todo un acierto. Le agradecemos también que destaque la atención de Manuel; estaremos encantados de hacerle llegar su reconocimiento por sus recomendaciones y profesionalidad.

Tomamos nota para su próxima visita con esa lasaña de merluza que le ha sugerido. Será un placer volver a recibirle muy pronto. Muchas gracias por su confianza.",1 contribución,1.0,Escrita el 13 de febrero de 2026,Escrita el 19 de febrero de 2026,feb 2026 • Negocios,Los montes de Galicia,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,,,,
1775468847-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d2006562-Reviews-Los_Montes_de_Galicia-Madrid.html,UN LUGAR MAGNIFICO PARA DISFRUTAR DE LA GASTRONOMÍA,Juan Carlos,"Una experiencia excepcional. La comida está riquísima. Recomiendo lomo bajo, costillas y de postre la torrijas más buena de España.
Nos atendió MANUEL, un señor encantador, pendiente de todo y con mucho mimo y cuidado. 
Un lugar encantador y acogedor.","Muchas gracias por compartir su experiencia y por sus amables palabras. Nos alegra enormemente saber que disfrutó de nuestra propuesta gastronómica y que tanto los platos como el ambiente estuvieron a la altura de lo que esperaba.

Le agradecemos también su mención especial a Manuel; le trasladaremos su reconocimiento, ya que comentarios así son una gran motivación para todo el equipo. Esperamos tener el placer de volver a recibirle muy pronto.",2 contribuciones,2.0,Escrita el 12 de febrero de 2026,Escrita el 13 de febrero de 2026,feb 2026 • Parejas,Los montes de Galicia,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",2 contribuciones,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,,,,
1775468847-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d2006562-Reviews-Los_Montes_de_Galicia-Madrid.html,Un 10 para un magnífico restaurante donde el servicio y la calidad de la materia prima son excelentes.,Marco Antonio A,"Un 10 para un restaurante que teníamos muchas ganas de conocer.
Un magnífico Pulpo a la Gallega, Timbal de Changurro rico, rico, Navajas a la Plancha espectaculares y un Lomo de Vaca único nos han permitido celebrar un cumpleaños de sobresaliente.
Gracias a la amabilidad y atentísimo servicio de Manuel y el saber hacer de Pedro explicándonos como eligen la excelencia en la calidad pensando en el cliente. Sobresaliente tirando a Matrícula de Honor. Volveremos.","Muchísimas gracias por sus palabras y por compartir una reseña tan detallada de su experiencia. Nos alegra saber que disfrutaron de la comida y que pudieron celebrar un cumpleaños tan especial con nosotros. Comentarios como el suyo son la mejor recompensa al trabajo diario de todo el equipo.

Trasladaremos sus felicitaciones a Manuel y a Pedro, quienes estarán muy agradecidos por su reconocimiento. Será un verdadero placer volver a recibirles y seguir ofreciéndoles momentos a la altura de sus expectativas.",13 contribuciones,13.0,Escrita el 12 de febrero de 2026,Escrita el 13 de febrero de 2026,feb 2026 • En familia,Los montes de Galicia,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,,13 contribuciones,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/6f/03/46/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/6f/03/47/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/0b/d9/04/marco-antonio-a.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,,,,
1775468847-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d2006562-Reviews-Los_Montes_de_Galicia-Madrid.html,"100% recomendable, comida increible, atención inmejorable",María C,"Increible la calidad de los platos. Producto muy fresco y buenísimo!!! 100% recomendable. Nuestro camarero Manuel estubo muy atento en todo momento, gran profesional, gracias!!","Muchas gracias por dedicar su tiempo a compartir su experiencia con nosotros. Nos alegra enormemente saber que disfrutó de la calidad de nuestros platos y del producto, y que la atención recibida estuvo a la altura. Trasladaremos sus palabras a Manuel, que estará encantado de saber que su servicio fue parte especial de su visita. Será un placer volver a recibirle muy pronto.",1 contribución,1.0,Escrita el 12 de febrero de 2026,Escrita el 13 de febrero de 2026,feb 2026 • Parejas,Los montes de Galicia,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1 contribución,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,,,,
1775468847-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d2006562-Reviews-Los_Montes_de_Galicia-Madrid.html,De lo mejor en Madrid desde hace años.,Juan H,"Desde hace años vengo a cenar a este lugar, siempre la calidad y atención de primer nivel. Recomendable al 100%. El Menú Degustación hay que conocerlo, llegar con hambre y con tiempo. Samy, nuestro anfitrión con calificación de 10 siempre.","Muchas gracias por seguir confiando en nosotros durante todos estos años y por compartir su experiencia. Nos alegra enormemente saber que sigue disfrutando de la calidad y de la atención en cada visita, así como de nuestro Menú Degustación.

Le agradecemos especialmente sus palabras hacia Samy; será un placer trasladarle su reconocimiento. Comentarios como el suyo nos motivan a continuar ofreciendo lo mejor cada día. Esperamos recibirle nuevamente muy pronto.",27 contribuciones,27.0,Escrita el 11 de febrero de 2026,Escrita el 11 de febrero de 2026,feb 2026 • Amigos,Los montes de Galicia,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,"Atizapán de Zaragoza, México","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,,,,
