web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,position,image,image2,name,image3
1775471840-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,Hamburguesas muiy corrientes,Adolgar,Un sitio especializado en hamburguesas  y estas eran muy normalitas tirando a regulares esperaba bastante más de este restaurante,768 contribuciones,768,Escrita el 9 de agosto de 2024,,,"Las Rozas, España",,,,Calidad/precio,,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/63/4b/1b/adolgar.jpg?w=100&h=-1&s=1,,,
1775471840-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,Buena vergüenza de tener que escanear el menú,DeeDublin,"Recomendaría esta comida del restaurante era encantador poco caro, pero era de buena calidad, lo único que me pospondría es el problema del menú que tienes que escanear tu teléfono en el código QR. primero tienes que conectarte a Wi - Fi y escanear. fue un dolor correcto. pensé que esos días habían terminado después del covid. Me gusta disfrutar hojeando un menú en lugar de que los dos tengamos que pasar el teléfono. No somos esas personas que tienen que tener los teléfonos apagados todo el tiempo y no hablar entre sí, a veces en vacaciones ni siquiera traemos uno. Trae de vuelta el menú impreso.",45 contribuciones,45,Escrita el 30 de julio de 2024,,,Dublin,,,,Calidad/precio,Mostrar original,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,,,,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-f/01/2e/70/65/avatar043.jpg?w=100&h=-1&s=1,,,
1775471840-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,Camareros amables pero la comida pasada,Marcos B,"La verdad es que los camareros muy atentos y amables, me pedí el lomo bajo al punto y me lo sirvieron muy hecho con lo cual era incomestible, al finalizar la comida me preguntaron si no me había gustado la carne y le dije que de sabor estaba buena pero estaba muy seca a lo que amablemente el camarero se ofreció a repetir la carne aunque le dije que no hacía falta. Los camareros 5 estrellas pero mi plato me decepcionó mucho.",1 contribución,1,Escrita el 26 de julio de 2024,,,1 contribución,,,,Calidad/precio,,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,,
1775471840-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,Mala experiencia en Steakburguer Gran Vía 16,Trip427794,"Teníamos reserva a las 23:30 y ya desde que hemos llegado nos han metido prisa porque cerraba la cocina, nos han traído la cuenta, sin pedirla y sin terminar de cenar, más de media hora antes de su hora de cierre. No nos han ofrecido ni postre ni café. No volveremos.",1 contribución,1,Escrita el 25 de julio de 2024,,Aún con reserva os echaran más de media hora antes de coerre,1 contribución,,,,Calidad/precio,,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,,
1775471840-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,Gran experiencia gastronómica,Ru64sty,"Buena comida y personal muy amable. Menú básico, pero un montón de opciones, mientras que la sensación general del restaurante era limpio y moderno.",49 contribuciones,49,Escrita el 23 de julio de 2024,,,"Newark-on-Trent, Reino Unido",,,,Calidad/precio,Mostrar original,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,,,,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1,,,
1775471840-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,Cabra,Jake T,"La mejor hamburguesa que he probado. Pedí el La Champion y fue increíble. Un poco caro, pero vale la pena. .",16 contribuciones,16,Escrita el 15 de julio de 2024,"Thanks for your comment! We are glad to know that you enjoyed our La Champion burger. We work hard to offer the best quality, and your words motivate us to continue improving. We hope to see you again soon!",,16 contribuciones,Escrita el 20 de julio de 2024,Traducir respuesta,STEAKBURGER GRAN VIA No 16,,Mostrar original,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/ac/6e/d8/caption.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,,
1775471840-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,Fraude. No aplican el descuento.,Francisco José I,"No me quisieron aplicar el descuento que anuncian al reservar porque justo en la puerta al entrar y si pedir nada, dicen que tengo que avisar. Es un fraude y una vergüenza. Le echaron la culpa al sistema informàtico. Increible.",1 contribución,1,Escrita el 14 de julio de 2024,"Lamentamos sinceramente la experiencia que tuviste y cualquier inconveniente que esto haya causado. Valoramos tu feedback y tomaremos medidas para asegurarnos de que esto no vuelva a suceder. Nos gustaría tener la oportunidad de rectificarlo en tu próxima visita. Por favor, contacta con nosotros directamente para poder ofrecerte una solución adecuada. Gracias por tu comprensión.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1 contribución,Escrita el 20 de julio de 2024,,STEAKBURGER GRAN VIA No 16,,,,,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,,
1775471840-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,Quedamos muy satisfechos.Y con la panza llena.,Amy S,"Fuimos confiados en otras valoraciones positivas.Ciertamente muy buenas hamburguesas,calidad y cantidad.Servicio rápido y atento.",1 contribución,1,Escrita el 13 de julio de 2024,¡Muchas gracias por tu comentario! Nos alegra mucho saber que disfrutaste de nuestras hamburguesas y del servicio. Nos esforzamos por ofrecer calidad y una atención rápida y amable. ¡Esperamos verte de nuevo pronto!,,1 contribución,Escrita el 20 de julio de 2024,,STEAKBURGER GRAN VIA No 16,Calidad/precio,,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,,
1775471840-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,"Hamburguesa mala y cara.  Solo no pierdas el tiempo... la hamburguesa era súper compacta, dura, sin condimentos y sin condimentos",Leonardo G,"No vengas. Hamburguesa dura, sin condimentos, buen servicio en el mejor de los casos. Había una cantidad de cebollas en mi hamburguesa de “cebollas caramelizadas”... Realmente, no pierdas tu dinero o tiempo.",17 contribuciones,17,Escrita el 4 de julio de 2024,We are very sorry that your experience was not satisfactory. We care about the quality of our dishes and the service we offer. We will take your comments into account to improve. We would like to invite you to return and give us a second chance to show you that we can offer a much better experience. Thanks for your feedback.,,17 contribuciones,Escrita el 9 de julio de 2024,Traducir respuesta,STEAKBURGER GRAN VIA No 16,,Mostrar original,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,,
1775471840-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,"Experiencia pesima, era un cliente fiel de esta franquicia y en concreto de este local pero por la experiencia de hoy ya",Navigator47876533512,"Recibí un trato nefasto por la parte de la encargada, totalmente desagradable hablándome de malas maneras y con prepotencia cuando en todo momento le estaba hablando cordialmente, se echa mucho de menos la antigua plantilla, ellos si que daban un trato genial y un servicio excelente, la única persona que nos hablo bien fue la chica de gafas.",1 contribución,1,Escrita el 3 de julio de 2024,Lamentamos mucho escuchar sobre tu experiencia negativa. Nos tomamos muy en serio tus comentarios y vamos a investigar lo sucedido. Nos encantaría tener la oportunidad de corregir esto y ofrecerte la excelente atención que solías recibir. Agradecemos tu feedback y esperamos poder servirte mejor en el futuro.,Sinceramente si vais a recibir la misma hostilidad y trato por parte de la encargada que nosotros no os recomiendo perder ni el tiempo.,1 contribución,Escrita el 9 de julio de 2024,,STEAKBURGER GRAN VIA No 16,Calidad/precio,,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,,
