web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,image,image2,image3,image4,image5,image6,image7,image8,image9,image10,image11,data18,data19,data20,data21,data22,data23,position
1779692052-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d6161596-Reviews-Restaurante_Alabaster-Madrid.html,No tenemos duda de que repetiremos,pedrochazarra,"Una experiencia sensacional. Elegimos el menú de degustación, en el que todos los bocados han sido deliciosos. Y nada de quedarse con hambre, hemos terminado bien satisfechos. El servicio excelente, muy atento. Y el local muy elegante y con un ambiente tranquilo.",17 contribuciones,17,Escrita el 1 de abril de 2026,"Madrid, España",Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg?w=100&h=-1&s=1,,,,,,,
1779692052-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d6161596-Reviews-Restaurante_Alabaster-Madrid.html,“ Todo de diez “,AMGOAM,"Un restaurante clásico que nunca falla y es sinónimo de satisfacción asegurada. En todas las ocasiones que hemos estado, hemos podido comprobar el alto nivel de cocina tradicional gallega evolucionada que le ha llevado a ser reconocido merecidamente en la Guía Michelin. En esta ocasión compartimos: Brioche de sardina ahumada con queso de Arzúa;
Navajas a la brasa con vinagreta de algas; Carabineros con huevos fritos. Y de platos principales: Costilla de vaca glaseada con parmentier de patata y brócoli; Merluza de pincho con pil-pil de limón y espinacas; San Pedro a la brasa. De postre: Souflé de merengue tostado y crema de limón.
Veredicto: Todo de diez.",2994 contribuciones,2994,Escrita el 28 de diciembre de 2025,"Cerdanyola del Vallès, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/14/58/bf/caption.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/14/58/b7/caption.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/14/58/c0/caption.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/14/58/b8/caption.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/14/58/b9/caption.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/14/58/ba/caption.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/14/58/bb/caption.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/14/58/bc/caption.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/14/58/bd/caption.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/14/58/be/caption.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/9d/ad/c5/amgoam.jpg?w=100&h=-1&s=1,,,,,,,
1779692052-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d6161596-Reviews-Restaurante_Alabaster-Madrid.html,Caballo ganador.,alicia s,"Me encanta venir a este restaurante, es caballo ganador si quieres quedar bien,
Oscar y su equipo, lo hacen de 10. Su amabilidad, profesionalidad y calidad del servicio. Son insuperables. 
Comida excelente. Dejaros sorprender 
Buen jamón, buenos vinos buen champán y buen producto en general",121 contribuciones,121,Escrita el 21 de octubre de 2025,"Móstoles, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/77/72/e6/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/77/72/de/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/77/72/e7/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/77/72/df/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/77/72/e0/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/77/72/e1/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/77/72/e2/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/77/72/e3/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/77/72/e4/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/77/72/e5/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/79/default-avatar-2020-21.jpg?w=100&h=-1&s=1,,,,,,,
1779692052-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d6161596-Reviews-Restaurante_Alabaster-Madrid.html,LO MEJOR DE MADRID,Bicitech,"Y no es porque yo lo diga, todo al que llevo a Alabaster sale maravillado de la comida y el magnífico trato que Oscar y su equipo dan a todos los comensales.
En esta ocasión uno increíbles y más oficia berberechos (tenéis la prueba), sus increíbles huevos, trufa y carabinero y, para terminar, la mejor merluza de España.
Sala 9 Servicio 10 Cocina 10 Precio 8",909 contribuciones,909,Escrita el 17 de octubre de 2025,"Las Rozas, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/6e/7e/d7/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/6e/7e/d8/caption.jpg?w=300&h=300&s=1,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/58/fe/05/bicitech.jpg?w=100&h=-1&s=1,,,,,,,
1779692052-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d6161596-Reviews-Restaurante_Alabaster-Madrid.html,La calidad y servicio,Joaquin C,"Servicio excelente, comida excelente y ambiente excelente.  Pienso volver.  El precio correctísimo para la calidad y servicio.  10 en todo",4 contribuciones,4,Escrita el 12 de septiembre de 2025,4 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1,,,,,,,
1779692052-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d6161596-Reviews-Restaurante_Alabaster-Madrid.html,Cena inmejorable,daniuson,"Es un restaurante al que merece la pena ir y volver varias veces para probar toda la carta. Es exquisito cada plato. 
El steak tartar sobre el tábano es una animalada, de 10! el mejor que he probado y llevo unos cuantos!
El servicio es otro 10! y la carta de vinos muy buena. Nos recomendaron un vino dulce para acabar exquisito (no recuerdo el nombre...)",79 contribuciones,79,Escrita el 11 de agosto de 2025,"Madrid, España",Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/cb/88/dc/comokieras.jpg?w=100&h=-1&s=1,,,,,,,
1779692052-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d6161596-Reviews-Restaurante_Alabaster-Madrid.html,Alta cocina,Jesus Fariñas,He venido ya dos veces a este lugar. Me parece único e inolvidable. Sus platos son espectaculares y su servicio es de alto nivel. Lo recomiendo para una ocasión más formal e irrepetible.,31 contribuciones,31,Escrita el 19 de julio de 2025,"Caracas, Venezuela",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/86/17/bf/caption.jpg?w=100&h=-1&s=1,,,,,,,
1779692052-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d6161596-Reviews-Restaurante_Alabaster-Madrid.html,Muy elegante,sugono,"Restaurante con un ambiente muy de negocios
Clientela muy en traje
El servicio bueno
La comida buena pero sin grandes florituras
Precio alto",302 contribuciones,302,Escrita el 16 de junio de 2025,"Boadilla del Monte, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/2f/0d/0e/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/2f/0d/0f/caption.jpg?w=300&h=300&s=1,,,,,,,,,,,,,,
1779692052-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d6161596-Reviews-Restaurante_Alabaster-Madrid.html,"Calidad buena, precio alto, servicio malo",Gongoaro,"Restaurante de muchísima calidad al que habíamos venido otras veces, pero en esta ocasión han mantenido el alto precio de siempre, la buena comida de siempre pero el servicio, la atención y los detalles  se les han olvidado. Para pensárselo antes de volver.",27 contribuciones,27,Escrita el 26 de abril de 2025,27 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,,,,,,,
1779692052-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d6161596-Reviews-Restaurante_Alabaster-Madrid.html,Fantástico,Lleravazquez,"Fantástica opción en el centro de Madrid en una zona privilegiada.  Restaurante de los buenos donde prima la calidad y el buen servicio 
Optamos por el menú degustación y todo buenísimo. Impresionante bodega",1727 contribuciones,1727,Escrita el 25 de marzo de 2025,"Valencia, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/70/cc/0e/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/70/cc/05/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/70/cc/0f/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/70/cc/06/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/70/cc/07/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/70/cc/08/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/70/cc/09/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/70/cc/0b/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/70/cc/0c/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/70/cc/0d/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,,,,,,,
