web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,position,data7,data8,data9,data10,data11,data12,data13,data14,data15,image,image2,data16,data17,image3
1775582367-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Jean Carlos H,Canelón regu y bebidas,"Muy agradable el ambiente tranquilo para conversar y cerrar negocio les recomiendo pedir el canelón de regu
Fuimos bien atendido por una chica llamada Patricia",1 contribución,Escrita el 22 de septiembre de 2025,1.0,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,,,
1775582367-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Javierlys L,Pizza y mojito,"Pizza gallega muy rica acompañada de unos mojitos, junto a los amigos el plan perfecto 
Muy buena atención sobre todo la chica Patricia",2 contribuciones,Escrita el 22 de septiembre de 2025,2.0,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,,,
1775582367-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Michel M,Bu3na atención  y ambiente,Muy rico todo me encanto el ambiente esta vez fui por su pasta a la carbonara bendiciónes señorita Patricia muy bu3na atención,4 contribuciones,Escrita el 22 de septiembre de 2025,4.0,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,
1775582367-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Ángel D,Muy recomendable,"Muy rica la comida y la atención de las camareras, especialmente de Diana. Un lugar muy recomendable. Volveremos de nuevo!",1 contribución,Escrita el 21 de septiembre de 2025,1.0,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1,,,
1775582367-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Climber05240178470,comida muy rica,"La comida, precio y calidad acorde. tiene varidad.  La atención de Diana excelente. No tardaron en servirnos la comida.",1 contribución,Escrita el 21 de septiembre de 2025,1.0,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,
1775582367-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,JessicaPatron,Delicioso todo!,"Recomiendo muchísimo la pasta negra con camarones, la torre de tomate, berenjena y que mozzarella gratinada y el tiramisú! 
Al principio batallamos con el servicio…llamábamos al mesero y hasta la 5ta. vez se acercó a tomarnos la orden.",6 contribuciones,Escrita el 12 de agosto de 2025,6.0,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/c6/84/59/caption.jpg?w=300&h=300&s=1,,,,
1775582367-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,fmh84,"Comida increíble, servicio y ubicación","Fantástico servicio de Diana, la comida era excepcional y tan agradable. Todo fresco y sabroso. 

 8 de nosotros cenamos y había una fantástica selección de comida. Teníamos lasaña, pizza y una variedad de pastas. IT fue increíble - algunos de los mejores platos que hemos probado. Diana y todo el personal era encantador. Muchas gracias por la cálida bienvenida",22 contribuciones,Escrita el 29 de julio de 2025,22.0,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,
1775582367-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Pablo M,Muy agradable.,"Lo mejor el servicio, especialmente Babi. La pizza de pulpo muy buena. El postre espectacular. Los helados y el tiramisú muy buenos.",25 contribuciones,Escrita el 19 de julio de 2025,25.0,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,,
1775582367-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Go61265394213,,"La pizza deliciosa, recomiendo 100%.
Muchas gracias Diana excelente servicio.
Diferentes opciones, para todos los gustos.",1 contribución,Escrita el 18 de julio de 2025,1.0,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg?w=100&h=-1&s=1,,,
1775582367-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Vanessa V,Comida súper rica!,"Amé!!! He ido más de una vez y siempre todo está super rico! La atención super buena y la presentación, y lo rico que son los platos hace que sea siempre una gran elección.
Sin duda, repetiré!",2 contribuciones,Escrita el 8 de julio de 2025,2.0,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/67/53/f8/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1,,,
