web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,image,image2,image3,data19,data20
1775582826-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,PAELLA DELICIOSA,Daniel R,La comida cumple con lo descrito en el menú además de que el servicio de Alberto fue atento y rápido. Recomiendo completamente este lugar si buscar pun lugar donde comer al salir del museo.,2 contribuciones,2.0,Escrita el 14 de noviembre de 2025,2 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,,
1775582826-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Dinner at El Sur de Moratin,Bruno D,"Muy buena atención al cliente! El staff muy atentos, amables, y acogedores. Pedí una Paella de Mariscos, y estaba muy sabroso (10/10 primera experiencia probando paella). El Pisco Sour es de los mejores que he probado, y de postre, recomiendo la torta de tres leches! 

Very good service from the staff. The food was amazing, and the drink ordered was the best I’ve had. I had the Paella de Mariscos and a Pisco Sour. If you have a chance check this place out!",2 contribuciones,2.0,Escrita el 14 de noviembre de 2025,2 contribuciones,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/c0/26/9e/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/06/default-avatar-2020-18.jpg?w=100&h=-1&s=1,,
1775582826-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,¡Pregunta por Alberto!,Dennis F,"Un restaurante español excelente y auténtico con un servicio excelente. La ensalada mediterránea, el hummus y la paella eran fantásticos.",13 contribuciones,13.0,Escrita el 13 de noviembre de 2025,"Glenelg, Maryland",,,,,Mostrar original,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Traducido automáticamente,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/be/3a/42/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/be/3a/41/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/2a/de/65/dennis-f.jpg?w=100&h=-1&s=1,,
1775582826-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Excelente servicio,Maria P,"Nos gustó mucho la comida. Excelente preparación de la comida, atención y servicio del personal! Volveríamos sin pensarlo.",1 contribución,1.0,Escrita el 12 de noviembre de 2025,"Alajuela, Costa Rica",Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/bc/2c/b2/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/bc/2c/b1/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,,
1775582826-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Excelente,alina d,"Muy buenos todos los menús. . . paella, ternera al estilo cuba y vino. Los empleadores muy chicos. Te llamaré para todos y volveremos pronto.",1 contribución,1.0,Escrita el 10 de noviembre de 2025,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,Mostrar original,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Traducido automáticamente,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/b2/default-avatar-2020-69.jpg?w=100&h=-1&s=1,,
1775582826-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Es a donde vamos cuando queremos sentirnos como en casa,Ro RamisB,"Es un lugar al que siempre queremos volver. Es sentirnos en casa. Es el
Plato que nunca te falla. La
Comida es exquisita pero lo mas lindo son las personas. Fuimos con amigos y fuimos en familia (con bebe de 2 años que se va a los brazos de Diana sin pensarlo por que es un amor). Es el lugar que recomendamos sin dudarlo.",7 contribuciones,7.0,Escrita el 8 de noviembre de 2025,7 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/ac/cf/48/caption.jpg?w=100&h=-1&s=1,,
1775582826-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,comida/camarero...,Sunny W,"El camarero: Alberto es súper agradable y amable, thumb up👍;las comidas son realmente deliciosas😋;el ambiente del restaurante es de paz y amor, podemos disfrutar mucho de la comida, realmente nos gusta aquí💕",1 contribución,1.0,Escrita el 8 de noviembre de 2025,1 contribución,,,,,Mostrar original,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Traducido automáticamente,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/ac/7b/d1/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/ac/7b/d0/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,,
1775582826-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Una rica comida en Madrid,Jorge C Toache Alcázar,"Estuvo muy rico, y una gran atención de sus empleados. 
La tarta de queso es deliciosa y los chipirones, la paella muy rica",158 contribuciones,158.0,Escrita el 6 de noviembre de 2025,"Acapulco, México",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/09/46/99/igeorge1977.jpg?w=100&h=-1&s=1,,
1775582826-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Cosas buenas,Genene M,"Alberto, nuestro servidor, no solo era fantástico, también lo era la comida. Una de las mejores experiencias gastronómicas que tuvimos en Madrid! Y experiencia gastronómica (dice abulelito)!",1 contribución,1.0,Escrita el 6 de noviembre de 2025,"Branchville, Nueva Jersey",Calidad/precio,Ambiente,Servicio,Comida,Mostrar original,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Traducido automáticamente,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg?w=100&h=-1&s=1,,
1775582826-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Buena comida y buena relación calidad-precio,Mad ex teacher,"Realmente disfrutamos de nuestro tiempo aquí. No teníamos reserva, pero esto no fue un problema. La comida era buena y servida en porciones generosas. Muy buena relación calidad-precio en general y gracias a Roger que nos cuidó con cuidado y buen humor.",63 contribuciones,63.0,Escrita el 3 de noviembre de 2025,London,Calidad/precio,Ambiente,Servicio,Comida,Mostrar original,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Traducido automáticamente,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,,
1775582826-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Maravilloso de inicio a fin,Seaside68606595252,"Comida deliciosa. 

La tortilla española exquisita, pulpo perfecto, la ternera  excelente. 

Y ni se diga el servicio recibido por Alberto.... Sencillamente exquisito.

Una experiencia maravillosa desde la entrada hasta el postre",1 contribución,1.0,Escrita el 1 de noviembre de 2025,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,,
1775582826-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Un buen lugar,Daniel M,"Llegamos sin reserva y nos atendieron sin problema. La atención  de 10 por parte de todos los camareros pero sobre todo de Alberto que estuvo atento a nosotros en todo momento. Restaurante cuco para tomar algo acompañado de unas buenas tapas y raciones. Nosotros pedimos risoto de boletus, huevos rotos con jamón y croquetas variadas. Destacaría las croquetas por encima de todo. Repetiremos seguro",1 contribución,1.0,Escrita el 31 de octubre de 2025,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/16/c7/a9/daniel-m.jpg?w=100&h=-1&s=1,,
1775582826-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Lugar encantador,Hannah S,"Increíble ambiente, buena comida! Muy buen lugar para cenar, un montón de opciones y todo lo que pedimos era bueno. Gran vino y servicio también!",1 contribución,1.0,Escrita el 30 de octubre de 2025,1 contribución,,,,,Mostrar original,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,
1775582826-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Familiar y calidad auténtica,Philip M,"estamos muy satisfechos, buen precio, pequeño pero acogedor. El vino me apetece. Cálida atmósfera. Céntrico y atención muy amable.",11 contribuciones,11.0,Escrita el 28 de octubre de 2025,11 contribuciones,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/8e/25/28/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1,,
1775582826-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Súper recomendado,Margarita D,"Un lugar para comer delicioso!!!  Super recomendado para todos los q quieran visitar Madrid, buen servicio gente agradable",1 contribución,1.0,Escrita el 27 de octubre de 2025,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,El bacalao delicioso!!!,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg?w=100&h=-1&s=1,,
1775582811-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Buen lugar para comer,Hugo Gabriel P,Comí muy bien aparte las personas que atienden súper amables las porciones están bastante bien y el ambiente está muy cool,6 contribuciones,6.0,6 contribuciones,Escrita el 29 de noviembre de 2025,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,,Leer más,0.0
1775582811-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,,,,,,,,Leer ahora,Cosas que debes saber antes de hacer tu primer safari por el desierto en Dubái,"Si miras más allá de sus imponentes rascacielos, su arquitectura futurista y su espectacular paisaje urbano, encontrarás una ciudad con un rico legado en cuanto a cultura, tradición e historia, que perdura en los desiertos gracias a los beduinos de Dubái que habitan en ellos.",,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/50/57/2d/caption.jpg?w=400&h=400&s=1&cx=1728&cy=1152&chk=v1_c3b95e04b02f1c246e25,,,,
1775582811-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Un lugar imperdible,Angel V,"Excelente servicio y atención 
El ambiente y la comida lo definen como un lugar que no hay que perderse en Madrid.
La plática y atención con Virgilio es un lujo.","Ciudad de México, México",7.0,7 contribuciones,Escrita el 28 de noviembre de 2025,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,Leer más,0.0
