web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,data9,position,data10,image,data11,data12,data13,data14,data15,data16,data17,image2,data18,data19,data20,data21,data22,data23,data24,image3
1775584226-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d17351325-Reviews-Steakburger_Arenal-Madrid.html,Para repetir,David G,"Muy buen lugar, recomendable 100x100, la calidad de la carne y lo bueno de las hamburguesas. El servicio muy bueno, Rolando muy servicial y amable.",Escrita el 24 de septiembre de 2024,sept 2024 • En familia,3 contribuciones,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,3.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,,,,
1775584226-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d17351325-Reviews-Steakburger_Arenal-Madrid.html,Perfección,Felipe S,"Sin ningún tipo de duda, de las mejores veladas que he tenido. Comida de 10 y atención de 10. Nicol muy educada y paciente.",Escrita el 22 de septiembre de 2024,sept 2024 • Parejas,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,,,,
1775584226-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d17351325-Reviews-Steakburger_Arenal-Madrid.html,Un lugar para recomendar!,Nadia M,"Super bien, cada vez que venimos a Madrid cenamos aquí y nos vamos súper satisfechos!  Hoy nos ha atendido Nicole y es muy atenta  y simpatica!",Escrita el 21 de septiembre de 2024,sept 2024 • En familia,3 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,3.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,,,,
1775584226-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d17351325-Reviews-Steakburger_Arenal-Madrid.html,Burgers de referencia,David L,"Como siempre, un sitio de referencia y la atención de Nicole, estupenda. Buenas burgers y el local de ambiente agradable",Escrita el 21 de septiembre de 2024,sept 2024 • Amigos,6 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,6.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/2d/71/b9/david-l.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,,,,
1775584226-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d17351325-Reviews-Steakburger_Arenal-Madrid.html,Excelente comida y atención,MHYLO O,"Un lugar muy bonito, buena música, rica comida y sobre todo una excelente atención de la camarera Nicole. Recomendaremos sin duda .",Escrita el 21 de septiembre de 2024,sept 2024 • Amigos,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,0,,,,,,,,,,,,,,,,,
1775584226-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d17351325-Reviews-Steakburger_Arenal-Madrid.html,Buen chuletón!,Angelo Jordan G,"Muy buen trato el de Nicole en el restaurante, la verdad muy rica y la atención súper rápida, volvemos con más miembros de la familia",Escrita el 21 de septiembre de 2024,sept 2024 • En familia,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,0,,,,,,,,,,,,,,,,,
1775584226-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d17351325-Reviews-Steakburger_Arenal-Madrid.html,La cena más bonita de Madrid,chiara l,personal muy profesional amable y servicial. comida muy buena e ingredientes de calidad. porciones abundantes y saciantes,Escrita el 21 de septiembre de 2024,sept 2024 • En familia,6 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,6.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,,,,
1775584226-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d17351325-Reviews-Steakburger_Arenal-Madrid.html,Streat burguer,matilde w,"Increíble lugar para cenar en familia perfecta atención y ambiente, precios adecuando a lo que es y perfecta atención de rolando",Escrita el 16 de septiembre de 2024,sept 2024 • En familia,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,,,,
1775584226-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d17351325-Reviews-Steakburger_Arenal-Madrid.html,Excelente almuerzo,Ben P,"Gracias a Rolando por el increíble servicio que se traduce en un excelente almuerzo! Los filetes eran increíbles, también, recomiendo el lugar de almuerzo en Madrid.",Escrita el 16 de septiembre de 2024,sept 2024 • En familia,1 contribución,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,,,,
1775584226-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d17351325-Reviews-Steakburger_Arenal-Madrid.html,Muy recomendable!,Joshua G,"Fuimos a comer un grupo de amigos y nos recibieron con una gran amabilidad. Jeff, Bea y Josefina nos atendieron muy bien, no nos faltó de nada y el precio estuvo acorde a la calidad del producto. Si vuelvo a Madrid a otra fiesta como la que me pegué ayer, estoy seguro de que volveré a reponerme de la resaca en este lugar. Los sofás son realmente cómodos.",Escrita el 15 de septiembre de 2024,sept 2024 • Amigos,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,,,,
