web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,image,image2,image3,image4,position
1775584718-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d11896546-Reviews-Astor-Madrid.html,"Excelente, sin duda volvería.",Tom_Lennie,"Excelente restaurante acogedor. El personal no podría haber sido más amable y servicial. Precios muy buenos y la comida excelente. No turístico, como fuera de la calle principal, pero un paseo fácil de Playa Mayor. Sin duda volvería.",Tom_Lennie Thank you so much for visiting us. It's been a pleasure and an honor to have you at Ástor. We hope you come back soon. Ástor is your home in Madrid. Thank you so much!,657 contribuciones,657,Escrita el 10 de abril de 2025,Escrita el 11 de abril de 2025,"Maidenhead, Reino Unido",restauranteastor,Traducir respuesta,Mostrar original,Calidad/precio,Ambiente,Servicio,Comida,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,Leer más,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/6d/7e/9f/avatar.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/fa/aa/65/avatar.jpg?w=100&h=-1&s=1,
1775584718-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d11896546-Reviews-Astor-Madrid.html,Muy bien,Lubje,"Acudimos a este local debido a las críticas de las que disponen. 
Personal de lo más atento y encantador, cócteles maravillosos y una decoración muy acogedora.
La comida es una mezcla de sabores y sale de lo convencional.
El precio es razonable.","480rebecab Muchas gracias por la visita, por elegirnos (habiendo tantos excelentes restaurantes por la zona), y por tan amables palabras. Esperamos verl@s pronto! recibe un cordial saludo de parte de todo el equipo que conformamos Ástor!",202 contribuciones,202,Escrita el 7 de abril de 2025,Escrita el 8 de abril de 2025,"Barcelona, España",restauranteastor,,,Calidad/precio,Ambiente,Servicio,Comida,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/fa/aa/65/avatar.jpg?w=100&h=-1&s=1,
1775584718-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d11896546-Reviews-Astor-Madrid.html,"Comida fenomenal, servicio!",justin p,"No es de extrañar que Astor se clasifique constantemente como uno de los mejores restaurantes de Madrid. El servicio era de primera categoría, y cada plato era excepcional. Empezamos con mejillones al estilo asiático, curry de coco, char siu, e incluso un ceviche cocido — que no había visto antes. Para la comida principal, mi amigo saboreó las costillas de cerdo a la parrilla, mi hijo tomó un filete argentino y yo fui por el especial del día: panes dulces de ternera. Cada bocado fue excepcional. Asegúrese de obtener una reserva, no se arrepentirá.","justin p Thank you so much! First, for the visit. It was an honor and a pleasure serving you at Ástor (your home). Second, for such kind words. I hope we always achieve this high standard. We'll strive to do so, service after service. Best regards to the whole family. Enjoy Madrid! We hope to see you soon.",117 contribuciones,117,Escrita el 29 de marzo de 2025,Escrita el 30 de marzo de 2025,"Long Lake, Minnesota",restauranteastor,Traducir respuesta,Mostrar original,,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,Leer más,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/79/74/ef/caption.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/79/74/f0/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/11/8c/ca/justin-p.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/fa/aa/65/avatar.jpg?w=100&h=-1&s=1,
1775584718-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d11896546-Reviews-Astor-Madrid.html,GRAN DESCUBRIMIENTO,Eduardo G,"Carta muy original con una fusión de cocinas de lo más peculiar.

Servicio impecable, sabores sorprendentes y que enganchan, precios muy ajustados... Grandisima experiencia","eduardogF5852FN Muchísimas gracias por tan amables palabras, ojalá siempre estemos a semejante altura. Agradecerles queremos primero la visita (que ha sido un honor y un placer conocerles) y segundo tan positiva reseña. Esperamos verl@s pronto y poder brindar por el reencuentro aquí en Ástor (vuestra casa;) . Muchas gracias, de verdad",30 contribuciones,30,Escrita el 23 de marzo de 2025,Escrita el 24 de marzo de 2025,"Madrid, España",restauranteastor,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/b2/default-avatar-2020-69.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/fa/aa/65/avatar.jpg?w=100&h=-1&s=1,
1775584718-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d11896546-Reviews-Astor-Madrid.html,Encantador restaurante en el centro histórico de Madrid.,C. Ureña,"Nos alegraron una celebración familiar con una excelente comida y vino , y especialmente con un trato profesional y muy agradable. Volveremos",Crisure Os agradecemos infinítamente -habiendo tantos y excelentes restaurantes por la zona- que nos hayáis elegido. Muchísimas gracias por la visita y por las amables palabras posteriores. Ha sido un honor y un placer tenerl@s en Ástor (vuestra casa). Ojalá se repita pronto y poder brindar por el reencuentro. Reciban un afectuoso saludo de parte de todo el equipo!,3 contribuciones,3,Escrita el 22 de marzo de 2025,Escrita el 23 de marzo de 2025,3 contribuciones,restauranteastor,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/fa/aa/65/avatar.jpg?w=100&h=-1&s=1,
1775584718-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d11896546-Reviews-Astor-Madrid.html,Comida increíble,Tara P,"Gran comida y gran servicio. Recomienda cualquiera de las bebidas, las croquetas, el ribeye y el risotto de hongos. 
Grita a nuestro camarero, Lydia.",tarapA1870ZA Thank you so much for your visit and for your kind words. I hope you come back soon. Ástor is your home. We'll pass on your regards to Lydia. Thank you so much!!!,1 contribución,1,Escrita el 18 de marzo de 2025,Escrita el 19 de marzo de 2025,1 contribución,restauranteastor,Traducir respuesta,Mostrar original,Calidad/precio,Ambiente,Servicio,Comida,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,Leer más,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/fa/aa/65/avatar.jpg?w=100&h=-1&s=1,
1775584718-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d11896546-Reviews-Astor-Madrid.html,Pequeño restaurante acogedor con un gran servicio y comida,shawna7e,"Decidió reservar después de leer excelentes críticas a pesar de que estaba a 20 minutos a pie de nuestro hotel. Vale la pena. Menú innovador que combina comida española y argentina. Mi esposo dijo que el ojo de costilla era el mejor que ha tenido. Me encantaron las empanadas, cócteles creativos, pastas caseras. El personal hablaba inglés y era muy servicial y amable.","Shawna B Thank you so much for your visit and for coming even though you're far away! Thank you so much for such kind words. It was an honor to have you at Ástor (your home), and we hope to see you soon. Enjoy Madrid. Thank you so much! Cheers!",99 contribuciones,99,Escrita el 15 de marzo de 2025,Escrita el 15 de marzo de 2025,"Raleigh, Carolina del Norte",restauranteastor,Traducir respuesta,Mostrar original,,,,,,Traducido automáticamente,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/fa/aa/65/avatar.jpg?w=100&h=-1&s=1,
1775584718-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d11896546-Reviews-Astor-Madrid.html,Pendiente,Betancor8000,"Una experiencia gastronómica de clase mundial junto con un servicio excepcional y un menú sorprendente y sofisticado. Este acogedor y atmosférico restaurante escondido en una estrecha calle empedrada en la histórica La Latina lo tiene todo. Los sabores de España fusionados con la influencia argentina y peruana alcanzaron cotas aún imaginadas. La selección de vinos, excelente. Una velada perfecta.","NorthStar08161573915 Thank you so much for your visit and for your kind words. I hope we always deserve them, in every service. It has been a pleasure and an honor to have you at Ástor (your home). We hope to see you soon. Thank you very much!",1 contribución,1,Escrita el 14 de marzo de 2025,Escrita el 15 de marzo de 2025,"Madrid, España",restauranteastor,Traducir respuesta,Mostrar original,,,,,,Traducido automáticamente,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/fa/aa/65/avatar.jpg?w=100&h=-1&s=1,
1775584718-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d11896546-Reviews-Astor-Madrid.html,"Sitio encantador, comida riquisima",Daniel G,"Sitio perfecto ,comida riquísima , buena presentación  y todo estaba realmente exquisito sinceramente un diez al local y al chef",G9754NEdanielg Muchísimas gracias por el cariño! Ha sido un placer tenerlos en Ástor (Vuestra casa). Serán enviadas las palabras afectuosas al staff de vuestra parte. Ojalá el reencuentro sea pronto y poder brindar junt@s! Millones de gracias!,1 contribución,1,Escrita el 14 de marzo de 2025,Escrita el 15 de marzo de 2025,1 contribución,restauranteastor,,,Calidad/precio,Ambiente,Servicio,Comida,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/fa/aa/65/avatar.jpg?w=100&h=-1&s=1,
1775584718-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d11896546-Reviews-Astor-Madrid.html,Lo recomiendo al 100 %.,Karen H,"Comida deliciosa, personal muy amable y agradable. Pedimos varios platos en compañía de mi chico, cuñada y suegros. Lo recomiendo al 100 %.","karenhE1772UN Familia hermosa! Gracias, mil veces. Sois de la casa y lo sabéis de sobra. Gracias por las visitas y por el cariño otorgado en cada encuentro. Ojalá siempre estemos a semejante altura. Brindaremos prontito! Graciaaaas saluuuu",1 contribución,1,Escrita el 14 de marzo de 2025,Escrita el 15 de marzo de 2025,1 contribución,restauranteastor,,,Calidad/precio,Ambiente,Servicio,Comida,"Reservar con antelación, es muy bueno.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/99/default-avatar-2020-40.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/fa/aa/65/avatar.jpg?w=100&h=-1&s=1,
