web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,position,data14,image,data15,data16,data17,data18,data19,image2,name
1775584444-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Muy chulo,Pablo L,Todo perfecto! Muy agradable y el sitio muy acogedor. El servicio impecable y miy buen ambiente. Las patatas estaban riquisimas.,oct 2024 • Amigos,1 contribución,Escrita el 4 de octubre de 2024,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg?w=100&h=-1&s=1,,,,,,,
1775584444-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Buena tarde en una azotea en madrid,Jaime A,Camarera y servicio increíble. El sitio es una azotea con vistas bonitas donde tomar una bebida es muy agradable. Las bebidas bien de precio,oct 2024 • Amigos,1 contribución,Escrita el 4 de octubre de 2024,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg?w=100&h=-1&s=1,,,,,,,
1775584444-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Genial!,María D,"Muy bueno! encantadores, pasamos un buen rato con amigos, el sitio es muy agradable y los trabajadores muy atentos! de 10",oct 2024 • Amigos,2 contribuciones,Escrita el 4 de octubre de 2024,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,2.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg?w=100&h=-1&s=1,,,,,,,
1775584444-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Muy recomendable,francisco S,"Fui con un grupo de amigos a celebrar un cumpleaños. 
La comida muy bien y el ambiente un diez. Además muy buenas vistas a todo Madrid",sept 2024 • Amigos,2 contribuciones,Escrita el 21 de septiembre de 2024,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,2.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/3e/44/31/francisco-s.jpg?w=100&h=-1&s=1,,,,,,,
1775584444-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Brunch en azotea,Garbiñe R,"Una experiencia fantástica! Poco promocionado, un gran descubrimiento. Muy rico todo y muy buen servicio. Laura muy atenta y ambiente agradable.",sept 2024 • Amigos,1 contribución,Escrita el 21 de septiembre de 2024,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,,,,,,,
1775584444-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,"Muy rica la comida, las vistas geniales . Un descubrimiento el sitio",Iara M,"Hemos ido unas amigas a tomar el brunch y ha sido un descubrimiento. Terraza muy bonita, camareros muy amables y la comida espectacular. Con plato salados y tabla de dulces , café, zumo…. 
Muy muy recomendable",sept 2024 • Amigos,1 contribución,Escrita el 21 de septiembre de 2024,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,0,,,,,,,,
1775584444-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Sitio impresionante agradable y brunch maravilloso,Departure18408395012,"El Brunch estaba buenísimo, Laura la camarera fue encantadora y el sitios super acogedor, terraza preciosa, con vistas muy bonitas.",sept 2024 • Amigos,1 contribución,Escrita el 21 de septiembre de 2024,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/06/default-avatar-2020-18.jpg?w=100&h=-1&s=1,,,,,,,
1775584444-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Bonito y rico,Modesto G,¡Muy rico el brunch! He tomado huevos benedictinos con salmón y los recomiendo. Y han sido muy amables y el sitio es muy bonito.,sept 2024 • Amigos,1 contribución,Escrita el 21 de septiembre de 2024,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,0,,,,,,,,
1775584444-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Un personal muy majo,pako l,"El brunch estaba muy rico.
El café es mejorable, pero no importó porque el personal era supermajo. 
Hay que subir el sueldo q esos camareros.",sept 2024 • Amigos,4 contribuciones,Escrita el 21 de septiembre de 2024,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,4.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1,,,,,,,
1775584444-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Espectacular,Marie Laura T,"Ambiente increíble, se la pasa excelente con tragos y ambiente, en realidad no se necesita mucho. Delicioso tragos y entradas. Agradable",sept 2024 • Amigos,1 contribución,Escrita el 18 de septiembre de 2024,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg?w=100&h=-1&s=1,,,,,,,
