web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,position,data15,image,data16,data17,data18,data19,data20,image2,image3,data4
1775582602-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d24190348-Reviews-Oven_Mozzarella_Preciados-Madrid.html,Muy bien,Albert B,"A Maria. Un 10!

La pasta es claramente buenisima probamos unos tagliatelle al tartufo que estaban perfectamente al dente, con una salsa cremosa e intensa, sin ser pesada. 

El servicio fue impecable: atentos, amables

En resumen, un lugar para volver sin dudar. Perfecto para una cena romántica, una celebración especial o simplemente para disfrutar de buena comida italiana hecha con cariño y calidad.",Escrita el 5 de julio de 2025,4 contribuciones,4 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,4.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg?w=100&h=-1&s=1,,,,,,,,
1775582602-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d24190348-Reviews-Oven_Mozzarella_Preciados-Madrid.html,Maria Excelente,Aranza E,Muy buena la comida y el servicio muy bueno. María la mesera muy linda . Hemos comido tres pastas y muy ricas. El establecimiento también muy lindo,Escrita el 5 de julio de 2025,2 contribuciones,2 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,2.0,0,,,,,,,,,
1775582602-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d24190348-Reviews-Oven_Mozzarella_Preciados-Madrid.html,Buena la comida y el lugar lindo.,Jaime P,María excelente camarera. La comida es muy buena y el lugar está muy lindo. Lo recomiendo ampliamente. No está muy visbible al caminar pero buscando pueden dar con él.,Escrita el 5 de julio de 2025,1 contribución,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1,,,,,,,,
1775582602-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d24190348-Reviews-Oven_Mozzarella_Preciados-Madrid.html,Delicia,Belen S,El trato por la camarera María y la comida espectacular!! Volveremos!! Hemos pedido solo dos platos y nos gustaría probar más cosas de la carta!! Delicioso!!,Escrita el 5 de julio de 2025,1 contribución,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg?w=100&h=-1&s=1,,,,,,,,
1775582602-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d24190348-Reviews-Oven_Mozzarella_Preciados-Madrid.html,Almuerzo,Juan Felipe V,"Estaba muy rica pero le faltó sal a un plato del rissotro de mate, pero lo demás estuvo delicioso. Muy buen servicio! Gracias a Marcelo",Escrita el 3 de julio de 2025,1 contribución,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,,,,,,,,
1775582602-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d24190348-Reviews-Oven_Mozzarella_Preciados-Madrid.html,Una cena sabrosa!!!!,Ionit Leibovici,"Rico, buen servicio,  hermoso lugar, valió la pena!!! El precio se corresponde con la experiencia y todo fue realmente bueno!!!",Escrita el 2 de julio de 2025,2 contribuciones,"Montevideo, Uruguay",Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,2.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/7b/default-avatar-2020-56.jpg?w=100&h=-1&s=1,,,,,,,,
1775582602-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d24190348-Reviews-Oven_Mozzarella_Preciados-Madrid.html,La atención fue muy buena,Maria S,"Muy buena la atención de lisset, muy amable y atenta  y la comida exquisita! Muy recomendable el  risotto di mare. Vamos a volver.",Escrita el 1 de julio de 2025,1 contribución,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,,,,,,,,
1775582602-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d24190348-Reviews-Oven_Mozzarella_Preciados-Madrid.html,Experiencia,Mafalda Pinho,"La comida estaba genial, la limonada de fresa era riquísima y la simpatía de Maria increíble. La comida no ha tardado casi tiempo ninguno.",Escrita el 26 de junio de 2025,2 contribuciones,2 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,2.0,0,,,,,,,,,
1775582602-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d24190348-Reviews-Oven_Mozzarella_Preciados-Madrid.html,Un lugar de alta Calidad!,Alfonso R,Este lugar esta super lindo! Tiene un servicio phenomenal! La comida está deliciosa. Nos toco Maria! Y ella nos servio con mucha amabilidad y rapides! La calidad del servicio que nos dio Maria es incomperable!,Escrita el 26 de junio de 2025,1 contribución,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/9f/default-avatar-2020-16.jpg?w=100&h=-1&s=1,,,,,,,,
1775582602-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d24190348-Reviews-Oven_Mozzarella_Preciados-Madrid.html,MARIA ES LA MEJOR,Brett N,"Venimos sin reservación, y María nos ayudó con mucho ánimo y sabía lo que necesitábamos antes de que lo supiéramos nosotros. Es muy amable y trabaja muy dura para asegurar de que los clientes estén satisfechos con su experiencia. Es muy buena!!!",Escrita el 26 de junio de 2025,1 contribución,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1,,,,,,,,
