web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,position,position2,image,image2,data19,data20,data21,data22,data4,image3
1775660753-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d5827906-Reviews-SteakBurger_Fuencarral-Madrid.html,Carne a la brasa,Laura T,"Muy buena toda la comida y destacar el servicio de Andriana, nos ha atendido muy bien y ha estado muy atenta con la mesa 
Muchas gracias","¡Nos alegra saber que disfrutaste de nuestra carne a la brasa! Nos esforzamos por ofrecer comida deliciosa y un servicio excepcional, así que estamos encantados de que Andriana haya hecho que tu experiencia fuera tan agradable.",Escrita el 4 de mayo de 2024,,Steakburger F,1 contribución,Escrita el 10 de mayo de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,1.0,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,,,,,
1775660753-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d5827906-Reviews-SteakBurger_Fuencarral-Madrid.html,Excelente y Delicioso,Josefina S,"Muy buena atención!! La comida salio super rapido y muy deliciosa.
Andriana muy buena atención y dedicada a explicarnos todo lo del menu","¡Qué maravilla escuchar eso! Nos alegra mucho que hayas tenido una experiencia tan positiva. Nuestro objetivo es ofrecer un servicio rápido y comida deliciosa, así que es genial saber que cumplimos con tus expectativas.",Escrita el 4 de mayo de 2024,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Steakburger F,1 contribución,Escrita el 10 de mayo de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,Leer más,Leer más,1.0,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,,,,,
1775660753-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d5827906-Reviews-SteakBurger_Fuencarral-Madrid.html,Muy rico,Julia P,"Las alitas de pollo al bourbon y el costillar deliciosossss!! Hemos venido a cenar y nos ha gustado mucho, volveremos sin duda",¡Gracias por tu reseña! Nos alegra mucho saber que disfrutaste de las alitas de pollo al bourbon y el costillar. Es un placer para nosotros ofrecer platos que realmente deleiten a nuestros clientes. Te esperamos con gusto para tu próxima visita.,Escrita el 3 de mayo de 2024,,Steakburger F,1 contribución,Escrita el 10 de mayo de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,1.0,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,,,,,
1775660753-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d5827906-Reviews-SteakBurger_Fuencarral-Madrid.html,"Rico, rápido y amable.",pedro e,"Increíble la comida, riquísima y súper abundante y muy amable la atención de Andrian, espero volver prontamente a disfrutar otra gran hamburguesa.",¡Qué reseña tan positiva! Es genial escuchar que disfrutaste tanto de la comida como del servicio.,Escrita el 1 de mayo de 2024,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Steakburger F,1 contribución,Escrita el 10 de mayo de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,Leer más,Leer más,1.0,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,,,,,
1775660753-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d5827906-Reviews-SteakBurger_Fuencarral-Madrid.html,Experiencias buenas para compartir.,Ibone M,"Muy buena atención por parte de todo el servicio y en concreto el camarero alvaro ya que a sido el que nos a atendido, una experiencia para repetir en cualquier situación.","¡Qué alegría saber que tuviste una experiencia tan positiva! Nos encanta que quieras compartirla y que la atención del equipo, especialmente de Álvaro, haya hecho que todo fuera aún mejor. Nos esforzamos por brindar un servicio amable y profesional, y es genial saber que lo logramos.",Escrita el 28 de abril de 2024,,Steakburger F,1 contribución,Escrita el 1 de mayo de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,1.0,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,,,,,
1775660753-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d5827906-Reviews-SteakBurger_Fuencarral-Madrid.html,Una bonita experiencia para volver a repetir,Manolo M,Muy buen trato del camarero y de las demás personas que nos atendieron un servicio rápido y sin ningún problema Y todo muy bueno,"Nos alegra saber que tuviste una bonita experiencia y que estás pensando en repetir. Nos esforzamos por ofrecer un servicio rápido y amable, así como comida deliciosa, así que es fantástico escuchar que todo estuvo a la altura de tus expectativas.",Escrita el 28 de abril de 2024,"Que disfruten de la comida y de la tranquilidad de comer, en un sitio de confianza",Steakburger F,1 contribución,Escrita el 1 de mayo de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,,Leer más,Leer más,1.0,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,,,,,
1775660753-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d5827906-Reviews-SteakBurger_Fuencarral-Madrid.html,Sitio de 10,Agurtzane U,"Muy buen trato por parte del los camareros en concreto Álvaro que a sido el q nos a atendido, a parte el servicio y la comida estaba de 10 experiencia para repetir.","¡Nos alegra mucho que consideres nuestro sitio de 10! Es genial saber que el trato de los camareros, especialmente Álvaro, te dejó una buena impresión. Nos esforzamos por brindar un servicio excepcional y comida de calidad, y nos anima saber que tu experiencia fue tan positiva.",Escrita el 28 de abril de 2024,,Steakburger F,1 contribución,Escrita el 1 de mayo de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,1.0,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,,,,,
1775660753-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d5827906-Reviews-SteakBurger_Fuencarral-Madrid.html,Cena picante,GoPlaces27792312939,"Aquí nunca fallan, buenísima la comida. Hamburguesa picantosa, prrr maravilla.

Álvaro muy bueno y muy amable eeh así da gusto","¡Qué gusto saber que siempre tienen una experiencia estupenda con nosotros! Nos alegra que disfruten tanto de la comida, especialmente de la hamburguesa picantosa.",Escrita el 28 de abril de 2024,,Steakburger F,1 contribución,Escrita el 1 de mayo de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,1.0,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/a3/default-avatar-2020-38.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,,,,,
1775660753-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d5827906-Reviews-SteakBurger_Fuencarral-Madrid.html,Experiencia perfecta,Zahida R,"Hemos tenido
Una experiencia única , desde el trato recibido por parte de nuestro camarero , Alvaro; que a sido toda una gran ayuda en trato y sobretodo en explicarnos y recomendarnos ! Atento y súper cordial ! Volveremos a verte Alvaro ( desde Asturias )
Hamburguesas impresionantes los aperitivos como los nachos súper riquísimos 
Hemos tenido una noche súper agradable con amigos y familia y mis sinceras felicitaciones a la
Cocina , por que a sido
Brutal . Lo dicho volveremos
Seguro y nos quedamos con ganas de más ! Gracias","¡Qué reseña tan maravillosa! Nos llena de alegría saber que tuvieron una experiencia única, desde el trato excepcional de Álvaro hasta las hamburguesas impresionantes y los deliciosos aperitivos como los nachos. Nos alegra que nuestro equipo haya podido hacer de su noche algo especial y que hayan disfrutado con amigos y familia.",Escrita el 28 de abril de 2024,Reservar con antelación!,Steakburger F,1 contribución,Escrita el 1 de mayo de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,,Leer más,Leer más,1.0,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/9f/default-avatar-2020-16.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,,,,,
1775660753-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d5827906-Reviews-SteakBurger_Fuencarral-Madrid.html,Espectacular,Voyage64533791285,"Una experiencia muy buena, las hamburguesas espectaculares a parte de mucha variedad, el personal muy amable , Álvaro todo un profesional.","¡Nos alegra mucho saber que tuviste una experiencia tan buena! Las hamburguesas espectaculares y la variedad son siempre un plus, pero el toque especial lo da el personal amable y profesional como Álvaro. Gracias por compartir tu experiencia.",Escrita el 28 de abril de 2024,,Steakburger F,1 contribución,Escrita el 1 de mayo de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,1.0,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/59/default-avatar-2020-49.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,,,,,
