web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,position,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,position2,image,image2,image3,image4,image5,data19,data20,data21,data22,data23,data24,data25
1775660384-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d7225121-Reviews-Steakburger_Atocha-Madrid.html,Excelente comida!,Sebastian L,"Emily nos atendió súper bien! Comida excelente y muy rico el lugar. Si pueden pidan un sanduche ibérico, de lo mejor que he podido comer.",1 contribución,Escrita el 7 de mayo de 2024,"Hola C6019BCsebastianl, muchas gracias por tu comentario.",1,Steakburger A,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Escrita el 17 de mayo de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,1.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,,,,,,,
1775660384-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d7225121-Reviews-Steakburger_Atocha-Madrid.html,Sal del Himalaya,Ib B,Nos atendió Emily. Buena atención y nos recomendó con mucho acierto el vino. Un nubori. El restaurante estaba muy tranquilo y aunque no había casi nadie lleno nos obligaron a mesa de 2. He cenado un lomo bajo de vacuno al punto más que venía algo quemado y la guarnición con demasiada demasiada demasiada demasiada sal.  Lo peor: que supiera a quemado ciertas partes del lomo y exceso de sal. Lo mejor: la atención de la camarera.,1 contribución,Escrita el 6 de mayo de 2024,"hola 896ibb, lamentamos que tu experiencia no haya sido todo lo satisfactoria que nosotros deseamos. Hablaremos con cocina a ver que pudo pasar, para tomar nota y que no vuelva a suceder. Muchas gracias",1,Steakburger A,Calidad/precio,Ambiente,Servicio,Comida,,Escrita el 17 de mayo de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/14/49/37/caption.jpg?w=300&h=300&s=1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,,,,,,,
1775660384-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d7225121-Reviews-Steakburger_Atocha-Madrid.html,Muy bueno todo,Jateleles,"Muy buena atención de Mary y Emily, además de la comida excelente!! Han sido muy amables y serviciales con nosotros y en general la experiencia increible",8 contribuciones,Escrita el 5 de mayo de 2024,"Hola Jateles, muchas gracias por tu comentario. Esperamos verte pronto por steakburger.",8,Steakburger A,Calidad/precio,Ambiente,Servicio,Comida,,Escrita el 17 de mayo de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,1.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,,,,,,,
1775660384-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d7225121-Reviews-Steakburger_Atocha-Madrid.html,Muy buena comida y excelente atención!,Angélica V,"Súper bueno todo, fui con mis amigos y a todos nos encantó TODO! Volvería a venir mil veces más! Comida de calidad y los camareros muy amables y atentos. La sangria 10/10!!",1 contribución,Escrita el 4 de mayo de 2024,"Hola 748ang_licav, muchas gracias por tu comentario.",1,Steakburger A,Calidad/precio,Ambiente,Servicio,Comida,No un pidan la sangria!,Escrita el 17 de mayo de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/0f/f4/7c/caption.jpg?w=300&h=300&s=1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,,,,,,,
1775660384-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d7225121-Reviews-Steakburger_Atocha-Madrid.html,Muy bueno,Ilianette R,"Emily nos atendió excelente, muy atenta y servicial.  La comida muy buena y nos sirvieron muy rápido. La sangría refrescante y riquísima. Super recomendado.",1 contribución,Escrita el 1 de mayo de 2024,"hola ilianetter2024, muchas gracias por tu comentario. Estamos encantados que tu visita a Steakburger haya sido tan satisfactoria.",1,Steakburger A,Calidad/precio,Ambiente,Servicio,Comida,,Escrita el 17 de mayo de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/07/96/e9/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/07/97/09/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,,,,,,,
1775660384-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d7225121-Reviews-Steakburger_Atocha-Madrid.html,La comida y la antencion super bien,Jose N,"Emily nos atendio super bien y todo estaba excelente, desde la comida, la bebida y ella con su servicio nos dejo super encantados. Seguro que vuelvo",1 contribución,Escrita el 1 de mayo de 2024,"hola josenS8525GT, muchas gracias por tu comentario. Esperamos verte pronto por Steakburger.",1,Steakburger A,Calidad/precio,Ambiente,Servicio,Comida,,Escrita el 17 de mayo de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,1.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,,,,,,,
1775660384-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d7225121-Reviews-Steakburger_Atocha-Madrid.html,Buen servicio!! Buena comida!!,Alejandro g,"Vine recomendado pero sin expectativas, me sentí recibido y fue un ambiente muy chill con buena luz y buena música, me atendió Emily que fue super atenta, muy simpática y me ayudó con la carta, fue un acierto pedirme La burguer que estaba de lujo(nice chef). Espero volver por algunas recomendaciones de Emily sobre  la salsa de quesos. Bravo por el servicio, muchas gracias!! Hasta la próxima...",1 contribución,Escrita el 30 de abril de 2024,"hola P45LPalejandrog, muchas gracias por tu comentario. Estamos encantados super felices que tu visita a Steakburger haya  sido tan satisfactoria.",1,Steakburger A,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Escrita el 17 de mayo de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,1.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/a3/default-avatar-2020-38.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,,,,,,,
1775660384-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d7225121-Reviews-Steakburger_Atocha-Madrid.html,La mejor burger,logan a,Deliciosas las hamburguesa lo mejor Emily fue muy amable y explicó muy bien el menú el término en el que pedí la burger fue perfecto. Volveré a probar los otros tipos de hamburguesa qué tienen.,2 contribuciones,Escrita el 28 de abril de 2024,"hola 561logana, muchas gracias por tu comentario. Trasladeremos a Emily tu felicitacion. Esperamos verte pronto por el templo de la carne",2,Steakburger A,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Escrita el 17 de mayo de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,1.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,,,,,,,
1775660384-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d7225121-Reviews-Steakburger_Atocha-Madrid.html,Comida de domingo antes de coger el tren.,José Luis P,"Nos atendió Emily. El servicio estupendo, la comida fantástica. 100% recomendable!! Volveremos seguro otro domingo antes de coger el tren en Atocha.",1 contribución,Escrita el 28 de abril de 2024,"hola jos_luisp652, muchas gracias por tu comentario. Esperamos verte pronto en Steakburger.",1,Steakburger A,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Escrita el 17 de mayo de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,1.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,,,,,,,
1775660384-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d7225121-Reviews-Steakburger_Atocha-Madrid.html,Excelente,Miguel G,"Trato excelente, la comida inmejorable y precio acorde con la comida!! Un 10. Volveré me prepararon un tinto de verano buenísimo una chica que se llama Arlet y en sala nos atendieron antonio, sufi y María perfecto",4 contribuciones,Escrita el 26 de abril de 2024,"Hola Miguel G, muchas gracias por tu comentario.",4,Steakburger A,,,,,,Escrita el 17 de mayo de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f7/69/74/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f7/69/75/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f7/69/76/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,,,,,,,
