web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,position,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,image,image2,image3,image4,data4
1775661897-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d795373-Reviews-Trattoria_Pulcinella-Madrid.html,Parece que estás en una tratoria en Italia,Seaside50237602860,"Cocina y servicio excelente, todo buenísimo y el trato excepcional. El local muy acogedor y bien decorado. Los camareros muy atentos.",1 contribución,Escrita el 3 de agosto de 2025,1 contribución,1.0,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1,,
1775661897-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d795373-Reviews-Trattoria_Pulcinella-Madrid.html,,,,,,,,Leer ahora,Descubre Florencia paso a paso,"Florencia es preciosa. Camines por donde camines, te encontrarás con palacios renacentistas o con una espectacular vista del río Arno. Los florentinos están muy orgullosos de esto y, a pesar de todos los turistas (sí, hay muchos), vale la pena descubrir esta ciudad. Lo sé por experiencia propia, ya que estoy casada con un italiano y tengo la suerte de venir aquí a menudo.",,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/87/00/a3/caption.jpg?w=400&h=400&s=1&cx=1000&cy=607&chk=v1_02acb2f7285ff704d641,,,,
1775661897-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d795373-Reviews-Trattoria_Pulcinella-Madrid.html,El mejor italiano de Madrid,Alan G,"Lugar agradable, camareros amables, comida increíble, si queres viajar a Italia, venite acá! La pasta carbonara estuvo deliciosa",1 contribución,Escrita el 1 de agosto de 2025,1 contribución,1.0,,,,Calidad/precio,Ambiente,Servicio,Comida,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/7a/default-avatar-2020-25.jpg?w=100&h=-1&s=1,,
1775661897-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d795373-Reviews-Trattoria_Pulcinella-Madrid.html,Muy buena,Berta S,"He decir, que esta experiencia gastronómica y alimenticia ha superado todas mis expectativas en un local agradable donde hemos disfrutado un momento agradable en familia.",4 contribuciones,Escrita el 29 de julio de 2025,4 contribuciones,4.0,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg?w=100&h=-1&s=1,,
1775661897-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d795373-Reviews-Trattoria_Pulcinella-Madrid.html,,larserik f,"Simplemente el mejor restaurante italiano en Madrid! Fantástico y no olviden a reservar mesa!
Una experiencia culinaria única! Bon apetito!!",6 contribuciones,Escrita el 18 de julio de 2025,6 contribuciones,6.0,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,,
1775661897-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d795373-Reviews-Trattoria_Pulcinella-Madrid.html,Gran hallazgo,Freedom67210068783,"La comida era muy buena, el personal es amable y el interiror es muy lindo. Tomamos la morenita, lasaña y una pizza. La bruschetta fue la mejor que tuvimos. Intentaremos volver una vez más antes de nuestro vuelo a casa jaja",2 contribuciones,Escrita el 13 de julio de 2025,2 contribuciones,2.0,,,,Calidad/precio,Ambiente,Servicio,Comida,Mostrar original,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1,,
1775661897-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d795373-Reviews-Trattoria_Pulcinella-Madrid.html,Muy buena,Nadia,Acogedor local de estilo tradicional Italiano . Servicio excepcional y comida hermosa. No puedo recomendarlo lo suficiente. Definitivamente volveré a visitarlo.,2 contribuciones,Escrita el 10 de julio de 2025,"Cockburn, Australia",2.0,,,,Calidad/precio,Ambiente,Servicio,Comida,Mostrar original,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,0.0,,,,,
1775661897-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d795373-Reviews-Trattoria_Pulcinella-Madrid.html,,,,,,,,Leer ahora,"Una guía rápida de la icónica arquitectura de Barcelona, desde el gótico hasta Gaudí",Una breve guía de edificios espectaculares y desconocidos de toda la ciudad,,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/d2/a1/a2/caption.jpg?w=400&h=400&s=1&cx=1920&cy=1080&chk=v1_993097a60a1874ac7c49,,,,
1775661897-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d795373-Reviews-Trattoria_Pulcinella-Madrid.html,Volveré seguro,Marian,"Todo mas que perfecto, atencion del personal y la comida de lujo,  ha sido una experiencia súper grata. Hacía mucho que no iba y volveré seguro!",5 contribuciones,Escrita el 6 de julio de 2025,5 contribuciones,5.0,,,,Calidad/precio,Ambiente,Servicio,Comida,,"Que vayan, les gustará",,,,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/63/3f/bf/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1,,
1775661897-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d795373-Reviews-Trattoria_Pulcinella-Madrid.html,Es tan bueno como visitar Italia.,Rasi W.,"Sentí que tuvimos suerte de haber visitado Italia y España en las mismas vacaciones o que geográficamente sólo visitamos España. Así de buena estaba la comida en este lugar. Éramos una familia de cuatro y mi esposa y yo pedimos pasta tradicional. Pedí los tagliatelle a la boloñesa, que estaban absolutamente increíbles, y mi esposa pidió la pasta con trufa, que estaba igual de increíble. Mis hijos no encontraron una pasta que les gustara en el menú, y entonces, de repente, preguntaron si podían pedir un Caccio de Pepe, y el restaurante les entregó la mejor versión de este plato que jamás haya probado. En general, la experiencia fue cinco estrellas fácil. Si alguna vez estoy en Madrid, me aseguraré de visitar este restaurante nuevamente.",39 contribuciones,Escrita el 4 de julio de 2025,"Houston, Texas",39.0,,,,,,,,Mostrar original,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/37/0d/72/rwickra.jpg?w=100&h=-1&s=1,,
1775661897-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d795373-Reviews-Trattoria_Pulcinella-Madrid.html,Celebrando mi cumpleaños ❤️,yasney g,"Hice una reserva para celebrar mi cumpleaños, la verdad la experiencia ha sido increíble, fuimos atendidos por José, muy atento, la verdad excelente servicio, ambiente, nos ha encantado. Sin duda repetiremos❤️",5 contribuciones,Escrita el 20 de junio de 2025,5 contribuciones,5.0,,,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/38/bd/75/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/60/default-avatar-2020-64.jpg?w=100&h=-1&s=1,,
1775661897-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d795373-Reviews-Trattoria_Pulcinella-Madrid.html,Compartir en familia,Jesmiary M,"Estupendo servicio sobre todo la atención del metre José muy buena la comida todo bien 🥰🥰🥰🥰 
El tiempo de la comida bien 
La atención muy buena 
El ambiente bonito 
Recomendado",2 contribuciones,Escrita el 19 de junio de 2025,2 contribuciones,2.0,,,,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/37/ac/91/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,,
