web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,image,data18,data19,image2,data4
1775577256-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Riquisimo,Sagar R,Probamos por primera vez la comida india en madrid y todo riquisimo y autentico. Las camareras son encantadores. Restaurante muy limpio,1 contribución,1.0,Escrita el 7 de agosto de 2024,1 contribución,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/79/default-avatar-2020-21.jpg?w=100&h=-1&s=1,,,,
1775577256-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Butter chicken🤤,Bhandari C,Butter chicken y nan riquisimo. Ya es la tercera vez que vuelvo para comer lo mismo. Además las camareras son muy amables.,1 contribución,1.0,Escrita el 31 de julio de 2024,"Estambul, Turquía",,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/4a/default-avatar-2020-42.jpg?w=100&h=-1&s=1,,,,
1775577256-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Genial.,Neupane P,"Gran lugar, buena comida y gran personal Recomiendo encarecidamente este lugar con la familia y amigos Absolutamente volveré",46 contribuciones,46.0,Escrita el 20 de julio de 2024,"Abu Dabi, Emiratos Árabes Unidos",Mostrar original,,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/c4/7c/e1/637premn.jpg?w=100&h=-1&s=1,,,,
1775577256-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Muy Bueno.,Dan,Excelente trato y buenísima comida. Fuimos el que está por la calle General que es de la misma familia. Genial. Must Go Place!,23 contribuciones,23.0,Escrita el 11 de julio de 2024,23 contribuciones,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1,,,,
1775577256-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Servicio rápido,Aryan S,"Servicio muy rápido 
Las camareras son atentas y amables 
Pedimos queso biryani naan y cebolla y viene muy rápido Volveré",1 contribución,1.0,Escrita el 9 de julio de 2024,1 contribución,Mostrar original,,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg?w=100&h=-1&s=1,,,,
1775577256-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Ambiente agradable,Mobile18996617064,Volveremos nos encantó Probamos toda la comida en vegetarianos y sale muy bien El personal es amable y el servicio r amable n,1 contribución,1.0,Escrita el 9 de julio de 2024,1 contribución,Mostrar original,,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,
1775577256-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Muy bueno,Harsh B,"Comida rica, servicio impecable. Probamos comida india por primera vez y todo estaba muy rico y picaba jisto lo necesario.",1 contribución,1.0,Escrita el 8 de junio de 2024,1 contribución,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1,,,,
1775577256-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Todo Bueno,Getaway45224708820,"Buena comida, bueb ambience Buena gente. Comida fresca y autentica. Recomendamos 201% y volveremos muchas mas veces.",1 contribución,1.0,Escrita el 8 de junio de 2024,1 contribución,,Calidad/precio,Ambiente,Servicio,Comida,Nice Service &Food Quality 👍✨✨,,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg?w=100&h=-1&s=1,,,,
1775577256-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Hindú - nepalí perfecto,Jander Klander,"Nunca defrauda. Cuando quieras comer en un hindú de verdad, ve a éste.

Detecto que han subido un poco el precio de los platos, pero es que antes eran muy baratos y desde que abrieron el coste de los productos ha subido.

La atención siempre perfecta.",107 contribuciones,107.0,Escrita el 3 de mayo de 2024,"Madrid, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/21/03/6c/jepajo.jpg?w=100&h=-1&s=1,,,,
1775577256-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,todo riquisimo,Manoj P,comida nepali muy rica y servicio muy amable y atento. Recomiendo tika masala y arroz dulce y nan con queso . riquisimo todo,1 contribución,1.0,Escrita el 16 de marzo de 2024,1 contribución,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg?w=100&h=-1&s=1,,,,
