web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,image,image2,data17,image3
1775662461-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d12442637-Reviews-Oven_Mozzarella_Atocha-Madrid.html,Una experiencia maravilla,Patricia L,"Nos atendieron de maravilla, tanto el recibimiento como la comida. Estaba todo muy bueno, la pizza es una maravilla, no es pesada. Los camareros muy agradables y simpáticos. Sin duda cuando vuelva a Madrid volveré para probar otros platos",1 contribución,1.0,Escrita el 22 de diciembre de 2024,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/79/default-avatar-2020-21.jpg?w=100&h=-1&s=1,,
1775662461-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d12442637-Reviews-Oven_Mozzarella_Atocha-Madrid.html,Comida de Navidad,Alicia L,Muy buen servicio y muchas facilidades a pesar de ir acompañados por 11 niños pequeños. La atención de Andrea fue excelente. Un sitio para volver.,1 contribución,1.0,Escrita el 22 de diciembre de 2024,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg?w=100&h=-1&s=1,,
1775662461-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d12442637-Reviews-Oven_Mozzarella_Atocha-Madrid.html,Kzenia la mejor,anahi s,"Kzenia nos ha dado un servicio genial, muy servicial y muy maja, atenta como la que más de que no nos faltara nada  
Una camarera de 10, repetiríamos otra vez sin dudarlo,",1 contribución,1.0,Escrita el 22 de diciembre de 2024,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg?w=100&h=-1&s=1,,
1775662461-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d12442637-Reviews-Oven_Mozzarella_Atocha-Madrid.html,Riquísimo,Jorge A,Muy profesionales. Una comida excelente y un trato excepcional por parte de Yileng. Bravo por todos. Son los mejores. Qué satisfacción.,1 contribución,1.0,Escrita el 21 de diciembre de 2024,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/9f/default-avatar-2020-16.jpg?w=100&h=-1&s=1,,
1775662461-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d12442637-Reviews-Oven_Mozzarella_Atocha-Madrid.html,Recomendadísimo,Patricia M,"Muy buena experiencia, Kimberly, quién nos atendió, resultó ser muy agradable y atenta. La comida perfecta, buena cantidad y muy rica. Repetiremos seguro.",1 contribución,1.0,Escrita el 21 de diciembre de 2024,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/62/b8/8f/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,,
1775662461-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d12442637-Reviews-Oven_Mozzarella_Atocha-Madrid.html,Cita con una misma,Pau S,"Me atendieron Darío y Kimberly, muy buena la atención y el trato. Me pedí mi plato favorito Papardelle Trufa y volvería a repetir sin duda. Muchas gracias!",2 contribuciones,2.0,Escrita el 19 de diciembre de 2024,2 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,
1775662461-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d12442637-Reviews-Oven_Mozzarella_Atocha-Madrid.html,Ideal para noche en Madrid,Enrique C,"Increíble restaurante y buenos precios. Tiempo de espera rápido, ideal para una noche en Madrid. Excelente servicio de Yileng.",1 contribución,1.0,Escrita el 15 de diciembre de 2024,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1,,
1775662461-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d12442637-Reviews-Oven_Mozzarella_Atocha-Madrid.html,Encantador,Zoe I,Atención y servicio increíble de Kzenia. La comida deliciosa. Totalmente recomendado. El ambiente muy ameno. La zona es súper también,9 contribuciones,9.0,Escrita el 12 de diciembre de 2024,9 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,
1775662461-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d12442637-Reviews-Oven_Mozzarella_Atocha-Madrid.html,"Un italiano más, sin nada destacable",Cucha0568,"Local normalito, para empezar pedí una clara con gaseosa, especifique 3 veces lo de la gaseosa, y efectivamente, me trajeron limón. Los paltos bien de cantidad, no encontré nada original con respecto a los miles de italianos en los que he estado. Precio unos 25 euros por barba, sin postre. Un entrante y 3 platos principales. Cené con mis hijos allí porque estaba enfrente de mi hotel. Uno de ás de muchos
Está bien que en la carta viene la foro del plato  para hacerse una idea",502 contribuciones,502.0,Escrita el 4 de diciembre de 2024,"Vigo, España",Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/45/e0/72/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1,,
1775662461-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d12442637-Reviews-Oven_Mozzarella_Atocha-Madrid.html,"Lentisimos en cogernos nota, la comida sin mas",O M,"Lentísimos y muy mal organizados, la comida sin mas. 
Una vez nos atendieron, la comida vino rapidísimo, hasta demasiado rapido, precocinada. Pero las cervezas tardaron una eternidad.",3 contribuciones,3.0,Escrita el 1 de diciembre de 2024,3 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,
