web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,image,image2,data12,data13,data14,image3,data15,data16,data17,data18
1775662138-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d9455140-Reviews-Mu_El_Placer_De_La_Carne-Madrid.html,Todo fenomenal,Iñaqui Romero Magarzo,"Gran atención y mejor género
Muy recomendable 
Buen ambiente, muy bien de precio
Estuvimos muy a gusto",5 contribuciones,5.0,Escrita el 9 de octubre de 2022,5 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,,,,,,,,
1775662138-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d9455140-Reviews-Mu_El_Placer_De_La_Carne-Madrid.html,comida con amigos,Mara E,"sitio genial, comida riquisima, precio bueno y trato mejor aun, 100% recomendable
repitiremos proximamente!!!",2 contribuciones,2.0,Escrita el 7 de octubre de 2022,"Roma, Italia",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,,,,,,,,
1775662138-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d9455140-Reviews-Mu_El_Placer_De_La_Carne-Madrid.html,Menú diario con muy buena comida,Carlos,"Hemos comido hoy en este restaurante.
La comida del menú era estupenda y el precio 14,95€ insuperable.
La carne en el punto que cada uno la pidió.
Reseñar también la amabilidad de los empleados.
Si pasan por el barrio de las letras un sitio muy recomendable, nosotros seguro que repetimos",16 contribuciones,16.0,Escrita el 6 de octubre de 2022,"Ávila, España",,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/5b/fa/5f/helado.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,,,,,,,,
1775662138-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d9455140-Reviews-Mu_El_Placer_De_La_Carne-Madrid.html,Nos gustó mucho!,Renata G,"Excelente servicio y comida. Los meseros muy atentos y la comida con un buen precio. Volvimos al día siguiente a comer otra vez, nos gustó mucho.",3 contribuciones,3.0,Escrita el 6 de octubre de 2022,"Playa del Carmen, México",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,,,,,,,,
1775662138-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d9455140-Reviews-Mu_El_Placer_De_La_Carne-Madrid.html,comida y servicio de primera,Ely R,"Buenisima la atencion y la comida espectacular, la carne con tremendo sabor y los precios muy buenos!!! recomendado 100%!!!!!",2 contribuciones,2.0,Escrita el 5 de octubre de 2022,2 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/55/fb/ef/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,,,,,,,,
1775662138-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d9455140-Reviews-Mu_El_Placer_De_La_Carne-Madrid.html,Recomendado,gaby c,"Nos gusto mucho la cómida y la atención fue muy buena con el señor Chinchillla, con gusto volveríamos .",2 contribuciones,2.0,Escrita el 1 de octubre de 2022,2 contribuciones,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,,,,,,,,
1775662138-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d9455140-Reviews-Mu_El_Placer_De_La_Carne-Madrid.html,Lo mejor es la atención,María Antonieta G,La comida es deliciosa y la carne es lo mejor. Cada vez que venimos la pasamos muy bien y disfrutamos de esta cocina que no te deja mal nunca. Hay que venir y probar.,2 contribuciones,2.0,Escrita el 1 de octubre de 2022,2 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/3e/94/0a/mu-el-placer-de-la-carne.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,,,,,,,,
1775662138-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d9455140-Reviews-Mu_El_Placer_De_La_Carne-Madrid.html,Es que Diosss,Veronica Teresa G,5 estrellas queda corto con lo BUENO Y DIVINO de ese sitio. Quedas maravillado! Los felicito muchísimo 👏🏻,2 contribuciones,2.0,Escrita el 1 de octubre de 2022,"Madrid, España",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg?w=100&h=-1&s=1,,,,,,,,
1775662138-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d9455140-Reviews-Mu_El_Placer_De_La_Carne-Madrid.html,Excelente comida y atención.,José Antonio,"Encantados con el lugar, su atención y comida son excelentes. La carne estaba en su punto. Muchas gracias",2 contribuciones,2.0,Escrita el 1 de octubre de 2022,"Madrid, España",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/a3/default-avatar-2020-38.jpg?w=100&h=-1&s=1,,,,,,,,
1775662138-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d9455140-Reviews-Mu_El_Placer_De_La_Carne-Madrid.html,Postre insuperable,David M,"Muy buena calidad precio. Pero sin duda lo
Mejor fue el postre, espectacular, además el trato del personal fue de 10. Las carnes normalitas pero sin duda para repetir",1109 contribuciones,1109.0,Escrita el 23 de septiembre de 2022,"Murcia, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/13/47/90/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/c8/ab/65/caption.jpg?w=100&h=-1&s=1,,,,,,,,
