web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,image,image2,image3,image4,data20,data21,data22,data23,data24,data25
1775661679-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,Muy buena experoencia,Georgeli R,La comida la tuvimos dentro del restaurant fue una experiencia muy grata la comida y el personal muy amable. Luego fuimos a la terraza a tomar algo e igual camareros muy amables y atentos.,4 contribuciones,4.0,Escrita el 9 de abril de 2023,"Hola ge0rgelir, muchas gracias por dejarnos su reseña. Nos alegra saber que nuestra comida y servicio estuvieron a la altura de sus estándares.  ¡Esperamos que vuelva a visitarnos en otra oportunidad!",4 contribuciones,Restaurante DCorazon,Escrita el 25 de julio de 2023,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/c3/b9/1a/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/c3/b9/19/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/7a/default-avatar-2020-25.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/e1/57/00/restaurantedcorazon.jpg?w=100&h=-1&s=1,,,,,,
1775661679-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,"Buena terraza, buena comida y buen trato",sdmm,Sitio centrico...terraza en la plaza mayor...tapas típicas y buenas...y especial atención del camarero el cubano...,17 contribuciones,17.0,Escrita el 1 de abril de 2023,"Hola Sebasviajero74, muchas gracias por dejarnos su reseña. Esperamos verle pronto!","Cehegín, España",Restaurante DCorazon,Escrita el 26 de julio de 2023,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,Leer más,,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/4a/default-avatar-2020-42.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/e1/57/00/restaurantedcorazon.jpg?w=100&h=-1&s=1,,,,,,
1775661679-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,No repetiremos.,Ana 1,No fue lo que esperamos. Dos de los platos estaban fríos y el rebozado de pollo no le gustó a la niña. No creo que repitamos. Ubicación buena y sitio bonito.,22 contribuciones,22.0,Escrita el 19 de marzo de 2023,,"Mallorca, España",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/aa/ad/dc/ana-1.jpg?w=100&h=-1&s=1,,,,,,,
1775661679-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,Estamos contentos,Antonio P,Muy rica comida y el servicio estuvo excelente muy pero muy recomendado la verdad espero regresar my pronto,3 contribuciones,3.0,Escrita el 16 de marzo de 2023,"Hola antoniopJ5620HX, muchas gracias por dejarnos su reseña y recomendación. Nos alegra saber que disfrutó de su visita. ¡Esperamos verle pronto!",Cuba,Restaurante DCorazon,Escrita el 25 de julio de 2023,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,Leer más,,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/79/default-avatar-2020-21.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/e1/57/00/restaurantedcorazon.jpg?w=100&h=-1&s=1,,,,,,
1775661679-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,Excelente,Saray G,El restaurante es muy acogedor y céntrico. La comida deliciosa con muy buena calidad precio. La atención del personal excelente.,6 contribuciones,6.0,Escrita el 5 de marzo de 2023,"Hola 650sarayg, muchas gracias por tomarse el tiempo de dejarnos su reseña. Nos alegra saber que tuvo una buena experiencia durante su visita. ¡Esperamos verle pronto!","Fuenlabrada, España",Restaurante DCorazon,Escrita el 25 de julio de 2023,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,Leer más,,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/e1/57/00/restaurantedcorazon.jpg?w=100&h=-1&s=1,,,,,,
1775661679-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,Comer bien en un sótano de la plaza Mayor,GerardoBP,"Sitio muy atractivo en plena plaza Mayor, bajando numerosos escalones a un sótano abovedado y compartimentado, de ladrillo visto.
Buena relación calidad precio, buena atención y buena cocina. Muy buenas las alcachofas, el tártaro de salmón y las costillas asadas.",699 contribuciones,699.0,Escrita el 5 de marzo de 2023,,"Madrid, España",,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/63/0f/d8/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/63/0f/d7/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,,,,,
1775661679-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,Estupendo.,Mikel,"Estupenda opción en el centro de Madrid. Muy amables, todo muy rico y la atención del personal estupenda.
Para repetir",1 contribución,1.0,Escrita el 18 de febrero de 2023,,"Amorebieta, España",,,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/99/default-avatar-2020-40.jpg?w=100&h=-1&s=1,,,,,,,
1775661679-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,Excelente experiencia,aldo,Excelente lugar y atención de primera. La carta es muy variada y estar en la Plaza Mayor no tiene pierde. Super recomendable!,6 contribuciones,6.0,Escrita el 12 de febrero de 2023,,6 contribuciones,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,,,,,,,
1775661679-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,excelente atención del cubano,Prado I,"hermosa tarde en madrid, en plaza mayor entre tragos y tapas. Atención diferencial del cubano el mejor de toda la atención al público del bar",2 contribuciones,2.0,Escrita el 11 de febrero de 2023,,2 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/27/50/ca/restaurante-dcorazon.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,,,,,,,
1775661679-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,Inmejorable,Nandy M,Mesa 26… se la acaba de inventar para que pueda disfrutar del sol. Siempre me busca un hueco aunque estén a tope. Eres muy grande Yamil.,5 contribuciones,5.0,Escrita el 11 de febrero de 2023,,5 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/27/23/b0/restaurante-dcorazon.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,,,,,,
