web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,image,image2,image3,data24
1775659968-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,Alitas,Adventure814262,Diana una camarera muy atenta. La comida estubo muy buena. Las alitas al borbon de las mejores que he probado. Local muy bonito,1 contribución,1.0,"Igualada, España",Escrita el 24 de mayo de 2025,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,,,,,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,
1775659968-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,,,,,,,,Explora ahora,Descubre Marruecos,Descubre por qué a los viajeros como tú les encanta Marruecos,,Patrocinado por Morocco,Este contenido está patrocinado por Morocco. Ves este anuncio porque su contenido es similar a contenido que tú has mirado antes. Puede que el patrocinador haya pagado para promocionar contenido en Tripadvisor.,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/fb/25/a5/caption.jpg?w=400&h=400&s=1,,,
1775659968-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,Buena comida,Hazelcrawley,"El ambiente era bueno, la hamburguesa era realmente excelente, pero las patatas asadas se sirven casi frías y son más patatas hervidas que patatas asadas. Esto podría ser algo español, así que no marcarlos para eso. La galleta horneada, sin embargo, debería haber estado caliente / caliente y se sirvió casi frío, lo que fue decepcionante. Sin embargo, Sebastian nuestro servidor era fantástico y yo le daría 5 / 5!",44 contribuciones,44.0,"Cambridge, England, United Kingdom",Escrita el 23 de mayo de 2025,,,,,,,Mostrar original,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg?w=100&h=-1&s=1,
1775659968-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,Arriba el steakburguer,Raul M,"Diana fue muy simpática, experiencia de 10. 
Recomiendo el pollo y todas las hamburguesas.
Espero que le llegue a los jefes.",1 contribución,1.0,1 contribución,Escrita el 23 de mayo de 2025,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,,,,,Leer más,1.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,
1775659968-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,Cena contundente,Melany O,"Me han gustado bastante las opciones que había, ya que tienen una gran variedad. La atención estuvo 10/10 sobre todo de parte de Tomás, Diana… 
La comida estaba muy buena y sirven bastante bien",1 contribución,1.0,1 contribución,Escrita el 22 de mayo de 2025,,,,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/ef/e6/21/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,
1775659968-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,Opinión,rocio m,"Todo genial, comida buena, calidad-precio. Y Sebastián nos dio buen servicio, atento y servicial.
Todo genial! Nos ha gustado y seguro que repetiremos",1 contribución,1.0,1 contribución,Escrita el 17 de mayo de 2025,,,,,,,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/e4/97/eb/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1,
1775659968-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,Increíble la comida!,Laura C,"La comida exquisita, y la atención de Sebastián increíble! 100%  recomendado! El pollo al corral que me pedí, divino…..",1 contribución,1.0,1 contribución,Escrita el 22 de abril de 2025,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,,,,,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg?w=100&h=-1&s=1,
1775659968-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,,,,,,,,Explora ahora,Descubre Hiroshima,Descubre por qué a los viajeros como tú les encanta Hiroshima,,Patrocinado por Hiroshima Tourism(HIT),Este contenido está patrocinado por Hiroshima Tourism(HIT). Ves este anuncio porque su contenido es similar a contenido que tú has mirado antes. Puede que el patrocinador haya pagado para promocionar contenido en Tripadvisor.,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/a4/aa/02/caption.jpg?w=400&h=400&s=1,,,
1775659968-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,Gran ambiente de comida anad,Bosko Vitorovic,Tuvimos una cena rápida después de nuestro vuelo. Solo con hambre y sin expectativas pero Nachos donde realmente agradable y original hamburguesa de carne excelente.,99 contribuciones,99.0,"Belgrado, Serbia",Escrita el 17 de marzo de 2025,,,,,,,Mostrar original,,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/60/5d/f6/caption.jpg?w=300&h=300&s=1,,
1775659968-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,"Excelente ubicación, subterráneo",dax j,"Vinimos aquí debido a las grandes críticas

No tuvimos reserva el jueves por la noche justo antes de las 8 

Nos recibieron en las escaleras cuando estábamos entrando y nos dijeron realmente en este momento que era solo reservas, persistimos, solo estamos aquí 30 minutos dijimos - que generalmente es cierto para nosotros 

Nos dejaron entrar, un poco a regañadientes, el lugar ni siquiera estaba medio lleno, menos que eso cuando nos fuimos

¿No estaba seguro de cuál era el problema, querían que el lugar estuviera vacío? ¿Supongo que alguien más que apareció sin reserva fue rechazado? 

Las hamburguesas estaban bien, pero no increíble, el vino Nubori era muy bueno, patatas fritas genial 

El precio de la hamburguesa en el menú es para la versión pequeña, también hay mediana y grande, pequeña era suficiente para nosotros 

Pedimos que nos cocinaran medio, pero eran más raros de lo que nos hubiera gustado, así que lo habría hecho bien la próxima vez 

En general, una experiencia bastante confusa, encontramos otros lugares de hamburguesas Steakhouse que probaríamos antes de volver a este",363 contribuciones,363.0,nowhere,Escrita el 27 de febrero de 2025,,,,,,,Mostrar original,Calidad/precio,Ambiente,Servicio,Comida,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/c7/4e/ad/dax-a.jpg?w=100&h=-1&s=1,
