web_scraper_order,web_scraper_start_url,data,data2,data3,data4,position,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,image,image2,image3,image4,position2
1775470212-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d7204621-Reviews-Rosi_La_Loca-Madrid.html,100% recomendable,espi1977,El mejor sitio donde comimos donde lo pasamos mejor y donde el servicio y sitio insuperable 100% recomendado todo perfecto,5 contribuciones,5.0,Escrita el 31 de diciembre de 2025,,,,dic 2025 • Parejas,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,
1775470212-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d7204621-Reviews-Rosi_La_Loca-Madrid.html,,,,,,,Leer ahora,El mejor itinerario de 7 días en París,"Si no tienes claro cuántos días pasar en París, estar una semana completa es un acierto seguro. Especialmente si es tu primera visita a la ciudad, en siete días tendrás tiempo de sobra para ver las principales atracciones (sobre todo porque algunas de las principales atracciones y museos están cerrados los lunes y los martes), visitar las joyas ocultas e incluso hacer un par de excursiones de un día. Este itinerario de 7 días en París combina todo eso y consiste en visitar un distrito parisino cada día.",,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/7e/92/24/caption.jpg?w=400&h=400&s=1&cx=600&cy=400&chk=v1_c4d1724f670f6515c52d,,,,
1775470212-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d7204621-Reviews-Rosi_La_Loca-Madrid.html,EXPOSICIÓN DE COMIDA,Lisa B,"Realmente hermoso y divertido con hermosos platos coloridos. 
De verdad Dive.
 Los camareros eran amables y vestían según el tema. 
muy buenos platos .",1 contribución,1.0,Escrita el 29 de diciembre de 2025,,,,dic 2025 • En familia,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,
1775470212-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d7204621-Reviews-Rosi_La_Loca-Madrid.html,Volvería 1000 veces a este lugar,Sthid G,Maravilloso lugar suprema mente recomendado. La comida es de otro planeta es muy muy buena y la atención es perfecta. Fui con mi familia y quedamos más que satisfechos.,1 contribución,1.0,Escrita el 29 de diciembre de 2025,,,,dic 2025 • En familia,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,
1775470212-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d7204621-Reviews-Rosi_La_Loca-Madrid.html,Diversión,Valeria M,Cristina nos ha atenido do muy bien un trato genial la comida está muy buena para repetir muchas veces más han sido muy pacientes y Lulu mucho tambien,1 contribución,1.0,Escrita el 29 de diciembre de 2025,,,,dic 2025 • En familia,Calidad/precio,Ambiente,Servicio,Comida,Muy buen precio,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,,,,
1775470212-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d7204621-Reviews-Rosi_La_Loca-Madrid.html,Para volver!!,Scenic14937113879,"El lugar cumplió con todas nuestras expectativas!! El atendimiento por parte de Cristina, espectacular, y la comida, buenísima",4 contribuciones,4.0,Escrita el 29 de diciembre de 2025,,,,dic 2025 • En familia,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/15/9b/1c/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/15/9b/1d/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,
1775470212-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d7204621-Reviews-Rosi_La_Loca-Madrid.html,Me ha encantado 😃,Lorena C,Todo genial! Me ha encantado y sobre todo la atención de Edwing! Nos atendió de 10 . Volvería con los ojos cerrados.❤️ Gracias.,1 contribución,1.0,Escrita el 28 de diciembre de 2025,,,,dic 2025 • Parejas,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,
1775470212-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d7204621-Reviews-Rosi_La_Loca-Madrid.html,,,,,,,Leer ahora,15 impresionantes piscinas infinitas en todo el mundo que merece la pena ir a ver,¿Hay algo mejor que nadar y tomar el sol en la piscina de tu hotel? Relájate en una increíble piscina infinita con vistas mimetizada a la perfección con el entorno y el cielo.,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/d2/f1/b5/caption.jpg?w=400&h=400&s=1&cx=1200&cy=900&chk=v1_1cd4aa988e385032fb72,,,,
1775470212-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d7204621-Reviews-Rosi_La_Loca-Madrid.html,Excelente!!!,lorea e,Por parte de Moises muy bien atendidos muy a gusto!! Excelente!!! Muy acogedor el comedor. La comida muy buena y un gusto muy bueno mezcla de sabores!,1 contribución,1.0,Escrita el 27 de diciembre de 2025,,,,dic 2025 • En familia,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/9f/default-avatar-2020-16.jpg?w=100&h=-1&s=1,
1775470212-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d7204621-Reviews-Rosi_La_Loca-Madrid.html,Un lugar que merece la pena,Nuria V,El local la comida y el ambiente genial. Nuestro camarero Moisés muy dispuesto a que nuestra experiencia fuese perfecta,2 contribuciones,2.0,Escrita el 26 de diciembre de 2025,,,,dic 2025 • En familia,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,
