web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,image,image2,image3,image4,data19
1775662739-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Para bebidas y postres no te molestes,Margarita W,"Desafortunadamente, no podemos decir cómo estaba la comida. Estábamos sentados y cuando la camarera se enteró de que solo queríamos bebidas y postre dijo que no podíamos sentarnos a la mesa. Ya que el restaurante tenía un montón de ya vacío fue bastante sorprendente. Optamos por levantarnos y marcharnos en lugar de sentarnos en el mostrador, que también estaba vacío...",1 contribución,1.0,Escrita el 21 de abril de 2025,1 contribución,Servicio,Mostrar original,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1,,,
1775662739-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Excelente,Lester Aarón C,"Especial para comer en familia y amigos, platillos deliciosos y bebidas muy ricas, recomiendo mucho las pastas y pizzas.",1 contribución,1.0,Escrita el 18 de abril de 2025,1 contribución,Calidad/precio,,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/a2/38/3f/caption.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,
1775662739-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Un desastre,packliteFl0rida,"Camarera no servicial. Debe escanear un código QR para ver el menú. Tuvimos muy poco servicio celular, por lo que no podíamos ver menú. Nunca nos ofreció una copia impresa. Restaurante vacío. Nos levantamos y nos fuimos. No puedo recomendar solo decir que no dejes que esta sea tu experiencia.",126 contribuciones,126.0,Escrita el 17 de abril de 2025,"Gainesville, Florida",,Mostrar original,,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/03/0e/50/81/packlitefl0rida.jpg?w=100&h=-1&s=1,,,
1775662739-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Fenomenal,Poeka,"Realmente fantástico. Buen servicio, comida y precio. Gracias Mayra por tu atención. Cuando volvamos a Madrid, repetimos",40 contribuciones,40.0,Escrita el 13 de abril de 2025,"Segovia, España",,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/97/8f/4d/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/4b/90/71/caption.jpg?w=100&h=-1&s=1,,,
1775662739-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Buena comida,lauren t,El servicio fue excelente. Tenemos la ensalada de cesar y la burrata focaccia para empezar y luego pasta para nuestro principal. Todo estaba delicioso. Sus martinis expresos también son buenos. Tampoco hace falta esperar ni reservar para nosotros : ),1 contribución,1.0,Escrita el 9 de abril de 2025,1 contribución,Calidad/precio,Mostrar original,Ambiente,Servicio,Comida,,,Traducido automáticamente,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/90/2d/b0/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,,
1775662739-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Mal servicio,Raquel A,"Servicio horrible
Muchas mesas, muchos camareros pero al final.... servicio deficiente,
Tienes que escanearte la carta antes de entrar porque no disponen de la carta en soporte papel. Si no te la descargas antes de bajar al restaurante, tienes que volver a subir para escaneártela. Abajo no hay nada de cobertura.
Gracias a que la comida estaba rica, eso si. 
Platos vacíos que se nos amontanaban en la mesa y que no quitaban. 
Se nos juntaron las cervezas del principio que pedimos mientras leíamos la carta con el vino que pedimos para comer. Al final la cerveza de un trago.",22 contribuciones,22.0,Escrita el 7 de abril de 2025,"Madrid, España",Calidad/precio,,Ambiente,Servicio,Comida,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,,,
1775662739-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Una vergüenza,Diego V,"Una decepción , ofrecen un 15% de descuento , puse todos los datos que solicitaban y cuando fui a pagar no “les coincidía “ el mail y por lo tanto no me hicieron el descuento , nunca más volveré mucho más cuando hay infinidades de restaurantes  en Madrid con mejores platos y precios",269 contribuciones,269.0,Escrita el 3 de abril de 2025,"Mendoza, Argentina",Calidad/precio,,Ambiente,Servicio,Comida,Tienen muchos restaurantes mucho más baratos y con excelente comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg?w=100&h=-1&s=1,,,
1775662739-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Italiano sencillo en Niza Ambiente,BJAATL,"Comida sólida a buen precio. En una zona turística pero llena de lugareños. ¡Grandes ensaladas y pizzas! Limondada era bueno como nosotros, k",1911 contribuciones,1911.0,Escrita el 1 de abril de 2025,"Atlanta, Georgia",,Mostrar original,,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/c5/d6/c5/brad-a.jpg?w=100&h=-1&s=1,,,
1775662739-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Bastante promedio,Bernard W,"Desde baños sin papel, comida demasiado cocinada y personal que realmente no le importaba y me dejó pensando que no querían estar allí, he tenido un mejor servicio en McDonalds",2 contribuciones,2.0,Escrita el 30 de marzo de 2025,2 contribuciones,,Mostrar original,,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,,,
1775662739-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Comida espectacular,Marta M,"La comida está increíble. Pedimos una pizza, la lasaña y el pan de ajo . Espectacular todo.  El sitio está chulo, el servicio quizá lo más flojillo",38 contribuciones,38.0,Escrita el 25 de marzo de 2025,"Alcobendas, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,
