web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,position,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,image,image2,data19,image3,data20,data21,data22,data23,data24
1775472540-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d8735932-Reviews-Oven_Mozzarella_Gran_Via_6-Madrid.html,Me encantó.,STUDIO A,"Vinimos aquí por capricho con mi novio (somos de Nueva York) estábamos buscando el almuerzo y resultó ser solo 600 pies de distancia de nosotros - también tenía calificaciones más altas que muchas de las otras opciones cercanas ... y no decepcionó! El restaurante es precioso por dentro y por fuera, ambiente muy lujoso aunque estábamos vestidos súper casual (nos aseguraron que no era un problema). El servicio era excepcional, la comida llegó rápido, y la presentación era digna de instagram. Tanto nuestras comidas y aperitivo eran deliciosos. Pedimos cada uno platos de pasta, cappucinos, refrescos, y un aperitivo para compartir, la factura salió a 50 €. Frecuentamos Madrid y sin duda volveremos aquí!",1 contribución,Escrita el 26 de agosto de 2024,1 contribución,1.0,Mostrar original,,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/45/1b/8c/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,,,,,,,
1775472540-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d8735932-Reviews-Oven_Mozzarella_Gran_Via_6-Madrid.html,"Insípido, aburrido - ir a otro lugar por favor",Newberg,"Servicio insípido, mediocre y cerveza rancia que sabía a celda de prisión medieval. Tampoco puedo creer ni por un segundo que los alimentos no solo se recalentaran del congelador. 

Fuimos aquí para comer después de ver todas esas críticas. Creo que esas críticas de 5 estrellas son bots y pagados, porque no hay manera de que este lugar se lo merezca.",11 contribuciones,Escrita el 29 de julio de 2024,"Oslo, Noruega",11.0,Mostrar original,,,,,,Traducido automáticamente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/0a/04/d2/caption.jpg?w=100&h=-1&s=1,,,,,,,
1775472540-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d8735932-Reviews-Oven_Mozzarella_Gran_Via_6-Madrid.html,Buena comida y atencion 10/10,Ro R,Arturo nos atendio muy amablemente y a pesar de lo lleno que estaba el restaurante estuvo atento a nosotras. La comida siquisima y la limonada de fresa super refrescante!!,1 contribución,Escrita el 23 de julio de 2024,1 contribución,1.0,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/ee/f1/d1/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,,,
1775472540-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d8735932-Reviews-Oven_Mozzarella_Gran_Via_6-Madrid.html,Atención del personal,Explore585428,"La comida está genial. Yo me he pedí la proscuito y estaba riquísima. La atención del personal es excepcional, y Arturo nos ha aconsejado muy bien a la hora de realizar el pedido.",1 contribución,Escrita el 23 de julio de 2024,1 contribución,1.0,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/a3/default-avatar-2020-38.jpg?w=100&h=-1&s=1,,,,,,,
1775472540-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d8735932-Reviews-Oven_Mozzarella_Gran_Via_6-Madrid.html,Excelente,Culture08031279099,"Excelente comida, muy buen y la atencion del personal muy bueno siempre atentos y respetuosos, la comida salió rápido y abundante",1 contribución,Escrita el 20 de julio de 2024,1 contribución,1.0,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/de/c7/d1/caption.jpg?w=300&h=300&s=1,,,,,,,,
1775472540-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d8735932-Reviews-Oven_Mozzarella_Gran_Via_6-Madrid.html,Gran restaurante de pasta y pizza,Diana S,"Este lugar es imprescindible para ir si quieres conseguir una buena pasta o pizza y el servicio también era muy bueno, lo recomiendo encarecidamente, interior muy bonito 😊",3 contribuciones,Escrita el 20 de julio de 2024,Islandia,3.0,Mostrar original,,,,,,Traducido automáticamente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/4a/default-avatar-2020-42.jpg?w=100&h=-1&s=1,,,,,,,
1775472540-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d8735932-Reviews-Oven_Mozzarella_Gran_Via_6-Madrid.html,Normal,Josnel R,"Belkis, una maravilla, super atenta y buen servicio. En relación a la comida, me parece que puedes comer mejor en casa, es decir, nada del otro mundo, aunque no estaba mala esperaba mucho más.",1 contribución,Escrita el 19 de julio de 2024,1 contribución,1.0,,Calidad/precio,Ambiente,Servicio,Comida,Preguntar detalles de la carta y de donde vienen.,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1,,,,,,,
1775472540-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d8735932-Reviews-Oven_Mozzarella_Gran_Via_6-Madrid.html,Excelente experiencia!,Climber46921553422,"Un lugar muy acogedor y muy bien decorado, buen servicio, la comida muy rica y excelente las bebidas! Rico Café! 🙃 volveremos!",1 contribución,Escrita el 3 de julio de 2024,1 contribución,1.0,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/bc/8b/c9/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,,,,,
1775472540-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d8735932-Reviews-Oven_Mozzarella_Gran_Via_6-Madrid.html,Muy bueno.,Nibbles48,"Jessika muy bueno, la comida muy agradable, sin duda vendrá de nuevo la próxima vez que estemos en Madrid. Nos sentamos arriba que tenía menos ambiente que abajo.",9 contribuciones,Escrita el 18 de junio de 2024,UK,9.0,Mostrar original,,,,,,Traducido automáticamente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-f/01/2e/70/91/avatar017.jpg?w=100&h=-1&s=1,,,,,,,
1775472540-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d8735932-Reviews-Oven_Mozzarella_Gran_Via_6-Madrid.html,Buena comida,FarAway53267234751,"Excelente comida, Jesica nuestro camarero fue muy amable. 
La mejor pizza que comí en la última vez. Mi esposa tenía una gran pasta. ¡Volveremos pronto!",2 contribuciones,Escrita el 16 de junio de 2024,2 contribuciones,2.0,Mostrar original,,,,,,Traducido automáticamente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1,,,,,,,
