web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,position,data7,data8,data9,data10,data11,data12,data13,data14,data15,image,image2
1775661028-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d23748800-Reviews-Pizzart_Villa_Luchana-Madrid.html,Excelente,samantha A,"Toda una sorpresa, comida deliciosa y trato excelente. Nos encantaron las pizzas, toda la comida se notaba casera y fresca y el tiramisu estaba excelente. Repetiremos pronto.",1 contribución,Escrita el 9 de junio de 2024,1.0,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/84/68/82/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1
1775661028-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d23748800-Reviews-Pizzart_Villa_Luchana-Madrid.html,Muy top,María N,Fuimos a cenar mi amiga y yo y nos encanto el sitio y la comida estaba buenísima. Nos atendió Sonia y fue muy amable. Volveremos!,4 contribuciones,Escrita el 8 de junio de 2024,4.0,4 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg?w=100&h=-1&s=1
1775661028-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d23748800-Reviews-Pizzart_Villa_Luchana-Madrid.html,Muy bueno!!,Francesca Emma E,Muy buena experiencia! Comida súper rica! Muy aconsejado! Sobretodo el aperitivo con amigos :) El servicio optimo!!!,1 contribución,Escrita el 5 de junio de 2024,1.0,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1
1775661028-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d23748800-Reviews-Pizzart_Villa_Luchana-Madrid.html,"Excelente Comida, Servicio i Local",Sofia C,"Me ha encantado comer en el Pizzart Villa Luchana.

No me esperaba que una pizza Margarita pueda llegar a estar taaaaan buena. La masa, el QUESOooo dios. Luego de postre el Tiramisú bajado del cielo. Me ha encantado todo, las porciones, el trato, y los platos de mis primas tambien estaban super bien presentados y muy ricos. 

Nos ha atendido Paulín, que nos ha encantado, nos lo ha explicado super bien todo y nos ha resuelto las dudas que teniamos, todo com mucha amabilidad y profesionalidad. 

No he podido esperarme a poner esta reseña y se la he hecho en persona a los camareros y a la manager que también estaba alli. Todos super contentos, creo que les ha hecho el dia un poco mejor.

Recomiendo 100% (Pizza Margarita es un si o si)",1 contribución,Escrita el 31 de mayo de 2024,1.0,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/6f/4c/d2/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg?w=100&h=-1&s=1
1775661028-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d23748800-Reviews-Pizzart_Villa_Luchana-Madrid.html,La camarera nos atendió fenomenal,Footprints797555,Nos atendieron fenomenal y la cena estuvo deliciosa. El ambiente era genial y los camareros espectaculares. Vamos todo muy bien,1 contribución,Escrita el 25 de mayo de 2024,1.0,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,
1775661028-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d23748800-Reviews-Pizzart_Villa_Luchana-Madrid.html,Muy rica pizza y fantástico el helado de queso,Virginia C,"Muy buen servicio, pizza y foccacia excelentes. Probamos el helado de queso y realmente nos encantó! Al parecer fuimos las primeras en probarlo y de todas maneras vale la pena , muy rico",31 contribuciones,Escrita el 24 de mayo de 2024,31.0,31 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1
1775661028-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d23748800-Reviews-Pizzart_Villa_Luchana-Madrid.html,Calidad y trato genial,Natalia V,"La ubicación genial, la comida muy buena, pero el trato amable y profesional de la camarera Pauline, es lo que marcó la diferencia para querer repetir.",1 contribución,Escrita el 24 de mayo de 2024,1.0,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1
1775661028-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d23748800-Reviews-Pizzart_Villa_Luchana-Madrid.html,Buena comida y excelente atención,Juan J,"Aunque no destaque especialmente dentro de la infinidad de restaurantes italianos que hay en Madrid, todo está rico y no es caro. 

Al ser del grupo Con Fuego, es interesante registrarse para disfrutar de los descuentos que tienen todos los restaurantes de la cadena. 

Muy buena atención de Rosmary, que fue muy amable y nos aconsejó en todo momento respecto a la comida, además de ayudarnos a manejar el código de descuento para futuras ocasiones.",2 contribuciones,Escrita el 17 de mayo de 2024,2.0,2 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1
1775661028-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d23748800-Reviews-Pizzart_Villa_Luchana-Madrid.html,"Lo mejor, los empleados",PADDOCK PARADIS... R,"Con solo dos empleados en el restaurante (Rosmary en la sala y Sultán en la cocina), el servicio fue impecable y sin retraso, a pesar e de que el restaurante estaba completo. Muy buenos trabajadores que merecen lo mejor por parte de su empresa.",4 contribuciones,Escrita el 15 de mayo de 2024,4.0,"Ronda, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1
1775661028-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d23748800-Reviews-Pizzart_Villa_Luchana-Madrid.html,Comida espectacular,Jimmy Rodriguez,"La comida fue espectacular sobre todo la pizza Madonna.

La atención de la camarera Rosmery fue estupenda nos aconsejó muy bien recomendable 100 × 100",3 contribuciones,Escrita el 15 de mayo de 2024,3.0,3 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg?w=100&h=-1&s=1
