web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,position,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,image,image2,data26,image3,image4,image5
1775666216-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d7622713-Reviews-GastroVia_61-Madrid.html,"El sabor es delicioso, con un auténtico sabor madrileño.",Cruiser45566082156,"La comida es excepcional, con un exquisito sabor a Madrid. Esta es mi segunda visita, y sin duda, volveré. El servicio y la atención fueron impecables, especialmente gracias a José Luis, que proporcionó excelentes recomendaciones de vino. Muy recomendable!","Thank you very much for your renewed trust. It has been a pleasure to welcome you back and a wonderful challenge to do everything possible to surprise you once again with the best possible sensations.
We can only be happy to have achieved this and, of course, also to further enhance the excitement that guides us daily for that next visit you announced.
In this regard, I would like to add that we are about to launch our New Summer Menu, full of surprising and exquisite dishes specifically prepared for the season, always based on the careful selection of exceptional raw materials we make daily.
It will be a pleasure to offer you a tasting of these delicacies and, once again, advise you on the best pairing with one of our excellent wines.
Mr. José Luis, a true exponent of the professionalism and personalized attention that define our dining room team, is deeply grateful for your kind words and, as could not be otherwise, he is the one who inspires the excitement shared by all at the happy moment of welcoming you back.
Until then, I send you our warmest regards.",1 contribución,1.0,Escrita el 9 de junio de 2025,Escrita el 10 de junio de 2025,1 contribución,Jesús Jerez,Leer más,Traducir respuesta,Mostrar original,Calidad/precio,Ambiente,Servicio,Comida,,Traducido automáticamente,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/6b/a7/87/jesus-j.jpg?w=100&h=-1&s=1,,,,
1775666216-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d7622713-Reviews-GastroVia_61-Madrid.html,Muy buen restaurante en el centro de madrid,Maria dolores,"El otro dia comí con unos amigos y la verdad que me sorprendió gratamente. Ya no solo por los platos que son vidualmente hermosos, sino por la atención del personal, mis 10 para este sitio, enhorabuena!!","Muchas gracias, Yvonne, fue un verdadero placer daros la bienvenida y preparar todos los detalles para que ese encuentro ya de por sí especial para vosotros, lo fuese todavía más.
Saber que la experiencia GastroVía 61, tanto en los aspectos culinarios propiamente dichos como en lo referente a la atención profesional y personalizada que nos distinguen, logró sorprenderos con las mejores sensaciones es la mayor alegría posible para todos quienes formamos este equipo.
Como bien dices, nos gusta cuidar todos los detalles y, por supuesto, también esas presentaciones que, incluso antes de probar cada elección, consiguen alborotar los sentidos.
Ese ""10"" que mencionas e imaginar que tendremos una nueva oportunidad de daros la bienvenida son un valioso incentivo para nuestro incansable espíritu de superación. A este respecto, me permito informarte que vamos a inaugurar esta misma semana una Nueva Carta de Verano, repleta de nuevas delicias específicamente elaboradas para la estación que, por supuesto, nos encantará poner a vuestra disposición.
¡Hasta pronto, os esperamos siempre en plena Gran Vía madrileña, en Grupotel Mayorazgo! Afectuosos saludos.",1 contribución,1.0,Escrita el 9 de junio de 2025,Escrita el 10 de junio de 2025,1 contribución,Jesús Jerez,Leer más,,,Calidad/precio,Ambiente,Servicio,Comida,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/6b/a7/87/jesus-j.jpg?w=100&h=-1&s=1,,,,
1775666216-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d7622713-Reviews-GastroVia_61-Madrid.html,El mejor restaurante del centro,carmen E,Personal muy amable y la comida espectacular. Se encuentra en pleno centro de la ciudad y es un lugar muy acogedor. Altamente recomendable.,"Ha sido un placer, Carmen, muchas gracias por tu confianza y estos maravillosos comentarios que nos dedicas.
Gastrovía 61, en efecto, se encuentra en plena Gran Vía madrileña, en tanto es el restaurante de cocina de autor de Grupotel Mayorazgo, el emblemático hotel temático madrileño cuyo imponente mantón de Manila atrae incontables miradas y fotografías desde su fachada.
GastroVía 61 es tradición y vanguardia en cada plato para alborotar los sentidos incluso antes de cada degustación por sus presentaciones detallistas o, en algunos casos, la espectacular y profesional preparación en sala por parte de nuestro equipo.
Ha sido un placer compartir contigo todos los detalles y, en base a las preferencias que nos has trasladado, aconsejarte acerca de las distintas elecciones y su mejor maridaje con uno de nuestros deliciosos vinos.
Nos ilusiona imaginar que la inminente inauguración de nuestra Carta de Verano nos permitirá disfrutar nuevamente de tu compañía y sorprenderte con esas delicias específicamente elaboradas para esta época estival. 
Hasta que ese feliz momento se haga realidad, en nombre de todos quienes formamos este equipo te envío nuestros saludos más afectuosos.",2 contribuciones,2.0,Escrita el 9 de junio de 2025,Escrita el 10 de junio de 2025,2 contribuciones,Jesús Jerez,Leer más,,,Calidad/precio,Ambiente,Servicio,Comida,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/b2/default-avatar-2020-69.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/6b/a7/87/jesus-j.jpg?w=100&h=-1&s=1,,,,
1775666216-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d7622713-Reviews-GastroVia_61-Madrid.html,Una experiencia inolvidable,Pol SC,Muy rica la comida y un espacio muy acogedor e íntimo. Altamente recomendable. Personal muy amable incluidos los de recepción.,"Muchas gracias, Paula, nos encanta saber que la experiencia GastroVía 61 te ha sorprendido con las fantásticas sensaciones que describes en tus comentarios.
Convertir cada ocasión en un momento inolvidable, personalizando al máximo los diversos detalles es la principal ilusión de quienes formamos este equipo, por eso seleccionamos a diario materias primas de excepcional calidad para elaborar nuestros versos de poesía culinaria y llevamos a cabo meticulosos procesos de preparación que preservan y realzan los distintos sabores.
La elegante, intimista y muy madrileña ambientación de nuestro salón se convierte, además, en el escenario ideal donde saborear estos platos y compartir el suave murmullo de las charlas inolvidables.
Las sonrisas sinceras, profesionalidad y atención personalizada de quienes componen el equipo de profesionales de Grupotel Mayorazgo (donde nos encontramos ubicados en plena Gran Vía) y GastroVía 61 están siempre a vuestra disposición. 
Estamos a punto de inaugurar una nueva y deliciosa carta de verano y, por supuesto, será un placer brindaros la degustación de sus nuevos y exquisitos platos.
¡Hasta pronto! Afectuosos saludos.",27 contribuciones,27.0,Escrita el 9 de junio de 2025,Escrita el 10 de junio de 2025,"Valencia, España",Jesús Jerez,Leer más,,,Calidad/precio,Ambiente,Servicio,Comida,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/6b/a7/87/jesus-j.jpg?w=100&h=-1&s=1,,,,
1775666216-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d7622713-Reviews-GastroVia_61-Madrid.html,Gran experiencia,Gem,"Giselle, José y Momo son todos muy agradables. Tuvimos una experiencia maravillosa y la comida era genial! Sin duda volveremos a este restaurante cuando volvamos a Madrid","Thank you very much for choosing the GastroVía 61 experience. We are delighted to know that we have managed to surprise you with the best possible experience and, of course, that we will also have another opportunity to welcome you on your next visit to the city.
With exquisite cuisine in all our dishes, an elegant and intimate atmosphere, and always the professionalism and personalized attention that distinguish our dining room team, GastroVía 61 is always an ideal option to fully enjoy and excite your senses with the tasting of culinary offerings in which the finest traditions and the most avant-garde techniques come together to create an authentic and innovative festival of sensorial nuances.
Mr. Mohamed and Mr. José, as well as Ms. Giselle, appreciate your comments and, as expected, share the excitement shared by the rest of the team of experiencing that moment when our smiles will once again welcome you.
Until then, I send you our warmest regards.",4 contribuciones,4.0,Escrita el 29 de mayo de 2025,Escrita el 30 de mayo de 2025,4 contribuciones,Jesús Jerez,Leer más,Traducir respuesta,Mostrar original,,,,,,Traducido automáticamente,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/6b/a7/87/jesus-j.jpg?w=100&h=-1&s=1,,,,
1775666216-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d7622713-Reviews-GastroVia_61-Madrid.html,La mejor experiencia de cena en Madrid,raluca,"Una de las mejores experiencias de Madrid. Volví también por segunda vez aquí, ya que la comida era excepcional y el personal - profesionales absolutos. Recomiendo totalmente este lugar a cualquiera que busque una cena familiar o un evento de negocios.","Thank you very much for your renewed trust. It has been a true pleasure to welcome you back and enjoy your company.
Whatever the occasion, GastroVía 61 is the ideal setting to make it even more special and unforgettable with a taste of our culinary offerings in the elegant, intimate, and truly Madrid-style setting our dining room recreates.
We were delighted to once again offer you the professionalism and personalized attention that distinguishes us, as well as offering you a taste of other delicacies.
We always look forward to seeing you on Madrid's Gran Vía, at Grupotel Mayorazgo, ready to welcome you with our smiles and surprise you with our dishes every time.
See you soon! Best regards.",2 contribuciones,2.0,Escrita el 27 de mayo de 2025,Escrita el 28 de mayo de 2025,"Bucarest, Rumania",Jesús Jerez,Leer más,Traducir respuesta,Mostrar original,,,,,,Traducido automáticamente,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/6b/a7/87/jesus-j.jpg?w=100&h=-1&s=1,,,,
1775666216-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d7622713-Reviews-GastroVia_61-Madrid.html,Exquisito,Isabel I,Comida exquisita y trato inmejorable. Totalmente recomendable. Cuidan mucho los detalles y al cliente. Volvemos seguro. Un 10,"Ha sido un placer, Isabel, muchas gracias por vuestra confianza y estos maravillosos comentarios que nos dedicas.
Todos quienes formamos el equipo de profesionales de GastroVía 61, restaurante de cocina de autor de Grupotel Mayorazgo en plena Gran Vía madrileña, compartimos una ilusión principal: hacer que cada ocasión sea realmente especial, inolvidable y, como en vuestro caso, un excelente prólogo de una próxima visita.
Por eso seleccionamos cada día materias primas de excepcional calidad y elaboramos todos nuestros platos mediante cuidadosos procesos que preservan las excepcionales cualidades de los distintos productos y realzan la sorprendente fusión entre tradición y vanguardia gastronómica que define el amplio abanico de novedosos matices que ofrece cada degustación.
Además, por supuesto, nos encanta compartir los distintos aspectos y aconsejar acerca de las distintas elecciones,  dispuestos como estamos a sorprender, desde luego, pero siempre desde el prisma de la personalización en base a los gustos y preferencias que nos transmiten.
Estamos ultimando los detalles de nuestra nueva carta de Primavera-Verano cuya inauguración tendrá lugar muy pronto. Si no antes, esperamos tener ocasión de ofreceros sus versos de poesía culinaria, específicamente adaptados a la temporada.
Hasta entonces, cuando nuestras sonrisas volverán a daros la bienvenida, en nombre de todos quienes formamos este equipo profesionales os envío nuestros saludos más afectuosos.",2 contribuciones,2.0,Escrita el 25 de mayo de 2025,Escrita el 26 de mayo de 2025,2 contribuciones,Jesús Jerez,Leer más,,,Calidad/precio,Ambiente,Servicio,Comida,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/6b/a7/87/jesus-j.jpg?w=100&h=-1&s=1,,,,
1775666216-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d7622713-Reviews-GastroVia_61-Madrid.html,Experiencia agradable,Claudia G,"Fui a comer hace poco y quedé impresionada.
 La comida es deliciosa, con platos bien presentados y sabores equilibrados. El servicio fue amable y atento, haciendo que la experiencia fuera muy agradable. Ideal para disfrutar de una comida tranquila y de calidad en buena compañía. Muy recomendable!!!","Muchas gracias, Claudia, nos encanta haber logrado impresionarte con las mejores sensaciones.
GastroVia 61, restaurante de cocina de autor de Grupotel Mayorazgo en plena Gran Vía madrileña, es siempre una ocasión para premiarse y alborotar los sentidos con la degustación de unas propuestas culinarias realmente sorprendentes donde confluyen materias primas de excepcional calidad, meticulosas elaboraciones, presentaciones detallistas y generosas cantidades para que el amplio abanico de matices perdure en el paladar y los restantes sentidos.
Nuestro equipo de sala se distingue por esa atención profesional y personalizada que hace aún más especial cada ocasión, siempre encantados de aconsejar acerca de las distintas elecciones y atentos a las indicaciones o preferencias que les transmiten nuestros Clientes.
La ambientación elegante e intimista de nuestro salón evoca el escenario ideal sea cual sea la ocasión para descubrir estas delicias mientras también se saborea el suave murmullo de las charlas inolvidables.
Esperamos tener una próxima ocasión de darte la bienvenida, pero hasta que ese feliz momento tenga lugar te envío nuestros saludos más afectuosos.",2 contribuciones,2.0,Escrita el 20 de mayo de 2025,Escrita el 20 de mayo de 2025,2 contribuciones,Jesús Jerez,Leer más,,,Calidad/precio,Ambiente,Servicio,Comida,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/06/default-avatar-2020-18.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/6b/a7/87/jesus-j.jpg?w=100&h=-1&s=1,,,,
1775666216-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d7622713-Reviews-GastroVia_61-Madrid.html,Volvería otra vez sin pensarlo,Ariadna Miranda,"Fui a cenar al GastroVía 61 un poco sin saber qué esperar, pero la verdad es que me sorprendió para bien. El sitio está dentro del Hotel Mayorazgo, y aunque por fuera no parece nada del otro mundo, por dentro mola bastante: ambiente tranquilo, buena iluminación y una decoración con toques castizos que le da rollo.

Lo más top fue la comida. Tienen platos bastante tradicionales pero con un toque más moderno. Probé el rabo de toro y estaba brutal, súper tierno, se deshacía. También pedimos unas croquetas y un entrecot, todo buenísimo. Las raciones están bien, no te quedas con hambre pero tampoco sales rodando. Se nota que los ingredientes son de calidad.

El servicio fue muy bueno, el camarero que nos tocó era súper majo, nos explicó varias cosas del menú y nos recomendó un vino que pegaba justo con lo que pedimos.

No es el sitio más barato del mundo, pero para una cena especial o si estás por la zona y te apetece algo diferente y bien hecho, vale totalmente la pena. Yo salí contento, con el estómago feliz y con ganas de volver a probar más platos. Le pondría un 4,5 de 5 sin pensarlo.","Ha sido un placer, muchas gracia por elegir la experiencia GastroVía 61, nos encanta saber que hemos logrado sorprenderte tan gratamente en todos los sentidos.
Como bien dices, GastroVía 61 es el restaurante de cocina de autor de Grupotel Mayorazgo, uno de esos secretos que siempre se desea compartir y disfrutar en la mejor compañía, ese ""as en la manga"" que se elige para transformar un momento cualquiera en una ocasión especial y hacer que las celebraciones señaladas lo sean aún más.
Con una ambientación elegante e intimista, la autenticidad castiza adquiere presencia y protagonismo a través de las bellas imágenes de época que presiden y bautizan cada una de las mesas con los nombres de las plazas más famosas de Madrid. Los guiños madrileños, claro está, también están presentes en los evocadores ecos musicales de chotis o La Movida, la original nomenclatura de los distintos platos en carta y hasta la simpática uniformidad chulapa que luce el personal de sala.
Seleccionamos cada día materias primas de excepcional calidad priorizando el producto de proximidad y temporada, pero también encantados de acudir a otras plazas y puertos de reconocido prestigio como paso previo a esas cuidadas elaboraciones que preservan y realzan cualidades nutricionales y sabores.
Las opciones que habéis elegido en esta ocasión son perfectos exponentes de esa fusión entre tradición y vanguardia que ofrece en cada degustación un amplio y delicioso abanico de novedosos matices.
La profesionalidad y atención personalizada nos definen, siempre encantados de compartir los diversos detalles, aconsejar acerca de las distintas elecciones y su mejor maridaje con uno de los excelentes vinos de una cara donde también adquiere especial protagonismo la D.O. Madrid.
Os esperamos siempre en pleno centro de Madrid, dispuestos a daros la bienvenida con nuestras sonrisas y sorprenderos con nuevas delicias.
Afectuosos saludos.",1 contribución,1.0,Escrita el 20 de mayo de 2025,Escrita el 20 de mayo de 2025,"Madrid, España",Jesús Jerez,Leer más,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/6b/a7/87/jesus-j.jpg?w=100&h=-1&s=1,,,,
1775666216-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d7622713-Reviews-GastroVia_61-Madrid.html,El trato del personal,Rosalapelos J,"Las habitaciones muy bien, pero lo mejor el trato del personal. A destacar la amabilidad de Irene de la cafetería restaurante. La ubicación excelente","Ha sido un placer Rosa, muchas gracias por elegir Grupotel Mayorago y la experiencia de GastroVía 61, su afamado restaurante de cocina de autor.
Todos quienes formamos este equipo de profesionales estamos convencidos que cada persona es especial y encantados de hacer todo lo posible para que así se sienta en todo momento.
Compartir todos los detalles relativos a la ciudad, también ser consejo y ayuda ante cualquier duda o problema que nos plantean, comentar los distintos aspectos de nuestros versos de poesía culinaria para que cada elección en GastroVía 61 sea tan sorprendente como inolvidable… 
Sin duda, la Srta. Irene, con su luminosa y perenne sonrisa, es un perfecto exponente de todas esas cualidades. En su nombre, visiblemente emocionada por las palabras que le dedicas, te hago llegar su más sincero agradecimiento.
Es ella también, como no podía ser otra forma, quien lidera la ilusión compartida por el resto del equipo de volver a recibirte y poner a tu dispsoción otra de las 199 habitaciones temáticas madrileñas que aún no conoces, en tanto todas ellas son realmente únicas en su espectacular recreación de la ciudad.
Te esperamos siempre y de todo corazón en pleno corazón de Madrid, ojalá muy pronto nuestras sonrisas puedan volver a recibirte.
Hasta entonces, te envío nuestros saludos más afectuosos.",1 contribución,1.0,Escrita el 18 de mayo de 2025,Escrita el 19 de mayo de 2025,1 contribución,Jesús Jerez,Leer más,,,Calidad/precio,Ambiente,Servicio,Comida,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/6b/a7/87/jesus-j.jpg?w=100&h=-1&s=1,,,,
