web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,image,image2,image3,image4,data22,data23,position2
1775666473-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d21328133-Reviews-Taberna_de_Penalver-Madrid.html,Opinión,Maria Paulina D,"Súper rico!!! la mejor paella Tony y Yadira muy buenos meseros y la atención 10/10 ,La paella Ibérica comimos 3 y perfecto",1 contribución,1.0,Escrita el 18 de abril de 2025,Escrita el 25 de abril de 2025,1 contribución,Muchas gracias por venir a visitarnos y dejarnos esta reseña. Nos alegra saber que disfrutaste de la experiencia. ¡Esperamos verte de nuevo pronto!,Cinderella Cafe & Cocktails,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,
1775666473-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d21328133-Reviews-Taberna_de_Penalver-Madrid.html,La atención,Maria Susana D,Nos atendió Yadira y Tony muy buena atención me encantó su actitud y su atención muy chévere me encantaría volver por ellos me hicieron sentir muy cómoda .,1 contribución,1.0,Escrita el 18 de abril de 2025,Escrita el 25 de abril de 2025,1 contribución,¡Muchas gracias por tu calificación de 5 estrellas! Nos alegra saber que disfrutaste de tu experiencia. ¡Esperamos verte de nuevo pronto!,Cinderella Cafe & Cocktails,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/24/default-avatar-2020-60.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,
1775666473-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d21328133-Reviews-Taberna_de_Penalver-Madrid.html,Cena deliciosa,Alan R,"Excelente atención, excelente comida y buen detalle de atender, nos atendieron 2 distintos garzones y ambos muy simpáticos y detallistas.",1 contribución,1.0,Escrita el 16 de abril de 2025,Escrita el 25 de abril de 2025,1 contribución,Muchas gracias por venir a visitarnos y dejarnos esta reseña. Nos alegra saber que disfrutaste de la experiencia. ¡Esperamos verte de nuevo pronto!,Cinderella Cafe & Cocktails,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/9e/cd/26/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/9e/cd/27/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,
1775666473-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d21328133-Reviews-Taberna_de_Penalver-Madrid.html,"Fuimos a comer el miércoles día 16, día de partido del madrid vs arsenal y que mejor que antes del partido comer paella",eduardo m,La comida excelente y exquisita y el trato recibido por María muy bueno. La paella señoret muy buena y los gambones igual.,1 contribución,1.0,Escrita el 16 de abril de 2025,Escrita el 25 de abril de 2025,1 contribución,Muchas gracias por venir a visitarnos y tomarte unos minutos para dejarnos esta buena valoración de 5 estrellas. Nos alegra ver que has disfrutado de la comida. ¡Esperamos volver a verte de nuevo pronto!,Cinderella Cafe & Cocktails,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,
1775666473-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d21328133-Reviews-Taberna_de_Penalver-Madrid.html,Excelente,marysabel h,El Sr Miguel excelente atención un lugar muy agradable la paella divina todo muy bueno volvería sin duda a comer a este lugar maravilloso venir aquí todo limpio,142 contribuciones,142.0,Escrita el 15 de abril de 2025,Escrita el 16 de abril de 2025,"Araure, Venezuela",¡Muchas gracias por tu calificación de 5 estrellas! Nos alegra saber que disfrutaste de tu experiencia. ¡Esperamos verte de nuevo pronto!,Cinderella Cafe & Cocktails,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/9c/93/f0/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/88/30/fd/caption.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,
1775666473-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d21328133-Reviews-Taberna_de_Penalver-Madrid.html,Arroces súper ricos,Andrea V,"Una comida increíble! Calidad precio genial, arroces súper ricos y típicos de aquí. Muchas gracias Hugo y Nelson por vuestra atención!",1 contribución,1.0,Escrita el 6 de abril de 2025,Escrita el 7 de abril de 2025,1 contribución,Gracias por venir a visitarnos y dejarnos esta valoración comentando tu experiencia. Estamos encantados de poder comprobar que has disfrutado. ¡Nos vemos pronto de nuevo!,Cinderella Cafe & Cocktails,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,
1775666473-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d21328133-Reviews-Taberna_de_Penalver-Madrid.html,Gran experiencia otra vez,Marianorss,La experiencia otra vez fue increíble. Fue genial ver que bien les va. Luis es un gran anfitrión y nos encanta venir y verlo bien. Un saludo! Mariano.,2 contribuciones,2.0,Escrita el 6 de abril de 2025,Escrita el 7 de abril de 2025,"Ciudad de México, México",Muchas gracias por venir a visitarnos y tomarte unos minutos para dejarnos esta buena valoración de 5 estrellas. Nos alegra ver que has disfrutado de la comida. ¡Esperamos volver a verte de nuevo pronto!,Cinderella Cafe & Cocktails,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/88/20/03/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/60/default-avatar-2020-64.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,
1775666473-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d21328133-Reviews-Taberna_de_Penalver-Madrid.html,Interesante propuesta gastronómica,Jose Luis G,"Interesante la propuesta gastronómica de este lugar. Cocina alicantina con buen sabor. Instalaciones agradables. Y un servicio de sala atento y amable. A destacar la atención dispensada por Aisha, muy amable y con muy buenos consejos para conformar la comanda. Muchas gracias Aisha.",193 contribuciones,193.0,Escrita el 5 de abril de 2025,Escrita el 7 de abril de 2025,"Alcalá de Henares, España",¡Muchas gracias por tu calificación de 5 estrellas! Nos alegra saber que disfrutaste de tu experiencia. ¡Esperamos verte de nuevo pronto!,Cinderella Cafe & Cocktails,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,
1775666473-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d21328133-Reviews-Taberna_de_Penalver-Madrid.html,Excelente servicio,Scenic43702182052,Delicioso su arroz con pollo me encantó! Si servico 10/10. Las croquetas de jamón ibérico deliciosas también 100% recomendado,4 contribuciones,4.0,Escrita el 5 de abril de 2025,Escrita el 7 de abril de 2025,4 contribuciones,Muchas gracias por venir a visitarnos y tomarte unos minutos para dejarnos esta buena valoración de 5 estrellas. Nos alegra ver que has disfrutado de la comida. ¡Esperamos volver a verte de nuevo pronto!,Cinderella Cafe & Cocktails,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/87/bc/25/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,
1775666473-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d21328133-Reviews-Taberna_de_Penalver-Madrid.html,Arroz perfecto en Madrid🤩,Bernardo C,"Una comida genial. Servicio perfecto, nos atendieron Hugo y Nelson. Uno de los mejores arroces de Madrid. Super buen ambiente en la terraza.",1 contribución,1.0,Escrita el 5 de abril de 2025,Escrita el 7 de abril de 2025,1 contribución,Gracias por venir a visitarnos y dejarnos esta valoración comentando tu experiencia. Estamos encantados de poder comprobar que has disfrutado. ¡Nos vemos pronto de nuevo!,Cinderella Cafe & Cocktails,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,
