web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,image,image2,position,name,data15,data16,data17,data18,image3
1775577724-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d12216862-Reviews-Grama_Lounge-Madrid.html,¡Buena comida!,ChefTeacherDublin,"Lamentablemente solo encontramos este lugar en nuestro último día, de lo contrario probablemente habría comido aquí la mayoría de los días. 
Gran menú, todo se ve muy bien. 
El personal es excelente y el lugar está muy limpio. Recomendaría encarecidamente una visita o dos. Disfruta!",17 contribuciones,17,Escrita el 21 de abril de 2025,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,,,,
1775577724-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d12216862-Reviews-Grama_Lounge-Madrid.html,Absolutamente recomendable!,Els Smits,"¡Noche perfecta! 
Por favor, cuando visites Madrid, visita este lugar! Haga una reserva y ordene las recomendaciones. Personal súper amable, comida encantadora e increíbles cócteles caseros. Una noche acogedora y cómoda para recordar: ¡no te arrepentirás de tu visita!",10 contribuciones,10,Escrita el 10 de abril de 2025,,,,,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/92/3e/19/caption.jpg?w=300&h=300&s=1,,,,,,,,
1775577724-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d12216862-Reviews-Grama_Lounge-Madrid.html,Todo fino!,José S,"Todi fino y bueno, sobretodo con los panas Gianfranco y Cochi, todo calidad y muy bueno todo! Lo recomiendo mil veces!!!!",1 contribución,1,Escrita el 10 de abril de 2025,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1,,,,,,,
1775577724-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d12216862-Reviews-Grama_Lounge-Madrid.html,Experiencia inolvidable,Marisa S,"Un sitio excelente, la comida es buenísima, al igual que los cócteles. Además, la atención es súper buena, en especial la de Gianfranco y Cochi, súper atentos y encantadores. 

Repetiré seguro!!!",2 contribuciones,2,Escrita el 10 de abril de 2025,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg?w=100&h=-1&s=1,,,,,,,
1775577724-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d12216862-Reviews-Grama_Lounge-Madrid.html,los mejores cocteles!!,Guide17705542699,"excelente la atención de gianfranco y junior!! recomiendo total los cocteles 10/10
la pasamos genial y muy atentos en la atención !",1 contribución,1,Escrita el 5 de abril de 2025,Calidad/precio,Ambiente,Servicio,Comida,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/88/0e/78/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,,,,,,,
1775577724-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d12216862-Reviews-Grama_Lounge-Madrid.html,Increíble,Marialejandra G,"La pasé genial anoche , buen ambiente ,una atención de 100 y de verdad Gianfranco y Junior hacen los mejores cócteles de Madrid !",2 contribuciones,2,Escrita el 5 de abril de 2025,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/88/0e/a1/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,,,,,,,
1775577724-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d12216862-Reviews-Grama_Lounge-Madrid.html,Excelente,Carla M,"Excelente lugar para compartir en familia y amigos, atención cordial de Gian y muy buenos cócteles de Junior, ambiente genial para celebrar y comida rica. Sin duda 100% recomendado!",1 contribución,1,Escrita el 5 de abril de 2025,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/9f/default-avatar-2020-16.jpg?w=100&h=-1&s=1,,,,,,,
1775577724-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d12216862-Reviews-Grama_Lounge-Madrid.html,Excelentes,Javier arias,"Es un lugar increíble para llevar a tu familia o amigos, la pase brutal y de verdad que lo recomiendo. La comida, las cervezas y los cócteles estaban muy bien. Lo recomiendo con los ojos cerrados.",5 contribuciones,5,Escrita el 5 de abril de 2025,Calidad/precio,Ambiente,Servicio,Comida,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/87/ee/44/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg?w=100&h=-1&s=1,,,,,,,
1775577724-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d12216862-Reviews-Grama_Lounge-Madrid.html,Increíble,Fabiana M,"Excelente atención, comida y bebidas, amo venir a Grama Lounge, Junior y Gian los mejores del mundo mundial 😍 guapos!!",3 contribuciones,3,Escrita el 5 de abril de 2025,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/87/ee/25/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,,,,,
1775577724-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d12216862-Reviews-Grama_Lounge-Madrid.html,Primera vez de muchas que vendreee,Valentina S,"Increíble lugar, pero no mejor que la atención, gracias por el trato a Gianfranco y a Junior!! 100% recomendado por mi!!!",1 contribución,1,Escrita el 27 de marzo de 2025,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/73/53/b2/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,,,,,,,
1775577724-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d12216862-Reviews-Grama_Lounge-Madrid.html,Excelente noche,Valeria B,"Excelente atención, noche entre amigos  los cocteles estaban super. Gracias a Gianfranco y Junior por el trato , la pasamos guay😎❤️",1 contribución,1,Escrita el 27 de marzo de 2025,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/7b/default-avatar-2020-56.jpg?w=100&h=-1&s=1,,,,,,,
1775577724-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d12216862-Reviews-Grama_Lounge-Madrid.html,-,Juan,Sitio muy recomendable para tomar algo después de cenar. Servicio muy amable y funcional. Precios muy razonables y buena localización.,1 contribución,1,Escrita el 27 de marzo de 2025,,,,,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,,,,,,,
1775577724-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d12216862-Reviews-Grama_Lounge-Madrid.html,Buen Ambiente y Staff amigable,Carlos González,"Fui a Grama Lounge y la pasé muy bien. Probé el guacamole con chicharrón, que tenía buena textura y sabor, y los tostones de playa, que estaban frescos y crujientes. Las bebidas también me gustaron, especialmente el papelón con limón, bien equilibrado y refrescante, y los zumos naturales, que se sentían realmente frescos.

La relación calidad-precio me pareció justa, y la atención de Ángel, Gianfranco y Junior fue muy buena: atentos, amables y profesionales. En general, una experiencia agradable. Seguro vuelvo para probar más cosas del menú.",6 contribuciones,6,Escrita el 26 de marzo de 2025,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg?w=100&h=-1&s=1,,,,,,,
1775577724-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d12216862-Reviews-Grama_Lounge-Madrid.html,Mi fijo en el centro!,Estefania P,"Amo este lugar, comida muy rica con sabores increíbles y atención inmejorable. Gracias a Junior, Ángel y a Gianfranco por hacer que un miércoles común terminase en una noche muy especial!",1 contribución,1,Escrita el 26 de marzo de 2025,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg?w=100&h=-1&s=1,,,,,,,
