web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,position,image,image2,position2,image3,image4,data21,data22,data23,data24,data25
1775728300-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d7062431-Reviews-Oven_Mozzarella_Fuencarral-Madrid.html,Explendido,Pablo C,"Vine a comer con. I familia y nos hemos ido súper contentos,  gracias a a la atención de Rosario que nos recomendó, acertadamente todos los pltos,  que estaban exquisitos,  habriq que subirle el sueldo a Rosario,  una grande","Hola Pablo, muchas gracias por tu valoración. ¡Nos alegra saber que has podido disfrutar de nuestro restaurante y servicio por parte de Rosario! Esperamos recibirte pronto, un abrazo.",7 contribuciones,7,Escrita el 20 de marzo de 2024,Escrita el 21 de marzo de 2024,7 contribuciones,Oven Fuencarral O,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/22/01/18/oven-fuencarral-o.jpg?w=100&h=-1&s=1,,,,,,,,
1775728300-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d7062431-Reviews-Oven_Mozzarella_Fuencarral-Madrid.html,Encantados con el trato.,mgalst841400,"Fuimos a cenar con unos amigos y salimos encantados. 
La cena estaba riquísima y el local precioso.
Hacer mencion a las personas que nos atendieron Rosario y Emilio, profesionales y cercanos.
Sin duda alguna volveremos.","Hola mgalst, muchas gracias por tomar tu tiempo y dejarnos un elaborado y agradable comentario. ¡Qué alegría saber que has disfrutado con nosotros! Esperamos verte pronto, un abrazo.",2 contribuciones,2,Escrita el 19 de marzo de 2024,Escrita el 21 de marzo de 2024,"Madrid, España",Oven Fuencarral O,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/b2/default-avatar-2020-69.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/22/01/18/oven-fuencarral-o.jpg?w=100&h=-1&s=1,,,,,,,,
1775728300-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d7062431-Reviews-Oven_Mozzarella_Fuencarral-Madrid.html,Muy contentos con la comida y el trato! :),Paula T,Muy contentos con la experiencia. No teníamos reserva y nos atendieron muy rápido y con un trato muy agradable. En mi caso pedí la pizza con trufa y huevo poché y la recomiendo.,"Hola Paula, ¡qué bien que hayas disfrutado de Oven Fuencarral! Muchas gracias por tu valoración, nos ayuda a seguir con más energía. Vuelve cuando quieras, ¡un abrazo!",9 contribuciones,9,Escrita el 17 de marzo de 2024,Escrita el 18 de marzo de 2024,"Ciempozuelos, España",Oven Fuencarral O,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,2.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/ab/4a/93/paula-t.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/22/01/18/oven-fuencarral-o.jpg?w=100&h=-1&s=1,,,,,,,,
1775728300-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d7062431-Reviews-Oven_Mozzarella_Fuencarral-Madrid.html,muy buena experiencia,Miguel G,"un servicio muy bueno y atento por parte de Abigail; la comida muy rica y abundante, además de un ambiente muy relajado, sin mucho ruido y en una localización muy céntrica y conveniente. Repetiría seguro.","Buenas noches, muchas gracias por tus palabras, nos alegra saber que has estado a gusto en el restaurante. Esperemos verte pronto. Un abrazo.",1 contribución,1,Escrita el 15 de marzo de 2024,Escrita el 18 de marzo de 2024,1 contribución,Oven Fuencarral O,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/22/01/18/oven-fuencarral-o.jpg?w=100&h=-1&s=1,,,,,,,,
1775728300-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d7062431-Reviews-Oven_Mozzarella_Fuencarral-Madrid.html,Volveré,Navigator33967860554,"Muy buen lugar un sitio muy agradable y muy buen servicio  la comida espectacular y precios muy razonables 
Un lugar 100% recomendable","Muchas gracias, por tu comentario. Nos alegra saber que nos has valorado con 5 estrellas. Comentarios como el tuyo son nuestra gran motivación ¡Esperamos volver a recibirte pronto!",1 contribución,1,Escrita el 15 de marzo de 2024,Escrita el 18 de marzo de 2024,1 contribución,Oven Fuencarral O,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/22/01/18/oven-fuencarral-o.jpg?w=100&h=-1&s=1,,,,,,,,
1775728300-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d7062431-Reviews-Oven_Mozzarella_Fuencarral-Madrid.html,Buena comida y deliciosa tarta de queso!,Gabriela,"La comida está buena aunque en mi opinión un poco cara. Lugar ideal para citas en pareja. La tarta de queso está realmente buena. 
Abigail fue la camarera que nos atendió. ¡Muy simpática y atenta! Hace muy bien su trabajo 😊",¡Qué bien que hayas disfrutado con nosotros! Esperamos volverte a ver pronto en nuestro restaurante. ¡Un saludo!,3 contribuciones,3,Escrita el 15 de marzo de 2024,Escrita el 18 de marzo de 2024,3 contribuciones,Oven Fuencarral O,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/22/01/18/oven-fuencarral-o.jpg?w=100&h=-1&s=1,,,,,,,,
1775728300-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d7062431-Reviews-Oven_Mozzarella_Fuencarral-Madrid.html,💫,Tourist48379369220,"Muy buena la comida. La carbonara un poco salada pero el resto riquísimo. Tardó en llegar la comida pero teniendo en cuenta q eramos 12 , bastante bien. Nos atendió Efrain, muy majo.",¡Gracias por tus palabras! Lo transmitiremos al equipo para compartirlo con ellos.¡Le esperamos pronto!,2 contribuciones,2,Escrita el 15 de marzo de 2024,Escrita el 18 de marzo de 2024,2 contribuciones,Oven Fuencarral O,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/22/01/18/oven-fuencarral-o.jpg?w=100&h=-1&s=1,,,,,,,,
1775728300-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d7062431-Reviews-Oven_Mozzarella_Fuencarral-Madrid.html,Todo fue buenísimo,Rafael l,"Fue una comida genial,Efraín nos dio un trato buenísimo y toda la comida estuvo estupenda, muchas gracias  volverémos pronto","Hola, muchas gracias por visitarnos y compartir su reseña en TripAdvisor. Nos alegra saber que disfrutaron de nuestras comida y servicio ofrecido, esperamos volver a verles pronto. Un saludo.",1 contribución,1,Escrita el 10 de marzo de 2024,Escrita el 11 de marzo de 2024,1 contribución,Oven Fuencarral O,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/22/01/18/oven-fuencarral-o.jpg?w=100&h=-1&s=1,,,,,,,,
1775728300-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d7062431-Reviews-Oven_Mozzarella_Fuencarral-Madrid.html,Comida rica!,Nicholas M,Nos encantó la comida aquí!! Estaba muy muy rico. Abihail fue muy simpática aunque nuestras habilidades para hablar Español eran un poco malas.,"Hola, muchas gracias por venir y compartir su valoración, nos alegra saber que estuvo a gusto. Será un placer atenderle de nuevo en su próxima visita y ofrecerle nuevas recomendaciones, un saludo.",1 contribución,1,Escrita el 9 de marzo de 2024,Escrita el 11 de marzo de 2024,1 contribución,Oven Fuencarral O,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/22/01/18/oven-fuencarral-o.jpg?w=100&h=-1&s=1,,,,,,,,
1775728300-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d7062431-Reviews-Oven_Mozzarella_Fuencarral-Madrid.html,Muy buen atención,MIRIAN S,"Estuvimos muy bien atendidos por Abigail.
Fue encantadora.
La comida, rica. Los gnocchi un poco secos, aunque la salsa estaba muy buena.
La pasta carbonara, espectacular. 
Son rápidos.",¡Qué bien que hayas disfrutado con nosotros! Esperamos volverte a ver pronto en Oven Fuencarral. ¡Un saludo Mirians!,235 contribuciones,235,Escrita el 9 de marzo de 2024,Escrita el 11 de marzo de 2024,"Ourense, España",Oven Fuencarral O,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/22/01/18/oven-fuencarral-o.jpg?w=100&h=-1&s=1,,,,,,,,
1775728300-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d7062431-Reviews-Oven_Mozzarella_Fuencarral-Madrid.html,Bien,ana isabel r,"Abigail, la camarera muy bien y correcta. Buena experiencia y trato correcto por parte del personal.
Recomendable. Buena experiencia.","Buenas noches  Anaisabelr! Muchísimas gracias por su comentario y puntuación, estamos muy felices de que su estancia en Oven Fuencarral haya sido agradable, esperamos volver a recibirle en nuestro restaurante. Un saludo y un abrazo!",1 contribución,1,Escrita el 9 de marzo de 2024,Escrita el 11 de marzo de 2024,1 contribución,Oven Fuencarral O,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/99/default-avatar-2020-40.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/22/01/18/oven-fuencarral-o.jpg?w=100&h=-1&s=1,,,,,,,,
1775728300-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d7062431-Reviews-Oven_Mozzarella_Fuencarral-Madrid.html,Buenas atención y ambiente agradable,Nieves Q,"La atención estupenda, nos atendió Abigail y muy amable, además me manché la camisa y me trajo Cebralín y todo.
No pongo 5 estrellas porque el risotto no me ha gustado mucho, la pizza 4 quesos estupenda, la ensalada de espinacas y formacio estupendos.","Wow! Muchas gracias por su puntación y comentario, le agradecemos sus palabras. Nos hace muy felices que el servicio y la comida fuera de su agrado! Nos vemos pronto! Un saludo de parte de todo el equipo de Oven Fuencaral.",1 contribución,1,Escrita el 9 de marzo de 2024,Escrita el 11 de marzo de 2024,1 contribución,Oven Fuencarral O,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/22/01/18/oven-fuencarral-o.jpg?w=100&h=-1&s=1,,,,,,,,
