web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,position,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,image,position2,image2,image3,name
1775666711-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d12664284-Reviews-SteakBurger_Preciados-Madrid.html,¿Mejor Hamburguesa en Madrid?,Passport62336152881,"No sé si tenía hambre, pero le dije a mi otra mitad que esta era la mejor hamburguesa que he probado. ¡La forma en que terminan ese delicioso queso en la mesa lo hace delicioso!",1 contribución,Escrita el 5 de julio de 2024,Escrita el 21 de julio de 2024,1.0,Steakburger P,"Thank you for visiting our restaurant, we are glad that your stay was pleasant.",Traducir respuesta,Mostrar original,Calidad/precio,Ambiente,Servicio,Comida,Traducido automáticamente,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,Leer más,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1,,,,
1775666711-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d12664284-Reviews-SteakBurger_Preciados-Madrid.html,Buena cena,Berta S,"Para cenar sirven buena comida y buen trato del personal sobretodo de Hugo, muy atento y servicial durante todo el servicio.",1 contribución,Escrita el 5 de julio de 2024,Escrita el 21 de julio de 2024,1.0,Steakburger P,"Gracias por visitar nuestro restaurante, nos alegra que su estancia en el haya sido agradable.",,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/4a/default-avatar-2020-42.jpg?w=100&h=-1&s=1,,,,
1775666711-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d12664284-Reviews-SteakBurger_Preciados-Madrid.html,¡Recomienda!,Viorica M,"Comida deliciosa y personal increíble! No tenemos fotos solo podemos mostrarle platos vacíos🤣
Comimos hamburguesas, papas fritas y pimientos de padrón. ¡Y la sangría es guau!",7 contribuciones,Escrita el 30 de junio de 2024,Escrita el 4 de julio de 2024,7.0,Steakburger P,"Thank you for visiting our restaurant, we are glad that your stay was pleasant.",Traducir respuesta,Mostrar original,Calidad/precio,Ambiente,Servicio,Comida,Traducido automáticamente,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,Leer más,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/a6/13/c5/viorica-m.jpg?w=100&h=-1&s=1,,,,
1775666711-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d12664284-Reviews-SteakBurger_Preciados-Madrid.html,todas las historias de amor terminan en R,Wanderer18892339656,"Laura, la camarera que te enamora el aura.
Gran cena con mi amigo Miguel.
La carne en su punto.
La atencion inmejorables.",1 contribución,Escrita el 27 de junio de 2024,Escrita el 4 de julio de 2024,1.0,Steakburger P,"Gracias por visitar nuestro restaurante, nos alegra que su estancia en el haya sido agradable.",,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg?w=100&h=-1&s=1,,,,
1775666711-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d12664284-Reviews-SteakBurger_Preciados-Madrid.html,Vórtice o deliberación,Adventure23768838740,"Laura la camarera simpática, graciosa y gran aura!  La comida buena, lo esperado, la brisa que soplaba estupenda. Recomiendo pasar por aquí al menos una vez antes de estar muerto.",1 contribución,Escrita el 27 de junio de 2024,Escrita el 4 de julio de 2024,1.0,Steakburger P,"Gracias por visitar nuestro restaurante, nos alegra que su estancia en el haya sido agradable.",,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1,,,,
1775666711-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d12664284-Reviews-SteakBurger_Preciados-Madrid.html,Impresionado con la comida,nina n,"Fue más que wr expacted, la comida deliciosa, el personal estupendo y el ambiente maravilloso, gracias especial al chef, uno de los filetes más deliciosos que probamos aquí, 10 / 10 🧡🧡",1 contribución,Escrita el 25 de junio de 2024,Escrita el 26 de junio de 2024,1.0,Steakburger P,"Thank you for visiting our restaurant, we are glad that your stay was pleasant.",Traducir respuesta,Mostrar original,,,,,Traducido automáticamente,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0.0,,,,,
1775666711-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d12664284-Reviews-SteakBurger_Preciados-Madrid.html,Muy buena atención,Valentina R,"La atención de Laura fue excepcional, muy simpática y atenta. La comida muy buena y rápida. Sin duda volveremos pronto.",2 contribuciones,Escrita el 16 de junio de 2024,Escrita el 25 de junio de 2024,2.0,Steakburger P,"Gracias por visitar nuestro restaurante, nos alegra que su estancia en el haya sido agradable.",,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,,,,
1775666711-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d12664284-Reviews-SteakBurger_Preciados-Madrid.html,Comida en familia con excelente atención de Laura y el equipo de SteakBurger.,Paolo M,Siempre que vengo a este local estoy seguro de que tendré una experiencia femomenal gracias a la atención de Laura y al equipo de SteakBurger. El ambiente es ideal y la comida increíblemente buena. 100% recomendado!!,11 contribuciones,Escrita el 16 de junio de 2024,Escrita el 25 de junio de 2024,11.0,Steakburger P,"Gracias por visitar nuestro restaurante, nos alegra que su estancia en el haya sido agradable.",,,Calidad/precio,Ambiente,Servicio,Comida,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,,,
1775666711-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d12664284-Reviews-SteakBurger_Preciados-Madrid.html,Comida dia del padre ven zolano con mis hijos,Paolo Antonio M,"Laura, excelente atencion, muy buen sitio, el trato muy bonito, atento, de seguro volveré a venir para ser atendido nuevamente por Laura. La comida muy rica y oportuna.",1 contribución,Escrita el 16 de junio de 2024,Escrita el 25 de junio de 2024,1.0,Steakburger P,"Gracias por visitar nuestro restaurante, nos alegra que su estancia en el haya sido agradable.",,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg?w=100&h=-1&s=1,,,,
1775666711-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d12664284-Reviews-SteakBurger_Preciados-Madrid.html,Super!,Nike L,"Excelente lugar. Siempre que hemos ido nos ha tratado de maravilla Laura, muy amable y servicial. La comida buen sabor y cantidad. Un abrazo Laura!",1 contribución,Escrita el 16 de junio de 2024,Escrita el 25 de junio de 2024,1.0,Steakburger P,"Gracias por visitar nuestro restaurante, nos alegra que su estancia en el haya sido agradable.",,,Calidad/precio,Ambiente,Servicio,Comida,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg?w=100&h=-1&s=1,,,,
