web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,image,position,image2,image3,image4,image5,image6,image7,data17
1775663159-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d9879706-Reviews-La_Bistroteca-Madrid.html,Experiencia gourmet de hamburguesas,Javity,"Merece la pena venir a este sitio a comer unas hamburguesas en Madrid. 
Nosotros probamos de entrantes las croquetas y la ensaladilla rusa, y he de decir que estaban espectaculares (la ensaladilla rusa con huevo!).
Las hamburguesas, es difícil decidirse por una, porque cada una tiene su punto. En mi caso probé la luxury.
Sitio totalmente recomendable para repetir!",696 contribuciones,696,Escrita el 31 de diciembre de 2024,"Madrid, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/af/59/0d/javidardos.jpg?w=100&h=-1&s=1,,,,,,,,
1775663159-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d9879706-Reviews-La_Bistroteca-Madrid.html,"Me pareció que nos atendieron muy bien y toda la comida muy buena,empezando por los entrantes y terminando por los postr",Teresa V,"Estuvimos antes y queríamos que lo conocieran nuestros hijos. Sabíamos que les iban a encantar las hamburguesas,nada que ver con otras que hayas comido en otros sitios.
También tomamos el guacamole que te lo preparan en la mesa y las croquetas.Todo estaba buenísimo!!!",1 contribución,1,Escrita el 29 de diciembre de 2024,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,,,,
1775663159-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d9879706-Reviews-La_Bistroteca-Madrid.html,Exquisito,noemi e,"Restaurante que nunca decepciona, ofrecen un producto de máxima calidad acorde a su precio. Los camareros son todos muy agradables y cercanos, nos hemos sentido como en casa y encima con una comida exquisita y de diez. Cada vez que venimos a madrid es parada obligatoria, volveremos pronto. Lo recomiendo al 100%.",6 contribuciones,6,Escrita el 28 de diciembre de 2024,6 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,,,,,,,,
1775663159-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d9879706-Reviews-La_Bistroteca-Madrid.html,Imprescindible probarlo,lcatroux,Genial. Bonita experiencia.  Camareros muy profesionales que te van explicando cada plato al detalle. Sitio acogedor y muy bonito,38 contribuciones,38,Escrita el 25 de diciembre de 2024,"Comunidad Valenciana, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,,,,,,,,
1775663159-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d9879706-Reviews-La_Bistroteca-Madrid.html,Calidad de producto a Precio muy elevado,jorge,"La calidad del producto es buena , pero el precio es muy elevado al final no dejan de ser hamburguesa y entrantes de lo más normal. Hay sitios con hamburguesas de la misma calidad a mejor precio en la misma zona de Madrid.",1 contribución,1,Escrita el 24 de diciembre de 2024,"Gijón, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,,,,,,,
1775663159-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d9879706-Reviews-La_Bistroteca-Madrid.html,Cena de trabajo,Víctor A,"Muy buena calidad y pudimos disfrutar de nuevos tipos de hamburguesas. Muy buena combinación de buen producto, buena cocina y excelente atención. Llevé a compañeros de trabajo que no conocían La Bistroteca y salieron muy sorprendidos. ¡Gracias!",2 contribuciones,2,Escrita el 13 de diciembre de 2024,2 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,,,,
1775663159-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d9879706-Reviews-La_Bistroteca-Madrid.html,Siempre de 10,Belen B,"He ido ya 4 veces y siempre de 10
Los nachos de batata y las croquetas espectaculares 
El guacamole que hacen en mesa también de 10
Las hamburguesas increíbles, la nueva que han sacado, la Queen, muy rica",1 contribución,1,Escrita el 11 de diciembre de 2024,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg?w=100&h=-1&s=1,,,,,,,,
1775663159-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d9879706-Reviews-La_Bistroteca-Madrid.html,De las mejores hamburguesas de Madrid,Belén Q,"Un gran sitio (aunque pequeño, pero acogedor) dónde disfrutar de unas de las mejores hamburguesas de Madrid. El personal es muy amable y atento, en el que te explican con detalle la elaboración de los entrantes y de las hamburguesas. Una vez pruebes estas hamburguesas, ya no querrás otras.",113 contribuciones,113,Escrita el 7 de diciembre de 2024,113 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,,,,,,,
1775663159-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d9879706-Reviews-La_Bistroteca-Madrid.html,Excelentes hamburguesas,yeyofotografia,"Las hamburguesas están deliciosas, la pena es no poder probar todas a la vez. El servicio excepcional, muy educados y atentos.",69 contribuciones,69,Escrita el 30 de noviembre de 2024,"Parla, España",Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/ea/1e/ab/sergio-g.jpg?w=100&h=-1&s=1,,,,,,,,
1775663159-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d9879706-Reviews-La_Bistroteca-Madrid.html,"Bistroteca, las mejores hamburguesas a la carta de madrid",Marta O,"Las hamburguesas combinan perfectamente el ser atrevidas con ingredientes poco comunes en ellas como: mermelada de piña, pera confitada, chicharrón de Cádiz, con la conservación del sabor de la carne. Además el conjunto de sabores no resulta excesivo o empalagoso. Las patatas caseras muy buenas también. El punto negativo y por lo que no pongo 5 estrellas, es los entrantes. Las raciones son muy pequeñas(con el guacamole conteniendo un único aguacate por ejemplo). Los nachos de boniato también con una ración poco justa y siendo lo que menos brilló de la cena.",2 contribuciones,2,Escrita el 16 de noviembre de 2024,2 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,Recomendable pedir exclusivamente hanburguesas(mas de una por cabeza). No pedir entrantes ni postres.,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,,,,
