web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,image,image2,image3,image4,image5,data18,data19
1775742300-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d1511527-Reviews-Meson_Restaurante_La_Mi_Venta-Madrid.html,Sabor y atención de primera.,Michael A,"Excelente restaurante y una atención muy especial. Sabor espectacular. Gracias a Jorge, Aaron, Alexandra y su otro compañero cubano. Muy amables y atentos.",1 contribución,1.0,Escrita el 15 de julio de 2025,Recordar reservar para asegurar su lugar.,1 contribución,Consejo:,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,,,,
1775742300-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d1511527-Reviews-Meson_Restaurante_La_Mi_Venta-Madrid.html,Un tranquilo y agradable restaurante en Madrid,Enzo A,"Excelente restaurante.

Ubicación excelente, ya que es central pero tranquilo. Las mesas en la calle son cómodas y con una buena sombrilla.

El servicio del personal es destacable, con una muy buena actitud y simpatía. Un 11 de 10.

La comida muy rica, los tomates, el cochinillo la sangría.",42 contribuciones,42.0,Escrita el 13 de julio de 2025,,42 contribuciones,,,,,,,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,
1775742300-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d1511527-Reviews-Meson_Restaurante_La_Mi_Venta-Madrid.html,Velada con torrija,Gema G,"Llevábamos tiempo queriendo ir a La mi venta porque nos  lo habían recomendado, y la verdad es q ha superado nuestras expectativas. Unas croquetas increíbles, la ensalada de tomate muy buena, el secreto ibérico impresionante y para terminar una torrija insuperable. Ha sido una gran velada y nos hemos sentido cuidados por René, nuestro camarero, que ha estado atento hasta del último detalle.",3 contribuciones,3.0,Escrita el 13 de julio de 2025,,3 contribuciones,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg?w=100&h=-1&s=1,,,,
1775742300-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d1511527-Reviews-Meson_Restaurante_La_Mi_Venta-Madrid.html,Relax y buen servicio en el centro de Madrid,juan josé D,"Terraza agradable , buen servicio y atención con mucha simpatía y profesionalidad de Luis y también de Aouyus
Recomiendo el bacalao .",2 contribuciones,2.0,Escrita el 12 de julio de 2025,,2 contribuciones,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,,,,
1775742300-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d1511527-Reviews-Meson_Restaurante_La_Mi_Venta-Madrid.html,De diez.,ImperioTrigan01,"Local precioso cerca palacio de Oriente. Todo nos  ha encantado: Servicio de diez -Angie, eres estupenda- profesional y simpático. Buenas raciones, excelente preparacion y presentación:  Parrillada de verduras, tartar de atún, secteto a la brasa - especialidad de la casa- y pescado, de postre torrijas. Para volver.",364 contribuciones,364.0,Escrita el 29 de junio de 2025,,Santander,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/52/92/a4/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/52/92/a5/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,,,,
1775742300-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d1511527-Reviews-Meson_Restaurante_La_Mi_Venta-Madrid.html,Madrid Gourmet,SJSCH,"Wl lugar es muy muy agradable, excelente y variada carta, platos excepcional de primer nivel gastronómico y un servicio espectacular……especial mención a la excelente atención de Aaron…..inmejorable",34 contribuciones,34.0,Escrita el 27 de mayo de 2025,,"Santiago, Chile",,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/fd/80/f4/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/fd/80/f5/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,,,,
1775742300-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d1511527-Reviews-Meson_Restaurante_La_Mi_Venta-Madrid.html,Tapas,lynda,"Excelente comida y vino, gran ambiente, simplemente una experiencia encantadora y nuestra camarera Yamile era muy servicial. Gran elección",4 contribuciones,4.0,Escrita el 22 de mayo de 2025,,4 contribuciones,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,,
1775742300-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d1511527-Reviews-Meson_Restaurante_La_Mi_Venta-Madrid.html,Agradecimiento,juntoscomoherma... u,Excelente atención de René y la comida muy buena. Superó las expectativas. Gracias. Estamos muy satisfechos con la elección del restaurante.,1 contribución,1.0,Escrita el 21 de mayo de 2025,Todo bien.,1 contribución,Consejo:,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/60/default-avatar-2020-64.jpg?w=100&h=-1&s=1,,,,
1775742300-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d1511527-Reviews-Meson_Restaurante_La_Mi_Venta-Madrid.html,Restaurante em Madrid,Gustavo Di Tell... G,"Restaurante increíble, moderno y comida maravillosa.  Fuimos atendidos por Aaron, quien fue sumamente amable y atento. La visita a este restaurante es una visita obligada en Madrid.",10 contribuciones,10.0,Escrita el 19 de mayo de 2025,,"Campinas, SP",,,,,,,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,,,,
1775742300-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d1511527-Reviews-Meson_Restaurante_La_Mi_Venta-Madrid.html,Pidan a Alexandra como su mesera!!! Genial!!,Lorena R,"Lindo ambiente, acogedor y buen trato de personal pero la chica que nos atendió Alexandra fue un acierto, ya que nos recomendó muchas cosas según nuestros gustos… y podemos decir que la corrija de ese lugar es Maravillosa !!! 
Lugar recomendado totalmente.
Gracias!!",1 contribución,1.0,Escrita el 19 de mayo de 2025,A lo mejor reservar sería mejor en épocas de mucha concurrencias o festividades.,1 contribución,Consejo:,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg?w=100&h=-1&s=1,,,,
