web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,image,image2,image3,image4,position
1775668621-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d14976329-Reviews-Malafemmena-Madrid.html,Muy bien!,Andrea H,"Todo muy bien! La burrata esta increíble. Recomendable para celiacos también. Vamos a volver! 
Servicio de Jesus muy amable 😊",¡Hola andreahT7731XD! Mamma mia! Qué bueno volver a saber de ti y conocer tu estupenda valoración 🤌🏻 Apreciamos que hayas tomado algo de tu tiempo en compartir tu experiencia con tutto il team,13 contribuciones,Escrita el 17 de mayo de 2024,13,Escrita el 23 de mayo de 2024,,R.A,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/34/18/bc/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/34/18/bd/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,
1775668621-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d14976329-Reviews-Malafemmena-Madrid.html,Hermosa noche,Victoria P,El sitio y la comida geniales. Ambiente tranquilo. La atención es inmejorable. Jesus nos ha atendido muy bien. Sin dudas repetiremos.,¡Hola Y675YBvictoriap! Mamma mia! Qué bueno volver a saber de ti y conocer tu estupenda valoración 🤌🏻 Apreciamos que hayas tomado algo de tu tiempo en compartir tu experiencia con tutto il team,1 contribución,Escrita el 14 de mayo de 2024,1,Escrita el 17 de mayo de 2024,,R.A,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,
1775668621-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d14976329-Reviews-Malafemmena-Madrid.html,"Increíble lugar, excelente atencion y comida",Paula P,"Fuimos para Almorzar, y desde que entramos nos sentimos bien recibidas por todo el personal.
La comida fue realmente deliciosa, destacamos el vitel tone!
El ambiente muy ameno, el lugar hermoso, y todo estaba impecable.

Mención especial a Jesús, el camarero que estuvo atento todo el tiempo y con una sonrisa, al momento de atendernos.
Indudablemente volveremos! 
Gracias","Sono contenta che ti sia piaciuta la mia cucina, cerco sempre di dare il massimo! Perdona, la italiana que llevo dentro necesita salir de vez en cuando. ¡Muchas gracias por tu excelente reseña! Sería un placer para todo el equipo recibirte de nuevo.",1 contribución,Escrita el 13 de mayo de 2024,1,Escrita el 17 de mayo de 2024,Vale mucho la pena ir !,R.A,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,,Leer más,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/28/a2/58/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/28/a4/33/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,
1775668621-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d14976329-Reviews-Malafemmena-Madrid.html,Visita informal y agradable,Alejandro R,"Muy buena atención
El café muy bueno
Muy rico todo
Haría falta un menú infantil con más variantes 
La cerveza os falta una de trigo","Grazie mille, sei troppo gentile! Es un placer para mi y para todo mi equipo recibir a clientes tan amables como tú. ¡Me alegra saber que nuestro trabajo ha sido de tu agrado! Malafemmena te espera ✨",1 contribución,Escrita el 11 de mayo de 2024,1,Escrita el 17 de mayo de 2024,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",R.A,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,Leer más,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,
1775668621-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d14976329-Reviews-Malafemmena-Madrid.html,Una noche de amigos,Manuela Aurora C,"sido súper amable la atención, encantadores y especiales, la comida genial y rica, también han estado pendientes de nosotros en todo momento","¡Hola manuelaaurorac! 
¡Muchísimas gracias por tu puntuación! Mangia bene, ridi spesso, ama molto ❤️ ¿Nos vemos pronto? Gracias de parte de todo el equipo",1 contribución,Escrita el 9 de mayo de 2024,1,Escrita el 17 de mayo de 2024,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",R.A,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,Leer más,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,
1775668621-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d14976329-Reviews-Malafemmena-Madrid.html,Excelente,Sandra M,"Excelente servicio , la comida deliciosa , te atiende n súper bien. Y el precio es uy bueno . Por favor prueben los postres",¡Hola sandramM1601AG! Mamma mia! Qué bueno volver a saber de ti y conocer tu estupenda valoración 🤌🏻 Apreciamos que hayas tomado algo de tu tiempo en compartir tu experiencia con tutto il team,3 contribuciones,Escrita el 9 de mayo de 2024,3,Escrita el 17 de mayo de 2024,,R.A,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/a2/d2/3d/sandra-m.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,
1775668621-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d14976329-Reviews-Malafemmena-Madrid.html,¡Todo fenomenal!,Gemma P,"¡Una experiencia de 10! 
El restaurante precioso, la comida buenísima y el trato por parte de Lised increíble, súper amable y nos aconsejó en todo genial. 
Fuimos por un cumpleaños y fue todo estupendo.
Sin duda 100% recomendable

¡Volveremos!",¡Hola gemmapV9SF! Nos contenta que clientes como tú hayan disfrutado de una experiencia 100% italiana por un día🤌🏻  ¡Vuelve cuando quieras para seguir disfrutando de Malafemmena y de su estupendo ambiente!,2 contribuciones,Escrita el 7 de mayo de 2024,2,Escrita el 9 de mayo de 2024,,R.A,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,
1775668621-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d14976329-Reviews-Malafemmena-Madrid.html,Fantástico trato y comida,Climber06048177727,"Comida muy auténtica, con pastas frescas, ambiente muy acogedor en una terraza muy bien decorada.
El trato de Cristian y la chica que nos atendió fue excelente. Fui con mi hijo de 7 años y le trataron con mucho cariño, muy agradecido por la experiencia.","¡Hola Climber06048177727! 
¡Muchísimas gracias por tu puntuación! Mangia bene, ridi spesso, ama molto ❤️ ¿Nos vemos pronto? Gracias de parte de todo el equipo",2 contribuciones,Escrita el 5 de mayo de 2024,2,Escrita el 9 de mayo de 2024,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",R.A,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,Leer más,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,
1775668621-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d14976329-Reviews-Malafemmena-Madrid.html,Magnífica experiencia,Paula,"Todo estaba muy bueno y la atención en especial la de Jesús fue excelente.
La carbonara muy buena y los tortelinis de calabaza también.
Repetiremos sin duda☺️","Grazie mille, sei troppo gentile! Es un placer para mi y para todo mi equipo recibir a clientes tan amables como tú. ¡Me alegra saber que nuestro trabajo ha sido de tu agrado! Malafemmena te espera ✨",1 contribución,Escrita el 4 de mayo de 2024,1,Escrita el 9 de mayo de 2024,,R.A,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,,Leer más,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/0f/2c/93/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/0f/2c/a8/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/0f/2f/02/culture29456092523.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,
1775668621-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d14976329-Reviews-Malafemmena-Madrid.html,Muy recomendable,Rodri R,Muy buena comida y una atención genial de Christian. Muy rápido todo y muy amables. El sitio estaba genial y muy bien ubicado.,"Sono contenta che ti sia piaciuta la mia cucina, cerco sempre di dare il massimo! Perdona, la italiana que llevo dentro necesita salir de vez en cuando. ¡Muchas gracias por tu excelente reseña! Sería un placer para todo el equipo recibirte de nuevo.",1 contribución,Escrita el 3 de mayo de 2024,1,Escrita el 9 de mayo de 2024,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",R.A,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,Leer más,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,
