web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,position,position2,image,image2
1775728041-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Fantastico,Dream02323480079,Ha sido una cena bastante buena y las camareras Barbara y Míriam muy majas y nos han atendido muy bien. Muchas gracias,"Gracias a ti por la visita, esperamos la visita de vuelta!",Escrita el 30 de diciembre de 2023,1 contribución,steakburguer l,1 contribución,Escrita el 19 de enero de 2024,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,1,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1
1775728041-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Excelente,Al,Excelente comida y excelente servicio Barbara y Miriam espectacularmente simpáticas.volveremos! Todo muy bien!!!,Mil gracias.,Escrita el 30 de diciembre de 2023,"Barcelona, España",steakburguer l,1 contribución,Escrita el 19 de enero de 2024,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,1,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1
1775728041-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Espectacular,Enrique P,"La comida está buenísima. Nos ha atendido Irma y ha sido un encanto.
Si surge cualquier problema lo resuelven al instante y te tratan genial. Volvería seguro","En nombre de toda la familia Luchana, muchas gracias.",Escrita el 28 de diciembre de 2023,1 contribución,steakburguer l,1 contribución,Escrita el 19 de enero de 2024,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,1,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/06/default-avatar-2020-18.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1
1775728041-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Ricas hamburguesas y lo demás,anabenaderet,Muy buena comida y la atención de Irma exquisita . Fuimos con la familia y repetimos siempre . El tiempo de espera perfecto.,Muchas gracias!!,Escrita el 28 de diciembre de 2023,"Marratxí, España",steakburguer l,2 contribuciones,Escrita el 19 de enero de 2024,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,2,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1
1775728041-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,CENA ESCELENTE,Pioneer64072201776,Salí encantada y más por el trato recibido por Bárbara. Es una excelente profesional y un encanto de persona. Volvería sin duda gracias a ella.,Todo el equipo estartia encantado de volver a verles.,Escrita el 27 de diciembre de 2023,1 contribución,steakburguer l,1 contribución,Escrita el 19 de enero de 2024,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,1,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1
1775728041-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Comida y atención muy buena,Diana S,"El sitio perfecto y la comida muy buena. Nos atendió Bárbara, fue muy amable y simpática. Volveré más veces.",Graciaaaaas!,Escrita el 27 de diciembre de 2023,1 contribución,steakburguer l,1 contribución,Escrita el 19 de enero de 2024,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,1,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1
1775728041-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Cena con amigos,Go50213971731,"Muy buena atención, Irma nos obsequio con una sonrisa durante toda la cena. Las   hamburguesas excelentes",Muchisimas gracias estamos deseando volver a verles,Escrita el 26 de diciembre de 2023,1 contribución,steakburguer l,1 contribución,Escrita el 19 de enero de 2024,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,1,2.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1
1775728041-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Hamburguesas muy buenas,Verónica Y,"Muy buena atención del personal, amables y atentos, Irma una chica encantadora, las hamburguesas muy buenas recomiendo la trufada 100%, además que el sitio acogedor y agradable para estar.",Muchísimas gracias!! Esperamos verles pronto :),Escrita el 26 de diciembre de 2023,1 contribución,steakburguer l,1 contribución,Escrita el 19 de enero de 2024,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,1,2.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1
1775728041-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Muy buena amburguesa,Dreamer01934305182,Muy buena atención por parte de las camareras. Se ve fresco . Irma se portó genial y nos asesoro genial,Agradecemos su comentario.,Escrita el 26 de diciembre de 2023,"Madrid, España",steakburguer l,1 contribución,Escrita el 19 de enero de 2024,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,1,2.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1
1775728041-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Experiencia en restaurante,Enrique R,"Calidad y perfecta atención de parte de Barbara, muy amable y atenta, 10/10 volveré pronto para una cena en familia!",Muchas gracias.,Escrita el 24 de diciembre de 2023,1 contribución,steakburguer l,1 contribución,Escrita el 19 de enero de 2024,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,1,2.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1
1775728041-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Buen servicio,allison brigith... r,Un lugar muy cómodo y súper hermoso el servicio ni que hablar más con la señorita barbara que nos atendió muy bien.,"Mil gracias por su comentario, y por la visita, les esperamos pronto.",Escrita el 24 de diciembre de 2023,1 contribución,steakburguer l,1 contribución,Escrita el 19 de enero de 2024,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,1,2.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1
1775728041-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Cena,Tamara N,Todo muy bueno y muy buena atención Barbara nos atendió muy bien  las hamburguesas buenísimas y los nachos de los mejores que hemos probado volveremos,"Le ponemos mucha dedicación a nuestra comida, es un placer que lo disfrutéis tanto como nosotros.
Gracias",Escrita el 24 de diciembre de 2023,1 contribución,steakburguer l,1 contribución,Escrita el 19 de enero de 2024,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,1,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1
1775728041-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Cena hamburguesa calle Luchana.,Pablo G,Ya había una vez y esta segunda no defraudó. Bárbara nos atendió muy amablemente. Volveré más veces :),"Agradecemos su valoración, gracias!",Escrita el 24 de diciembre de 2023,"Granada, España",steakburguer l,1 contribución,Escrita el 19 de enero de 2024,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,1,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1
