web_scraper_order,web_scraper_start_url,data,data2,data3,data4,position,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,image,data16,image2,data17,data18
1775669135-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d10509960-Reviews-Oven_Mozzarella_Pizzeria_Las_Tablas-Madrid.html,Muy buena comida,Jusbeth M,"Nos gusta mucho este restaurante 
Muy buena atención por parte de Andrea y Ruth, la comida estaba deliciosa. 
Lo recomendamos sin duda",2 contribuciones,2.0,Escrita el 20 de octubre de 2024,"Madrid, España",oct 2024 • En familia,Calidad/precio,Ambiente,Servicio,Comida,,,Leer más,0,,,,,
1775669135-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d10509960-Reviews-Oven_Mozzarella_Pizzeria_Las_Tablas-Madrid.html,Recomendable,Ismael F,"Comimos 4 personas y todo estaba muy rico. Dos niños y dos adultos. Tardó un poco en llegar los primeros, pero nada preocupante",1 contribución,1.0,Escrita el 20 de octubre de 2024,1 contribución,oct 2024 • En familia,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,,,,
1775669135-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d10509960-Reviews-Oven_Mozzarella_Pizzeria_Las_Tablas-Madrid.html,Reseña Cena,Christian M,"Servicio muy bueno y atento en todo momento (nos atendió Carmen),  buen ambiente y la comida bastante rica en general. Muy contentos con la experiencia.",1 contribución,1.0,Escrita el 19 de octubre de 2024,1 contribución,oct 2024 • Amigos,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,,,,
1775669135-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d10509960-Reviews-Oven_Mozzarella_Pizzeria_Las_Tablas-Madrid.html,Cena familiar con buena atención,Gabriel C,"Lugar ideal para compartir en familia, tanto la comida como la atención ha sido de 10. Mención especial para Carmen que tuvo un trato excepcional.",1 contribución,1.0,Escrita el 19 de octubre de 2024,1 contribución,oct 2024 • En familia,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,,,,
1775669135-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d10509960-Reviews-Oven_Mozzarella_Pizzeria_Las_Tablas-Madrid.html,Excelente atención y comida,Paulo F,"Muy amable los camareros, las 4 pizzas que pedimos increíbles, son duda alguna volveremos!!! Carmen es una crackkkkk!",1 contribución,1.0,Escrita el 19 de octubre de 2024,1 contribución,oct 2024 • En familia,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1,,,,
1775669135-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d10509960-Reviews-Oven_Mozzarella_Pizzeria_Las_Tablas-Madrid.html,Cena,alicia m,"Hoy hemos sido atendidos por Alex. Ha sido todo un profesional incluso cuando el rte estaba lleno. 
Siempre que vamos nos sentimos como en casa. Tengo que destacar que todos los camareros nos han atendido siempre con una sonrisa incluso cuando han estado saturados.",1 contribución,1.0,Escrita el 18 de octubre de 2024,1 contribución,oct 2024 • En familia,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg?w=100&h=-1&s=1,,,,
1775669135-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d10509960-Reviews-Oven_Mozzarella_Pizzeria_Las_Tablas-Madrid.html,Completo y abundante,Carlos AP,"Atendidos por Carmen que es un amor. menú está basado en comida italiana, siendo completo y abundante. Repetiremos seguro",1 contribución,1.0,Escrita el 16 de octubre de 2024,"Getafe, España",oct 2024 • Amigos,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/4a/default-avatar-2020-42.jpg?w=100&h=-1&s=1,,,,
1775669135-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d10509960-Reviews-Oven_Mozzarella_Pizzeria_Las_Tablas-Madrid.html,fantástico!,Alicia ZR,"muy rica la comida y la atención de Carmen maravillosa.
la comida muy rica, buenas cantidades. ambiente cómodo y bonito",8 contribuciones,8.0,Escrita el 16 de octubre de 2024,"Madrid, España",oct 2024 • Amigos,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/ad/f3/08/salivados.jpg?w=100&h=-1&s=1,,,,
1775669135-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d10509960-Reviews-Oven_Mozzarella_Pizzeria_Las_Tablas-Madrid.html,Buena experiencia,Oscar A,"Muy bonito local, sabrosa comida y servicio muy cordial de parte de Carmen. La pizza demoró un poco más de lo normal pero nos han pedido disculpas.",5 contribuciones,5.0,Escrita el 14 de octubre de 2024,"Múnich, Alemania",oct 2024 • En familia,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg?w=100&h=-1&s=1,,,,
1775669135-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d10509960-Reviews-Oven_Mozzarella_Pizzeria_Las_Tablas-Madrid.html,NADA ESPECIAL,José Carlos V,"La comida correcta. El servicio normal, tirando a despistado. Me pareció algo caro para lo ofrecido. Platos de pasta, todos en torno a 18€.
Un detalle que creo deberían mejorar es mostrar el precio de los platos en su página web. No sabes cuánto cuestan hasta que llegas al restaurante y te descargas la carta con el QR.",450 contribuciones,450.0,Escrita el 13 de octubre de 2024,"Alcalá de Henares, España",oct 2024 • En familia,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/41/27/4e/jocarve.jpg?w=100&h=-1&s=1,,,,
