web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,position,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,image,image2,image3,image4
1775668924-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d19600810-Reviews-Sibuya_Urban_Sushi_Bar_Madrid-Madrid.html,Sandra mejoró la experiencia con su atención.,NorthStar66686089732,Nos atendió Sandra. Un 10 en el servicio. Nos aconsejo y atendió con simpatía y eficiencia. Es difícil encontrar hoy gente tan profesional. Gracias Sandra.,1 contribución,Escrita el 30 de septiembre de 2024,1 contribución,1,Grupo Sibuya,"Le agradecemos enormemente sus palabras e impresiones acerca de nuestro restaurante. Nos animan mucho a seguir manteniendo un servicio eficaz y de calidad. Esperamos verles pronto de nuevo, y seguir disfrutando de los platos de nuestra carta. Un saludo. Equipo Sibuya.",Escrita el 11 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1
1775668924-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d19600810-Reviews-Sibuya_Urban_Sushi_Bar_Madrid-Madrid.html,Agradable el sitio y comida muy buena,Isabel C,"Cena muy rica  ,y muy bien aconsejados  por Sandra, que fue muy agradable y eficiente.
Ya habíamos estado y volveremos seguro.",1 contribución,Escrita el 28 de septiembre de 2024,1 contribución,1,Grupo Sibuya,"Le agradecemos enormemente sus palabras e impresiones acerca de nuestro restaurante. Nos animan mucho a seguir manteniendo un servicio eficaz y de calidad. Esperamos verles pronto de nuevo, y seguir disfrutando de los platos de nuestra carta. Un saludo. Equipo Sibuya.",Escrita el 11 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1
1775668924-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d19600810-Reviews-Sibuya_Urban_Sushi_Bar_Madrid-Madrid.html,Gran cena de despedida,Cris R,"Gracias Sandra por atendernos tan bien y con tanto mimo. La cena fue maravillosa y estaba todo buenísimo y el servicio excepcional gracias a todos, repetiremos sin duda",1 contribución,Escrita el 25 de septiembre de 2024,1 contribución,1,Grupo Sibuya,"Le agradecemos enormemente sus palabras e impresiones acerca de nuestro restaurante. Nos animan mucho a seguir manteniendo un servicio eficaz y de calidad. Esperamos verles pronto de nuevo, y seguir disfrutando de los platos de nuestra carta. Un saludo. Equipo Sibuya.",Escrita el 11 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1
1775668924-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d19600810-Reviews-Sibuya_Urban_Sushi_Bar_Madrid-Madrid.html,Todo muy rico,Laura D,"Muy buen servicio , la camarera Silvia un encanto !! La comida una maravilla volveremos 😌😌 se lo recomendaré a la gente !",1 contribución,Escrita el 25 de septiembre de 2024,1 contribución,1,Grupo Sibuya,"Le agradecemos enormemente sus palabras e impresiones acerca de nuestro restaurante. Nos animan mucho a seguir manteniendo un servicio eficaz y de calidad. Esperamos verles pronto de nuevo, y seguir disfrutando de los platos de nuestra carta. Un saludo. Equipo Sibuya.",Escrita el 11 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1
1775668924-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d19600810-Reviews-Sibuya_Urban_Sushi_Bar_Madrid-Madrid.html,Buena experiencia gastronómica,Sandra Milena G,"Excelente servicio especialmente Sandra de la calle Orense, el restaurante nunca defrauda todo riquísimo, buen ambiente y por lo general los camareros muy atentos",1 contribución,Escrita el 23 de septiembre de 2024,"Brujas, Bélgica",1,Grupo Sibuya,"Le agradecemos enormemente sus palabras e impresiones acerca de nuestro restaurante. Nos animan mucho a seguir manteniendo un servicio eficaz y de calidad. Esperamos verles pronto de nuevo, y seguir disfrutando de los platos de nuestra carta. Un saludo. Equipo Sibuya.",Escrita el 11 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/59/default-avatar-2020-49.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1
1775668924-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d19600810-Reviews-Sibuya_Urban_Sushi_Bar_Madrid-Madrid.html,Muy contentos,Lola R,"Nos atendieron muy bien desde que entramos por la puerta.
La decoración es preciosa y cuidan cada detalle
La comida está riquísima, cada bocado es único.",1 contribución,Escrita el 22 de septiembre de 2024,1 contribución,1,Grupo Sibuya,"Le agradecemos enormemente sus palabras e impresiones acerca de nuestro restaurante. Nos animan mucho a seguir manteniendo un servicio eficaz y de calidad. Esperamos verles pronto de nuevo, y seguir disfrutando de los platos de nuestra carta. Un saludo. Equipo Sibuya.",Escrita el 11 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/98/57/df/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/98/57/e0/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/4a/default-avatar-2020-42.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1
1775668924-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d19600810-Reviews-Sibuya_Urban_Sushi_Bar_Madrid-Madrid.html,Cena,Miguel R,"Muy buen sitio para cenar, la comida excelente y el trato también. La camarera que nos antendió, Sandra, superamable.
Muy recomendable",1 contribución,Escrita el 20 de septiembre de 2024,1 contribución,1,Grupo Sibuya,"Le agradecemos enormemente sus palabras e impresiones acerca de nuestro restaurante. Nos animan mucho a seguir manteniendo un servicio eficaz y de calidad. Esperamos verles pronto de nuevo, y seguir disfrutando de los platos de nuestra carta. Un saludo. Equipo Sibuya.",Escrita el 11 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Calidad/precio,Ambiente,Servicio,Comida,Pedir cualquiera de los flambeados,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1
1775668924-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d19600810-Reviews-Sibuya_Urban_Sushi_Bar_Madrid-Madrid.html,Excelente atención,Eliana C,"Excelente atención☺️☺️☺️ recomiendo a Guadalupe excelente camarera, esta muy pendiente de todos vuestros platillos",1 contribución,Escrita el 18 de septiembre de 2024,1 contribución,1,Grupo Sibuya,"Le agradecemos enormemente sus palabras e impresiones acerca de nuestro restaurante. Nos animan mucho a seguir manteniendo un servicio eficaz y de calidad. Esperamos verles pronto de nuevo, y seguir disfrutando de los platos de nuestra carta. Un saludo. Equipo Sibuya.",Escrita el 11 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1
1775668924-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d19600810-Reviews-Sibuya_Urban_Sushi_Bar_Madrid-Madrid.html,Excelente cena,kevin G,"Excelente servicio , la comida 10 puntos . La atención de guadalupe la camarera excelente . Muy recomendable, todo muy bien !",2 contribuciones,Escrita el 18 de septiembre de 2024,2 contribuciones,2,Grupo Sibuya,"Le agradecemos enormemente sus palabras e impresiones acerca de nuestro restaurante. Nos animan mucho a seguir manteniendo un servicio eficaz y de calidad. Esperamos verles pronto de nuevo, y seguir disfrutando de los platos de nuestra carta. Un saludo. Equipo Sibuya.",Escrita el 11 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1
1775668924-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d19600810-Reviews-Sibuya_Urban_Sushi_Bar_Madrid-Madrid.html,Calidad de alimento,Ivanna M,"Muy buen servicio por parte de Guadalupe, muy amable en todo momento y servicial. Nos gustó mucho la calidad de comida y el servicio",1 contribución,Escrita el 15 de septiembre de 2024,"Medellín, Colombia",1,Grupo Sibuya,"Muchísimas gracias por la recomendación y review que hace sobre nuestro local. Compartiremos su comentario con nuestro servicio para seguir ofreciéndole una gran calidad y atención. Esperamos tenerles pronto de vuelta, y que sigan explorando todas las opciones de nuestra carta. 

Un saludo. 
Sibuya Madrid.",Escrita el 17 de septiembre de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/a3/default-avatar-2020-38.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1
