web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,position,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,image,image2,data21,data22,image3
1775737837-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d23443725-Reviews-Sibuya_Urban_Sushi_Bar-Madrid.html,Repetiría sin lugar a dudas,Maria J,"Comida muy buena y servicio excelente. Especial mención a Robert, muy eficiente y atento. Volveremos sin lugar a dudas.",1 contribución,Escrita el 21 de agosto de 2024,1.0,Grupo Sibuya,"Gracias por su visita y comentario sobre nuestro restaurante. Nos complace saber que disfrutaron de la experiencia, y esperamos verles pronto de nuevo. Un saludo. Equipo Sibuya I Madrid.",Escrita el 23 de agosto de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,
1775737837-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d23443725-Reviews-Sibuya_Urban_Sushi_Bar-Madrid.html,Todo muy rico y bien presentado,ALFONSO M,Buen sitio para cenar . Buenas relación calidad precio y la atención de VIVI muy profesional en todo momento. Volveremos y lo recomiendo.,5 contribuciones,Escrita el 18 de agosto de 2024,5.0,Grupo Sibuya,"Gracias por su visita y comentario sobre nuestro restaurante. Nos complace saber que disfrutaron de la experiencia, y esperamos verles pronto de nuevo. Un saludo. Equipo Sibuya I Madrid.",Escrita el 23 de agosto de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,"Por poner una pega , muy poco espacio de la mesa , está a mi juicio mal diseñado el espacio.","Madrid, España",,Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,
1775737837-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d23443725-Reviews-Sibuya_Urban_Sushi_Bar-Madrid.html,Excelente atención y riquísima comida!,Juana B,"José nos atendió MUY bien. Nos ha recomendado platos excelentes. Super atento. Todo bárbaro!!! Un 10!!!
Pedimos el tartar de atún, el rol carpe diem, y el JapoTako. Tremendo!!",9 contribuciones,Escrita el 17 de agosto de 2024,9.0,Grupo Sibuya,"Gracias por su visita y comentario sobre nuestro restaurante. Nos complace saber que disfrutaron de la experiencia, y esperamos verles pronto de nuevo. Un saludo. Equipo Sibuya I Madrid.",Escrita el 23 de agosto de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Madrid, España",,Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,
1775737837-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d23443725-Reviews-Sibuya_Urban_Sushi_Bar-Madrid.html,Antonio el mejor!,Happiness05167418507,"Todo genial, Antonio nos ha atendido de maravilla, la comida deliciosa, y el local precioso. Sin duda repetiremos algún día.",1 contribución,Escrita el 12 de agosto de 2024,1.0,Grupo Sibuya,"Gracias por su visita y comentario sobre nuestro restaurante. Nos complace saber que disfrutaron de la experiencia, y esperamos verles pronto de nuevo. Un saludo. Equipo Sibuya I Madrid.",Escrita el 23 de agosto de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,
1775737837-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d23443725-Reviews-Sibuya_Urban_Sushi_Bar-Madrid.html,Cena veraniega,Pilar H,"Muy buena cena de la mano de Vivi que fue encantadora. 
Ambiente tranquilo y todos los platos estaban muy ricos. Repetiré",3 contribuciones,Escrita el 9 de agosto de 2024,3.0,Grupo Sibuya,"Gracias por su visita y comentario sobre nuestro restaurante. Nos complace saber que disfrutaron de la experiencia, y esperamos verles pronto de nuevo. Un saludo. Equipo Sibuya I Madrid.",Escrita el 23 de agosto de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",3 contribuciones,,Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,
1775737837-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d23443725-Reviews-Sibuya_Urban_Sushi_Bar-Madrid.html,Sibuya,lorena a,"Mariana nos trato genial, la comida estaba excelente, pedimos tres platos y nos encantó. Muy recomendable. Acabamos muy contentos.",1 contribución,Escrita el 8 de agosto de 2024,1.0,Grupo Sibuya,"Gracias por su visita y comentario sobre nuestro restaurante. Nos complace saber que disfrutaron de la experiencia, y esperamos verles pronto de nuevo. Un saludo. Equipo Sibuya I Madrid.",Escrita el 23 de agosto de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,
1775737837-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d23443725-Reviews-Sibuya_Urban_Sushi_Bar-Madrid.html,Atención y comida excelente,Katherina K,Este sitio esta genial la atención excelente sobre todo la chica que nos atendió Mariana super amable y la comida muy rica.,2 contribuciones,Escrita el 7 de agosto de 2024,2.0,Grupo Sibuya,"Gracias por su visita y comentario sobre nuestro restaurante. Nos complace saber que disfrutaron de la experiencia, y esperamos verles pronto de nuevo. Un saludo. Equipo Sibuya I Madrid.",Escrita el 23 de agosto de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",2 contribuciones,,Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/9f/default-avatar-2020-16.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,
1775737837-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d23443725-Reviews-Sibuya_Urban_Sushi_Bar-Madrid.html,Recomendadisimo,Dream39177447225,Encantada con la comida del lugar y con la atención de José. Recomendado completamente. Volvería al lugar de nuevo encantada,1 contribución,Escrita el 3 de agosto de 2024,1.0,Grupo Sibuya,"Gracias por su visita y comentario sobre nuestro restaurante. Nos complace saber que disfrutaron de la experiencia, y esperamos verles pronto de nuevo. Un saludo. Equipo Sibuya I Madrid.",Escrita el 23 de agosto de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1 contribución,,Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,
1775737837-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d23443725-Reviews-Sibuya_Urban_Sushi_Bar-Madrid.html,Increíble,cleisy g,"Es un lugar muy acogedor, la comida es increíble y la atención es maravillosa, Jose es muy amable y atento, recomendado.",1 contribución,Escrita el 3 de agosto de 2024,1.0,Grupo Sibuya,"Gracias por su visita y comentario sobre nuestro restaurante. Nos complace saber que disfrutaron de la experiencia, y esperamos verles pronto de nuevo. Un saludo. Equipo Sibuya I Madrid.",Escrita el 23 de agosto de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1 contribución,,Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,
1775737837-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d23443725-Reviews-Sibuya_Urban_Sushi_Bar-Madrid.html,Atención de 10,cleyne g,"Muy buena atención de parte de José, muy amable y excelente servicio, la comida muy rica, la cerveza asahi la recomiendo es muy buena",1 contribución,Escrita el 3 de agosto de 2024,1.0,Grupo Sibuya,"Gracias por su visita y comentario sobre nuestro restaurante. Nos complace saber que disfrutaron de la experiencia, y esperamos verles pronto de nuevo. Un saludo. Equipo Sibuya I Madrid.",Escrita el 23 de agosto de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/b2/default-avatar-2020-69.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,
