web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,image,image2,image3,data4
1775578082-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Una buena atención,Mariangel E,"Muy buena experiencia, los chicos amables y atentos. La comida muy rica, es mi lugar favorito sin duda❤️❤️❤️❤️❤️❤️❤️❤️❤️",1 contribución,1.0,Escrita el 6 de agosto de 2025,,1 contribución,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1,
1775578082-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Excepcional,Katherine B,"De verdad que Sushi más divino y juntos a los cócteles son un 20/10🩷 El barrender se la rifó y la atención de Alejandro y Osiris increíble, súper amables que definitivamente voy a volver 🩷",1 contribución,1.0,Escrita el 6 de agosto de 2025,,1 contribución,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,
1775578082-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Comida y trato magnífico.,Ariadna F,"Excelente servicio, todo el personal es un amor, cálidos y super atentos. Nos atendieron Alejandro y Osiris, pero incluso tuvimos la oportunidad de hablar con el bartender y es de 10. La comida increíble, no es la primera vez que venimos, pero siempre siempre encontramos el camino de vuelta.",1 contribución,1.0,Escrita el 6 de agosto de 2025,"Recomiendo hacer reserva, porque fuimos con reserva un miércoles y está claro que de no hacerla no habríamos podido cenar.",1 contribución,Consejo:,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg?w=100&h=-1&s=1,
1775578082-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Increíble experiencia,Jared T,¡Increíble! Alejando era increíble. Me encantó la comida y las bebidas. Todo fue rápido y nuestra reserva fue a tiempo. ¡Gracias!,4 contribuciones,4.0,Escrita el 6 de agosto de 2025,,4 contribuciones,,,,,,Mostrar original,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Traducido automáticamente,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,
1775578082-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,El sushi tempura esta muy rico🩷,Valeria M,"Era la primera vez que venia con mi amiga a comer sushi, un chico muy encantador Osiris Quijano nos atendio de 💯 .
Nos aconsejo y nos guio para tener una buena experiencia.",1 contribución,1.0,Escrita el 6 de agosto de 2025,El sushi tempura,1 contribución,Consejo:,Calidad/precio,Ambiente,Servicio,Comida,,,,,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/b4/ea/7d/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,
1775578082-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Decepción,juan@o19.es,"me ha decepcionado , los comentarios eran buenos pero …. no se si son bots . atencion bien pero los detalles importan, la salsa de soja en el bote del supermercado no ayuda , los nachos no estaban gratinados, del paquete a la mesa . y las fajitas eran cocidas , no salteadas en sarten como debe ser . decepcion , bueno es solo mi opinión ., el servicio bien por eso le he puesto normal , es lo que sube la valoración .
Además caro .",61 contribuciones,61.0,Escrita el 5 de agosto de 2025,,"Sevilla, España",,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/b2/11/25/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/f2/ef/59/kalifornio69.jpg?w=100&h=-1&s=1,
1775578082-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Sushi delicioso,Anita,"Fui a cenar a Sàkale y me encantó! El atendimiento por parte del personal fue excelente y la comida estaba deliciosa, nos pedimos sushi y soy vegetariana y no hubo ningún problema. Me prepararon sushi de zanahoria, queso crema, pepino, aguacate y wakame. Estaba increíble! Sin duda, repetiré 100%",4 contribuciones,4.0,Escrita el 3 de agosto de 2025,,"Tenerife, España",,,,,,,,,,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/78/fe/49/caption.jpg?w=100&h=-1&s=1,
1775578082-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Excelente lugar de Suchi gracias ..,Alejandro V,La mejor comida de SuShi Y el mejor lugar sin palabras algunas . %%% recomendado el mejor que he probado en madrid .. gracias a la Mejor atención de Osiris y emily son los mejores ………..❤️,1 contribución,1.0,Escrita el 31 de julio de 2025,Excwlwnte,1 contribución,Consejo:,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg?w=100&h=-1&s=1,
1775578082-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Me encantó,francis v,"Todo super chevere de verdad que si, comida, bebida, música y servicio excelente 10/10. Voy a volver, la pasé buenísimo, gracias",2 contribuciones,2.0,Escrita el 30 de julio de 2025,Me encanto el vulcano y los coquitos,2 contribuciones,Consejo:,Calidad/precio,Ambiente,Servicio,Comida,,,,,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/a3/91/6f/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg?w=100&h=-1&s=1,
1775578082-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,"Buen shushi, caro, servicio medio",christianhayopsahl,"Buena comida pero lento y mal servicio. A pesar de que el lugar no es muy grande, IT tomó mucho tiempo para hacer el pedido e IT tomó al menos 30 minutos antes de que la comida se sirviera. Olvidé 1 pedido pero cobré por IT. . buen sushi pero caro",107 contribuciones,107.0,Escrita el 24 de julio de 2025,,"Stavanger, Noruega",,,,,,Mostrar original,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Traducido automáticamente,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg?w=100&h=-1&s=1,
