web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,image,image2,image3,image4,data19,data20,data21,data22,data23,image5,image6,image7,image8,image9,image10,image11,image12,position,position2
1775744679-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d6884911-Reviews-DSTAGE-Madrid.html,Experiencia sensorial,JMRR70,"Aún a pesar de haber recorrido centenares de restaurantes de cierto nivel pero esta vez ha sido mi primera incursión en un doble estrellado Michelín y...ha merecido la pena.
Sin duda lo degustado le sitúa en el podium de todas mis cuantiosas experiencias gastronómicas.
Platos del menú degustación que no olvidaré y por los que sencillamente merece una segunda visita inmediata con la compañía más cercana. Pases como el del maíz, el del shitake, el de la anguila ahumada, son INCREIBLES.
La atención por parte del equipo de sala ha sido excepcional; chicos jóvenes pero JASP y un somelier que atesora un largo acompañamiento a Diego Guerrero, y que ha sido cercano y accesible en todo momento. Gracias.
Por poner algún área de mejora diría un par de cosas : no creo que les merezca la pena cobrar un café, no porque cueste nada pagar 3 € adicionales en una cuenta de importe merecidamente elevado...es el detalle.
Y en segundo lugar diría que , en especial en mi caso, me hubiera hecho ilusión que Diego Guerrero hubiera pasado un instante por la mesa para saludar, aunque entiendo el hastío que puede suponer este hecho día sí tras otro.
En resumen, he estado en varios uniestrellados Michelín y Dstage ha sido mi primera incursión en los biestrellados, pero la diferencia entre unos y éste va más allá de la estrella de diferencia. Ha sido increible la experiencia y volveré en cuanto el bolsillo me dé un respiro porque hoy he sido invitado por un buen amigo.
Gracias por el arte culinario.",179 contribuciones,179,Escrita el 14 de julio de 2021,"Madrid, España",Calidad/precio,Comida,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,,,
1775744679-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d6884911-Reviews-DSTAGE-Madrid.html,Muy buen establecimiento,Alvaro G,Recomiendo este restaurante. Productos de calidad y un servicio impecable. Lo volveremos a hacer pronto.,2 contribuciones,2,Escrita el 9 de julio de 2021,"Madrid, España",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,,,
1775744679-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d6884911-Reviews-DSTAGE-Madrid.html,Inolvidable,M Luy M,"Muy bien
Nos sentimos como en casa
Eso si con todos pendientes 
Una zona muy casual muy bien ambientada y muy bien orquestada 
Eso si
Hay que ir con hambrita",598 contribuciones,598,Escrita el 4 de julio de 2021,"Tegueste, España",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,0,,,,,,,,,,,,,,,,,,,
1775744679-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d6884911-Reviews-DSTAGE-Madrid.html,Un prisma personal,Nancos,"Menú extenso de 18 platos, con cambios (quedaron fuera la divertida vieira y la castaña, pero entraron con fortuna las huevas de merluza con levadura de cabra y cangrejo, y cierta diversión en los guisantes con compota de manzana verde y arrope de ajonegro) con respecto a la comanda que degustamos el pasado enero.

La cocina de Diego Guerrero es muy personal, un prisma en bloques para exquisitos: elegantes y muy inspirados prehispánicos -maíz/kéfir, maya y postre-, tradicionales evocados con sentimiento y nostalgia -chorizo al txakolí, pimiento y un difícil, muy complejo para el paladar común, pichón koji-, y potentes sinopsis marinas (un triunfo el calamar, la anguila, la citada merluza; sutil la kokotxa) o vegetales (coliflor y hongo con foie y cebolla de estrella, además de los ya referidos). 

El resultado no tiene, para el que suscribe, parangón. No ha lugar comparación con otros de su categoría, superior o inferior.

Servicio sobresaliente.
Carta de vinos pobre.",640 contribuciones,640,Escrita el 23 de junio de 2021,"Madrid, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/a6/0b/c3/castana.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/a6/f1/4a/vieira.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/a7/c9/2f/maya.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/27/a9/24/nancos.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,,,
1775744679-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d6884911-Reviews-DSTAGE-Madrid.html,Excelencia sin pretensiones,Inés MM,"Atención 5 estrellas y comida muy rica. Servicio excelente, tanto por parte de la persona que nos atendía como por la dueña. Sin duda es un sitio al que merece la pena volver. Un tesorito en la zona de Ibiza.",3 contribuciones,3,Escrita el 19 de junio de 2021,"Madrid, España",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/b1/a9/01/caption.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,,,
1775744679-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d6884911-Reviews-DSTAGE-Madrid.html,Gran decepción,Raul,"Íbamos muy ilusionados pero el restaurante no cumplió ni de cerca las expectativas. 2 estrellas Michelin, recomendaciones muy buenas...

Tomamos el menu de 11 platos y aunque hay mucho sabor y creatividad no hubo ningún plato que recordemos como excepcional. Algún plato rico (calamar, seta shitake, pimiento) algunos sin mas, y otros que directamente no nos gustaron.",4 contribuciones,4,Escrita el 10 de junio de 2021,"Madrid, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",1,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,,,
1775744679-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d6884911-Reviews-DSTAGE-Madrid.html,Muy disfrutable,Kike M,"Lo primero, se come de diez. Pero merece las 5 estrellas? Par mí las dejo para sitios a los que volvería. Algunos pases deliciosos y memorables, pero la recta final bajó algo. El pichón y los postres se me quedaron justos. De los mejores maridajes que he tomado. Servicio 10.",459 contribuciones,459,Escrita el 3 de mayo de 2021,"Madrid, España",Calidad/precio,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,2,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,,,
1775744679-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d6884911-Reviews-DSTAGE-Madrid.html,EXPERIENCIA 💯,Jorge S,"Lugar sencillo, alta calidad, trato exquisito, los platos muy elaborados y conseguidos por supuesto.
ENHORABUENA,,,",216 contribuciones,216,Escrita el 10 de abril de 2021,"Madrid, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/d7/9e/55/photo0jpg.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/d7/9e/56/photo1jpg.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/d7/9e/57/photo2jpg.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/18/b6/e5/jorge-s.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,,,
1775744679-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d6884911-Reviews-DSTAGE-Madrid.html,Decepción... lo único que,Arianne C,"Decepción... lo único que salvo la noche fue Chelo y los postres.  Llegamos a las 19:56 llovía,.. y nos dijeron que esperásemos fuera.:. Para una cena que cuesta más de 400 euros?!!! Muy mal... luego los platos nada wow... solo los postres.  Era mi regalo de cumpleaños de mi marido y sinceramente quede muy decepcionada de lo que pensaba iba a ser y a súper experiencia...",49 contribuciones,49,Escrita el 2 de abril de 2021,"Madrid, España",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,2,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/8e/6f/3a/caption.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,,,
1775744679-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d6884911-Reviews-DSTAGE-Madrid.html,No vale lo que se paga.,Periplo37,"Cuando uno va a un restaurante con 2 estrellas Michelín lo que busca es salir de allí con un cierto impacto por lo vivido o, más bien, por lo comido y bebido. De los 15 platos que consistía el menú, tan solo el segundo de los postres (plato número 14) es absolutamente sorprendente e impecable, tanto en su concepción como en su ejecución. Hasta ese plato, la comida es realmente buena pero peca de repetición en texturas y me atrevería a decir que incluso en sabores. Además, las elaboraciones no son especialmente impactantes. 
En cuanto al maridaje que ofrecen, no pasa tampoco de un 6. Algunos vinos muy interesantes, pero otros demasiado arriesgados (sé que esto es cuestión de gusto) o, incluso, incorrectos en su ""matrimonio"" con el plato correspondiente. Inconcebible que 2 de las bebidas sean un par de aguachirris con cero fundamento y absolutamente insustanciales.

En resumen, comida rica, con unos 5 o 6 platos realmente buenos y conseguidos, pero con otros platos decepcionantes en su concepto y elaboración. Bajo ningún concepto se justifica el precio con lo obtenido a cambio... y mucho menos aún si metemos en la misma valoración el tema del maridaje.

Recomendable solo si no has tenido nunca una experiencia de este tipo pero, sin duda, hay otras opciones muchísimo más interesantes en Madrid.",24 contribuciones,24,Escrita el 2 de abril de 2021,"Torrelodones, España",Calidad/precio,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",1,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/79/67/34/periplo37.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,,,
1775744679-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d6884911-Reviews-DSTAGE-Madrid.html,Un sólo pequeño gran pero.,Serenghetti,"Un sólo pequeño gran pero. Guerrero es un cocinero de altura. Materia prima, equipo y técnica. Alarde de imaginación y ejecución artística. Algunas creaciones, sorprendentes, excepcionales. La cena fue redonda....hasta que llegó la tarta. ¡No se les ocurra decir que es su aniversario! Demasiado punky. Una pena... (¿O une pene?)",137 contribuciones,137,Escrita el 2 de abril de 2021,"Madrid, España",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/84/80/c2/serenghetti.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,,,
1775744679-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d6884911-Reviews-DSTAGE-Madrid.html,Muy decepcionante,Istharis,"Muy flojo en general para dos estrellas michelin.
Llegamos a las 7 menos dos minutos, nos dicen que nos esperemos fuera y al minuto entra otra pareja y les dejan pasar. 
Nos preguntaron qué queríamos beber, dijimos que cava y que aceptabamos recomendaciones. La camarera nos dijo que el cava iba muy bien con el menú y se largó. Ninguna recomendación.
Después tuvimos que llamar la atención a los camareros varias veces para que nos rellenaran la copa. Si no me van a servir que me dejen la botella, la verdad.
Y la comida...correcta pero nada espectacular, lo unico el postre de algodón de azucar. De un restaurante así esperas que al menos 3 o 4 platos te dejen sin aliento.
No volveremos y no lo vamos a recomendar.",22 contribuciones,22,Escrita el 29 de marzo de 2021,22 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/a8/12/86/istharis.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,,,
