web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,image,image2,image3,image4,image5,image6,data15,data16,data17,data18,data19,data20
1775832122-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d1222048-Reviews-Restaurante_La_Malontina-Madrid.html,5 estrellas porque no hay 6,Ceci P,"Celebré mi cumpleaños con mi madre y mis hermanas y la atención fue excelente, la comida fantástica y el precio acorde a su calidad. Un verdadero placer. Volveré pronto.",4 contribuciones,4.0,Escrita el 7 de marzo de 2022,"Londres, Reino Unido",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,,,,,,,,
1775832122-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d1222048-Reviews-Restaurante_La_Malontina-Madrid.html,Espectacular,Ismael T,Sencillamente Una carta ESPECTACULAR!!! 100% recomendable. Volvíamos a BCN y antes de coger el ave (15’ a pie) BOOM descubrimiento! Un chef y local súper bien. Gracias!,2 contribuciones,2.0,Escrita el 24 de febrero de 2022,2 contribuciones,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0,,,,,,,,,,,,
1775832122-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d1222048-Reviews-Restaurante_La_Malontina-Madrid.html,Una cena especial,Marta H,Es un restaurante chiquitito por lo que es indispensable reservar. Nada más entrar te explican las medidas covid que se agradece. Luego te sorprenden con un aperitivo para ir abriendo boca. Una crema de patata con polvo de aceituna que estaba deliciosa. La atención del dueño y la camarera fueron inmejorables. Estábamos celebrando el aniversario y nos hicieron que la noche fuera muy especial. Nos lo habían recomendado y salimos gratamente sorprendidos. Volveremos sin dudarlo.,4 contribuciones,4.0,Escrita el 31 de enero de 2022,"Madrid, España","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1,,,,,,,,
1775832122-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d1222048-Reviews-Restaurante_La_Malontina-Madrid.html,Excelente!!!!!!,Lucia R,"Estuvimos cominedo el sábado, toda la comida estaba buenisima, los camareros y el dueño super atentos y encantadores. Totalmente recomendable!!!! Volveremos",18 contribuciones,18.0,Escrita el 31 de enero de 2022,18 contribuciones,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,,,,,,,,
1775832122-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d1222048-Reviews-Restaurante_La_Malontina-Madrid.html,"Sitio pequeño, comida muy interesante",Duchus,"La visita fue para comer un día de diario, previa reserva, que dado el tamaño del restaurante puede ser bastante necesario. Y es lo que más llama la atención a primera vista; es una sala pequeña con pocas mesas, lo que tiene su parte mala y su parte buena, y en esa parte positiva se encuentra la atención personalizada que recibes. El personal es amable y está pendiente de ti en todo momento, pero sin agobiar.

Al ser día de diario te ofrecen la posibilidad de elegir el menú del día, pero aunque en este caso comimos de carta, creo que por relación calidad precio puede ser una buena idea si estás en la zona. Y además de la carta te ofrecen de viva voz una serie de platos no incluidos.

Elegimos un entrante y un plato principal por persona, pero con mucho acierto por parte de la camarera, nos aconsejó que en lugar del entrante entero, por cantidad sería mejor medio. Escogimos brochetas de langostinos y calamares, estupendas, y alcachofas confitadas con hummus. Los principales fueron wok de lomo y bacalao confitado con morcilla y patatas revolconas, siendo esto último tal vez el plato que menos me gustó, porque aunque el bacalao estaba muy bueno, no me acabó de gustar la mezcla de sabores con la morcilla y las patatas.

En resumen, un sitio muy recomendable, en el que estás como en casa y al que intentaré volver.",26 contribuciones,26.0,Escrita el 4 de enero de 2022,"Madrid, España","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1,,,,,,,,
1775832122-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d1222048-Reviews-Restaurante_La_Malontina-Madrid.html,Pequeño pero matón.,oesteban1,"El restaurante es muy pequeño pero los platos que sirven son una verdadera maravilla. El chili crab de oreja es un 10 absoluto. Probamos también las alcachofas con hummus y la lasaña de pato. Riquísimos. Puedes comer de carta, de menú o de menú degustación. Y a muy buen precio todas las opciones. Era la primera vez que iba y quedé gratamente sorprendido. Volveré.",351 contribuciones,351.0,Escrita el 1 de enero de 2022,"Madrid, España","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/bd/f4/92/lasana-de-pato.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/bd/f4/90/alcachofas-a-la-brasa.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/bd/f4/9c/chili-crab-de-oreja.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/c8/69/27/oscar-e.jpg?w=100&h=-1&s=1,,,,,,,,
1775832122-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d1222048-Reviews-Restaurante_La_Malontina-Madrid.html,Excelente!!!!,Laury c,"Fuimos a cenar seis personas a este restaurante y lo primero que me gustaría destacar es la atención recibida tanto por el dueño como el personal. Seguidamente, todo lo que comimos estaba espectacular  y de una alta calidad. La única pega sería que el local es muy pequeñín pero eso también lo hace mas acogedor. Sin ninguna duda para repetir.",14 contribuciones,14.0,Escrita el 5 de diciembre de 2021,"Madrid, España",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,,,,,,,,
1775832122-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d1222048-Reviews-Restaurante_La_Malontina-Madrid.html,Muy rica comida en local muy pequeñito,BiCT1,"Restaurante pequeñito, con una carta con platos variados diferentes y muy ricos. Cogimos 4 platos para compartir y todo delicioso. Además te ponen un platito de aperitivo. La calidad, cantidad y precio muy bien. Las bebidas un poco elevadas. 
La atención es excelente, son muy atentos y amables. 
El local es muy pequeño, con mesas muy juntas. Está ventilado y tienen un aparato para medir el CO2, pero nos pareció un poco agobiante.",13580 contribuciones,13580.0,Escrita el 27 de noviembre de 2021,"Madrid, España",,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/78/5c/1f/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/78/5c/1e/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/78/5c/20/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-f/01/2e/70/60/avatar038.jpg?w=100&h=-1&s=1,,,,,,,,
1775832122-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d1222048-Reviews-Restaurante_La_Malontina-Madrid.html,Experiencia 10 en todos los sentidos,andrea n,"Fuimos mi pareja y yo por un bono regalo de una Smart Box, y puesto no haber realizado ningún tipo de ocio asi teniamos un poco de miedo tanto por el trato que recibiríamos como por la comida. Decidimos llamar para aclararnos algunas dudas que teniamos y decidimos ir a La Malontina porque fueron bastante atentos con nosotros respecto a gustos y reservas. La comida estaba bastante rica, en mi opinión (dentro de lo que probé) el plato estrella fueron los risottos de ternera y gulas con gambas y el postre, crema de mango con mascarpone, estaban deliciosos, y el trato fue excelente tanto por parte de pablo como la chica, que no la preguntamos su nombre, estuvieron muy atentos preguntándonos qué era de nuestro agrado, y si habian algunas cosas que no nos gustasen podríamos cambiarlo, super amables en todo, y una buena cena, repetiría en ese lugar sin ninguna duda!!!",5 contribuciones,5.0,Escrita el 23 de noviembre de 2021,5 contribuciones,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1,,,,,,,,
1775832122-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d1222048-Reviews-Restaurante_La_Malontina-Madrid.html,Para repetir!!!,Pere B,"Cocina de autor, muy buen autor Pablo!!!
Dejaros aconsejar son súper amables, comida excelente y buenos vinos
Todo en un ambiente muy agradable y un entorno precioso
Muy recomendable",333 contribuciones,333.0,Escrita el 20 de noviembre de 2021,"Sant Celoni, España",,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/6b/f9/50/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/fc/c4/1d/pere-b.jpg?w=100&h=-1&s=1,,,,,,,,
