web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,image,image2,image3,position,image4,image5,image6
1775743255-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d11953286-Reviews-Burnout-Madrid.html,Hamburguesas espectaculares!,herasraquel,"Nos pedimos una hamburguesa por persona y una tarta banoffe para compartir, todo muy rico...y por un precio aceptable. En torno a 17€/persona","Alcorcón, España",12 contribuciones,12.0,Escrita el 15 de febrero de 2020,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg?w=100&h=-1&s=1,,,,
1775743255-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d11953286-Reviews-Burnout-Madrid.html,,,,,,,,Explora ahora,Descubre Hiroshima,Descubre por qué a los viajeros como tú les encanta Hiroshima,Este contenido está patrocinado por Hiroshima Tourism(HIT). Ves este anuncio porque su contenido es similar a contenido que tú has mirado antes. Puede que el patrocinador haya pagado para promocionar contenido en Tripadvisor.,,Patrocinado por Hiroshima Tourism(HIT),,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/a4/aa/02/caption.jpg?w=400&h=400&s=1,,,,,,
1775743255-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d11953286-Reviews-Burnout-Madrid.html,Buena onda!,Veronica T,Riquísima comida y buenísima onda de todos. La carta no es muy amplia pero es interesante y dan ganas de probar todo!,2 contribuciones,2 contribuciones,2.0,Escrita el 14 de febrero de 2020,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/9f/default-avatar-2020-16.jpg?w=100&h=-1&s=1,,,,
1775743255-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d11953286-Reviews-Burnout-Madrid.html,Buenisimo!!,Jessica B,"Comida riquisima.. las hamburguesas muy buenas pero si no tienes ganas de hamburguesa, el pollo en pelotes esta buenisimo!! 
Musica muy cool y el servicio excelente",1 contribución,1 contribución,1.0,Escrita el 8 de febrero de 2020,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg?w=100&h=-1&s=1,,,,
1775743255-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d11953286-Reviews-Burnout-Madrid.html,Riquísimo,Nikiiiii,"Todo casero. Las bacon cheese fries las mejores que he probado nunca. La carne muy buena y tierna, aunque un pelín sosa.
El precio bastante bien para ser comida casera y bien rica.","Madrid, España",3 contribuciones,3.0,Escrita el 7 de febrero de 2020,,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/ca/af/d3/nifunifanina.jpg?w=100&h=-1&s=1,,,,
1775743255-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d11953286-Reviews-Burnout-Madrid.html,"Muy bien, restaurante a tener en cuenta!!",Teresa,"Restaurante a tener en cuenta si queremos comer una buena hamburguesa, todo muy rico, el personal muy amable, el local agradable cerca de la gran vía. Comimos de menú diario (viernes al mediodía) y todo estuvo genial, las patatas fritas súper buenas y salimos encantados, sin duda, repetiremos! 100% recomendable!!!!","Madrid, España",40 contribuciones,40.0,Escrita el 3 de febrero de 2020,,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/94/79/0b/teresa-pilar.jpg?w=100&h=-1&s=1,,,,
1775743255-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d11953286-Reviews-Burnout-Madrid.html,Excelente tanto la comida como el trato,Miguel Angel Rodiño,"Primero la atención exquisita, súper amables y muy simpáticos a pesar de que el local estaba lleno me buscaron un hueco para una persona. Después la hamburguesa estaba espectacular y no tardaron mucho en servirme. Desde luego repetiré en mi próxima visita a Madrid","Sanxenxo, España",7 contribuciones,7.0,Escrita el 2 de febrero de 2020,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/67/e1/35/miguelangelrodinho.jpg?w=100&h=-1&s=1,,,,
1775743255-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d11953286-Reviews-Burnout-Madrid.html,,,,,,,,Explora ahora,Descubre Egipto,Descubre por qué a los viajeros como tú les encanta Egipto,Este contenido está patrocinado por Experience Egypt. Ves este anuncio porque su contenido es similar a contenido que tú has mirado antes. Puede que el patrocinador haya pagado para promocionar contenido en Tripadvisor.,,Patrocinado por Experience Egypt,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/13/8e/38/caption.jpg?w=400&h=400&s=1,,,,,,
1775743255-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d11953286-Reviews-Burnout-Madrid.html,Muy bueno,Antonio A,"La comida está muy buena, la carne se nota que es de calidad, los nachos riquísimos y el personal muy agradable, nada caro para la calidad de sus productos.","Córdoba, España",39 contribuciones,39.0,Escrita el 26 de enero de 2020,,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/b6/37/d8/burnout.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/75/8c/a6/caption.jpg?w=100&h=-1&s=1,,,,
1775743255-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d11953286-Reviews-Burnout-Madrid.html,Un sitio a descubrir y una hamburguesa a probar,Manu Carretero,"Fui con mi novia a probar un sitio nuevo y reservamos aquí. Yo me pedí la hamburguesa Burnout, no era la más cara (no llegaba a 11 euros). Estaba espectacular, era grande pero no exagerada, el tamaño justo.
La única recomendación que les diría es que las patatas fueran acompañadas con alguna salsa especial, aunque te Dan mayonesa los camareros igualmente.
Y para rematar al pagar nos dieron chuches y un chupito a cuenta de la casa, que es una tontería, pero al menos es un gesto a agradecer.
Volveré sin duda",5 contribuciones,5 contribuciones,5.0,Escrita el 26 de enero de 2020,,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/b8/7f/9a/manucarretero15.jpg?w=100&h=-1&s=1,,,,
