web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,position,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,image,image2,image3,image4,image5,image6,image7,image8,data22
1776246036-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d6498928-Reviews-Metro_Bistro_Plaza_Mayor-Madrid.html,Estupendo,Anonimo,"Menú degustación estupendo, buen precio y atención fabulosa.
Es la segunda vez que vamos y repetiremos","Muchas gracias por volver a Metro Bistro,  nos alegra que te hallas probado nuestro Menú Degustación, es donde exponemos los mejores platos de nuestra cocina. Puedes repetir todas las veces que quieras, nosotros encantados de tener clientes como tu!!","Madrid, España",Escrita el 9 de mayo de 2021,Escrita el 11 de mayo de 2021,1 contribución,1.0,MetroBistro_CM,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Comida,Servicio,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-f/01/2e/70/97/avatar023.jpg?w=100&h=-1&s=1,
1776246036-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d6498928-Reviews-Metro_Bistro_Plaza_Mayor-Madrid.html,Genial,Luis Miguel R,"No sabría porqué decantarme,  las croquetas de mejillones y nécoras,  el tarta de pez mantequilla, el salmorejo con helado de aceite de oliva, los postres, ufffff","Genial ...nos parece tu reseña. Porque de esta manera nos damos cuenta que nuestro esfuerzo vale la pena! Muchas gracias por compartir, te esperamos pronto!!",15 contribuciones,Escrita el 7 de mayo de 2021,Escrita el 11 de mayo de 2021,,15.0,MetroBistro_CM,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/f2/c0/c7/metro-bistro-plaza-mayor.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/f2/c0/ca/metro-bistro-plaza-mayor.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/f2/c0/cc/metro-bistro-plaza-mayor.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/f2/c0/c1/metro-bistro-plaza-mayor.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/f2/c0/cf/metro-bistro-plaza-mayor.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/f2/c0/c4/metro-bistro-plaza-mayor.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-f/01/2e/70/97/avatar023.jpg?w=100&h=-1&s=1,
1776246036-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d6498928-Reviews-Metro_Bistro_Plaza_Mayor-Madrid.html,Comida riquísima en el centro de Madrid,Bea,"Local en el centro con una gran variedad de comida y vinos. Me encantó el arroz, los gambones al infierno y las croquetas. Los postres también son espectaculares, en especial la tarta de queso. 

Es una buena elección tanto para ir en familia o con amigos. Además, nos atendieron genial. Sin duda volveré más veces a este restaurante!",Muchas gracias por compartir tu experiencia gastronómica. Nos alegra mucho que te guste nuestra cocina y atención ....Seguiremos esforzándonos para que vuelvas te vallas feliz!!!,"Madrid, España",Escrita el 6 de mayo de 2021,Escrita el 11 de mayo de 2021,17 contribuciones,17.0,MetroBistro_CM,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,,Leer más,Leer más,,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-f/01/2e/70/97/avatar023.jpg?w=100&h=-1&s=1,
1776246036-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d6498928-Reviews-Metro_Bistro_Plaza_Mayor-Madrid.html,Comida familiar perfecta,Trip56512910350,"Comida familiar perfecta en uno de los mejores restaurantes que se pueden visitar en Madrid. La cocina de Matias Smith es exquisita, el trato personal inmejorable y el entorno cuidado y lleno de detalles agradables.
Un 10 en todos los sentidos.","Me enorgullece mucho leer este comentario, me encata cocinar y atender a nuestros clientes. Muchísimas gracias por compartir vuestra experiencia en Metro Bistro, los esperamos pronto!!!",1 contribución,Escrita el 2 de mayo de 2021,Escrita el 11 de mayo de 2021,,1.0,MetroBistro_CM,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-f/01/2e/70/97/avatar023.jpg?w=100&h=-1&s=1,
1776246036-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d6498928-Reviews-Metro_Bistro_Plaza_Mayor-Madrid.html,Excelente comida y mejor trato,Francisco H,"Descubrimos este sitio en pleno centro histórico de Madrid hace unas semanas. Nos tomamos unos vinos y los acompañamos de unas raciones exquisitas (ensaladilla, croquetas de marisco, humus, ...). Desde entonces, hemos vuelto varias veces y siempre nos hemos encontrado gran calidad y un trato cercano, y todo con una excelente relación calidad - precio.

Ayer jueves 22 de abril, asistimos a una cata de vinos acompañada de los platos que con tanto cariño y buena mano preparara el chef Matías. La experiencia fue increíble en todos los sentidos; qué vinos, de las bodegas Torres, y qué comida (el paté artesano con naranja, el pez mantequilla con chimichurri, las carrilleras al vino, ...).

Madrid se merece lugares como este, para potenciar la imagen de calidad gastronómica y hospitalidad de nuestra ciudad.

Enhorabuena y mucha suerte Matías!!","Hola Francisco, es un placer para nosotros atender a clientes como usted que aprecia la gastronomía de esa manera. Seguiremos esforzándonos cada día para dar lo mejor de nosotros. Un saludo y esperamos verle pronto por Metro Bistro.",6 contribuciones,Escrita el 23 de abril de 2021,Escrita el 30 de abril de 2021,,6.0,MetroBistro_CM,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Comida,Servicio,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-f/01/2e/70/97/avatar023.jpg?w=100&h=-1&s=1,
1776246036-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d6498928-Reviews-Metro_Bistro_Plaza_Mayor-Madrid.html,Paseando lo descubrimos y decidimos probar..,brujita68,Gran descubrimiento!! Bonita decoración.. Buena atención..Foia Gras hummus Gambones ensalada.. !! Acompañado con un buen vino!! Y por supuesto para terminar un buen postre!! Sin duda para repetir!!!,"Muchísimas gracias por tu reseña, la próxima nos esforzaremos mas para conseguir la máxima puntuación!!! Esperamos verle pronto en Metro Bistro.

Matias Smith","Fuensalida, España",Escrita el 11 de abril de 2021,Escrita el 13 de abril de 2021,7 contribuciones,7.0,MetroBistro_CM,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/d8/8b/71/metro-bistro-plaza-mayor.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/d8/8b/73/metro-bistro-plaza-mayor.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/d8/8b/78/metro-bistro-plaza-mayor.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/d8/8b/6f/metro-bistro-plaza-mayor.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/d8/8b/79/metro-bistro-plaza-mayor.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/d8/8b/70/metro-bistro-plaza-mayor.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-f/01/2e/70/97/avatar023.jpg?w=100&h=-1&s=1,
1776246036-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d6498928-Reviews-Metro_Bistro_Plaza_Mayor-Madrid.html,VOLVERE,JAVIER G,"Atención personalizada y muy detallista, con consejos... y comida muy rica.

Restaurante muy próximo a la Plaza Mayor de Madrid.
Carta ajustada y equilibrada.
No se os olvide pedir Hummus porque es escandaloso","Hola Javier, muchas gracias por valorarnos y que se reconozca nuestro esfurezo... Aqui te esperamos muchas veces mas!!! Un saludo desde Metro Bistro

Matias Smith","Madrid, España",Escrita el 5 de abril de 2021,Escrita el 13 de abril de 2021,1 contribución,1.0,MetroBistro_CM,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Comida,Servicio,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-f/01/2e/70/97/avatar023.jpg?w=100&h=-1&s=1,
1776246036-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d6498928-Reviews-Metro_Bistro_Plaza_Mayor-Madrid.html,Muy buena atención y excelente,oscarkb8,"Muy buena atención y excelente calidad/precio. Steak tartar muy bueno, y resto de platos de gran calidad","Hola Oscar, gracias por su reseña y por valorar nuestra cocina y atención, Esperamos verle pronto por Metro Bistro. Un saludo

Matias Smith","Madrid, España",Escrita el 4 de abril de 2021,Escrita el 13 de abril de 2021,35 contribuciones,35.0,MetroBistro_CM,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/c2/7f/33/oscarkb8.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-f/01/2e/70/97/avatar023.jpg?w=100&h=-1&s=1,
1776246036-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d6498928-Reviews-Metro_Bistro_Plaza_Mayor-Madrid.html,Una maravilla.,Pelirubi,"Siempre genial comida de 10 al igual que el servicio. Siempre es un placer disfrutar en Metrobistro. Comimos ensalada de queso de cabra, rucula e higos. Después una lubina con verduras y un steak Tartar. Y de postre canelon de piña con espuma de fruta de la pasión. En resumen: ESPECTACULAR.","ESPECTACULAR...es tener clientes como usted que valoran nuestro esfuerzo y nos alientan para seguir cumpliendo nuestro sueño. Esperamos verles pronto y aprovecho a enviarles un gran saludo desde Metro Bistro.

 Matias Smith","Madrid, España",Escrita el 29 de marzo de 2021,Escrita el 13 de abril de 2021,6 contribuciones,6.0,MetroBistro_CM,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/cb/be/0f/metro-bistro-plaza-mayor.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/cb/be/12/metro-bistro-plaza-mayor.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-f/01/2e/70/97/avatar023.jpg?w=100&h=-1&s=1,
1776246036-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d6498928-Reviews-Metro_Bistro_Plaza_Mayor-Madrid.html,Metro bistro,Cristina M,"Estuvimos comiendo y todo riquísimo, lugar tranquilo y muy recomendable. Cecina y tambores muy buenos y el bacalao y la carne laminada genial, muy detallistas y te explican lo que van sirviendo te. Repetire","Hola Cristina; agradecemos tu opinión, Estaremos esperando que vuelvas para sorprenderte con nuevos platos. Un saludo desde Metro Bistro

Matias Smith","Madrid, España",Escrita el 24 de marzo de 2021,Escrita el 13 de abril de 2021,2 contribuciones,2.0,MetroBistro_CM,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-f/01/2e/70/97/avatar023.jpg?w=100&h=-1&s=1,
