web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,position,data7,data8,data9,data10,data11,data12,data13,data14,image,data15,data16,image2,image3,data17,data18,position2
1775669487-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d23990622-Reviews-El_Sueno_De_Carmen-Madrid.html,Precio acorde a la calidad y servicio.,Francisco José S,"Excelente trato,buen servicio y muy buena calidad. Estaba todo muy bueno . Era la primera vez que íbamos, tengo una perrita y buscaba un restaurante que admitan animales de compañía.",Escrita el 19 de octubre de 2025,oct 2025 • En familia,1 contribución,1,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,,,,,,,
1775669487-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d23990622-Reviews-El_Sueno_De_Carmen-Madrid.html,El trato del personal y la comida fenomenal!,Jose Luis M,"Nos gusta venir con la familia para comidas especiales y de cumpleaños, Los entrantes y principales están muy buenos, las croquetas de jamón, y las de cabrales y boletus están buenísimas. Hoy  tenian de postre un tiramisu con pistacho de 10!. Volveremos a repetir porque el trato es siempre muy bueno,",Escrita el 18 de octubre de 2025,oct 2025 • En familia,1 contribución,1,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/99/default-avatar-2020-40.jpg?w=100&h=-1&s=1,,,,,,,
1775669487-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d23990622-Reviews-El_Sueno_De_Carmen-Madrid.html,Muy buena atención y comida estupenda!,Jessica D,"Buenisima comida, buena atención. Vamos siempre a celebrar los cumpleaños familiares y como siempre un acierto. La atención de Óscar muy buena, nos recomendó platos que fueron un verdadero acierto.",Escrita el 18 de octubre de 2025,oct 2025 • En familia,1 contribución,1,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/7a/default-avatar-2020-25.jpg?w=100&h=-1&s=1,,,,,,,
1775669487-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d23990622-Reviews-El_Sueno_De_Carmen-Madrid.html,Un gran restaurante,Ignacio J,"Siempre un trato excepcional, pero esta última vez... sublime, muy majo Oscar. La comida siempre de calidad, cambió la carta, pero todo exquisito.",Escrita el 18 de octubre de 2025,oct 2025 • En familia,1 contribución,1,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/06/default-avatar-2020-18.jpg?w=100&h=-1&s=1,,,,,,,
1775669487-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d23990622-Reviews-El_Sueno_De_Carmen-Madrid.html,Cumpleaños en familia,Daniela M,Todo genial. Los camareros son super atentos y amables en especial Óscar que nos ha atendido. La comida muy rica. Volveremos!!,Escrita el 18 de octubre de 2025,oct 2025 • En familia,1 contribución,1,Calidad/precio,Ambiente,Servicio,Comida,,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/06/default-avatar-2020-18.jpg?w=100&h=-1&s=1,,,,,,,
1775669487-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d23990622-Reviews-El_Sueno_De_Carmen-Madrid.html,Buena experiencia,Elba S,"Muy buen trato desde que llegamos, ambiente familiar, la comida muy buena, recomiendo la alcachofa y la ensalada del chef, sin embargo todo delicioso.",Escrita el 17 de octubre de 2025,oct 2025 • Amigos,1 contribución,1,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,,,,,
1775669487-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d23990622-Reviews-El_Sueno_De_Carmen-Madrid.html,Quedada con amigos,Guide23185163045,"Fui con amigos, el mejor bar de la zona sin duda, los cameros súper agradables, especialmente Maycol. Volveremos sin dudas",Escrita el 13 de octubre de 2025,oct 2025 • Amigos,1 contribución,1,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,,,,,,
1775669487-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d23990622-Reviews-El_Sueno_De_Carmen-Madrid.html,Disfrute asegurado,Paula C,"May nos atendió de manera excelente, fue super amable y nos trato genial. 

Repetimos seguro. las tapas buenísimas 

Todo genial",Escrita el 9 de octubre de 2025,oct 2025 • Amigos,1 contribución,1,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,,,,,,,
1775669487-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d23990622-Reviews-El_Sueno_De_Carmen-Madrid.html,Excelente,Nicolás S,"May nos atendió de lujo y la verdad que tanto la bebida como las tapas fueron excelentes. 

Nos atendieron genial y el sitio es súper bonito",Escrita el 9 de octubre de 2025,oct 2025 • Amigos,1 contribución,1,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1,,,,,,,
1775669487-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d23990622-Reviews-El_Sueno_De_Carmen-Madrid.html,Un sitio seguro para comer bien,Airotsih86,"La atención de los camareros es muy buena, sobretodo la chica rubia que siempre está pendiente de que no falte nada.

Los platos están n muy ricos y tienen variedad, destacando las carrilleras (echamos en falta un poco más de salsa para mojar más pan)

La tarta de queso deliciosa.",Escrita el 9 de octubre de 2025,oct 2025 • En familia,371 contribuciones,371,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1,,,,,,,,
