web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,position,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,image,image2,image3,data21,data22,data23
1775744466-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d14962689-Reviews-Sibuya_Urban_Sushi_Bar_Chueca-Madrid.html,Acogedora,Carlota O,"Este sitio es genial para ir a cenar o a comer con tu familia ya que el ambiente es muy acogedor y la comida está muy buena, además del buen trato de los camareros, especialmente a nosotros nos atendió Justin, un trato increíble por su parte",1 contribución,Escrita el 18 de enero de 2025,1.0,1 contribución,Grupo Sibuya,"Muchas gracias por acudir a nuestro restaurante y valorar positivamente su experiencia. Esperamos tenerles pronto de vuelta, y que sigan explorando todas las opciones de nuestra carta. Un saludo. Equipo Sibuya.",Escrita el 10 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,
1775744466-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d14962689-Reviews-Sibuya_Urban_Sushi_Bar_Chueca-Madrid.html,Excelente,Sergio G,"Betsi lo más, nos trató súper bien, una capa.
La comida riquísima, tremendo sabor, súper recomendado.
Todos muy buena onda",3 contribuciones,Escrita el 12 de enero de 2025,3.0,3 contribuciones,Grupo Sibuya,"Muchas gracias por acudir a nuestro restaurante y valorar positivamente su experiencia. Esperamos tenerles pronto de vuelta, y que sigan explorando todas las opciones de nuestra carta. Un saludo. Equipo Sibuya.",Escrita el 10 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/8a/a6/48/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,
1775744466-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d14962689-Reviews-Sibuya_Urban_Sushi_Bar_Chueca-Madrid.html,Muy buena experiencia,Tourist03213787262,He ido a comer con mi hija y la verdad es que nos ha sorprendido tanto la variedad como la calidad precio del restaurante. Además de un muy buen trato de Patricia. Volveremos sin duda.,1 contribución,Escrita el 11 de enero de 2025,1.0,1 contribución,Grupo Sibuya,"Muchas gracias por acudir a nuestro restaurante y valorar positivamente su experiencia. Esperamos tenerles pronto de vuelta, y que sigan explorando todas las opciones de nuestra carta. Un saludo. Equipo Sibuya.",Escrita el 10 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,
1775744466-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d14962689-Reviews-Sibuya_Urban_Sushi_Bar_Chueca-Madrid.html,Riquísimo 😋,KrIslandia,"La comida estupenda! Precio asequible para comida de calidad. La atención de Justin, el camarero, fue estupenda. Muy amable, repartiremos sin duda!",20 contribuciones,Escrita el 6 de enero de 2025,20.0,"Madrid, España",Grupo Sibuya,"Muchas gracias por acudir a nuestro restaurante y valorar positivamente su experiencia. Esperamos tenerles pronto de vuelta, y que sigan explorando todas las opciones de nuestra carta. Un saludo. Equipo Sibuya.",Escrita el 10 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,
1775744466-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d14962689-Reviews-Sibuya_Urban_Sushi_Bar_Chueca-Madrid.html,Justin fenomenal atención,Melania,"Ya habíamos cenado aquí pero nos encantó el servicio de Justin ! Muy buena atención y comida riquísima, repetiremos sin duda!",5 contribuciones,Escrita el 4 de enero de 2025,5.0,5 contribuciones,Grupo Sibuya,"Muchas gracias por acudir a nuestro restaurante y valorar positivamente su experiencia. Esperamos tenerles pronto de vuelta, y que sigan explorando todas las opciones de nuestra carta. Un saludo. Equipo Sibuya.",Escrita el 10 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,
1775744466-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d14962689-Reviews-Sibuya_Urban_Sushi_Bar_Chueca-Madrid.html,Comida apta para todos los públicos!,Javier V,"Sitio muy bien decorado. Muy buena comida en familia con muy buena calidad-precio. Nos atendió Betsi, con un trato genial!",1 contribución,Escrita el 4 de enero de 2025,1.0,1 contribución,Grupo Sibuya,"Muchas gracias por acudir a nuestro restaurante y valorar positivamente su experiencia. Esperamos tenerles pronto de vuelta, y que sigan explorando todas las opciones de nuestra carta. Un saludo. Equipo Sibuya.",Escrita el 10 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,
1775744466-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d14962689-Reviews-Sibuya_Urban_Sushi_Bar_Chueca-Madrid.html,Buena comida,Daniela Muñoz,"Justin nos atendió súper bien , la comida deliciosa ….. volvería seguro , el flambé y rick and roll súper buenos los recomiendo.",8 contribuciones,Escrita el 3 de enero de 2025,8.0,"Guayaquil, Ecuador",Grupo Sibuya,"Muchas gracias por acudir a nuestro restaurante y valorar positivamente su experiencia. Esperamos tenerles pronto de vuelta, y que sigan explorando todas las opciones de nuestra carta. Un saludo. Equipo Sibuya.",Escrita el 10 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/c1/f7/59/daniela-m.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,
1775744466-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d14962689-Reviews-Sibuya_Urban_Sushi_Bar_Chueca-Madrid.html,Muy recomendable,Bárbara G,"- Servicio: Betsi ha sido muy atenta con nosotros. Era muy cuidadosa a la hora de traer y poner los platos en la mesa.

- Cocina: espectacular, estaba todo buenísimo, repetiré sin ninguna duda. Y salió muy bien de precio 206€/8 personas

- Ambiente: súper tranquilo, no había apenas ruido. El lugar super agradable y con una decoración muy bonita. Mesas/sillas muy cómodas.

Repetiremos próximamente!",3 contribuciones,Escrita el 23 de diciembre de 2024,3.0,3 contribuciones,Grupo Sibuya,"Muchas gracias por acudir a nuestro restaurante y valorar positivamente su experiencia. Esperamos tenerles pronto de vuelta, y que sigan explorando todas las opciones de nuestra carta. Un saludo. Equipo Sibuya.",Escrita el 10 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/67/57/10/caption.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,
1775744466-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d14962689-Reviews-Sibuya_Urban_Sushi_Bar_Chueca-Madrid.html,Comida muy rica y muy buena atención de Justin,Ignacio V,"Muy rica la comida, ambiente muy tranquilo y una atención perfecta por parte de Justin. Es el Sibuya con el atún más rico de los de Madrid",1 contribución,Escrita el 21 de diciembre de 2024,1.0,"Madrid, España",Grupo Sibuya,"Muchas gracias por acudir a nuestro restaurante y valorar positivamente su experiencia. Esperamos tenerles pronto de vuelta, y que sigan explorando todas las opciones de nuestra carta. Un saludo. Equipo Sibuya.",Escrita el 10 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,
1775744466-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d14962689-Reviews-Sibuya_Urban_Sushi_Bar_Chueca-Madrid.html,Muy buen sitio para tener un rato agradable,cristina,"El camarero que nos atendió (Justin) fue muy atento con nosotros.
Siempre están muy pendientes de los clientes.
Volveremos pronto",3 contribuciones,Escrita el 14 de diciembre de 2024,3.0,3 contribuciones,Grupo Sibuya,"Muchas gracias por acudir a nuestro restaurante y valorar positivamente su experiencia. Esperamos tenerles pronto de vuelta, y que sigan explorando todas las opciones de nuestra carta. Un saludo. Equipo Sibuya.",Escrita el 10 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/58/1b/16/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,
