web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,image,image2,data19,data20,image3,image4
1775832834-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Cena riquisima,Chiara P,"Un nivel de comida espectacular, todo riquísimo. Y la atención del personal un lujo, volvería mil veces",1 contribución,1.0,Escrita el 8 de agosto de 2023,1 contribución,Calidad/precio,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,0,,,,,,
1775832834-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Cuando salís contento,Alberto,"Llegamos a El Social un poco por casualidad. Luego de esa vez nos prometimos volver y así lo hicimos porque allí encontramos una comida exquisita, una atención muy cordial y una buena relación precio- calidad. Lo recomendamos totalmente.",1 contribución,1.0,Escrita el 2 de julio de 2023,Argentina,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,,,,,
1775832834-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Noche alegre y de buenísima comida en Madrid,Lucas F,"El servicio fue perfecto. Además, todos los platos que hemos comido estaban riquísimos. Hemos comigo el guacamole, aguachile, gambas tempurá, la entraña y la flor de calabacín. No consigo pensar en un solo defecto en  cualquier plato!",11 contribuciones,11.0,Escrita el 27 de junio de 2023,"Madrid, España",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg?w=100&h=-1&s=1,,,,,
1775832834-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Muy buena opción,León- Errante,Magnífico restaurante donde el agrado por la exquisita comida compite con la satisfacción por la excelente atención. Relación calidad-precio normal. Local sencillo pero cómodo. Ambiente distendido. Opción muy recomendable.,343 contribuciones,343.0,Escrita el 22 de mayo de 2023,"Madrid, España",Calidad/precio,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/eb/8c/f3/tomas-r.jpg?w=100&h=-1&s=1,,,,,
1775832834-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,No se lo pierdan!,Juan Martin M,"Imperdible! De lo mejor para comer y/o cenar en Madrid. Recomendable para familias, parejas, amigos... Todo excelente, variedad (carnes y pescados muy recomendables).",1 contribución,1.0,Escrita el 9 de mayo de 2023,1 contribución,Calidad/precio,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,0,,,,,,
1775832834-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Buena combinación de sabores.,david e,"La comida esta muy buena,me gustó mucho la variedad de sabores bien combinados y el trato del personal,por poner una pega,poco espacio y el acceso a los baños necesita una reforma.
Recomemendable.",23 contribuciones,23.0,Escrita el 2 de mayo de 2023,23 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,,,
1775832834-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Me encanto,hernanmontes,Me encanto la entraña con patatas y el chimichurri. Soy argentino y fui de vacaciones a madrid. Me atendieron como en casa. Muy recomendable.,1 contribución,1.0,Escrita el 16 de marzo de 2023,1 contribución,Calidad/precio,Servicio,Comida,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg?w=100&h=-1&s=1,,,,,
1775832834-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Impertible,Carolina Ridosz,"Un sitio impecable, siendo turista en Madrid quiero resaltar la variedad de la carta como la calidad de sus platos. Precio acorde con el menú, platos abundantes, con buena presentación y muy bien sazonados.
También quiero destacar el servicio al cliente que brindan. Nos sentimos muy a gusto con el personal a cargo, dándole al lugar una esencia de calidez. 
Definitivamente volveremos. Se los recomiendo tanto por el lugar, la buena predisposición de las personas a cargo como por la elaboración de sus platos",2 contribuciones,2.0,Escrita el 8 de febrero de 2023,"Tigre, Argentina",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/1f/88/38/carolinaridosz.jpg?w=100&h=-1&s=1,,,,,
1775832834-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,El Social,Santiago F,"La verdad como turista en Madrid se me hace un lugar super recomendable.
En primer lugar, el menú tiene platillos muy elaborados y variados, tanto de diferentes países del mundo como propios de España. Ademas, los precios son super accesibles en relación precio-calidad.
En segundo lugar, los camareros están siempre atentos a tus necesidades y si es necesario le podes pedir recomendaciones de la carta.
Finalmente, el lugar tiene políticas amigables con el medio ambiente que volverán tu experiencia diferente en comparación a otros restaurantes.
Como recomendación extra, el lugar suele estar lleno de gente por lo que se les hará mas cómodo reservar de antemano.",5 contribuciones,5.0,Escrita el 7 de febrero de 2023,5 contribuciones,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/4a/default-avatar-2020-42.jpg?w=100&h=-1&s=1,,,,,
1775832834-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Excelente! Muy recomendado!,Sofi P,"Fui sola y me trataron como en casa. comí unos rollitos marroquíes espectaculares y una corvina con pure de coliflor exquisito. El servicio fue impecable y hasta me invitaron un helado de queso de postre.
Imperdible!",2 contribuciones,2.0,Escrita el 5 de febrero de 2023,2 contribuciones,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,,,,
