web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,image,image2,data16,data17,data18,position,data19,image3
1775833891-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d4698301-Reviews-Pampa_Beef-Madrid.html,La mejor carne que he probado 👍,dredoc1,"Sin duda la mejor carne que he comido en un restaurante. 

Los camareros son muy conocedores de sus productos y nos recomendaron la mejor opción para los cinco que fuimos.

Tengo que saludar especialmente a Ebert (espero que se escriba así) quien además de preparar la carne perfecta y dejarla al punto que cada uno de nosotros quisimos, me sorprendió con su honestidad y calidad humana al devolverme 50 euros que le pagué de más. 

Cosas así se ven pocas veces: la buena atención, excelente carne, calidad humana y honestidad.",4 contribuciones,4,Escrita el 3 de agosto de 2022,"Comunidad de Madrid, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,,,,,,
1775833891-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d4698301-Reviews-Pampa_Beef-Madrid.html,Artesanía parrillera en su máximo esplendor. Maestro de verdad.,bilbaocarvajal,"Al Pampa Beef tu vas a comer carne. Carne y punto. No esperes más. Pero tampoco menos. He ido unas 6 veces. Pedimos el menú de 24.90. De entrada un chorizo a la parrilla cortado mariposa. Increíble. Consejo: reserva el pan para armarte un choripan con el chimichurri de la casa. Superlativo. Tienen otra salsa a base de palta (aguacate) igual de buena. El fondo el bife alto. Punto más. Punto perfecto. La carne era un encuentro entre sabor y blandura. Una grasa bien tratada que casi apoya como foi gras penetraba las venas de un lomo vetado precioso traido directamente de la tierra de Gardel, Evita y Maradona. Papas fritas caseras en su punto. Acompañé con agua mineral pero puede ser refresco o vino. Fuera de menú un correcto flan de caramelo con abundante dulce de leche. Una experiencia para repetir. Pero con mesura. Si no...te acostumbras y quieres ir todos los días. Maestros haciendo escuela en el centro de Madrid.",77 contribuciones,77,Escrita el 11 de julio de 2022,"Santiago, Chile","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,0,,,,,,,,
1775833891-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d4698301-Reviews-Pampa_Beef-Madrid.html,Excelente carne argentina,Guillermo R,"Pequeño restaurante argentino cerca de la parada de metro de Sol, en Madrid. Buen ambiente, el personal súper amable y la comida... buenísima!.",2 contribuciones,2,Escrita el 11 de julio de 2022,2 contribuciones,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/89/25/ce/pampa-beef.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,,,,,,
1775833891-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d4698301-Reviews-Pampa_Beef-Madrid.html,Expectacular!!,Cynnamon G,"La comida buenisima, el servicio de 10, totalmente recomendable, volveremos sin dudarlo, sitio muy agradable, y bien situado",1 contribución,1,Escrita el 8 de julio de 2022,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,,,,,,
1775833891-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d4698301-Reviews-Pampa_Beef-Madrid.html,Rico y recomendable,OSKAR B,"Hamburguesa de muy buen sabor. Productos de muy buena calidad, y el personal muy amable y atento en todo momento……………..",1 contribución,1,Escrita el 13 de junio de 2022,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/4a/default-avatar-2020-42.jpg?w=100&h=-1&s=1,,,,,,
1775833891-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d4698301-Reviews-Pampa_Beef-Madrid.html,Espectacular,Mandarina D,"Una gran sorpresa al lado de Sol, precio muy razonable y comida espectacular! La ensalada Duck fue un descubrimiento y la carne estaba en su punto.",1 contribución,1,Escrita el 13 de junio de 2022,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,,,,,,
1775833891-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d4698301-Reviews-Pampa_Beef-Madrid.html,Fantástica carne argentina,Ulisesx,"Venimos siempre que podemos porque está todo de 10. Buena calidad, buenas raciones, servicio expeditivo y muy amable.  Muy recomendable.",125 contribuciones,125,Escrita el 22 de mayo de 2022,"Madrid, España",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/7b/87/72/pampa-beef.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/4a/d8/41/ulisesx.jpg?w=100&h=-1&s=1,,,,,,
1775833891-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d4698301-Reviews-Pampa_Beef-Madrid.html,RIQUISIMO TODO!! :) JOSE MX,Jose,"altamente calificado, desde la atención al cliente y sobre todo la calidad de la comida , lo recomiendo al 100 porciento",1 contribución,1,Escrita el 14 de mayo de 2022,1 contribución,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg?w=100&h=-1&s=1,,,,,,
1775833891-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d4698301-Reviews-Pampa_Beef-Madrid.html,Todo buenísimo,987alejandrol,Tremendos el chorizo y el lomo alto. Auténtico sabor se parrilla Argentina. Solo hay que ver la cantidad de argentinos que van.,89 contribuciones,89,Escrita el 1 de mayo de 2022,"Madrid, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,,
1775833891-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d4698301-Reviews-Pampa_Beef-Madrid.html,Pros y contras,Valeria C,"La calidad de la carne buena, la comida en general bien. Pero sentimos mucha presión llegando para elegir rapido los platos, asi como la chica que no fue nada amable a nuestra llegada. Y nos pusieron en una mesa sin separación a otra pareja que no fue agradable. El espacio es muy pequeño que lo puede hacer incomodo. El precio normal. Ambiente mejorable.",259 contribuciones,259,Escrita el 22 de abril de 2022,"Madrid, España",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/26/9a/9e/caption.jpg?w=300&h=300&s=1,,,,,,,
1775833891-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d4698301-Reviews-Pampa_Beef-Madrid.html,Buena carne,abel hugo flore... B,"Restaurante bien ubicado, es pequeño pero acogedor. La comida rica, atención rápida y ágil. Ofrecen menú a buen precio",20 contribuciones,20,Escrita el 19 de abril de 2022,"Lima, Perú",,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/d5/ff/66/abel-f.jpg?w=100&h=-1&s=1,,,,,,
1775833891-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d4698301-Reviews-Pampa_Beef-Madrid.html,Excelente,Jose Antonio Chara,"Tanto la comida como la atención es excelente  un lugar muy recomendable. 

Cortes argentinos deliciosos!",1 contribución,1,Escrita el 16 de abril de 2022,1 contribución,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,,,,,,
