web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,position2,image,image2,data15,data16,data17,data18,data19,data20,data21,image3,image4
1775581234-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d17340009-Reviews-Zenith_Caffe_Valverde-Madrid.html,Excellent food and service!,Nathalie F,"Restaurante espectacular, comida deliciosa, atencion de los meseros, y comida rapida y rica. Jesus fue super amable y dulce.",1 contribución,1.0,Escrita el 26 de mayo de 2024,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg?w=100&h=-1&s=1,,,,,,,,,
1775581234-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d17340009-Reviews-Zenith_Caffe_Valverde-Madrid.html,Una experiencia agradable,Sofía L,"La comida estaba realmente buena y sabrosa, con gran variedad. No tuvimos que esperar mucho tiempo ni por la mesa ni por la comida y el servicio fue muy amable.",1 contribución,1.0,Escrita el 11 de mayo de 2024,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1,,,,,,,,,
1775581234-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d17340009-Reviews-Zenith_Caffe_Valverde-Madrid.html,No pidas un vaso de agua del grifo te lo cobran,Noelia A,"En un restaurante de una categoría como la suya no sé cobra el AGUA DEL GRIFO. Es vergonzoso que pidas unos vasos de agua y  te lo cobren. ES ILEGAL (me da igual el precio, es irrelevante 0.2céntimos/ por unidad).
Diferente sería que yo quisiera una botella de agua mineral.
Es un detalle feísimo y de poca clase.
Llevé a unos amigos y quedé fatal por culpa de un pequeño/GRAN detalle.
No volveré!
Hay detalles que MARCAN.",1 contribución,1.0,Escrita el 5 de mayo de 2024,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,,,,,,,,,
1775581234-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d17340009-Reviews-Zenith_Caffe_Valverde-Madrid.html,Muy bien,Warrior' s,Muy buena comida y personal muy amable y generoso. Aceptaron cambiarnos las mesas a pesar de que ya habíamos pedido. Y Ariana nos atendió muy bien.,1 contribución,1.0,Escrita el 21 de abril de 2024,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/4a/default-avatar-2020-42.jpg?w=100&h=-1&s=1,,,,,,,,,
1775581234-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d17340009-Reviews-Zenith_Caffe_Valverde-Madrid.html,El mejor lugar para ir de Brunch,Alejandro G,"El mejor sitio de Brunch de Madrid sin duda! 
Fui en mi cumpleaños con mi novia y nos atendieron como reyes, hasta me cantaron el feliz cumpleaños.
La comida es deliciosa y el servicio es excelente, los precios son justos y su carta tiene gran variedad para escoger.",1 contribución,1.0,Escrita el 17 de marzo de 2024,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,,,,,,,
1775581234-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d17340009-Reviews-Zenith_Caffe_Valverde-Madrid.html,Si no viniste a Zenith no conoces lo que es el placer en la vida,Daniela O,"Comida increíble, servicio increíble y la atención espectacular. Un lugar súper recomendado. De los mejores lugares en Madrid para ir hacer brunch!",1 contribución,1.0,Escrita el 17 de marzo de 2024,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg?w=100&h=-1&s=1,,,,,,,,,
1775581234-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d17340009-Reviews-Zenith_Caffe_Valverde-Madrid.html,Comida rica y servicio excelente,alejandra b,"Me encantó, el servicio fue excelente y la comida salió prontamente y estuvo muy rica. Brian nos atendió y fue muy atento y amable, definitivamente regresaría.",1 contribución,1.0,Escrita el 16 de marzo de 2024,"Madrid, España",Calidad/precio,Ambiente,Servicio,Comida,,,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/a4/32/13/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1,,,,,,,,,
1775581234-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d17340009-Reviews-Zenith_Caffe_Valverde-Madrid.html,Zenith 100,Monica D,Excelente servicio y atención al cliente. Los platillos presentados como de revista. Hemos tenido un brunch riquísimo,4 contribuciones,4.0,Escrita el 10 de marzo de 2024,4 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/99/1a/24/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,,,,,,,,,
1775581234-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d17340009-Reviews-Zenith_Caffe_Valverde-Madrid.html,Todo estuvo MUY rico y la atención espectacular!,Martha Cecilia S,"Toda la experiencia 10/10, el lugar es bastante grande por lo que si ves fila afuera espera! No te vas a arrepentir! Demasiado rico y la atención increible",2 contribuciones,2.0,Escrita el 10 de marzo de 2024,2 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/99/19/b0/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/b2/default-avatar-2020-69.jpg?w=100&h=-1&s=1,,,,,,,,,
1775581234-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d17340009-Reviews-Zenith_Caffe_Valverde-Madrid.html,Increíble sitio en Madrid,Hector,"Como en Oporto, esto es un sitio ideal para brunch, el menu es un espectáculo gastronómico con una muestra de sabores increíbles
Muy recomendado!",13 contribuciones,13.0,Escrita el 17 de febrero de 2024,"Las Vegas, Nevada",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/72/22/49/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,,,,,,,
