web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,image,image2,image3,image4,position
1775833125-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d28215005-Reviews-Ichikani_Madrid-Madrid.html,Íbamos de paso y nos encantó,alejandroroman,"Nos atendió Ana, y muy bien. Nos aconsejó muy bien y la comida estupenda. Algo distinto.
La comida, una fusión entre comida japonesa y de chef estuvo muy bien.

Repetiremos","Alejandro, nos alegra mucho leer tu reseña. Es genial saber que disfrutaste de la comida y del consejo de Ana, y que la experiencia te resultó distinta y especial. ¡Nos vemos pronto en Ichikani!",19 contribuciones,Escrita el 26 de diciembre de 2025,Escrita el 27 de diciembre de 2025,"Pozuelo de Alarcón, España",19,dic 2025 • Parejas,Ichikani M,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/97/24/6f/alejandroroman.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,
1775833125-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d28215005-Reviews-Ichikani_Madrid-Madrid.html,Nuestro nuevo restaurante favorito,Marina R,Una experiencia única para almorzar en familia. La gastronomía fue excelente y Jenny nos atendió muy amablemente. Volveremos !,Muchas gracias por tu reseña. Qué gusto saber que disfrutaste de una experiencia única en familia y que Jenny te ofreció un trato tan amable. Nos alegra que Ichikani se haya convertido en vuestro restaurante favorito. ¡Nos vemos pronto en Ichikani!,1 contribución,Escrita el 23 de diciembre de 2025,Escrita el 27 de diciembre de 2025,1 contribución,1,dic 2025 • En familia,Ichikani M,,,Calidad/precio,Servicio,Ambiente,Comida,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,
1775833125-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d28215005-Reviews-Ichikani_Madrid-Madrid.html,Evitar.,Andrea C,"Entramos hoy con la esperanza de estar sentados como un grupo de tres. Al entrar, la anfitriona era tan desagradable con nosotros. Ni siquiera hizo contacto visual y después de un poco de espera para ser vista por ella dice: ¿puedo ayudarla? Nunca me han tratado de esta manera. Le pregunté si había una mesa de tres y ella dice “no” y no da ninguna explicación y yo no me moví de puro shock y ella dice que estamos reservados y nos fuimos. Entiendo que no iba a estar sentado y eso no es un problema. El problema es que estamos entrando en este lugar que en realidad nos impresionó por la calidad de las imágenes que vimos en línea, pero en su lugar fueron tratados como basura. Nunca en mi vida me han recibido esto fue por alguien. Eso sí, soy latina y hablo español, así que esto no fue una barrera lingüística. Es una pena porque mi familia y yo íbamos a intentar comer aquí otro día si no podíamos comer hoy. Pero después de este tratamiento absolutamente no. No recomiendo este lugar en absoluto y bastante francamente disgustado por esta señora (vistiendo de naranja hoy, con gafas y creo que tiene aspectos destacados. ) Me llevaré mi dinero y mis negocios a otro lugar. Qué vergüenza. Para la empresa - Soy un proveedor de atención médica y sé que la recepcionista es lo que hace o rompe mi oficina. Lo mismo con la anfitriona.","Andrea, we are truly sorry to read about your experience. This is not the way we welcome guests at Ichikani, and we sincerely apologize for how you were treated. We fully understand your frustration, and you are absolutely right: even when we are fully booked, courtesy, respect, and clear communication should always come first. Your feedback is taken very seriously and has been shared with our team, as situations like this do not reflect our values or the experience we aim to offer. We regret that this interaction prevented you and your family from discovering our cuisine, and we understand your disappointment. Thank you for taking the time to explain what happened. We truly appreciate honest feedback, as it helps us improve and ensure this does not happen again.",6 contribuciones,Escrita el 22 de diciembre de 2025,Escrita el 27 de diciembre de 2025,6 contribuciones,6,dic 2025 • En familia,Ichikani M,Traducir respuesta,Mostrar original,Servicio,Ambiente,,,,Traducido automáticamente,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,
1775833125-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d28215005-Reviews-Ichikani_Madrid-Madrid.html,"Excelente, acogedor, atento, eficaz, eficiente",Carlota C,"Fue muy agradable. Jenny era muy atento y servicial pensó en toda nuestra comida, sin mencionar que siempre tendría una sonrisa en su cara.","Thank you very much for your review, Carlota. We are delighted to hear that you had such a pleasant experience and that Jenny made your meal even more enjoyable with her attentive and cheerful service. ¡Nos vemos pronto en Ichikani!",4 contribuciones,Escrita el 20 de diciembre de 2025,Escrita el 22 de diciembre de 2025,4 contribuciones,4,dic 2025 • Parejas,Ichikani M,Traducir respuesta,Mostrar original,,,,,,Traducido automáticamente,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/06/50/de/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/06/50/df/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,
1775833125-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d28215005-Reviews-Ichikani_Madrid-Madrid.html,Jenny es Ichikani,Samantha G,"Una deliciosa experiencia gastronómica que adquiere una dimensión elevada de disfrute gracias al fantástico servicio, especialmente el de Jenny, que es un absoluto encanto.
Muy recomendable. Ojalá tengan la suerte de coincidir con ella",Muchas gracias por tu reseña. Nos alegra muchísimo saber que disfrutaste de una experiencia gastronómica tan especial y que Jenny hizo que fuera aún más memorable con su atención. Esperamos que tengáis la oportunidad de coincidir con ella en vuestra próxima visita. ¡Nos vemos pronto en Ichikani!,2 contribuciones,Escrita el 19 de diciembre de 2025,Escrita el 22 de diciembre de 2025,2 contribuciones,2,dic 2025 • Parejas,Ichikani M,,,Calidad/precio,Servicio,Ambiente,Comida,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,
1775833125-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d28215005-Reviews-Ichikani_Madrid-Madrid.html,Giosas de costillas y hongos,David C,"Una experiencia increíble,Jenny 10/10 al igual que todo el persona destacar la atención de eduar siempre atento a todo ,comida excelente ,tienen que pedir bibimbad de. Camarones es algo de otro planeta","Un placer leerte, David. Nos encanta saber que la experiencia fue increíble y que tanto la comida como la atención del equipo estuvieron a la altura, especialmente la de Jenny y Edward. ¡Nos vemos pronto en Ichikani!",1 contribución,Escrita el 19 de diciembre de 2025,Escrita el 19 de diciembre de 2025,1 contribución,1,dic 2025 • Amigos,Ichikani M,,,Calidad/precio,Servicio,Ambiente,Comida,Hay que ir!!!,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,
1775833125-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d28215005-Reviews-Ichikani_Madrid-Madrid.html,Sitio tranquilo y encantador.,Jose Manuel C,"Un sitio muy tranquilo y encantador,  para disfrutar tanto en pareja como de negocios, el Personal muy amable y atentos en todo momento. Sus platos en barra viendo como los elaboran, comida asiática que sorprende y que todos ellos están muy buenos con una gran diversidad ñ, explosión de sabores y cosas diferentes, sus recomendaciones no fallan, en fin…para volver a repetir.","Nos alegra mucho leer tu valoración. Nos alegra saber que disfrutaste del ambiente tranquilo, de la atención del equipo y de la experiencia en barra viendo cómo se elaboran los platos. Será un placer recibiros de nuevo muy pronto. ¡Nos vemos pronto en Ichikani!",13 contribuciones,Escrita el 17 de diciembre de 2025,Escrita el 18 de diciembre de 2025,13 contribuciones,13,dic 2025 • Parejas,Ichikani M,,,Calidad/precio,Servicio,Ambiente,Comida,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,
1775833125-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d28215005-Reviews-Ichikani_Madrid-Madrid.html,Sushi de muerte,Road21060191534,"La verdad este lugar es increíble, la co,ida es deliciosa y el ambiente un espectáculo. Me encanta el sushi y desde hoy Ichikani se vuelve mi sitio preferido en el mundo.",Qué alegría leer tu reseña. Nos encanta saber que Ichikani se ha convertido en tu sitio preferido y que disfrutaste tanto de la comida como del ambiente. Será un placer recibirte de nuevo muy pronto. ¡Nos vemos pronto en Ichikani!,1 contribución,Escrita el 17 de diciembre de 2025,Escrita el 18 de diciembre de 2025,1 contribución,1,dic 2025 • En familia,Ichikani M,,,Calidad/precio,Servicio,Ambiente,Comida,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,
1775833125-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d28215005-Reviews-Ichikani_Madrid-Madrid.html,Sushi increíble,A.S.,"La experiencia ha sido magnífica. La atención del personal, la comida, cocteles y la música. Todo un acierto. 
Es la primera vez que venimos pero seguro repetiremos muchas veces más.","Nos encanta leer tu reseña. Nos alegra muchísimo que tu primera visita a Ichikani fuera tan positiva y que disfrutaras de la comida, los cócteles, la música y la atención del equipo. Será un placer recibiros de nuevo muy pronto. ¡Nos vemos pronto en Ichikani!",4 contribuciones,Escrita el 17 de diciembre de 2025,Escrita el 18 de diciembre de 2025,"Madrid, España",4,dic 2025 • Parejas,Ichikani M,,,Calidad/precio,Servicio,Ambiente,Comida,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,
1775833125-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d28215005-Reviews-Ichikani_Madrid-Madrid.html,"Gran experiencia general, me encanta venir aquí",Relax710217,"La comida, las bebidas y el ambiente estaban todos en su punto, espero volver pronto. El personal era muy amable. Una mención especial a todas las pinturas colgadas que se pueden ver alrededor del restaurante","Thank you for your review. We’re delighted to hear that you enjoyed the food, drinks, atmosphere, and the artwork around Ichikani. It’s wonderful to know the staff made your visit even more enjoyable. We look forward to welcoming you back soon. ¡Nos vemos pronto en Ichikani!",4 contribuciones,Escrita el 15 de diciembre de 2025,Escrita el 15 de diciembre de 2025,"París, Francia",4,dic 2025 • Amigos,Ichikani M,Traducir respuesta,Mostrar original,Calidad/precio,Servicio,Ambiente,Comida,,Traducido automáticamente,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,Leer más,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/fc/4f/a0/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/fc/4f/a1/caption.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,
