web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,position,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,image,image2,addresslocality,image3,image4,image5
1776247354-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d991522-Reviews-Eiffel-Madrid.html,Espectacular!!!!!!!!,Puri,"La atención fue extraordinaria, la comida superior, el precio módico, nos hicieron sentir como en casa, más que camareros son amigos y los dueños como si los conociera de toda la vida, con detalles espectaculares, muy agradecidos por todo y por todos","Muchas gracias por tu excelente valoración. Nos alegra que nuestra atención y la relación calidad precio te hayan parecido extraordinarios. 
En nombre de todo nuestro equipo te enviamos un cordial saludo. 
Esperamos verte pronto 
Miguel","Madrid, España",Escrita el 15 de julio de 2022,Escrita el 4 de agosto de 2022,2.0,2 contribuciones,MikeTower,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Calidad/precio,Comida,Servicio,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/e4/fb/ee/miketower.jpg?w=100&h=-1&s=1,,,,
1776247354-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d991522-Reviews-Eiffel-Madrid.html,Celebración cumpleaños,Nathaly,"Elegimos este restaurante para celebrar una fiesta de cumpleaños sorpresa. Fue todo un éxito, nos ayudaron en todo momento para sorprender a la cumpleañera. El trato es excepcional, los camareros son encantadores y la comida buenísima. El espectáculo de magia fue todo un éxito, con comedia incluida. 100% recomendable. Gracias!","Muchas gracias por elegir Eiffel para la celebración del cumpleaños, nos alegra haber estado a la altura de vuestras expectativas y que todo haya sido de vuestro agrado.
En nombre de todo nuestro equipo te enviamos un cordial saludo
MIGUEL",1 contribución,Escrita el 6 de julio de 2022,Escrita el 8 de julio de 2022,1.0,,MikeTower,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/e4/fb/ee/miketower.jpg?w=100&h=-1&s=1,,,,
1776247354-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d991522-Reviews-Eiffel-Madrid.html,La noche de Susi en el Eiffel,sosapaco,"Gente maravillosa que hace feliz a sus Clientes. Gracias por tanto cariño, risas y Atencion..  Sencillamente fabuloso.","Muchas gracias por valorar nuestro trabajo con la máxima puntuación. Para nosotros ha sido un verdadero placer ser ""complices"" en la fiesta sorpresa que habeis preparado a Susana. 
Esperamos veros nuevamente por Eiffel y hasta entonces os enviamos un cordial y afectuoso saludo
MIGUEL","Barcelona, España",Escrita el 6 de julio de 2022,Escrita el 8 de julio de 2022,26.0,26 contribuciones,MikeTower,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/55/45/48/sosapaco.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/e4/fb/ee/miketower.jpg?w=100&h=-1&s=1,,,,
1776247354-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d991522-Reviews-Eiffel-Madrid.html,Sorprendente!!,Marcos R,"He tenido el placer de colaborar con ellos en una campaña de la aceituna, y puedo felicitar a Miguel por el gran equipo que ha formado, desde la cocina a la sala, cuidan mucho el producto y la presentación del plato.
Recomendable 100%.
Enhorabuena equipo!!","Muchas gracias por tu opinión, Marcos!  tu que conoces bien esta profesión sabes lo dificil que es conseguir un buen equipo.  Ha sido un placer conocerte y compartir nuestra pasión por unas horas.
te deseo lo mejor y ya sabes donde dejas un buen amigo. Hasta pronto
MIGUEL",3 contribuciones,Escrita el 29 de junio de 2022,Escrita el 2 de julio de 2022,3.0,,MikeTower,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/e4/fb/ee/miketower.jpg?w=100&h=-1&s=1,,,,
1776247354-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d991522-Reviews-Eiffel-Madrid.html,¡SORPRENDENTE!,Luis A,"¿Sabéis cuando la realidad supera las expectativas?
Pues eso es Eiffel, te sorprende desde el primer momento por el trato, el servicio y sobre todo la increíble calidad de sus platos.
Sin duda repetiré y pronto.
¡Enhorabuena!","Muchas gracias por tu generosa valoracion! nos alegra que tu visita haya sido tan grata como describes y esperamos esa segunda visita que nos prometes. Será un placer atenderte
en nombre de todo nuestro equipo te enviamos un cordial saludo.
MIGUEL","Fuenlabrada, España",Escrita el 20 de junio de 2022,Escrita el 21 de junio de 2022,1.0,1 contribución,MikeTower,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Calidad/precio,Comida,Servicio,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/e4/fb/ee/miketower.jpg?w=100&h=-1&s=1,,,,
1776247354-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d991522-Reviews-Eiffel-Madrid.html,Boda intima,Maria Victoria,"Sin palabras!!!!!
Excelente en el trato, con todo detalle, la calidad y lo sabrosos que son sus platos, familiares y amigos quedaron encantados, todos disfrutamos un montón.
Fue un día para recordar, gracias x todo, sin dudarlo volvería a celebralo con vosotros","Estimada Mª Victoria: muchas gracias por elegir Eiffel para celebrar un dia tan especial para vosotros, nos alegra haber contribuido a que todo saliera segun vuestras pretensiones. os deseamos una feliz luna de miel y que vuestra felicidad dure lo que una hipoteca... TODA LA VIDA!
Miguel",2 contribuciones,Escrita el 16 de junio de 2022,Escrita el 18 de junio de 2022,2.0,,MikeTower,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/e4/fb/ee/miketower.jpg?w=100&h=-1&s=1,,,,
1776247354-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d991522-Reviews-Eiffel-Madrid.html,CENITA,Rosa M,"Una cena espectalar, rodeada de un buen ambiente.
En un restaurante que demuestra porque está celebrando sus BODAS DE ORO. Espectacular la comida y degustación del menú.Riquisimooooo","Muchas gracias por tu reseña, esperamos seguir contando con tu confianza y no defraudarte nunca. un saludo
MIGUEL",4 contribuciones,Escrita el 16 de junio de 2022,Escrita el 18 de junio de 2022,4.0,,MikeTower,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/1a/0a/70/rosa-m.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/e4/fb/ee/miketower.jpg?w=100&h=-1&s=1,,,,
1776247354-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d991522-Reviews-Eiffel-Madrid.html,Impresionante visita,Javier Poveda,"Organizamos un evento con mi asociación y no pude elegir mejor sitio. La organización y facilidades de diez y la comida espectacular. A destacar el delicioso tartar de salmón y aguacate así como el solomillo Duroc y la milhoja de postre. Además, nos llevamos un espectáculo de magia por parte del dueño que fue la guinda a una tarde magnífica y a una atención por parte del personal excelente. No dejen de visitar este restaurante, recomendadísimo.","Muchas gracias por dedicar unos minutos a compartir tu experiencia en Eiffel. Esperamos verte nuevamente, será un placer atenderos.
Nos alegra saber que todo fue de vuestro agrado y en nombre de todos los que formamos Eiffel os enviamos un cordial saludo
Hasta pronto!
MIGUEL",1 contribución,Escrita el 13 de junio de 2022,Escrita el 14 de junio de 2022,1.0,,MikeTower,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Calidad/precio,Comida,Servicio,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/e4/fb/ee/miketower.jpg?w=100&h=-1&s=1,,,,
1776247354-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d991522-Reviews-Eiffel-Madrid.html,Genial!!,Íñigo G,"Comida y atención inmejorable, todo rico, bien presentado y calidad precio muy bueno!! gracias Miguel!!!","Muchas gracias a ti por elegirnos! nos alegra saber que todo estuvo a vuestro gusto y esperamos recibir vuestra visita nuevamente! 
un saludo
MIGUEL",1 contribución,Escrita el 13 de junio de 2022,Escrita el 14 de junio de 2022,1.0,,MikeTower,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/e4/fb/ee/miketower.jpg?w=100&h=-1&s=1,,,,
1776247354-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d991522-Reviews-Eiffel-Madrid.html,Un 10!!,Victor T,Fuimos a realizar un evento y el trato fue espectacular. La comida nos encantó y nos sentimos como en casa. Repetimos 100%,"Muchas gracias por compartir tu experiencia con el resto de usuarios. vuestro reconocimiento es  nuestra mejor propina. Esperamos pronto esa visita que nos prometes y te enviamos un cordial y afectuoso saludo.
MIGUEL",2 contribuciones,Escrita el 13 de junio de 2022,Escrita el 14 de junio de 2022,2.0,,MikeTower,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/e4/fb/ee/miketower.jpg?w=100&h=-1&s=1,,,,
