web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,image,image2,image3,position,data15,data16,data17,image4,data18,data19,image5,image6,image7,image8,image9,image10
1776247574-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Perfecto para una comida informal,José Manuel B,Perfecto para una comida informal de muy buena calidad. Staff agradable muy joven y profesional. Cocina fusión con productos gallegos que funciona a las mil maravillas. Carta de vinos amplia. Experiencia de 10. Enhorabuena.,23 contribuciones,23,Escrita el 23 de mayo de 2021,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/04/33/fd/photo0jpg.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,
1776247574-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Comida gallega de vanguardia,Julio V,"Habia estado en el otro, y tenía unas ganas enormes de conocer el nuevo. Y no me defraudó. En Morgana puedes comer una comida de vanguardia con productos gallegos","Vera, España",570,Escrita el 10 de mayo de 2021,570 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/f5/5e/07/img-20210509-151614-largejpg.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/f5/5e/06/img-20210509-150733-largejpg.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/81/13/9d/julio-v.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,
1776247574-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,100% recomendable,Rakel T,Hemos comido estupendamente! Producto fresco y riquisimo! Sin ninguna duda volveremos!! En cuanto al servicio Dayra es una gran profesional y nos hizo sentir como en casa! Teneis que probar las volandeiras y las otras!!!,35 contribuciones,35,Escrita el 9 de mayo de 2021,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/f4/8a/64/restaurante-morgana.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/f4/8a/63/restaurante-morgana.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,
1776247574-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Bastante bueno,AMG90,"Una tortilla de batanzos buenisima y pulpo buenismo, además de un buen servicio. ¡¡Muy recomendable !!","Madrid, España",7,Escrita el 8 de mayo de 2021,7 contribuciones,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/39/b5/df/atoniomg1990.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,
1776247574-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Cócteles de autor,Tomas,"La experiencia en Morgana es completisima. Desde la llegada acogedora de los camareros hasta los cócteles de autor nos pedimos 6!!!
La comida está riquísima lo mejor la vaca rubia gallega y la tarta de queso",9 contribuciones,9,Escrita el 3 de mayo de 2021,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,
1776247574-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Comida con amigos,Manha_cm,Desde el minicroasan de atun rojo hasta el chesecake todo excelente. El pulpo una maravilla la parpatana de atun mejor que en cadiz he viajado directamente a barbate. Volveremos pronto!!!,"Tomares, España",10,Escrita el 3 de mayo de 2021,10 contribuciones,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/ed/73/9d/photo0jpg.jpg?w=300&h=-1&s=1,,,,,,,,,,,,,,
1776247574-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Comida romantica,pauliana p,Hemos disfrutado mucho tanto los bocados sobre todo el brioche como los principales pulpos y entrecote. Los postres genial la tarta de queso de morirse.,1 contribución,1,Escrita el 3 de mayo de 2021,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/59/default-avatar-2020-49.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,
1776247574-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Volveremos,Jamamote,"Volveremos a repetir Tanto los aperitivos como los entrantes muy ricos. Los segundos que probamos, la carne y el pulpo también muy buenos. Como decían en otras opiniones un Gallego de calidad con algo de innovación que merece la pena. Si a eso le sumamos la exquisita amabilidad de las personas que te atendían podemos asegurar que pasamos una velada formidable. Lo dicho, para repetir","Coslada, España",49,Escrita el 2 de mayo de 2021,49 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/ed/8f/e2/photo0jpg.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/b8/31/49/jamamotw.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,
1776247574-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Buena calidad y trato excepcional,Laura G,Restaurante muy recomendable con producto de buena calidad y cocina con un toque de fusión. Muy buen ambiente y muy buen trato al cliente,"Madrid, España",8,Escrita el 22 de abril de 2021,8 contribuciones,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0,,,,,,,,,,,,,,,,
1776247574-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,De Lujo,Emily,"Un comida de lujo, todo de calidad, bien elaborado, muy rico, con ganas de repetir en cuanto podamos",2 contribuciones,2,Escrita el 5 de abril de 2021,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,,,,,,,,,,,,,
