web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,position,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,image,image2,position2,data4,data17,data18,data19,data20,data21,data22,data23,image3
1775743961-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d25370839-Reviews-Zenith_Caffe_Desengano-Madrid.html,RECOMENDABLE,Luis V,"Muy rico todo, como chef se nota que el menu lo hizo un chef y la calidad 100, sin duda volvería. Todo muy rapidoo a pesar de haber gente",1 contribución,Escrita el 14 de abril de 2024,1.0,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/dc/fd/7b/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1,,,,,,,,,,
1775743961-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d25370839-Reviews-Zenith_Caffe_Desengano-Madrid.html,Perfecto,Edgar V,"El mejor restaurant de brunch y desayuno de todo madrid, buen precio y los desayunos sumamente deliciosos, sin duda es de volver",2 contribuciones,Escrita el 14 de abril de 2024,2.0,2 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/dc/fd/93/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,,,,,,,,,,
1775743961-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d25370839-Reviews-Zenith_Caffe_Desengano-Madrid.html,10/10,Bernardo F B,"Zenith es un brunch excelente. La comida muy rica, el servicio muy rapido. Buenos precios. Gigi fue una muy buena mesera",1 contribución,Escrita el 10 de abril de 2024,1.0,"Madrid, España",Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg?w=100&h=-1&s=1,,,,,,,,,,
1775743961-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d25370839-Reviews-Zenith_Caffe_Desengano-Madrid.html,Excelente,Jose R,"Visitando a Madrid desde Puerto Rico y decidimos para de brunch a Zenith de Desengaño ya que nos quedaba cerca de nuestro Hotel. Gigi nos atendió, fue excelente con su trato y sus recomendaciones. Muy buen lugar y buen servicio. ¡Regresaríamos de una!",1 contribución,Escrita el 23 de marzo de 2024,1.0,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg?w=100&h=-1&s=1,,,,,,,,,,
1775743961-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d25370839-Reviews-Zenith_Caffe_Desengano-Madrid.html,Buena comida y generosa porción,Juliana Y,"Muy bien todo, la comida rica pero las porciones son grandes. Nos atendió Gigi y el servicio estuvo bien, rápido y con buen trato.",3 contribuciones,Escrita el 23 de marzo de 2024,3.0,3 contribuciones,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/24/default-avatar-2020-60.jpg?w=100&h=-1&s=1,,,,,,,,,,
1775743961-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d25370839-Reviews-Zenith_Caffe_Desengano-Madrid.html,Muy bueno,CAROLINA ANDREA C,"Muy lindo lugar, deliciosos platos y muy bien atendido. 
Excelente lugar para un brunch.
El tiempo de espera de platos es muy bajo👏🏻",5 contribuciones,Escrita el 19 de febrero de 2024,5.0,5 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/75/2f/fb/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,,,,,,,,,,
1775743961-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d25370839-Reviews-Zenith_Caffe_Desengano-Madrid.html,Bien lugar para desayunar y trabajar,J0seg0,"Buena comida con un ambiente agradable.

Gigi nos atendió muy bien .

Si bien no es un sitio económico, por lo que te sirven está bien.",14 contribuciones,Escrita el 19 de febrero de 2024,14.0,"Bogotá, Colombia",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/75/10/0b/caption.jpg?w=300&h=300&s=1,,,,,,,,,,,
1775743961-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d25370839-Reviews-Zenith_Caffe_Desengano-Madrid.html,"Música, ochentera y viejitos agradable para desayunar",marcelino m,"Gigi trató muy bien, está muy agradable, lugar, hacen falta perchero o algunas cosas para colgar los abrigos, la comida buena y el trato muy agradable  de todos",2 contribuciones,Escrita el 17 de febrero de 2024,2.0,"Mineral de la Reforma, México",Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/71/7d/26/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,,,,,,,,,,
1775743961-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d25370839-Reviews-Zenith_Caffe_Desengano-Madrid.html,Great Brunch!,Camila D,"Muy rico el brunch, mucha variedad! Nos atendió muy bien Gigi, todo muy rápido! Los pancakes salados y los huevos muuy ricos, recomendados!",1 contribución,Escrita el 2 de febrero de 2024,1.0,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/57/f4/d1/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,,,,,,,,,
1775743961-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d25370839-Reviews-Zenith_Caffe_Desengano-Madrid.html,Brunch en Zenith MAD,Osvaldo R,"Todo tremendo, los huevos zenith muy buenos y suficientes como para reemplazar el almuerzo. Por otro lado Gigi nos atendió de muy buena forma, siempre atenta y trayendonos nuestros pedidos muy rapidamente. Recomendado!",1 contribución,Escrita el 2 de febrero de 2024,1.0,1 contribución,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,,,,,,,,
