web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,position,data7,data8,data9,name,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,image,image2,image3,data21,data22,data23,data24,image4,image5
1776247803-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d25092639-Reviews-Hotaru_Madrid-Madrid.html,"Ha sido increíble, repetiremos",Maite A,"Daniel y Moises han sido extraordinarios
Muchas gracias volveremos
Nos han atendido genial si una maravilla
Muchas gracias por la atención","Gracias por su reseña, Maite. Nos alegra saber que Daniel y Moises hicieron que su experiencia en Hotaru fuera extraordinaria. ¡Nos vemos pronto en Hotaru!",1 contribución,1.0,Escrita el 16 de octubre de 2025,Escrita el 17 de octubre de 2025,,Hotaru Madrid,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/cc/f6/a9/hotarumadrid.jpg?w=100&h=-1&s=1,,,,,,
1776247803-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d25092639-Reviews-Hotaru_Madrid-Madrid.html,Excelente,María M,"La experiencia ha sido increíble. La atención de Augusto maravillosa, Erick en barra ha atendido todas nuestras dudas y ofrecido sugerencias diversas con extrema amabilidad, al igual que el capitán de mesa Sergio. Los tres han hecho que la experiencia sea inigualable. Super recomendable.","Gracias por su reseña, María. Nos alegra muchísimo saber que Augusto, Erick y Sergio hicieron que su experiencia en Hotaru fuera inigualable. ¡Nos vemos pronto en Hotaru!",7 contribuciones,7.0,Escrita el 16 de octubre de 2025,Escrita el 17 de octubre de 2025,,Hotaru Madrid,Calidad/precio,Comida,Servicio,Ambiente,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/cc/f6/a9/hotarumadrid.jpg?w=100&h=-1&s=1,,,,,,
1776247803-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d25092639-Reviews-Hotaru_Madrid-Madrid.html,La experiencia fue muy buena. Pedimos platillos para compartir y todos estuvieron excelentes.,Daniela E,"Super buena experiencia! Excelente servicio, comida y hasta show!!
Muy recomendado para cualquier ocasión. Sin duda volveré","Gracias por su reseña, Daniela. Nos alegra muchísimo saber que disfrutó de su experiencia, de los platillos y del servicio en Hotaru. ¡Nos vemos pronto en Hotaru!",17 contribuciones,17.0,Escrita el 14 de octubre de 2025,Escrita el 16 de octubre de 2025,,Hotaru Madrid,,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/66/b6/72/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/ea/e1/3a/daniela-e.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/cc/f6/a9/hotarumadrid.jpg?w=100&h=-1&s=1,,,,,,
1776247803-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d25092639-Reviews-Hotaru_Madrid-Madrid.html,Servicio terrible,Leonardo M,"El Servicio fue terrible. Perdieron muchos cursos. Que al final enviaron la cantidad equivocada de nigiris. Y después del terrible Servicio, en lugar de disculpas, nos preguntaron cuánta propina nos gustaría agregar a la factura. Dije cero porque el Servicio era terrible. Que el camarero dijo: ""sí, fue realmente malo"". El personal necesita mucha formación.","Thank you for your review. We are very sorry to hear about your experience and sincerely apologize for the mistakes and delays you encountered. Your feedback is invaluable, and we will use it to improve our service and staff training. We hope to have the opportunity to provide you with the high-quality experience Hotaru is known for in the future.",7 contribuciones,7.0,Escrita el 13 de octubre de 2025,Escrita el 16 de octubre de 2025,,Hotaru Madrid,Calidad/precio,Comida,Servicio,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/cc/f6/a9/hotarumadrid.jpg?w=100&h=-1&s=1,,,,,,
1776247803-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d25092639-Reviews-Hotaru_Madrid-Madrid.html,Muy subido de precio,Mario B,"Está bien, pero desde luego relación calidad/precio desorbitado. Hay muchos por la mitad de presupuesto que me gustan más.",Gracias por su reseña. Lamentamos que la relación calidad-precio no haya estado a la altura de sus expectativas. Apreciamos su comentario y lo tendremos en cuenta para seguir mejorando. ¡Esperamos verle pronto en Hotaru!,213 contribuciones,213.0,Escrita el 13 de octubre de 2025,Escrita el 15 de octubre de 2025,,Hotaru Madrid,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/bd/bf/63/caption.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/cc/f6/a9/hotarumadrid.jpg?w=100&h=-1&s=1,,,,,,
1776247803-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d25092639-Reviews-Hotaru_Madrid-Madrid.html,Flojo,Jet55910,Sashimi sin sabor.  Habían limpiado las sillas y el tapizado estaba húmedo.Camareros poco profesionales. No volveré.,"Gracias por su reseña. Lamentamos sinceramente que su experiencia no estuviera a la altura de sus expectativas. Tomamos nota de sus comentarios sobre el sashimi, la limpieza y el servicio, y trabajaremos para mejorar cada uno de estos aspectos. Esperamos tener la oportunidad de ofrecerle una experiencia más acorde con los estándares de Hotaru en el futuro. ¡Nos vemos pronto en Hotaru!",38 contribuciones,38.0,Escrita el 10 de octubre de 2025,Escrita el 13 de octubre de 2025,,Hotaru Madrid,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/cc/f6/a9/hotarumadrid.jpg?w=100&h=-1&s=1,,,,,,
1776247803-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d25092639-Reviews-Hotaru_Madrid-Madrid.html,experiencia buenísima.,Morella Russián,"Una de las mejores experiencias culinarias de mi vida.!!!
Consentimos aceptar las recomendaciones de Sergio ,el camarero que nos atendió de maravillas y con cada plato que llegaba la experiencia iba en aumento. 
desde las gyozas con cangrejo, los temakys crab hand roll,  las brochetas de Wagyu, los sashimis,....hasta los mochis de té verde, mago y chocolate..waaaoo, La comida y su presentación son de un máximo nivel .

El ambiente es acogedor, estuvimos muy a gusto desde las bebidas hasta el postre, desde que llegamos hasta el momento de irnos.","Gracias por su reseña. Nos alegra muchísimo saber que disfrutó de la experiencia culinaria y del servicio de Sergio, así como de la calidad y presentación de nuestros platos. Comentarios como el suyo nos motivan a seguir cuidando cada detalle para que cada visita a Hotaru sea inolvidable. ¡Nos vemos pronto en Hotaru!","Madrid, España",66.0,Escrita el 7 de octubre de 2025,Escrita el 13 de octubre de 2025,66 contribuciones,Hotaru Madrid,Calidad/precio,Comida,Servicio,Ambiente,No duden en pedir recomendación a los camareros si están un poco indecisos ante la maravillosa y variada carta.,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-f/01/2e/70/6d/avatar050.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/cc/f6/a9/hotarumadrid.jpg?w=100&h=-1&s=1,,,,,,
1776247803-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d25092639-Reviews-Hotaru_Madrid-Madrid.html,Rica comida servida con una sonrisa,Nayra S,"Cocina exquisita, producto de calidad, bonita decoración y atendimiento fantástico. Todo el personal muy amable, en este caso destacar el trato y simpatía de Pedro, que nos atendió esta noche. Gracias a vuestro equipo, repetiremos!","Gracias por su reseña. Nos alegra saber que disfrutó de la comida, de la atención de Pedro y del ambiente de Hotaru. Comentarios como el suyo nos motivan a seguir ofreciendo un servicio atento y cercano en cada visita. ¡Nos vemos pronto en Hotaru!","Santa Cruz de Tenerife, España",3.0,Escrita el 7 de octubre de 2025,Escrita el 13 de octubre de 2025,3 contribuciones,Hotaru Madrid,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/fd/7d/1c/nayra-s.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/cc/f6/a9/hotarumadrid.jpg?w=100&h=-1&s=1,,,,,,
1776247803-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d25092639-Reviews-Hotaru_Madrid-Madrid.html,Un espectáculo culinario para todos los sentidos,Mía I,"Una experiencia gastronómica excepcional. El restaurante es precioso y el trato del personal, impecable: cercanos, atentos y apasionados por su trabajo. Tuvimos la suerte de sentarnos en la barra y disfrutar en primera fila del espectáculo culinario —cada plato preparado con una precisión y un mimo que se notan en cada bocado.

Los sabores son sorprendentes, equilibrados y llenos de matices, con una calidad de producto sobresaliente. El cierre perfecto fue la tarta de queso: cremosa, delicada y con una intensidad que enamora. Una propuesta culinaria cuidada al detalle. Muchas gracias!","Gracias por su reseña. Nos alegra muchísimo saber que disfrutó de la experiencia en Hotaru, desde la atención de nuestro equipo hasta cada detalle de los platos y la presentación en la barra. Comentarios como el suyo nos motivan a seguir cuidando cada bocado para ofrecer un espectáculo culinario único. ¡Nos vemos pronto en Hotaru!",1 contribución,1.0,Escrita el 6 de octubre de 2025,Escrita el 13 de octubre de 2025,,Hotaru Madrid,,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/51/61/c6/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/cc/f6/a9/hotarumadrid.jpg?w=100&h=-1&s=1,,,,,,
1776247803-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d25092639-Reviews-Hotaru_Madrid-Madrid.html,Rico pero no sorprendente,Patricia B,"Todo rico pero no me ha sorprendido nada en concreto. Lo mejor el maki Lotus. El servicio muy atento y agradable, nos atendió Daniel.","Gracias por su reseña, Patricia. Nos alegra saber que disfrutó de nuestro maki Lotus y del servicio atento de Daniel. Tomamos nota de sus comentarios para seguir mejorando. ¡Nos vemos pronto en Hotaru!",9 contribuciones,9.0,Escrita el 29 de septiembre de 2025,Escrita el 3 de octubre de 2025,,Hotaru Madrid,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/cc/f6/a9/hotarumadrid.jpg?w=100&h=-1&s=1,,,,,,
