web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,image,position,image2,image3,image4,image5,image6
1776248256-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d11955452-Reviews-Toga-Madrid.html,Cena excelente. Comida diferente,Jorge S,Cena excelente. Comida diferente y calidad precio inmejorable. La atención por parte del equipo ha sido de 10. Repetiremos seguro!,"Madrid, España",53,Escrita el 18 de agosto de 2020,53 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,,,,,,
1776248256-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d11955452-Reviews-Toga-Madrid.html,Riquísimo todo,Sagarrina S,"3 personas

Para compartir, noddles con atún rojo, espectaculares. Tiradito de lubina, riquísimo y el ceviche. Pollo a la llama, quizás lo más flojo y aún así, muy sabroso y tierno.

De postre, crepe con dulce de leche y lo mejor, piña con queso mascarpone.

Sitio super chulo, amables, placentero, buena música en plena plaza de Cascorro. 

Dos turnos para comer, a las 14:00 y a las 15:30.","Sevilla, España",258,Escrita el 18 de agosto de 2020,258 contribuciones,Calidad/precio,Comida,Servicio,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/57/cd/6e/sagarrina-s.jpg?w=100&h=-1&s=1,,,,,,
1776248256-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d11955452-Reviews-Toga-Madrid.html,Me encanto !!!!,María F,"Amables , tranquilo y la comida espectacular !!!!
Déjate recomendar .. acertaras !!!
Volveré seguro 
Y no tardando","Madrid, España",2,Escrita el 12 de agosto de 2020,2 contribuciones,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,,,,,,
1776248256-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d11955452-Reviews-Toga-Madrid.html,Imprescindible,Cristina A,Imposible equivocarse en Toga. Los noodles merecen una religión. Siempre que vamos son un imprescindible. El resto sin desmerecer.,"Madrid, España",31,Escrita el 9 de agosto de 2020,31 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/7d/e6/28/cristina-a.jpg?w=100&h=-1&s=1,,,,,,
1776248256-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d11955452-Reviews-Toga-Madrid.html,"Restaurante sencillo, cocina genial",Mochilita,"Restaurante ideal, escondido y discreto en una calle pequeña entre La Latina y plaza de Cascorro. Es pequeño y eso le hace tener más encanto. Decoración sobria pero de alguna manera acogedor.
Todos los platos nos sorprendieron. Una cocina que mezcla platos tradicionales nuestros con sabores internacionales. Increíbles los noodles de atún, una mezcla de sabores espectacular al igual que la presa ibérica. De postre no hay que perderse la piña, nunca pido fruta de postre porque prefiero platos elaborados que no pueda tomar en casa pero la piña la preparan riquísima, no digo cómo para que cada uno lo descubra allí!. Tienen una carta de vinos bastante completa y con vinos asequibles y resultones. Repetiremos para probar toda la carta porque no nos decepcionó nada de lo que pedimos.","Madrid, España",785,Escrita el 27 de julio de 2020,785 contribuciones,Calidad/precio,Comida,Servicio,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/ad/a5/72/caption.jpg?w=100&h=-1&s=1,,,,,,
1776248256-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d11955452-Reviews-Toga-Madrid.html,Comida riquísima y local muy agradable,Cris Á,"Buenísima experiencia. La comida está toda muy rica, en concreto los noodles con atún rojo y mayonesa de kimchi o la piña de postre. Los camareros muy atentos y el local muy agradable.","Madrid, España",66,Escrita el 21 de julio de 2020,66 contribuciones,Calidad/precio,Comida,Servicio,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/a0/5e/2e/cris-a.jpg?w=100&h=-1&s=1,,,,,,
1776248256-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d11955452-Reviews-Toga-Madrid.html,Comida super elaborada con muy buena presentación!,Christina,"Me ha encantado, me lo recomendó una amiga y para ir en pareja o con amigos esta genial. El plato de los noodles con gambas mi favorito!","Madrid, España",3,Escrita el 3 de abril de 2020,3 contribuciones,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,,,,,,
1776248256-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d11955452-Reviews-Toga-Madrid.html,Normal,8848,"En mi opinión está algo sobrevalorado, ningún plato me sorprendió especialmente, las raciones son bastante escasas en general por lo que se hace difícil compartir, en nuestro caso eramos 3 personas y tocábamos a muy poca cantidad aunque pedimos diferentes opciones, la mesa era enana y los precios son caros para el tipo de local y las cantidades que ofrece, el servicio atento y eficiente.","Madrid, España",158,Escrita el 11 de marzo de 2020,158 contribuciones,Calidad/precio,Comida,Servicio,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,,,,,,
1776248256-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d11955452-Reviews-Toga-Madrid.html,¡TREMENDO!,Irene D,"Tremendo todo, empezando por el servicio y terminando por la comida. Tuvimos la suerte de probar muchos de los platos de la carta pero sin duda lo más sorprendentes fueron el carpaccio de portobellos (jamás hubiera imaginado que pudiera estar tan rico algo tan simple) y los taglitelle con atún. Lo recomiendo 100% pero reservar porque siempre está lleno :)",2 contribuciones,2,Escrita el 9 de marzo de 2020,,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,,,,,,
1776248256-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d11955452-Reviews-Toga-Madrid.html,"Local acogedor, platos sencillo y muy ricos.",Paloma L,"Local con carta corta, cosa que se agradece. Todo lo que probamos estaba muy bueno, a destacar los noodles con atún fuera de carta y el carpaccio de champiñón. El servicio un poco despistado, no supo aconsejarnos para pedir.","Granada, España",56,Escrita el 2 de marzo de 2020,56 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,,,,,,
