web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,image,image2,data4,data21,image3,image4
1776248505-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d23845263-Reviews-Peppe_Fusco_The_Italian-Madrid.html,Excelente,Leonela U,"Buenísimo y el trato estupendo volveré siempre !!!! La comida estupenda, y la cortesía de la casa lo mejor, vengan y Adrian los atenderá muy bien",1 contribución,1.0,Escrita el 1 de mayo de 2024,Gracias por venir a Peppe Fusco y considerar estupenda la experiencia. Queremos que sigas visitándonos y disfrutando de la auténtica comida italiana.,Escrita el 3 de mayo de 2024,,R.A,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,,
1776248505-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d23845263-Reviews-Peppe_Fusco_The_Italian-Madrid.html,Excelente restaurante,Christian M,Fuimos a cenar y estuvimos en la terraza. Ambiente agradable. Trato exquisito y comida de calidad. Relación calidad precio muy bien. Volveremos,1 contribución,1.0,Escrita el 17 de abril de 2024,"Me encanta saber que tras visitar Peppe Fusco, la experiencia ha sido genial. Regresa muy pronto para disfrutar del mejor sapore italiano.",Escrita el 24 de abril de 2024,,R.A,Calidad/precio,Comida,Servicio,Ambiente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,,
1776248505-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d23845263-Reviews-Peppe_Fusco_The_Italian-Madrid.html,Un experiencia agradable,Claudia de Blas,"El restaurante es muy bonito, tiene una iluminación muy agradable para mi gusto y la comida estaba bastante buena. 

Los camareros fueron muy majos, vieron que estaban tardando un poquito (nada que nos hubiera molestado) y nos regalaron un aperitivo para que tuviéramos algo de comer mientras nos traían la comida.

Nos pedimos una pasta y una pizza para compartir, la pasta nos encantó y la pizza estaba buena pero nos la esperábamos algo mejor. De todas maneras la experiencia muy buena y volvería.","Madrid, España",16.0,Escrita el 1 de abril de 2024,¡Hola Claudia d! ¡Qué bueno que te encantó tutto! En Peppe Fusco siempre queremos brindar una experiencia magnífica y la mejor comida italiana ¡Vuelve pronto a visitarnos!,Escrita el 2 de abril de 2024,16 contribuciones,R.A,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/c2/7d/a3/caption.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,,
1776248505-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d23845263-Reviews-Peppe_Fusco_The_Italian-Madrid.html,Muy rico,I M,"Las pinsas y los cócteles muy ricos, excelente servicio y el personal muy amable, el sitio muy ameno y tranquilo, muy recomendable",1 contribución,1.0,Escrita el 5 de marzo de 2024,"Me encanta saber que tras visitar Peppe Fusco, la experiencia ha sido genial. Regresa muy pronto para disfrutar del mejor sapore italiano.",Escrita el 5 de marzo de 2024,,R.A,Calidad/precio,Comida,Servicio,Ambiente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,,
1776248505-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d23845263-Reviews-Peppe_Fusco_The_Italian-Madrid.html,platos de cocina italiana muy sabrosos,Jose Luis R,"excelente cocina y buen servicio, platos elaborados y a la vez sencillos. Atención muy agradable. Llevamos repitiendo unas cuants veces","Madrid, España",26.0,Escrita el 3 de marzo de 2024,¡Hola jlrodriguezl2018! ¡Qué bueno que te encantó tutto! En Peppe Fusco siempre queremos brindar una experiencia magnífica y la mejor comida italiana ¡Vuelve pronto a visitarnos!,Escrita el 5 de marzo de 2024,26 contribuciones,R.A,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,,
1776248505-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d23845263-Reviews-Peppe_Fusco_The_Italian-Madrid.html,Me aparecido un sitio muy guay,Lucía N,"Este lugar es excelente para comer, disfrutar y pasar tiempo con tus seres queridos. El personal es super majo y super agradable y tardan super poco.",1 contribución,1.0,Escrita el 25 de febrero de 2024,È fantastico che la tua esperienza sia stata la migliore! Nos encantaría recibirte en muchas más ocasiones en el restaurante.,Escrita el 26 de febrero de 2024,,R.A,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,,
1776248505-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d23845263-Reviews-Peppe_Fusco_The_Italian-Madrid.html,Para repetir las veces que haga falta.,Alexis M,"Espectacular buffala. La pinsa de ricota y berenjena muy recomendable y también destacar el pan y focaccia que te ponen al inicio. Mi hijo lo ha descrito como ""rechonchito y sabroso"". Luego nos explicaron que se debe a la doble fermentación. No olvidarse del Nutelloto, el mejor postre en Madrid.",3 contribuciones,3.0,Escrita el 18 de febrero de 2024,"Me encanta saber que tras visitar Peppe Fusco, la experiencia ha sido genial. Regresa muy pronto para disfrutar del mejor sapore italiano.",Escrita el 21 de febrero de 2024,,R.A,Calidad/precio,Comida,Servicio,Ambiente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,,
1776248505-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d23845263-Reviews-Peppe_Fusco_The_Italian-Madrid.html,Italiano auténtico. Muy rico todo.,Cubi001,"Vitelo tonato muy rico. Al principio parecía un plato pequeño, pero no. Cantidades perfectas. Toda la pasta muy rica. El rissoto fue lo único que nos pareció más plano. Servicio muy bueno. Calidad precio buena.","Madrid, España",143.0,Escrita el 10 de febrero de 2024,¡Hola Cubi001! Muchísimas gracias por visitarnos en Peppe Fusco y valorar la experiencia de manera formidable. Esperamos que vuelvas pronto al restaurante y la experiencia sea igual de grata.,Escrita el 13 de febrero de 2024,143 contribuciones,R.A,Calidad/precio,Comida,Servicio,Ambiente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,,
1776248505-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d23845263-Reviews-Peppe_Fusco_The_Italian-Madrid.html,Restaurante italiano.,Jota2015Ce,"Restaurante italiano con una carta muy amplia y propuestas diversas. Raciones generosas, platos ideales para compartir. Limoncello al final de cortesía. Nos gustó mucho su polenta tartufata y su pinsa con berenjenas.","Madrid, España",10448.0,Escrita el 30 de enero de 2024,"Gracias por visitarnos en Peppe Fusco y destacar las generosas raciones, así como lo rico de la polenta tartufata y la pinsa con berenjenas.
Esperamos tenerte pronto de regreso en el restaurante.",Escrita el 31 de enero de 2024,10448 contribuciones,R.A,Calidad/precio,Comida,Servicio,Ambiente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/d0/d5/1d/jota2015ce.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,,
1776248505-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d23845263-Reviews-Peppe_Fusco_The_Italian-Madrid.html,Muy rico. Atención correcta a pesar que las mesas están muy ocupadas,Experience579699,"Muy rico!!! Y por fin pizza romana que no es fácil encontrar. La pasta en su punto y salsas justas, una grata sorpresa Volveremos!!","Madrid, España",4.0,Escrita el 27 de enero de 2024,"Muchas gracias por venir a Peppe Fusco y dejarnos tu reseña. Que alegría saber que te hemos sorprendido gratamente, tanto por las deliciosas pastas, como por nuestras pinsas romanas.
¡Te esperamos pronto de vuelta!",Escrita el 31 de enero de 2024,4 contribuciones,R.A,Calidad/precio,Comida,Servicio,Ambiente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,,
