web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,position,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,image,image2,data17,data18,image3,data4
1775469983-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,Genial,Elizabeth Allys... D,"Genial con Franco súper majo, súper bueno, todo guay",2 contribuciones,Escrita el 17 de enero de 2026,2.0,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,2 contribuciones,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/3a/a9/b2/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/4a/default-avatar-2020-42.jpg?w=100&h=-1&s=1,,,,
1775469983-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,Boletus <3,Eloria R,"Muy buena experiencia en compañía del mesero Franco.
Todo estuvó muy rico. Muy buen lugar para reír y comer.
Recomendamos las croquetas de boletus 🍄‍🟫
¡Viva Perú!",2 contribuciones,Escrita el 15 de enero de 2026,2.0,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,2 contribuciones,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/36/f6/2e/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1,,,,
1775469983-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,Recomendado,Carolina R,"Fuimos a cenar con mi madre y lo pasamos muy bien. Tienen una buena variedad de tapas, raciones y bebidas. Hay muy buen ambiente, el servicio es muy atento y simpático. Será por eso que siempre hay mucha gente (?) :)",4 contribuciones,Escrita el 14 de enero de 2026,4.0,Calidad/precio,Ambiente,Servicio,Comida,,,4 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,,
1775469983-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,Almuerzo en Madrid,Nicolas_Burgos,"Excelente comida, todos los platos deliciosos en especial el lomo de ternera. El personal muy atento y amable. El cheesecake muy rico también",12 contribuciones,Escrita el 13 de enero de 2026,12.0,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Bogotá, Colombia",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,,,,
1775469983-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,Algo pequeño para salir de lo cotidiano,Carola B,El mojito no estaba tan bueno. Pero excelente Atención y buena comida. Igual me gustó cerca de mi hospedaje. Es acogedor para parar y picar algo está perfecto,1 contribución,Escrita el 12 de enero de 2026,1.0,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1 contribución,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg?w=100&h=-1&s=1,,,,
1775469983-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,Una visita obligada para cualquiera que visite Madrid,Climber25655662756,"Más allá del encanto rústico y la música que le da un toque acogedor al lugar, el personal está encantado de recibir y atender a sus clientes, y el servicio es muy rápido y de excelente calidad.

Para cualquiera que quiera experimentar un poco del alma española en el ambiente, es una visita obligada.

Muchas gracias.",1 contribución,Escrita el 10 de enero de 2026,1.0,Calidad/precio,Ambiente,Servicio,Comida,,,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1,,,,
1775469983-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,Increíble!,Ellis K,Todo estaba riquísimo! Los camareros son muy majos y simpáticos. Recomiendo las croquetas y la paella y las ensaladas y el pulpo!,2 contribuciones,Escrita el 7 de enero de 2026,2.0,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",2 contribuciones,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/01/d6/b2/ellis-k.jpg?w=100&h=-1&s=1,,,,
1775469983-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,Delicioso,Marie Q,Excelente servicio y la comida deliciosa!  Definitivamente recomendado! Ordenamos secreto de ternera y lomo bajo y estaba todo en su punto!,1 contribución,Escrita el 6 de enero de 2026,1.0,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1 contribución,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,,,,
1775469983-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,Nuestra experiencia,Sara Itzel L,"Yo y mi novio vinimos a probar las tapas. Tienen un excelente jamón ibérico, queso y sangría. El servicio al cliente excelente. Y un buen ambiente, perfecto para platicar tranquilo.",1 contribución,Escrita el 5 de enero de 2026,1.0,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1 contribución,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,,
1775469983-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,Experiencia espnañola,Laura B,"Buena paella de marisco, perfecto atendimento de Jhoan, típica experiencia española. Recomendo muchísimo pasar aquí.",1 contribución,Escrita el 5 de enero de 2026,1.0,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,1 contribución,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/22/47/c9/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1,,,,
