web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,image,image2,image3,image4,image5,data4
1776248780-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d27743854-Reviews-La_Taberna_De_Penalver_Cava_Baja-Madrid.html,Un muy buen restaurante,Silvia S,La atmósfera en el restaurante era excelente y los camareros estaban muy amables. La paella con pollo y verduras era muy rica. En general es una restaurante muy buena.,1 contribución,1.0,Escrita el 27 de julio de 2025,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,,,,Leer más,,0.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,,
1776248780-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d27743854-Reviews-La_Taberna_De_Penalver_Cava_Baja-Madrid.html,Celebración de aniversario,Olga Z,Yo siempre soy de sitios nuevos. Pero en este sitio me gustaría volver y volver para probar toda la carta.  Aunque no me gusta la obligación de escribir como mínimo 100 caracteres para poder publicar esta opiñon,1 contribución,1.0,Escrita el 27 de julio de 2025,,,,,Calidad/precio,Comida,Servicio,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/9a/b9/2b/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/9a/b9/2c/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/9a/b9/2a/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,
1776248780-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d27743854-Reviews-La_Taberna_De_Penalver_Cava_Baja-Madrid.html,Aniversario,David v,"El arroz de secreto está increíble y el servicio por parte de Helen y Luis excelente, muchas gracias, volveremos pronto",1 contribución,1.0,Escrita el 27 de julio de 2025,,,,,Calidad/precio,Comida,Servicio,Ambiente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,0.0,,,,,,
1776248780-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d27743854-Reviews-La_Taberna_De_Penalver_Cava_Baja-Madrid.html,Espectacular,Estefania A,"Fuimos con nuestro bebé de 1 año y el trato fue espectacular, nos sentimos como en casa y el bebé lo noto también. Pedimos arroz de secreto pero por lo que vi alrededor, diría que pidas el que pidas va a estar buenísimo! También comimos ensalada de tomate y chipirón plancha. Desde la comida espectacular, pasando por el trato familiar y el ambiente tan tranquilo hace que vivas una experiencia maravillosa en un restaurante muy céntrico. Volveremos seguro, gracias",1 contribución,1.0,Escrita el 27 de julio de 2025,,,,,Calidad/precio,Comida,Servicio,Ambiente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,0.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,,
1776248780-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d27743854-Reviews-La_Taberna_De_Penalver_Cava_Baja-Madrid.html,Regular,evac74,"Varias pegas que no son aceptables en un sitio así. Primera, no había aire acondicionado y hacía un calor terrible sobre todo teniendo en cuenta que las mesas están muy juntas. El camarero que nos atendió muy regular. La paella tenía el arroz demasiado frito y estaba duro. Precio normal. El entrecot enano.",Madrid,90.0,Escrita el 25 de julio de 2025,,90 contribuciones,Ojo con la paella que el arroz estaba duro,,Calidad/precio,Comida,Servicio,Ambiente,,,,,Leer más,,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/95/53/f7/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/95/53/f8/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/95/53/f6/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-f/01/2e/70/7f/avatar066.jpg?w=100&h=-1&s=1,,
1776248780-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d27743854-Reviews-La_Taberna_De_Penalver_Cava_Baja-Madrid.html,La paella de ibérico espectacular,Julissa R,"Es un lugar magnífico para compartir en familia , o en pareja súper deliciosa las paellas las mejor de Madrid , nos encantó volveríamos cada vez que estemos en Madrid , la atención de helen Súper Buena recomendada ⭐️",1 contribución,1.0,Escrita el 10 de julio de 2025,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/6e/55/c3/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg?w=100&h=-1&s=1,,
1776248780-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d27743854-Reviews-La_Taberna_De_Penalver_Cava_Baja-Madrid.html,Absolutamente recomendable,Navegador17,"Local agradable. Cocina a la vista, según mesa y comedor. Buen servicio de mesa, camareros ardería y eficientes, Luis merece mención sister por su profesionalidad y empatía. ¡Muy buen trabajo Luis!.

Muy buena la ensalada de tomate, cebolla y ventresca. 

Riquísimo el pulpo asado la plancha con puré de patata, pimentón y aceite de oliva.

Excelente la paella. Pedimos una con carabineros y socarrat. Punto perfecto del arroz. Buenísimo el sabor. Carabineros jugosos. Impecable paella.

Helado de turrón y pistacho, muy ricos. 
Botella pequeña de agua, dos  copas de vino y dos cafés.

120€. La calidad es la calidad.

Difícil comer un paella mejor en Madrid.","Madrid, España",342.0,Escrita el 8 de julio de 2025,,342 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,,,,Leer más,,0.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,,
1776248780-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d27743854-Reviews-La_Taberna_De_Penalver_Cava_Baja-Madrid.html,Volvería mil veces!,Romina S,Increible! Súper amables el camarero Miguel (gran chileno) lo más divino y amable!!!!! Siempre atento a nuestras necesidades!,1 contribución,1.0,Escrita el 5 de junio de 2025,Gracias por venir a visitarnos y dejarnos esta valoración comentando tu experiencia. Estamos encantados de poder comprobar que has disfrutado. ¡Nos vemos pronto de nuevo!,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Cinderella Cafe & Cocktails,,,,,,,Escrita el 9 de junio de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,
1776248780-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d27743854-Reviews-La_Taberna_De_Penalver_Cava_Baja-Madrid.html,Muy buen arroz 👌,"Viajar y disfrutar, todo es empezar","La especialidad de este restaurante son los arroces alicantinos, y doy fé de que están muy buenos, al menos el que hemos tomado hoy que ha sido con secreto ibérico, setas y espárragos. El servicio es muy amable y profesional. Ha sido la primera visita pero queda apuntado en mi lista de repetibles.","Madrid, España",201.0,Escrita el 3 de junio de 2025,Gracias por venir a visitarnos y dejarnos esta valoración comentando tu experiencia. Estamos encantados de poder comprobar que has disfrutado. ¡Nos vemos pronto de nuevo!,201 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Cinderella Cafe & Cocktails,,,,,,,Escrita el 5 de junio de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/0a/e7/e6/avatar.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,
1776248780-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d27743854-Reviews-La_Taberna_De_Penalver_Cava_Baja-Madrid.html,Esperaba mucho más,Virginia Q,"Fuimos a este restaurante con la expectativa de disfrutar de una experiencia de nivel, tanto por el ambiente como por el precio. Éramos tres personas y gastamos alrededor de 300€, sin causar ningún tipo de molestia, esperando una atención a la altura. Sin embargo, desde el principio nos sentimos apresurados: nos metieron prisa para pedir, y cuando llegó el momento del postre, nos dijeron literalmente: “Tenéis cinco minutos para tomarlo.”

Además de la falta de tiempo para disfrutar la comida, lo más decepcionante fue el trato condescendiente por parte del personal, como si no estuviésemos “a la altura” del sitio, cuando lo mínimo que uno espera al gastar esa cantidad de dinero es respeto, profesionalismo y un servicio que te haga sentir bienvenido.

No se trata solo de lo que comes, sino de cómo te hacen sentir. Y en este caso, salimos con la sensación de haber sido poco valorados como clientes. No repetiría ni lo recomendaría.",2 contribuciones,2.0,Escrita el 26 de mayo de 2025,Lamentamos leer tu reseña y ver que no has disfrutado de la experiencia. Tomamos nota de lo que nos comentas para seguir ofreciendo la mejor calidad y el mejor servicio.,,"Fuimos a este restaurante con la expectativa de disfrutar de una experiencia de nivel, tanto por el ambiente como por el precio. Éramos tres",Cinderella Cafe & Cocktails,Calidad/precio,Comida,Servicio,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Escrita el 5 de junio de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0.0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,
