web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,position,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,image,image2,image3,image4,data22,data23,data24,data25,data26,image5
1776249154-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d20266458-Reviews-Lola_Si_Mola-Madrid.html,Comida rica y buena atención,Alexandra L,"Sitio acogedor, con comida muy muy buena y atención muy cuidada. Gracias al camarero tan majo que nos ha atendido! :-)",¡Muchas gracias Alexandra! Nos agrada saber que disfrutaste de la comida y del servicio. Tu satisfacción es nuestro objetivo. ¡Esperamos verte pronto!,2 contribuciones,2.0,Escrita el 25 de noviembre de 2023,,Lola Sí Mola,Escrita el 15 de diciembre de 2023,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Comida,Servicio,Ambiente,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/10/79/ab/lolasimola.jpg?w=100&h=-1&s=1,,,,,,
1776249154-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d20266458-Reviews-Lola_Si_Mola-Madrid.html,Interesante,Mmar M,"Buen servicio, sitio acogedor y aunque la carta es limitada la comida estaba buena. Me encantaron las alcachofas y el brownie. El dueño muy amable.","Hola Mmar, gracias por compartir tu experiencia. Nos alegra saber que disfrutaste de nuestras alcachofas y brownie. Esperamos verte nuevamente pronto. ¡Saludos!",2 contribuciones,2.0,Escrita el 23 de noviembre de 2023,,Lola Sí Mola,Escrita el 15 de diciembre de 2023,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Comida,Servicio,Ambiente,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/10/79/ab/lolasimola.jpg?w=100&h=-1&s=1,,,,,,
1776249154-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d20266458-Reviews-Lola_Si_Mola-Madrid.html,"Excelente Comida , sitio con encanto",Jet660463,"Totalmente recomendable, estaba todo buenísimo, la atención excelente , asesorados en todo momento , sin duda volveremos","¡Muchas gracias por tu comentario, Jet! Nos alegra saber que disfrutaste de la comida y del servicio. Esperamos verte de nuevo pronto. ¡Hasta la próxima!",1 contribución,1.0,Escrita el 14 de noviembre de 2023,,Lola Sí Mola,Escrita el 22 de noviembre de 2023,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Comida,Servicio,Ambiente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/cf/d1/0f/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/cf/d1/11/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/10/79/ab/lolasimola.jpg?w=100&h=-1&s=1,,,,,,
1776249154-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d20266458-Reviews-Lola_Si_Mola-Madrid.html,Recomendado!,Maria,"La Paaella es espectacular! Gran Chef!!!
No  duden en visitar este lugar pedir la paella!!
La atención es espectacular y la comida maravillosa!","Estimada Maria, gracias por tus amables palabras. Nos alegra saber que disfrutaste de nuestra paella y servicio. ¡Esperamos verte pronto de nuevo!","Bogotá, Colombia",5.0,Escrita el 12 de noviembre de 2023,5 contribuciones,Lola Sí Mola,Escrita el 22 de noviembre de 2023,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/59/default-avatar-2020-49.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/10/79/ab/lolasimola.jpg?w=100&h=-1&s=1,,,,,,
1776249154-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d20266458-Reviews-Lola_Si_Mola-Madrid.html,Comida y trato exquisitos,Antonio M,Un lugar muy agradable con trato personalizado y platos exquisitos a buen precio. Estuvimos muy agusto y bien atendidos. La sangría espectacular y el póster de diez. Un abrazo y nuestra enhorabuena. Cuando volvamos a Madrid esperamos volver a visitaros.,"Estimado Antonio, nos alegra mucho que disfrutaran de nuestra comida y trato personalizado. ¡Estaremos encantados de recibirles de nuevo en su próxima visita a Madrid! Un saludo cordial.",7 contribuciones,7.0,Escrita el 11 de noviembre de 2023,,Lola Sí Mola,Escrita el 22 de noviembre de 2023,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Comida,Servicio,Ambiente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/ca/a2/ec/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/ca/a2/ed/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/10/79/ab/lolasimola.jpg?w=100&h=-1&s=1,,,,,,
1776249154-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d20266458-Reviews-Lola_Si_Mola-Madrid.html,Para disfrutar comiendo en Madrid,Travel30652088303,"Hemos estado súper a gusto comiendo en família: todo lo que hemos probado estaba espectacular. Recomendamos las alcachofas y el pan bao. Cocina súper cuidada y sorprendente. 
Lo mejor, el buen trato y atención de Alex, súper amable, que se desvive para que sea una experiencia de 10. 
Doblemente contentos porque la niña disfrutó con el menú infantil.
Volveremos seguro!!!
Los de Cantabria y Catalunya ;)","Estimado Travel, nos alegra que haya disfrutado de nuestras alcachofas y pan bao. Nos complace que Alex haya hecho su experiencia memorable. Esperamos verle pronto. Saludos desde Madrid.",3 contribuciones,3.0,Escrita el 10 de noviembre de 2023,,Lola Sí Mola,Escrita el 15 de diciembre de 2023,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Comida,Servicio,Ambiente,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/10/79/ab/lolasimola.jpg?w=100&h=-1&s=1,,,,,,
1776249154-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d20266458-Reviews-Lola_Si_Mola-Madrid.html,Muy recomendable,John W,"Local pequeño pero muy agradable. Bonita decoración. Carta limitada pero muy buena presentación de los platos que elegimos y de los que vimos alrededor y, lo que es más importante, muy rico lo que pedimos. Alex, amable, afable, encantador, con nosotros y con toda la sala. Locales y foráneos. Estos, no lo sé, pero nosotros volveremos. Muy recomendable.","Estimado John, 

Agradecemos mucho tu recomendación y nos alegra que hayas disfrutado tanto de nuestros platos como de nuestro personal. Te esperamos pronto para repetir la experiencia. 

Saludos cordiales.",11 contribuciones,11.0,Escrita el 9 de noviembre de 2023,,Lola Sí Mola,Escrita el 15 de diciembre de 2023,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/a3/default-avatar-2020-38.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/10/79/ab/lolasimola.jpg?w=100&h=-1&s=1,,,,,,
1776249154-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d20266458-Reviews-Lola_Si_Mola-Madrid.html,Como en casa,Judit,"Excelente comida y servicio.
Camareros excelentes
Recomendable 100%
Ambiente acogedor y amigable.
Volveremos","Estimada Judit, nos complace saber que disfrutó de nuestra comida y servicio. Valoramos su recomendación y la esperamos de nuevo. ¡Gracias por su apoyo!",2 contribuciones,2.0,Escrita el 5 de noviembre de 2023,,Lola Sí Mola,Escrita el 15 de diciembre de 2023,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Comida,Servicio,Ambiente,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/10/79/ab/lolasimola.jpg?w=100&h=-1&s=1,,,,,,
1776249154-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d20266458-Reviews-Lola_Si_Mola-Madrid.html,Cocina y trato exquisito.,eduardo,"Era la segunda vez que íbamos, nos encanta su cocina y el trato. Está en la zona de calle Huertas que es muy divertida.","Estimado Eduardo, gracias por su amable comentario. Nos alegra mucho saber que disfruta de nuestra cocina y nuestro trato. ¡Esperamos verle nuevamente en la zona de Calle Huertas!",4 contribuciones,4.0,Escrita el 28 de octubre de 2023,,Lola Sí Mola,Escrita el 9 de enero de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Comida,Servicio,Ambiente,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/10/79/ab/lolasimola.jpg?w=100&h=-1&s=1,,,,,,
1776249154-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d20266458-Reviews-Lola_Si_Mola-Madrid.html,Local pequeño,Beatriz V,"Un pequeño local, con buen ambiente y acogedor. La atención muy buena.
Aunque con reserva, nos tocó esperar unos 20 minutos.
Las patatas chips me encantaron, con un toque picante muy buenas. Los huevos rotos con jamón muy ricos y buena cantidad.
La ensalada lola estab buena.
Lo que menos me gustó  aunque estaba bueno son los bao de carne.

La sangría tenía un sabor muy bueno.","Estimada Beatriz, agradecemos sus comentarios. Lamentamos el pequeño retraso de su reserva. Nos alegra saber que disfrutó de nuestras patatas chips, huevos rotos y sangría. ¡Esperamos verla pronto para que pruebe otros platos!","Valladolid, España",820.0,Escrita el 28 de octubre de 2023,820 contribuciones,Lola Sí Mola,Escrita el 9 de enero de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/b0/7d/7f/caption.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/b0/7d/80/caption.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/51/fc/8b/beatriz-v.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/10/79/ab/lolasimola.jpg?w=100&h=-1&s=1,,,,,,
