web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,image,image2,data4,data17,data18,data19,data20,data21,image3,position2
1776249675-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Grata cena,Scenic28169887755,"Magnifica bodega,creo quede las mas extensas en la isla, la comida buenisima y la atencion de todo el personal exquisita,",1 contribución,1.0,Escrita el 7 de agosto de 2024,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,,,,,,,
1776249675-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Muy recomendable,Berta S,"Sitio particular que sorprende por su calidad, productos que ofrece y servicio. Volveremos sin duda!! Arroz meloso un imprescindible",4 contribuciones,4.0,Escrita el 26 de julio de 2024,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg?w=100&h=-1&s=1,,,,,,,,
1776249675-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Nos ha encantado,Veg1612,"Nos ha gustado un montón m, todo muy rico y han sido muy amables. Muy recomendado. Hemos probado el steak tartar, el tiradito de atún y un arroz fuera de carta, todo espectacular.","Sevilla, España",4.0,Escrita el 22 de julio de 2024,4 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,,,,,,
1776249675-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Una cena inolvidable en Ibiza!,Luis L,"Una experiencia increíble. nos encantó. La calidad de los productos y la atención es excelente. Tienen una variedad de vinos insuperable. El precio es muy bueno considerando que es ibiza y la calidad de la comida.
Mi puntuación un 9 sobre 10","Castellón de la Plana, España",131.0,Escrita el 21 de julio de 2024,131 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,,,,,,
1776249675-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,La comida inmejorable,Jesus O,"Un descubrimiento en la isla después de muchas visitas, sorprendente carta de vinos y un trato magnífico por parte de Angel, propietario y alma de hostelero",1 contribución,1.0,Escrita el 21 de julio de 2024,,Calidad/precio,Comida,Servicio,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/ea/50/7b/caption.jpg?w=300&h=300&s=1,,,,,,,,,
1776249675-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Inmejorable,JOSEMA P,"Servicio inmejorable, excelente trato y conocimiento de su gastronomía hasta el punto de impresionar.
Solo agradecer ese momento de mezcla de sabores y de disfrute por sus platos eleborados.",1 contribución,1.0,Escrita el 21 de julio de 2024,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1,,,,,,,,
1776249675-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,100% Recomendado,jose p,"Magnífica comida y trato profesional 100% recomendable, cuando vuelva a la isla seguro que repetiré.______________","Mislata, España",1.0,Escrita el 19 de julio de 2024,1 contribución,Calidad/precio,Comida,Servicio,Ambiente,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,,,,,,,,
1776249675-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Calidad genial,Lourdes P,"Comida muy rica, atención de 20, más de 700 tipos de vinos…🫠 
Volveré en mi próxima visita a Ibiza sin dudarlo. 
Precios dentro de la normalidad en relación a la calidad",6 contribuciones,6.0,Escrita el 8 de julio de 2024,,Calidad/precio,Comida,Servicio,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/cb/58/64/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/9f/default-avatar-2020-16.jpg?w=100&h=-1&s=1,,,,,,,,
1776249675-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Una sorpresa inesperada,Raquel C,"Una auténtica sorpresa en Ibiza. Sin jaleos… una comida preparada con mimo… increiblemente sabrosa y bien presentada. Y lo más increible, a un precio muy ajustado. Un sitio para volver",6 contribuciones,6.0,Escrita el 7 de julio de 2024,,Calidad/precio,Comida,Servicio,Ambiente,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,,,,,,,,
1776249675-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Un 10 de sitio,Jacobo C,"Tanto la comida como el servicio han sido de 10. 
Pedimos 4 tapas + postre para 2 y fue una buena cantidad.
Lo que más nos gustó fue el tartar de salmón y aguacate y las croquetas (son del día y en nuestro caso fueron de boletus y ternera).
El servicio también fue muy atento, con una pequeña explicación de cada plato.
Relación calidad precio buena.",España,1.0,Escrita el 5 de julio de 2024,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,,,,,,,
