web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,position,data7,data8,data9,data10,data11,data12,data13,data14,position2,image,data15,data16,data17,data18,image2,data19
1776250220-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,NORMALITO,Juan Álvarez,"Buen sitio para comer pero ni de lejos merece la nota que tiene. Las pizzas están ricas pero pensaba que iba a ir a un sitio top a comer y se merece como mucho 3-4 estrellas. Le pongo 3 estrellas porque una de las pizzas no me gustó nada de nada (la que lleva pera que no recuerdo su nombre) 
Sitio para cenar con los amigos si no te apetece ir a un sitio muy caro.",4 contribuciones,Escrita el 18 de enero de 2024,4.0,,Calidad/precio,Comida,Servicio,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,,,,,,
1776250220-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Genial,manolo g,"Todo genial pizzas buenísimas y muy buena la atención de Rosmery, muy buenas recomendaciones.
Repetiré seguro.",1 contribución,Escrita el 22 de diciembre de 2023,1.0,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg?w=100&h=-1&s=1,,,,,,
1776250220-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,"En el lugar el ambiente es acogedor, la chica que nos atendió fue muy amable y paciente. El precio fue justo y",Hum Y,"El sitio tiene opciones vegetarianas variadas, la atención fue muy buena, la pizza estuvo deliciosa y está bien ubicado",1 contribución,Escrita el 13 de diciembre de 2023,1.0,,Calidad/precio,Comida,Servicio,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,,,,,,,
1776250220-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,La mejor pizza de queso que he comido nunca.,Marga,"Soy de Mallorca, descubrí esta pizzería hace 4 años cuando mi hijo y yo vinimos para ver las carreras universitarias, desde entonces es una parada obligada cada vez que vengo.
Para mi es la mejor pizza que he comido, me refiero a la redonda individual, masa crujiente y ligera, la pizza de 5 quesos espectacular para los amantes del queso, es la única que he probado que no es aceitosa.
Lo recomiendo al 100%.
Y también hay que agradecer el servicio y el trato recibido, un 10 en todos los aspectos.",1 contribución,Escrita el 16 de noviembre de 2023,1.0,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1,,,,,,
1776250220-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Los jóvenes que nos atendieron nos dieron la bienvenida y se aseguraron que tuviéramos una muy buena experiencia.,Keilyn M,A mi y a mis padres nos encantó tanto la experiencia que en nuestra visita a Madrid de 5 días fuimos dos noches a comer a este lugar. Muy buen servicio al cliente y la comida excelente.,2 contribuciones,Escrita el 10 de noviembre de 2023,2.0,,Calidad/precio,Comida,Servicio,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,,,,
1776250220-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Excelente comida a buen precio,Jessica desiree D,Todo excelente la mini ensalada es grande con una salsa maravillosa la lasaña exquisita la música de fondo espectacular felicitaciones,1 contribución,Escrita el 3 de noviembre de 2023,1.0,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,,,,,,
1776250220-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Muy bien,Inigo17,El trato fue muy bueno y la pizza estaba muy rica. Además la música de fondo muy bien escogida 100% recomendable,"Hondarribia (Fuenterrabía), España",Escrita el 1 de noviembre de 2023,1.0,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1,,,,,,
1776250220-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Increíble,Carolina B,"Las mejores pizzas de Madrid ❤️ fuimos por recomendación y no se equivocaron , gran variedad de pizzas y los tamaños de las porciones 10/10 RECOMIENDO",1 contribución,Escrita el 20 de octubre de 2023,1.0,,Calidad/precio,Comida,Servicio,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,,,,,,
1776250220-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Nos encantó La Pizzateca,Luis R,"Sitio pequeñito, pero muy acogedor. Comimos pizza los tres, a cuál más rica. Personal encantador. Servicio inmejorable. Nos encantó. Volveremos, sin duda.",1 contribución,Escrita el 14 de octubre de 2023,1.0,,Calidad/precio,Comida,Servicio,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg?w=100&h=-1&s=1,,,,,,
1776250220-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Maravillosa experiencia,Bear H,"Las pizzas deliciosas y a muy buen precio.
Los trabajadores malísimos y muy atentos.
Totalmente recomendable y sin duda repetiremos 😊",2 contribuciones,Escrita el 23 de septiembre de 2023,2.0,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg?w=100&h=-1&s=1,,,,,,
