web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,position,data8,data9,data10,data11,data12,data13,data14,data15,data16,image,image2,image3,data17,data18,data19,data20
1776250685-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d1059471-Reviews-Maruzzella-Madrid.html,Servicio de 10,Álvaro B,Un servicio de 10 y riquísimo los spaghetti de trufa. Karla nos atendió genial. Volveremos 100%. Ambiente elegante y tranquilo.,Molte grazie por compartir tus estrellas con nosotros! Que grato saber que tu experiencia en Maruzzella ha sido fantástica ¡Te esperamos pronto de regreso en el restaurante!,1 contribución,Escrita el 24 de septiembre de 2024,1.0,Escrita el 14 de octubre de 2024,,R.A,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,,
1776250685-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d1059471-Reviews-Maruzzella-Madrid.html,Increíble atención.,gabriely o,"El sitio ea acogedor, la iluminación para las fotos ea bonita , la atención de Karla la chica que nos atendió fue inmejorable muy atenta y carismática, la comida es de 10 puntos y es una media de 30€/35€ por persona.",¡Muchas gracias por tu reseña! Nos alegra saber que disfrutaste de la atención de Karla y que el ambiente fue perfecto para tus fotos. ¡Siempre buscamos que cada detalle cuente! Nos encanta que hayas disfrutado de la comida. Esperamos verte de nuevo pronto para seguir brindándote momentos especiales. ¡Hasta pronto!,4 contribuciones,Escrita el 18 de septiembre de 2024,4.0,Escrita el 14 de octubre de 2024,,R.A,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/80/6a/b5/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/99/default-avatar-2020-40.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,,
1776250685-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d1059471-Reviews-Maruzzella-Madrid.html,La comida un 9 La atención un 10!!!Geaciasss,Carlos g,"La comida de 10.Todo muy muy rico, pero lo mejor la atención.Fuimos en famikia, 18 personas y Belkis y su compañera Fabiola nos atendieron genial!!
se agradece, de verdad, ese nivel de mimo y cuidado a la hora de atender una mesa tan complicada.
Volveremos!!!","¡Qué alegría leer tu reseña!  Nos encanta saber que disfrutaron de la comida y, sobre todo, de la atención de Belkis y Fabiola.  ¡Gracias por elegirnos y por tus amables palabras! Esperamos verte de nuevo pronto para seguir compartiendo momentos deliciosos.",2 contribuciones,Escrita el 15 de septiembre de 2024,2.0,Escrita el 14 de octubre de 2024,,R.A,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,,
1776250685-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d1059471-Reviews-Maruzzella-Madrid.html,Comida,Álvaro G,Muy buen servicio y la calidad de la comida excelente. Ya he venido varias veces y no para de sorprenderme positivamente,¡Mamma mia! 297_lvarog ¡Gracias por dejarnos una reseña tan increíble sobre Maruzzella! E' fantastico leggere queste parole! Esperamos recibirte en infinidad de ocasiones más.,2 contribuciones,Escrita el 30 de agosto de 2024,2.0,Escrita el 14 de octubre de 2024,,R.A,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/b2/default-avatar-2020-69.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,,
1776250685-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d1059471-Reviews-Maruzzella-Madrid.html,Muy recomendable,mvdj,"Muy bueno todo: la atención estupenda. Las tres personas Celia Paula y Fabiola muy atentas todo el rato. La comida riquísima, la pasta con trufa exquisita y el
Tiramisú buenísimo también. Muy recomendable.","¡Nos alegra mucho saber que tu visita fue tan satisfactoria!  Agradecemos tus amables palabras sobre Celia, Paula y Fabiola; son un verdadero tesoro en nuestro equipo. La pasta con trufa y el tiramisú son favoritos, ¡así que nos alegra que los hayas disfrutado! Esperamos verte nuevamente pronto para seguir compartiendo delicias italianas.","Madrid, España",Escrita el 26 de agosto de 2024,14.0,Escrita el 14 de octubre de 2024,14 contribuciones,R.A,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,,
1776250685-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d1059471-Reviews-Maruzzella-Madrid.html,Muy buena experiencia!,Mariana J,"Este sitio es perfecto para una auténtica comida italiana. La atención es muy buena, especialmente Fabiana fue muy atenta. Comimos una Cacio e Pepe, Tagliatelle a la Bolognese y el Nutellotto","¡Nos alegra mucho que hayas tenido una experiencia tan buena!  La Cacio e Pepe y los Tagliatelle a la Bolognese son clásicos que siempre saben cómo conquistar. También, un gran agradecimiento por destacar a Fabiana; siempre está lista para cuidar de nuestros comensales. ¡Esperamos verte de nuevo pronto para seguir disfrutando de la auténtica comida italiana!",1 contribución,Escrita el 26 de agosto de 2024,1.0,Escrita el 14 de octubre de 2024,,R.A,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/45/3f/40/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,,
1776250685-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d1059471-Reviews-Maruzzella-Madrid.html,El menú y la atención fuera de lo normal!!,Jose S,"Excelente comida, y la atención insuperable!!  Volveremos!  El menú es también amplísimo italiana, h el Aperol Spritz fuera de serie!!!","¡Qué alegría saber que disfrutaste de nuestro menú y servicio!  Nos esforzamos por ofrecerte lo mejor, y el Aperol Spritz siempre es un éxito. ¡No podemos esperar a verte de nuevo para que sigas explorando nuestras delicias italianas!","Madrid, España",Escrita el 24 de agosto de 2024,4.0,Escrita el 14 de octubre de 2024,4 contribuciones,R.A,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/e8/58/0d/jose-s.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,,
1776250685-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d1059471-Reviews-Maruzzella-Madrid.html,10 de 10,giulia r,todo muy rico Celia y fabiola nos han atendido perfectamente👍comida y servicio de 10  y la terraza muy agradable muchas gracias por todo volveremos,"¡Nos alegra mucho saber que todo fue de 10!  Gracias por destacar a Celia y Fabiola; ellas siempre están listas para hacerte sentir especial. ¡La terraza es un lugar ideal para disfrutar! No dudes en volver, ¡te esperamos con los brazos abiertos!",1 contribución,Escrita el 23 de agosto de 2024,1.0,Escrita el 14 de octubre de 2024,,R.A,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/06/default-avatar-2020-18.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,,
1776250685-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d1059471-Reviews-Maruzzella-Madrid.html,Recomendable sin duda,Miriam G,Muy buena cocina y atención del personal inmejorable. Ambiente superagradable y además con la música ambiente bajita para que te puedas entender! Increíble!,¡Qué alegría conocer tu valoración miriamgM5294UQ! Estamos encantados de saber que disfrutaste de nuestros autentici piatti italiani y esperamos verte de nuevo pronto en Maruzzella.,3 contribuciones,Escrita el 23 de agosto de 2024,3.0,Escrita el 14 de octubre de 2024,,R.A,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,,
1776250685-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d1059471-Reviews-Maruzzella-Madrid.html,10/10 restaurante brillante,Jason B,La comida era preciosa y la presentación era aún mejor. El personal es muy amable y el comedor del restaurante se ve muy bien,"Thank you so much for your wonderful review! We're thrilled to hear that you enjoyed our food and presentation, and that our friendly staff made your experience even better. We're proud of our authentic Italian ambiance here at Maruzzella. We can't wait to welcome you back soon!",1 contribución,Escrita el 29 de julio de 2024,1.0,Escrita el 5 de agosto de 2024,,R.A,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,,
