web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,image,image2,image3,image4,data16,data17,data18,data19,image5,image6
1776251089-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d796535-Reviews-La_Cabana_Argentina-Madrid.html,Comida muy divina.,Miguel Perez Aguilar,"Fuimos en familia a comer. La calidad de las carnes y el servicio de la camarera fueron excepcionales. Sin embargo, al llegar al restaurante y no contar con reservación la atención de la hostería y el encargado no fue la más adecuada. A pesar de tener más de 6 mesas solas en la parte inferior nos hicieron esperar por largo rato y solo reaccionaron al decirles que ya nos íbamos a otro lugar.",6 contribuciones,6.0,Escrita el 28 de marzo de 2024,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/59/default-avatar-2020-49.jpg?w=100&h=-1&s=1,,,,,,
1776251089-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d796535-Reviews-La_Cabana_Argentina-Madrid.html,Argentina in spain,Barbara Vieira,"La morcilla.Muy buena, el steak tartar pedir sin picante muy fuerte el sabor, pero fresco , el carpaccio deli ! 
Las verduras a la parrilla  bien , el aguacate no es como el peruano suave y cremoso , pero estaba con pico de gallo  rico ! La ensalada bien ! Fresca .
Los cortes ricos y bien servidos , jugosos.
Jesus muy alegre y muy amable y Rocio en la puerta lo mejor de lo mejor su sonrisa
El cafe muy bueno 
Lindo ambiente abre corrido .",1584 contribuciones,1584.0,Escrita el 23 de marzo de 2024,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/b1/9d/47/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/b1/9d/48/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/b1/9d/49/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/c9/64/a3/caption.jpg?w=100&h=-1&s=1,,,,,,
1776251089-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d796535-Reviews-La_Cabana_Argentina-Madrid.html,Hemos acertado viniendo a este asador gracias a las reseñas que tenía en Google Maps,Salvador L,"Hemos salido muy satisfechos de la comida, como entrantes un plato de zamburiñas y un chorizo, ambos estupendos.
Como plato principal un ojo de bife acompañado por alcarchofas y puerro brasa, el puerro espectacular así como el bife. Las alcarchofas bien. Para finalizar unos sorbetes, limón y mango. Atención de primera y calidad precio muy bien teniendo en cuenta la calidad del producto. Espero volver en mi próximo viaje a la capital.","La Cañada, España",3559.0,Escrita el 19 de marzo de 2024,3559 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,3,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/aa/6c/48/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/aa/6c/49/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/aa/6c/4a/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/76/85/15/salvadorl968.jpg?w=100&h=-1&s=1,,,,,,
1776251089-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d796535-Reviews-La_Cabana_Argentina-Madrid.html,"Después de cenar nos niegan el café y , ¡ale, a levantarse que hay cola!",Diógenes,"Quedamos un sábado un grupo de compañeros de trabajo. Después de la cena, nada barata, por cierto, nos negaron el cafe, que nos teníamos que levantarnos de la mesa para los siguientes. A evitar absolutamente.","Socuéllamos, España",13.0,Escrita el 16 de marzo de 2024,13 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/99/44/4c/psicodiogenes.jpg?w=100&h=-1&s=1,,,,,,
1776251089-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d796535-Reviews-La_Cabana_Argentina-Madrid.html,"muy buena experiencia, repetiré",Irene,"La comida estaba riquísima, yo me pedí una milanesa con cebolla y queso super jugosa. Los camareros muy amables y atentos para que no nos faltase de nada.","Madrid, España",1.0,Escrita el 13 de marzo de 2024,1 contribución,Calidad/precio,Comida,Servicio,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1,,,,,,
1776251089-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d796535-Reviews-La_Cabana_Argentina-Madrid.html,Carnes argentinas en Madrid,Pedro Monardes,"Comida para dos. De entrada, pedimos empanaditas de muy buen sabor, las mejores que probamos en nuestra estadía en Madrid. De fondo: Matambrito con papas provenzales y Entraña Angus con puerros asados. Para beber pedimos un vino tinto varietal de marca El Regajal que lamentablemente venia demasiado frío para nuestro gusto en vinos tintos. Atención correcta, eficiente. El lugar se ve agradable y su ambiente contribuye para pasar un buen momento.","Viña del Mar, Chile",92.0,Escrita el 10 de marzo de 2024,92 contribuciones,Calidad/precio,Comida,Servicio,Ambiente,,,Leer más,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/98/2c/14/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/98/2c/15/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/98/2c/16/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/1c/da/fc/pedro-m.jpg?w=100&h=-1&s=1,,,,,,
1776251089-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d796535-Reviews-La_Cabana_Argentina-Madrid.html,Muy buena comida delicioso! A los críticos les gustará más un poco de sabor pero está bien para el cliente promedio.,Juan Manuel H,"Pudo ser mejor el sabor y la reservación 
Delicioso sin embargo no fenomenal 
Se
Come
Bien buen sabor 
A los más críticos podrían Venir a degustar","San José, Costa Rica",47.0,Escrita el 25 de febrero de 2024,47 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/72/79/f5/juan-manuel-h.jpg?w=100&h=-1&s=1,,,,,,
1776251089-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d796535-Reviews-La_Cabana_Argentina-Madrid.html,Cena de viernes,alberto m,"Fuimos a cenar mi mujer y yo. No teníamos reserva y estaba lleno pero nos dieron la oportunidad de esperar a que se liberara una de las mesas altas de la entrada. La atención fue muy buena, el servicio correcto y la comida muy rica. La carne estaba muy sabrosa y justo el el punto que la pedimos. El precio correcto. Cuando volvamos a Madrid volveremos sin dudarlo, eso sí reservando antes.","Zaragoza, España",7.0,Escrita el 25 de febrero de 2024,7 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/80/00/ed/caption.jpg?w=300&h=-1&s=1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/82/98/af/caption.jpg?w=100&h=-1&s=1,,,,,,
1776251089-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d796535-Reviews-La_Cabana_Argentina-Madrid.html,Totalmente recomendable.,sashafer2014,"Suelo ir a a Cabaña Argentina dos o tres veces al año, y lo vengo haciendo prácticamente desde que abrieron, hará cerca de unos 20 años. Nunca me han defraudado, al contrario, han sabido,e incluso han mejorado, y ya partieron de nota muy alta. Las carnes son excelentes, la bodega también, así como la atención al cliente. Hace ya unos años ampliaron al local de enfrente, y espero que sigan en la misma línea. Felicidades.","Madrid, España",37.0,Escrita el 4 de febrero de 2024,37 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/48/7d/e7/sashafer2014.jpg?w=200&h=-1&s=1,,,,,,
1776251089-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d796535-Reviews-La_Cabana_Argentina-Madrid.html,Desaconsejable en todos los aspectos,Pegolito,"Mi hobby es conocer restaurantes y me aconsejaron "" la cabaña Argentina"" , había estado ya en piantao, De María, Bartolomeo ... Y me fascinan, pero este es horrible la atención y pésima la comida. Un desastre en todos los sentidos y encima carísimo. No os equivoquéis.","Madrid, España",8.0,Escrita el 20 de enero de 2024,8 contribuciones,Calidad/precio,Comida,Servicio,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1,,,,,,,,,,
