web_scraper_order,web_scraper_start_url,data,data2,data3,data5,name,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,image,image2,image3,image4,data16,data17,data18
1776251314-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d13510945-Reviews-MU_El_Placer_de_la_Carne_II-Madrid.html,Carne de Angus,Ruben v,Carne de buena calidad y servicio muy rápido y con simpatía ☺️Recomendado!! Muchas gracias volveré!!,"Muchas gracias Rubén, nos encanta saber que volverás, esperamos que sea pronto!!!!!
Un saludo
Equipo Mu!",España,2.0,Escrita el 27 de octubre de 2021,Escrita el 29 de octubre de 2021,2 contribuciones,caberna666,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,
1776251314-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d13510945-Reviews-MU_El_Placer_de_la_Carne_II-Madrid.html,Argentino en el centro de Madrid,danibur,Trato excelente y buena comida relación calidad -precio. Bien situado y lugar agradable. Recomendaría y volvería a repetir,"muchas gracias por tu comentario, te estamos muy agradecidos por ambas cosas, tu recomendación y sobre todo tus deseos de repetir!!!
Un saludo
Equipo Mu!","Provincia de Burgos, España",4.0,Escrita el 23 de octubre de 2021,Escrita el 25 de octubre de 2021,4 contribuciones,caberna666,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,
1776251314-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d13510945-Reviews-MU_El_Placer_de_la_Carne_II-Madrid.html,Buena carne,Marc A,"Buena carne, hemos comido el t-bone y todo muy satisfactorio. La atención de los trabajadores muy buena, rápidos y agradables","Muchas gracias por su comentario, esperamos volver a verlos pronto por nuestro restaurante para que sigan disfrutando de nuestros platos y nosotros con su presencia.
Un saludo
Equipo Mu1",1 contribución,1.0,Escrita el 23 de octubre de 2021,Escrita el 25 de octubre de 2021,,caberna666,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,
1776251314-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d13510945-Reviews-MU_El_Placer_de_la_Carne_II-Madrid.html,Un excelente descubrimiento,Miguel,"La atención y la calidad fueron exquisitas, recomendadísimo. Volveremos seguro. En mi caso tomé una milanesa completa que estaba superjugosa.","Muchas gracias por su comentario, la verdad es que la milanesa es uno de mis platos preferidos me recuerda mucho mi infancia y hemos tratado de plasmarlo en Mu! por lo tanto nos hace sentir muy felices que a ustedes les guste también.
Un saludo
equipo Mu!",2 contribuciones,2.0,Escrita el 22 de octubre de 2021,Escrita el 25 de octubre de 2021,,caberna666,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,
1776251314-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d13510945-Reviews-MU_El_Placer_de_la_Carne_II-Madrid.html,Asadaso,Enriqueta R,"Holaaa la verdad que primera vez en Madrid ,y un placer encontrar un asado argentino y disfrutar de la carne empanadas y flan con Dulce de lecheeee como en casa. 🤍 súper recomendable buen precio menú 12,50 entrada plato postre 💓 así que ya saben !que aprovechen jajajaj","Muchas gracias Enrique por tu comentario, la verdad que viniendo a Madrid y que te sientas como en casa nos llena de orgullo.
un saludo
Equipo Mu!",2 contribuciones,2.0,Escrita el 17 de octubre de 2021,Escrita el 25 de octubre de 2021,,caberna666,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/20/4c/3e/ca/mu-el-placer-de-la-carne.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/20/4c/3e/d5/mu-el-placer-de-la-carne.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,
1776251314-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d13510945-Reviews-MU_El_Placer_de_la_Carne_II-Madrid.html,Recomendación,Diego M,"El servicio es excelente, el personal muy amable, el lugar muy confortable, de fácil acceso y bien ubicado. Felicitaciones al chef!! INCREIBLE LA COMIDA","Muchas gracias por tu comentario Diego, le haremos llegar tus felicitaciones al chef !!
un saludo
equipo Mu!",2 contribuciones,2.0,Escrita el 14 de octubre de 2021,Escrita el 25 de octubre de 2021,,caberna666,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-l/01/2a/fd/8e/avatar.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,
1776251314-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d13510945-Reviews-MU_El_Placer_de_la_Carne_II-Madrid.html,Comida domingo,Gonzalo Jimeno,"Una gran experiencia culinaria, llendo con amigos, hemos probado el menú del día 12.5€ con diferentes opciones a elegir, ha estado todo muy bien cocinado y el sitio con gran decoración y el trato por parte del servicio, una gran experiencia para repetir!!","gracias Gonzalo por tu opinión,  que bueno es poder tener experiencias agradables cuando no conocemos el sitio que elegimos pero ahora que ya lo conoces deseamos volver a verte pronto!!!
un saludo
Equipo Mu!",1 contribución,1.0,Escrita el 10 de octubre de 2021,Escrita el 12 de octubre de 2021,,caberna666,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,
1776251314-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d13510945-Reviews-MU_El_Placer_de_la_Carne_II-Madrid.html,Un descubrimiento,Chema V,"Fuimos a comer el pasado sábado dos de octubre y nos encantó. El trato fue muy bueno, con muchas ganas de agradar sin llegar a ser pesados. La comida fue excelente, sobre todo los chinchulines y la carne, lomo alto black angus. Los postres también muy buenos, especialmente el flan y el arroz con leche. Un lugar a tener muy en cuenta. Repetiremos sin duda alguna.","Muchas gracias por tu opinión, no es habitual que nos comentéis sobre los postres por eso nos gusta especialmente tu opinión ya que ponemos tanto o mas cuidado en ellos que en la carne.
Un saludo
Equipo Mu!","Madrid, España",5.0,Escrita el 4 de octubre de 2021,Escrita el 6 de octubre de 2021,5 contribuciones,caberna666,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,
1776251314-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d13510945-Reviews-MU_El_Placer_de_la_Carne_II-Madrid.html,Volvería mañana mismo!,Jorge Martínez,"Emma, Felix y Gustavo fueron súper amables en todo momento. Me dieron conversación y fueron súper simpáticos. Y la carne..! Me pedí el Black Angus y me daban ganas de llorar cuando se terminó 😂 buenísimo. Recomendadísimo!","Muchas gracias Jorge por tu comentario, estoy de acuerdo contigo contigo en todo (jaja) y si el black Angus es una joya!!!!!
Un saludo
Equipo Mu!","Berna, Suiza",2.0,Escrita el 3 de octubre de 2021,Escrita el 6 de octubre de 2021,2 contribuciones,caberna666,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1e/e6/8e/31/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/7b/default-avatar-2020-56.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,
1776251314-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d13510945-Reviews-MU_El_Placer_de_la_Carne_II-Madrid.html,Espectacular,José S,"Fuimos dos dias a cenar.
El primer dia pedimos la parrillada para 2 personas y un lujo. Carne rica, bien tratada y abundante. Camareros super amables y profesionales. Un verdadero gusto.
Segundo dia: pedimos salmón a la brasa y si bien estaba rico la verdad que por el precio me esperaba una pieza mayor, maxime viendo como era la parrillada del dia anterior. Pollo rico y bien hecho. 
Sin duda yo pediria la parrillada dado que la recomiendo al 100%
Si vuelvo a Madrid repetiré sí o sí. No dudes en ir y reservar con antelación.
Me equivoqué y puse una reseña en el de la Calle Chinchilla pero no he estado, por si ls ven puesta.
Gracias por todo","muchas gracias por tu comentario José, es muy habitual que encontremos opiniones en uno de nuestros locales cuando realmente fue en otro porque tenemos tres y muchos de vosotros no lo sabéis de todas maneras lo importante para nosotros no es el ranking sino vuestra sensación después de haber pasado por Mu!
Un saludo
Equipo Mu!","Logroño, España",492.0,Escrita el 28 de septiembre de 2021,Escrita el 6 de octubre de 2021,492 contribuciones,caberna666,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/9f/default-avatar-2020-16.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,
