web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,image,image2,data4,image3
1776261962-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d27475089-Reviews-La_Gaditana_Retiro-Madrid.html,Cena de amigas,Marisa G,Lo mejor para cenar. Félix nos atendió de maravilla. Es un crack,"¡Hola, Marisa! Muchísimas gracias por elegirnos para vuestra cena de amigas.

Nos hace muchísima ilusión leer que para ti somos ""lo mejor para cenar""; ese es el mayor piropo que nos pueden lanzar. Le transmitiremos tus palabras a Félix, le va a encantar saber que le consideras un ""crack"", ¡porque la verdad es que lo es!

¡Te esperamos pronto de vuelta por el Retiro para otra cena de diez!",19 contribuciones,Escrita el 7 de marzo de 2026,19,Escrita el 9 de marzo de 2026,"Zanzíbar, Tanzania",Antonio Martinez,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/89/f9/ec/lagaditanaa.jpg?w=100&h=-1&s=1,,
1776261962-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d27475089-Reviews-La_Gaditana_Retiro-Madrid.html,Lo mejor talia,Ruben M,Thalía es es la mejor camarera que hemos tenido aquí jamás. Atenta comprensiva siempre pendiente. Lo que necesitamos es lo mejor que nos ha pasado en este bar. La amamos,"¡Hola, Rubén! Muchísimas gracias por este comentario tan lleno de cariño.

Nos habéis dejado sin palabras con vuestras palabras hacia Thalía; le va a hacer muchísima ilusión saber que la ""amáis"" y que su atención ha sido lo mejor que os ha pasado en nuestra casa. Es una suerte inmensa tenerla con nosotros, siempre tan atenta y pendiente de que no os falte de nada. ¡Ya estamos deseando que volváis para que Thalía os vuelva a mimar!

¡Os esperamos pronto por el Retiro!",1 contribución,Escrita el 7 de marzo de 2026,1,Escrita el 9 de marzo de 2026,1 contribución,Antonio Martinez,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/89/f9/ec/lagaditanaa.jpg?w=100&h=-1&s=1,,
1776261962-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d27475089-Reviews-La_Gaditana_Retiro-Madrid.html,Muy bien,carlos T,Cena familiar muy conseguida por la comida y por la amabilidad de Félix el camarero.,"Muchísimas gracias por tu visita y por compartir tu experiencia con nosotros, Carlos.

Nos alegra enormemente saber que vuestra cena familiar en la calle Doctor Castelo fue todo un éxito. Le transmitiremos de inmediato tus palabras a Félix; su amabilidad es una de nuestras mejores señas de identidad y saber que contribuyó a que os sintierais tan bien atendidos es la mejor recompensa para él y para todo el equipo. ¡Es un auténtico profesional!

Para vuestra próxima reunión familiar, os animamos a que sigáis explorando nuestra carta con platos ideales para compartir, como nuestro Lomo de Bacalao sobre Cama de Pisto o nuestras crujientes Albóndigas de Choco en su Tinta, que son puro sabor a tradición. Y si queréis un plato de los que dejan huella, nuestro Arroz con Carabineros es una elección espectacular para disfrutar de todo el sabor del mar en el mejor ambiente gaditano de Madrid.

¡Os esperamos pronto de nuevo en vuestra casa del Retiro para seguir celebrando buenos momentos!",1 contribución,Escrita el 5 de marzo de 2026,1,Escrita el 6 de marzo de 2026,1 contribución,Antonio Martinez,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/89/f9/ec/lagaditanaa.jpg?w=100&h=-1&s=1,,
1776261962-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d27475089-Reviews-La_Gaditana_Retiro-Madrid.html,Espectacular,Sightseer26960621880,"Cena espectacular, como siempre, atención y profesional de 10 en especial Félix y Vladimir. Los mejores con diferencia. 
Para repetir siempre. 10 de 10.","¡Muchísimas gracias por tu fidelidad y por calificarnos con ese 10 de 10!

Nos llena de orgullo saber que tu cena en la calle Doctor Castelo fue, una vez más, espectacular. Transmitiremos de inmediato tus palabras a Félix y Vladimir; son dos pilares fundamentales de nuestro equipo y saber que para ti son ""los mejores con diferencia"" es el mayor reconocimiento que pueden recibir por su profesionalidad y entrega. ¡Les va a hacer muchísima ilusión!

Como sabemos que te gusta repetir, para tu próxima visita te sugerimos dejarte sorprender por nuestro Lomo de Bacalao sobre pisto de verduras o nuestras Albóndigas de Choco en su tinta, que son pura esencia de nuestra cocina. Y si vienes con ganas de un arroz con potencia, el de Carabineros es una elección que nunca falla para poner el broche de oro a una noche en el Retiro.

¡Te esperamos pronto en tu casa para seguir sumando experiencias de diez!",1 contribución,Escrita el 5 de marzo de 2026,1,Escrita el 6 de marzo de 2026,1 contribución,Antonio Martinez,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/89/f9/ec/lagaditanaa.jpg?w=100&h=-1&s=1,,
1776261962-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d27475089-Reviews-La_Gaditana_Retiro-Madrid.html,Fenomenal Yenifer,Miguel Angel F,"Yenifer, nos at mido de lujo, muy recomendable","¡Qué alegría de comentario, Miguel Ángel! Muchísimas gracias por visitarnos en el Retiro y por recomendarnos de esta manera.

Le transmitiremos de inmediato tus palabras a Yenifer; le hará muchísima ilusión saber que su atención ""de lujo"" hizo que vuestra visita fuera fenomenal. Es un orgullo contar con profesionales como ella en la calle Doctor Castelo que cuidan cada detalle para que os sintáis como en casa.

Para vuestra próxima visita, os animamos a que sigáis explorando nuestra carta con nuestro Arroz Negro con su toque de ali-oli, que es puro sabor a mar. Y si preferís un clásico que nunca falla, nuestras Croquetas de Carabineros son una explosión de sabor que tenéis que probar.

¡Te esperamos pronto de nuevo para que Yenifer y todo el equipo vuelvan a sorprenderte!",1 contribución,Escrita el 5 de marzo de 2026,1,Escrita el 6 de marzo de 2026,1 contribución,Antonio Martinez,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/89/f9/ec/lagaditanaa.jpg?w=100&h=-1&s=1,,
1776261962-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d27475089-Reviews-La_Gaditana_Retiro-Madrid.html,Esta para repetir,carlos c,"Muy buen menú ejecutivo. Nos ha encantado.
Félix nuestro camarero muy eficaz y atento.
Repetiremos","¡Muchas gracias por tu visita y por ese fantástico comentario, Carlos!

Nos alegra enormemente saber que vuestra experiencia con el menú ejecutivo en la calle Doctor Castelo fue de vuestro agrado; trabajamos a diario para ofrecer una opción de calidad y equilibrada para el día a día. Le transmitiremos vuestras palabras a Félix; su eficacia y atención son fundamentales para que el servicio fluya a la perfección, y se sentirá muy orgulloso de saber que contribuyó a que vuestra comida fuera un éxito.

Como bien dices que repetiréis, en vuestra próxima visita os animamos a que exploréis otras joyas de nuestra carta, como el Tataki de Atún Rojo Salvaje de Almadraba o nuestro Pulpo a la gaditana sobre crema de papas chipioneras. Y si os apetece un plato con toda la esencia de la casa, nuestro Arroz con Bogavante es una elección espectacular para disfrutar de lo mejor del mar.

¡Os esperamos pronto de nuevo en el Retiro para otra experiencia de diez!",2 contribuciones,Escrita el 5 de marzo de 2026,2,Escrita el 6 de marzo de 2026,2 contribuciones,Antonio Martinez,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/89/f9/ec/lagaditanaa.jpg?w=100&h=-1&s=1,,
1776261962-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d27475089-Reviews-La_Gaditana_Retiro-Madrid.html,Buen lugar para tapear,Irene L,"Nos ha encantado! Buen sitio para tapear. Super agradables las camareras y muy atentas en todo momento Talya, Rocio y Seni. Pedimos coquinas y zamburiñas, todo muy bueno.","¡Muchísimas gracias por tu visita y por dedicarnos estas palabras, Irene!

Nos alegra enormemente saber que disfrutaste de nuestro tapeo en pleno Retiro. No hay nada que nos guste más que saber que nuestras coquinas y zamburiñas estuvieron a la altura de vuestras expectativas; ¡son dos de nuestros tesoros del mar!

Le transmitiremos personalmente vuestro agradecimiento a Talya, Rocío y Seni. Son piezas fundamentales de nuestra familia en La Gaditana y les hará muchísima ilusión saber que su atención y profesionalidad hicieron vuestra experiencia aún más especial.

¡Esperamos veros de nuevo muy pronto para seguir compartiendo el arte de Cai en Madrid!

Un abrazo de parte de todo el equipo.",3 contribuciones,Escrita el 4 de marzo de 2026,3,Escrita el 5 de marzo de 2026,3 contribuciones,Antonio Martinez,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/89/f9/ec/lagaditanaa.jpg?w=100&h=-1&s=1,,
1776261962-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d27475089-Reviews-La_Gaditana_Retiro-Madrid.html,Trato respetuoso y amable,Voyager29032332957,Tanto yenifer como Adri han sido extremadamente amables y educados. Muy atentos a los gustos de los clientes. Creo que me convertirá en un abitual. Gracias,"¡Qué alegría leer que tu experiencia con nosotros ha sido tan positiva! Nos llena de orgullo saber que el trato de Yenifer y Adri marcó la diferencia en tu visita; se lo transmitiremos personalmente, ya que les encantará saber que su atención y amabilidad han logrado que quieras convertirte en un habitual.

Esa es precisamente nuestra meta: que cada cliente se sienta como en casa. ¡Estamos deseando recibirte de nuevo en nuestra casa de Retiro para seguir compartiendo contigo lo mejor de Cádiz!

Un cordial saludo,
El equipo de La Gaditana",2 contribuciones,Escrita el 4 de marzo de 2026,2,Escrita el 5 de marzo de 2026,"Madrid, España",Antonio Martinez,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,,,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/89/f9/ec/lagaditanaa.jpg?w=100&h=-1&s=1,,
1776261962-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d27475089-Reviews-La_Gaditana_Retiro-Madrid.html,Entramos por casualidad y todo fue excelente.,joslin700,La cocina es espectacular y y Don Félix el camarero que nos atendió es simplemente un gran profesional.,"Estimado joslin700,

¡Qué maravilla que esa casualidad os trajera a nuestra casa! Nos alegra muchísimo saber que tanto nuestra cocina como la atención de Don Félix estuvieron a la altura de vuestras expectativas.

Transmitiremos vuestras palabras a Félix de inmediato; comentarios como el vuestro, que ponen en valor la profesionalidad y el cariño que ponemos en cada servicio, son nuestra mayor motivación.

¡Esperamos que vuestra próxima visita ya no sea por casualidad, sino para repetir esos sabores espectaculares! Un fuerte abrazo.

Atentamente,

El equipo de La Gaditana Retiro",12 contribuciones,Escrita el 4 de marzo de 2026,12,Escrita el 5 de marzo de 2026,"Comunidad de Madrid, España",Antonio Martinez,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/89/f9/ec/lagaditanaa.jpg?w=100&h=-1&s=1,,
1776261962-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d27475089-Reviews-La_Gaditana_Retiro-Madrid.html,Increíble atención de Felix,Lucia,"Nos atendió Felix y la experiencia fue increíble. Nos aconsejó muy bien que pedir. Atento, siempre sonriendo. Da gusto ir a sitios a comer y que te atiendan tan bien.  La comida exquisita.","Hola 88luci,

¡Muchísimas gracias por compartir tu experiencia con nosotros! Nos hace mucha ilusión leer que la atención de Felix hizo que vuestra comida fuera increíble. Transmitiremos personalmente tus palabras a Felix; su sonrisa y sus buenos consejos al recomendar platos son, sin duda, parte de nuestra esencia.

Saber que os habéis sentido tan bien atendidos y que la comida os pareció exquisita es nuestra mayor recompensa. ¡Esperamos veros de nuevo muy pronto por nuestra casa en Retiro!

Un cordial saludo,
El equipo de La Gaditana",3 contribuciones,Escrita el 4 de marzo de 2026,3,Escrita el 5 de marzo de 2026,3 contribuciones,Antonio Martinez,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/89/f9/ec/lagaditanaa.jpg?w=100&h=-1&s=1,,
