web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,image,image2,image3,image4,image5,position,name,data17,data18,data19,data20
1776262221-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Buen sitio.,Adrian B,"Muy bueno!
Bar con tapas muy buenas y hamburguesas excelentes.
El trato es excepcional y muy atento.
Destacar el trato del camarero que anota las reservas, siempre pendiente.
Lo recomiendo.",1 contribución,Escrita el 16 de septiembre de 2024,1,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1 contribución,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg?w=100&h=-1&s=1,,,,,,,,,,
1776262221-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Un buen bar con buenas tapas y terraza grande,Matthieu J,"Un buen bar donde hemos comido varias veces en familia. Te tratan bien. Me encanta la oreja de cerdo crujiente, pulpo, croquetas holjabravas y la entraña con chimichurri. Un buen distinto de verano y postres variados",53 contribuciones,Escrita el 6 de septiembre de 2024,53,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,53 contribuciones,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/76/2b/9f/matthieu-j.jpg?w=100&h=-1&s=1,,,,,,,,,,
1776262221-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Siempre genial,Montse S,"Fuimos a cenar con la familia y todos salimos muy satisfechos, los niños de las fantásticas hamburguesas y los adultos. Siempre que vamos probamos algo nuevo y bien elaborado. Todo el personal es muy agradable y están muy pendiente de todo. Nos vemos pronto.",2 contribuciones,Escrita el 2 de septiembre de 2024,2,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",2 contribuciones,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg?w=100&h=-1&s=1,,,,,,,,,,
1776262221-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Agradable,sarima z,"Un sitio acogedor para comida o cena. Muy bien el servicio y la comida. La atención muy correcta y agradable. Los platos están muy bien presentados y están muy ricos. El tinto de verano, espectacular. Lo recomiendo.",2 contribuciones,Escrita el 31 de agosto de 2024,2,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",2 contribuciones,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,,,,,,,,,,
1776262221-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,El mejor sitio de vallecas,Companion13806096912,"Es un sitio genial, se aparca fácil, la comida está genial y el trato del personal es excelente. La tortilla de patata con trufa y el guacamole no falta nunca en nuestro pedido",1 contribución,Escrita el 31 de agosto de 2024,1,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,1 contribución,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg?w=100&h=-1&s=1,,,,,,,,,,
1776262221-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Cara decepción,NINES VARELA,"Fuimos por las opiniones favorables  de tripadvisor, pero no se si ha sido que era el primer día después de sus vacaciones pero la experiencia no ha sido buena., la atención ha sido positiva pero el resultado no tanto .  Mala relación calidad precio  Raciones escasas y nada excepcional. Pedimos  6 raciones para 4 comensales ( un tapa por persona) El atún  lo más destacable . Precio por persona 36.70. Por ese precio en otros locales de Vallecas sales bastante satisfecho.",44 contribuciones,Escrita el 24 de agosto de 2024,44,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Madrid, España",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/2b/a7/eb/caption.jpg?w=100&h=-1&s=1,,,,,,,,,,
1776262221-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Segunda visita que invita a una tercera y cuarta y quinta ...,Luis G,"Bueno, me he dado una vuelta antes por los comentarios negativos para ver de qué se queja la gente sin criterio. Porque de verdad, poco criterio y muchas ganas de hacer daño.

Amordmadre marca un nivel gastronomico en Vallecas que está muy, pero que muy lejos, de cualquier otra oferta gastro de la zona. Este restaurante podría estar perfectísimamente en cualquier zona vip de Madrid con un ticket medio mucho más elevado.

Poder tener acceso a una cocina tan elaborada a un ticket de 20 - 30 € por persona me parece un lujo del que poca gente es consciente.

Respecto al local contar que la decoración, la iluminación y el espacio interior da para lo que da. Está claro que la mayor parte de los m2 se los llevó la cocina. Es un lugar acogedor, con mucha luz y con un buen ambiente donde no se escuchan gritos ni golpes (no como otros restaurantes). Huele a limpio, y sin rastro de olor a grasa lo que a mi, como consultor de restaurantes, me indica el nivel de limpieza y exigencia de la cocina. Algo siempre a agradecer.

A nivel gastro tiene una presencia muy importante de pescados y toques asiaticos, algo que si si, como a mi, te gusta mucho lo japo y fusión, te llamará la atención.

A destacar el atún rojo balfego en tataki y el mero braseado con salsa de curry. Para mi de lo mejor de la carta.

Los solomillos de gambas con aceite infusionado de cítricos una locura. Muy ricas.

Hemos ido dos veces y hemos probado varios platos más y la verdad es que está todo rico y sabroso.

Para los que hablan de las cosillas, no son de cerdo ibérico. Son costillas de vaca a baja temperatura con un punto de la carne muy logrado. 

La terraza y el servicio de sala no lo puedo evaluar porque no hemos estado fuera aun aunque el equipo va bastante rapido y no hay errores de rangos ni cruces de camareros. 

El servicio va rapido y fluido, no hay muchas esperas y se nota la supervisión en las comandas y los sigue.

En general, de lo mejor que hay por la zona nueva de vallecas.

Respecto a los postres diré que (sin ser yo muy goloso) me parecen correctos. 

La tarta de queso me gustaria que fuese un poco más cremosa. No se si es por el frío o porque lleva más bizcocho pero estaría bien algo más de cremosidad.

La espuma de yogurt muy muy rica y fresquita.",31 contribuciones,Escrita el 25 de julio de 2024,31,Calidad/precio,Ambiente,Servicio,Comida,Resedvad llamando por teléfono y no os fiéis de las criticas negativas.,,"Madrid, España",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/49/88/2f/caption.jpg?w=100&h=-1&s=1,,,,,,,,,,
1776262221-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Excelente,Mary A,"Me encanto el sitio la comida súper buena y los camareros súper majos y atentos , recomiendo q la gente vaya lo que pedimos muy bueno",1 contribución,Escrita el 24 de julio de 2024,1,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1 contribución,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/79/default-avatar-2020-21.jpg?w=100&h=-1&s=1,,,,,,,,,,
1776262221-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Recomendable,Mar G,"Restaurante totalmente recomendado, comida fantástica y trato maravilloso, siempre pendientes de que todo esté correcto.",1 contribución,Escrita el 23 de julio de 2024,1,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1 contribución,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1,,,,,,,,,,
1776262221-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Un lugar ideal,Ruben P,Un sitio ideal en Villa de Vallecas para degustar cosas distintas y no tener que ir al Centro. Merece mucho la pena. Déjate aconsejar por el personal y tú disfruta.,5 contribuciones,Escrita el 23 de julio de 2024,5,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,5 contribuciones,Leer más,0,,,,,,,,,,,
