web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,position,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,position2,image,image2,image3
1775582087-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Great choice in Huertas,Diego T,Excelente elección! La comida genial y la atención 10 puntos! Precios super razonables. El bacalao con patatas yeso de cabra 💯Gracias Peter!,4 contribuciones,Escrita el 9 de noviembre de 2025,4.0,,,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/59/default-avatar-2020-49.jpg?w=100&h=-1&s=1,
1775582087-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,,,,,,,Explora ahora,Descubre Prefectura de Hiroshima,Descubre por qué a los viajeros como tú les encanta Prefectura de Hiroshima,,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/d4/06/8d/dsc-0685-largejpg.jpg?w=400&h=400&s=1,,
1775582087-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Comida excelente,Carlos A,"Comida super rica, excelente atención y muy lindo lugar. 100% recomendado. El arroz con mariscos y el risoto de gambas son mis favoritos",2 contribuciones,Escrita el 9 de noviembre de 2025,2.0,,,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,
1775582087-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Excelente,Julia M,"Comida excelente , el servicio muy bueno buen ambiente. El tiempo de espera no es tanto vale mucho la pena 100% recomendado.",3 contribuciones,Escrita el 2 de noviembre de 2025,3.0,,,,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,1.0,,,
1775582087-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,¡Provare per credere!,Daniele G,¡Osman es el verdadero hombre! Tienes que probar este lugar. Estuvimos en Madrid algunos días y disfrutamos de la mejor paella de la ciudad. 😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊🎉🎉🎉🎉🥂🥂🥂🥂🥂🥂🥂🥂🥂🥂🥂🥂🥂🥂🥂🥂🥂🥂🥂🥂🥂🥂🥂🥂🥂,14 contribuciones,Escrita el 1 de noviembre de 2025,14.0,,,,Mostrar original,Calidad/precio,Ambiente,Servicio,Comida,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg?w=100&h=-1&s=1,
1775582087-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Buena comida a un precio razonable,Katerina M,Buena comida. Recomiendo encarecidamente el guiso cubano! ¡También la tarta de queso casera! Muy popular. Asegúrese de hacer una reserva. Servicio amable.,13 contribuciones,Escrita el 31 de octubre de 2025,13.0,,,,Mostrar original,Calidad/precio,Ambiente,Servicio,Comida,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg?w=100&h=-1&s=1,
1775582087-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Bueno para la cena y el almuerzo,Danielle J,"Prepárate para hacer cola durante la noche, ya que es un restaurante muy popular. Sin duda vale la pena ir aquí, buena comida, gran variedad y personal muy amable.",11 contribuciones,Escrita el 31 de octubre de 2025,11.0,,,,Mostrar original,,,,,Traducido automáticamente,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/e9/d0/d2/danielle-j.jpg?w=100&h=-1&s=1,
1775582087-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,,,,,,,Leer ahora,15 increíbles retiros en la naturaleza por todo el mundo para descansar y rejuvenecer,"La vida a veces puede ser frenética, y es posible que tengas ganas de escapar de todo. Para hacerlo, no hay nada mejor que pasar tiempo en una selva tropical o en las montañas y disfrutar del aire fresco, kilómetros de vegetación impresionante y tener la oportunidad de relajarse.",,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/0d/a5/00/caption.jpg?w=400&h=400&s=1&cx=960&cy=540&chk=v1_4054ba9f6d2ab3122887,,
1775582087-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Excelencia,Marilyn C,"Excelente la atención del señor Peter. Lo recomiendo 100 por ciento. Los platos exquisitos. Y el ambiente muy agradable 
Volveré",1 contribución,Escrita el 28 de octubre de 2025,1.0,,,,,Calidad/precio,Ambiente,Servicio,Comida,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg?w=100&h=-1&s=1,
1775582087-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Hasta la próxima !!,Mary Luz W,"Sin duda un sitio para regresar, buena comida, buen ambiente, buena música, excelente servicio. Los camareros muy amables, Julian es muy atento. Hasta una próxima ocasion!",11 contribuciones,Escrita el 28 de octubre de 2025,11.0,,,,,Calidad/precio,Ambiente,Servicio,Comida,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg?w=100&h=-1&s=1,
