web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,image,image2,image3,image4,image5,image6,image7,image8,image9,data18,image10,image11,image12,image13,image14,image15,data19
1776262590-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d7179537-Reviews-DiverXO-Madrid.html,"Tres estrellas , zero empatía",Carlitos P,"La experiencia gastronómica fue buena. Pero quedamos decepcionados que David Muñoz (chef) no quisiera saludar a mi madre que venía de muy lejos y está enferma, la cuenta subió a 2500 euros entre 5. Creo que el precio podría incluir  un poco más de humanidad de un chef engreído. Pero el tiempo pone a todo el mundo en su lugar.",8 contribuciones,8.0,Escrita el 10 de noviembre de 2022,8 contribuciones,9.0,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,,,,,,,,
1776262590-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d7179537-Reviews-DiverXO-Madrid.html,,,,,,,,,Explora ahora,Descubre Marruecos,Descubre por qué a los viajeros como tú les encanta Marruecos,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/fb/25/a5/caption.jpg?w=400&h=400&s=1,,,,,,,,,,,,,,,,
1776262590-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d7179537-Reviews-DiverXO-Madrid.html,"Espectacular, un sitio al que hay que ir",Nuria V,"Un restaurante único, con una cocina excelente. Todo sorprende de forma positiva des de la entrada. El personal es muy amable, acogedor, te hacen sentir como en casa, contentos y agradables en todo momento. La comida es de 12! Platos increibles, únicos, sorprendentes, buenísimos. Me parece extraordinario como están hechos, las ideas que fusionan, los sabores… todo. Una carta de bebidas muy amplia, aunque es bastante cara. El menú tiene un precio elevado pero lo vale des del primer momento. Un menú como éste puede resultar económico por su calidad y excepcionalidad y un bocadillo puede resultar caro si está mal preparado.
Es una experiencia, que volvería a repetir sin lugar a dudas. Son 4 horas de disfrute.",8 contribuciones,8.0,Escrita el 4 de noviembre de 2022,8 contribuciones,2.0,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,,,,,,,,
1776262590-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d7179537-Reviews-DiverXO-Madrid.html,¡El mejor circo en 12 tiempos de la historia!,Bárbara S,"Creatividad gastronómica llevada al extremo. Ingredientes extraordinarios (de todos los ricones del mundo) trabajados de forma extraordinaria. Atención inmejorable de todos los empleados, con el discreto e impecable toque de Marta, la jefa de sala, que imprime su buen hacer en cada detalle de este restaurante único en el mundo. El maridaje (y las explicaciones del sumiller) es tan espectacular como los platos. 

Cada euro invertido en esta experiencia culinaria está más que justificado. Así que si te estás preguntando si merece la pena, la respuesta es sí, sin duda.",79 contribuciones,79.0,Escrita el 27 de octubre de 2022,79 contribuciones,1.0,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/b5/fe/f6/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/b5/fe/f7/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/b5/fe/fb/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/b5/fe/f8/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/b5/fe/f9/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/b5/fe/fd/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/b5/fe/fa/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg?w=100&h=-1&s=1,,,,,,,,
1776262590-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d7179537-Reviews-DiverXO-Madrid.html,Experiencia inolvidable,maria19622015,"Comida sorprendente de principio a fin salvo dos platos más normales.
Hay varios platos con sabores asiáticos exquisitos, pero si a alguien no le gusta ese punto ligeramente picante debe saberlo.
Servicio en sala excelente.
Carta de vinos no a la altura de un tres estrellas, faltan grandes vinos españoles sobre todo.
Para la gente que no puede beber vino se echa en falta un jarra y unos vasos a la altura de un tres estrellas y en consonancia con la vajilla tan espectacular de Diverxo.

Totalmente recomendable.",33 contribuciones,33.0,Escrita el 21 de octubre de 2022,"Valencia, España",1.0,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,,,,,,,,
1776262590-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d7179537-Reviews-DiverXO-Madrid.html,Decepcion,matilde1108,"Llevabamos las expectativas muy altas y no se cumplieron
Precio muy desorbitado para lo que en realidad fue
Habiamos estado en Disfrutar y la experiencia fue de 10
Las comparaciones son odiosas si , pero es que Diverxo no lo encontre a la altura de lo que pagamos 
Quiza lo estropeo un error que hubo con la bebida
, que hizo que pagaramos el doble por el cava o no fue un error??…",12 contribuciones,12.0,Escrita el 8 de octubre de 2022,"Barcelona, España",2.0,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,,,,,,,,,,,,,,,,
1776262590-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d7179537-Reviews-DiverXO-Madrid.html,CORRECTO,RSANCHEZ2103,"Correcto… pero “solo” correcto…
Expectativas muy altas que no se cumplieron…
Calidad precio desorbitado
Gran servicio de sala y muy atentos…",254 contribuciones,254.0,Escrita el 29 de septiembre de 2022,"Salamanca, España",1.0,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/33/11/e7/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/33/11/e8/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/33/11/ed/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/33/11/e9/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/33/11/eb/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/33/11/ee/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/33/11/ec/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-f/01/2e/70/97/avatar023.jpg?w=100&h=-1&s=1,,,,,,,,
1776262590-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d7179537-Reviews-DiverXO-Madrid.html,,,,,,,,,Leer ahora,10 lugares para revivir tus series y películas favoritas en 2023,"Mientras seguimos disfrutando de la expectación de la temporada de premios, descubre dónde puedes revivir algunas de tus escenas favoritas de las películas y series más exitosas y de moda del año pasado.",,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/6c/00/60/caption.jpg?w=400&h=400&s=1&cx=945&cy=708&chk=v1_ed453c98673a281c4906,,,,,,,,,,,,,,,,
1776262590-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d7179537-Reviews-DiverXO-Madrid.html,Corderazo anciano y se me queda pegado el leggin de latex a la silla de tapicería de plástico de un 3 estrellas!,Clau,"Estuve hace poco probando el menú degustación  y me encantó en general todo porque eran sabores redondos, mezclas atrevidas y exóticas... Con una presentación espectacular... Hasta que llegamos al cordero!! Sabor de corderazo anciano sin capar,... Por lo intenso (en negativo). Al igual que la carne cruda veteada japonesa con saborazo a grasa de animal muerto. Y que conste que me gusta la carne buena. Como colofón, cuando me voy a levantar de la butaca de ""piel vegana"" (plástico) blanco, mi pantalón de latex negro se quedó pegado al asiento y parte de mi pantalón se quedó adherido rompiendo el tejido en una amalgama negra sobre la steñida! Nunca me había pasado!! Inservible ya, para tirar a la basura! 3horas y media de cena, un deleite culinario que acabó con mi pantalón de latex y el culo chili verde, al aire!",1 contribución,1.0,Escrita el 16 de septiembre de 2022,"Barcelona, España",3.0,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,,,,,,,,
1776262590-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d7179537-Reviews-DiverXO-Madrid.html,Cumpliendo expectativas,sixxay,"Llevábamos desde 2019 intentando reservar cada mes, y una mesa para cuatro era imposible, hasta que lo conseguimos este año. 
Ha sido una experiencia brutal para los sentidos, desde que llegamos al restaurante donde todo el equipo de sala fue brillante hasta el final del servicio.
El menú extraordinario, genial, espectacular mezcla de sabores de diferentes gastronomías con productos de primera. Explosión de sabor 
Es una experiencia que ha merecido la pena ahorrar para ella y la espera en el tiempo.
Son unos genios innovadores",248 contribuciones,248.0,Escrita el 14 de septiembre de 2022,"Móstoles, España",0.0,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/d5/82/55/diverxo.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/d5/82/71/diverxo.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/d5/82/b5/diverxo.jpg?w=300&h=300&s=1,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/12/ed/76/sixxay.jpg?w=100&h=-1&s=1,,,,,,,,
