web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,image,image2,image3
1776262905-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d24982405-Reviews-Bosque_De_Piamonte-Madrid.html,Servicio amable un toque atento,Vicky,"Llamamos por adelantado para hacerles saber que llegaríamos 15 minutos tarde para nuestra reserva, y fueron muy serviciales al respecto. Desde el momento en que llegamos, el personal era atento y rápido para responder a nuestras necesidades. Cuando se enteraron de que celebrábamos un cumpleaños, nos sorprendieron añadiendo una vela al postre que pedimos, aunque no lo solicitamos. El ambiente era relajado y no demasiado ruidoso, lo que hizo una experiencia gastronómica cómoda. La comida era decente, no importa - alucinante, pero realmente disfrutamos de la pizza con un queso que sabía a queso de cabra. Ése se destacó. En general, fue una gran visita, y sin duda nos encantaría volver de nuevo.",51 contribuciones,51,Escrita el 11 de mayo de 2025,"Madrid, España",,,,Mostrar original,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/d4/8c/ee/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/e0/d7/7e/caption.jpg?w=100&h=-1&s=1,
1776262905-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d24982405-Reviews-Bosque_De_Piamonte-Madrid.html,Excelente calidad,Skayftskate,"Sitio con buena carta, agradable, buena atención, tiempo de espera adecuado y platos acorde a la calidad precio. Volvería a venir para una ocasión especial",1 contribución,1,Escrita el 9 de mayo de 2025,"Madrid, España",Calidad/precio,Ambiente,Servicio,,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,
1776262905-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d24982405-Reviews-Bosque_De_Piamonte-Madrid.html,Super rico todo y super buen servicio!,Sharon,"Excelente servicio y comida. La pizza estaba deliciosa y el risotto igualmente exquisito. Sin duda, lo recomiendo ampliamente!",1 contribución,1,Escrita el 9 de mayo de 2025,"Madrid, España",,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg?w=100&h=-1&s=1,
1776262905-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d24982405-Reviews-Bosque_De_Piamonte-Madrid.html,excelente lugar y la comida de diez,Yuriko,"Increíble tanto el servicio como la comida, un restaurante con ambiente acogedor, los camareros siempre atentos y la comida de 10, las pizzas riquísimas y aprovechamos el 2x1 en cócteles que tienen, una experiencia genial, sin duda volveré.",5 contribuciones,5,Escrita el 8 de mayo de 2025,"Madrid, España",Calidad/precio,Ambiente,Servicio,,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/ce/e4/63/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1,
1776262905-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d24982405-Reviews-Bosque_De_Piamonte-Madrid.html,Horribles trampas turísticas,HonestB4o,"Notarás que este restaurante está clasificado como el número 10 mejor restaurante de Madrid. Después de cenar aquí, es evidente que algo es muy extraño en este ranking. No tiene sentido que tengan esta calificación. Animo a los comensales futuros / potenciales a leer las ""reseñas"" de 5 estrellas y hacer un juicio por ti mismo. 

Debería haber sabido que algo andaba mal cuando entramos el sábado por la noche en una noche muy concurrida en la ciudad y solo había 3 mesas comiendo en el restaurante. ¿Cómo es que el restaurante número 10 de Madrid solo tiene 3 mesas comiendo en este establecimiento un sábado por la noche? 

Además, la aplicación ""The Fork"" ofreció un cupón de descuento del 20% en el cheque para nuestra comida. Si este era el décimo mejor restaurante de Madird, ¿por qué necesitarían cupones para atraer a los clientes? 

La comida fue posiblemente la peor comida que he comido. Empezamos con la burratta de camarón donde el camarón se estropeó y pescó. 

Para nuestras comidas teníamos la lasaña y la boloñesa. La lasaña no era comestible y estaba bajando bastante asquerosa. La lasaña congelada de Stouffer habría sido diez veces mejor. La pasta boloñesa no tenía carne y la salsa era acuosa. 

Además, las tres sirvientas en la parte trasera del restaurante estaban jugando en sus teléfonos, cotilleando entre ellas y no tenían interés en trabajar. 

Cuando llegó el cheque, también dejaron el cupón del 20% que teníamos de usar el sistema de reserva ""The Fork"". Tuvimos que explicárselo. Tuvimos que explicarles el cupón, ""el tenedor"" etc. .. y finalmente accedieron a llevarse el descuento. 

Hazte un favor y evita este restaurante a toda costa.",117 contribuciones,117,Escrita el 5 de mayo de 2025,Estados Unidos,Calidad/precio,Ambiente,Servicio,Mostrar original,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,
1776262905-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d24982405-Reviews-Bosque_De_Piamonte-Madrid.html,Buen servicio,Sofia S,"La comida estaba muy rica, la atención estupenda Sergio nos atendió y fue muy servicial y amable con todo, el ambiente también muy bueno",1 contribución,1,Escrita el 13 de marzo de 2025,1 contribución,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,
1776262905-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d24982405-Reviews-Bosque_De_Piamonte-Madrid.html,Comida italiana increíble,doubletroubleBoise,"Hay lugares y espacios en los que el tiempo se detiene. Nuestra cena fue una de esas experiencias. Personal amable y servicial, ingredientes caseros de alta calidad y porciones generosas a un precio razonable. Esta fue realmente una cena increíble! ¡No lo dudes, no lo lamentarás!",8 contribuciones,8,Escrita el 11 de marzo de 2025,"Boise, Idaho",,,,Mostrar original,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,
1776262905-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d24982405-Reviews-Bosque_De_Piamonte-Madrid.html,Buen restaurante italiano,Velas S,"Restaurante italiano con buena calidad/ precio, buen servicio y agradable, repetiremos! Atendidos por Jennifer, encantadora.",1 contribución,1,Escrita el 9 de marzo de 2025,1 contribución,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,
1776262905-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d24982405-Reviews-Bosque_De_Piamonte-Madrid.html,Gran comida familiar!!,Carol H,"Gran lugar! La comida era maravillosa. Ensaladas, pizza, pasta. Excelente. Sangria deserta. Maravilloso. Bonito lugar. Precios razonables. Muy buen servicio! Gracias.",1 contribución,1,Escrita el 25 de febrero de 2025,1 contribución,,,,Mostrar original,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/79/default-avatar-2020-21.jpg?w=100&h=-1&s=1,
1776262905-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d24982405-Reviews-Bosque_De_Piamonte-Madrid.html,Grata experiencia,Patricia  S,"Me gustan mucho los entrantes que fue la borracha con gamones y la provoleta. Las pizzas buenas, pero no me enamoraron. Los camareros muy amables",3 contribuciones,3,Escrita el 23 de febrero de 2025,3 contribuciones,Calidad/precio,Ambiente,Servicio,,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,
