web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,image,image2,image3,position
1776263430-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d26271928-Reviews-Steakburger_Las_Tablas-Madrid.html,Servicio inmejorable,Mateo C,"Nos encantó la comida,platos enormes y perfectos para los que le gustan las hamburguesas y por supuesto la carne que tenía una pinta espectacular,una carne criollo buenísima y nos atendieron Dani y Valeria que nos trataron genial",Muchísimas gracias por su reseña. Esperamos que a la próxima puedan probar nuevos platos y queden aún más contentos. ¡Hasta la próxima!,Escrita el 30 de mayo de 2024,may 2024 • En familia,1 contribución,1 contribución,SteakBurger L,Escrita el 18 de junio de 2024,Calidad/precio,Ambiente,Servicio,Comida,La carne criollo muy recomendable y por supuesto algúna hamburguesa obligatoria,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,1,Leer más,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,
1776263430-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d26271928-Reviews-Steakburger_Las_Tablas-Madrid.html,Calidad inmejorable,Luis C,Nos enconto la cena sobre todo los chorizos criollos y la carne. Espectacular el helado de dulce de leche. La atención muy buena por parte de Dani y Valeria. Genial todo como siempre,Le agradecemos sinceramente sus amables palabras. Nos complace saber que disfrutó de la comida y que nuestro personal le brindara un buen servicio. ¡Hasta pronto!,Escrita el 30 de mayo de 2024,may 2024 • En familia,1 contribución,1 contribución,SteakBurger L,Escrita el 18 de junio de 2024,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,1,Leer más,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,
1776263430-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d26271928-Reviews-Steakburger_Las_Tablas-Madrid.html,Buen ambiente.,Jael T,"Estaba buscando un sitio para tomar un café un postre. Capuccino, y tarta de queso deliciosos. Mencionar la atención de Sebastián y Valeria. Volveré","Muchísimas gracias por su  gracias por su reseña, nos alegra saber que disfrutó de la estancia y nuestros postres. Esperamos verle de nuevo pronto!",Escrita el 30 de mayo de 2024,may 2024 • En familia,2 contribuciones,2 contribuciones,SteakBurger L,Escrita el 18 de junio de 2024,Calidad/precio,Ambiente,Servicio,Comida,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",2,Leer más,Leer más,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,
1776263430-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d26271928-Reviews-Steakburger_Las_Tablas-Madrid.html,Para repetir.,Luis M,"Fachada llamativa, hay menú del día y te reciben con una sonrisa. Me atendió Sebastián y me recomendó la carne madurada y ha sido un acierto.",Muchas gracias por venir. Estaremos encantados de recibirte de nuevo!,Escrita el 30 de mayo de 2024,may 2024 • Solo,1 contribución,"Madrid, España",SteakBurger L,Escrita el 18 de junio de 2024,Calidad/precio,Ambiente,Servicio,Comida,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1,Leer más,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,
1776263430-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d26271928-Reviews-Steakburger_Las_Tablas-Madrid.html,Excelente,Caro M,"Excelente servicio. Reconocer la atención de Selene y Valeria, muy atentas y simpáticas. Así como las personas de cocina Arturo y Noelia, que sacaron todos los platos deliciosos","Gracias por visita, nos alegra que hayas tenido una buena experiencia. Esperamos volver a verte pronto.",Escrita el 29 de mayo de 2024,may 2024 • En familia,1 contribución,1 contribución,SteakBurger L,Escrita el 30 de mayo de 2024,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,1,Leer más,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/ce/7e/5c/caro-m.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,
1776263430-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d26271928-Reviews-Steakburger_Las_Tablas-Madrid.html,¡Excelente servicio en las tablas!,Laura M,"De mis hamburguesas favoritas, y mucho más por el excelente servicio de Selene, Noelia, Valeria. Y deliciosa comida de Arturo. 
Gracias 😊",Tu opinión nos ayuda y nos motiva a mejorar. Estaremos encantados de verte de nuevo. Vuelve pronto,Escrita el 28 de mayo de 2024,may 2024 • En familia,3 contribuciones,3 contribuciones,SteakBurger L,Escrita el 30 de mayo de 2024,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,3,Leer más,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/7c/de/97/laura-m.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,
1776263430-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d26271928-Reviews-Steakburger_Las_Tablas-Madrid.html,Me encantó todo muy rico volveré,Jorge luis M,"Es muy bonito y acogedor el restaurante,muy bien ubicado y accesible.desde q entre, me recibió la camarera  de nombre Selene ,muy amable y educada ,me recomendó unas hamburguesas de nombre steakburguer original , exquisita de verdad me encantó y a mi novia tambien tanto q me pidió volver .muy recomendable 100 por ciento .","Hola Jorge, gracias por tomarte el tiempo de compartir tu experiencia con nosotros. Esperamos volver a verte pronto.",Escrita el 26 de mayo de 2024,may 2024 • Parejas,1 contribución,1 contribución,SteakBurger L,Escrita el 30 de mayo de 2024,Calidad/precio,Ambiente,Servicio,Comida,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1,Leer más,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,
1776263430-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d26271928-Reviews-Steakburger_Las_Tablas-Madrid.html,Comida deliciosa !!,gianfranco G,"Hoy fui con mi familia a comer, la verdad no pensé comer unas buenas hamburguesas maduradas en especial la steakburger original una delicia😋, la música muy agradable y muy contento con la atención de Selena y Samara.. de seguro que volveremos pronto","Hola Gian, es una alegría para nosotros que haya sido una buena experiencia con nosotros. Te esperamos pronto.",Escrita el 26 de mayo de 2024,may 2024 • Parejas,1 contribución,1 contribución,SteakBurger L,Escrita el 30 de mayo de 2024,Calidad/precio,Ambiente,Servicio,Comida,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1,Leer más,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/60/default-avatar-2020-64.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,
1776263430-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d26271928-Reviews-Steakburger_Las_Tablas-Madrid.html,Excepcional,Adriana T,"Muy buena experiencia, las hamburguesas estaban muy ricas y el servicio también fue muy amable, especialmente la señorita Selene, que nos atendió y estuvo pendiente de lo que necesitemos",Tu opinión es importante y nos motiva a hacerlo mejor y seguir. Esperamos volver a verte pronto.,Escrita el 26 de mayo de 2024,may 2024 • En familia,2 contribuciones,España,SteakBurger L,Escrita el 30 de mayo de 2024,Calidad/precio,Ambiente,Servicio,Comida,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",2,Leer más,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,
1776263430-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d26271928-Reviews-Steakburger_Las_Tablas-Madrid.html,"Atención,comida y ambiente",Coastal20015144302,"Comida muy rica 😋 
Una explosión de sabores 
La camarera Selene nos atendió muy excelente y estuvo atenta a nuestra mesa en casa momento.",Gracias por compartir tu experiencia con nosotros. Nos alegraría mucho verte de nuevo. Vuelve pronto.,Escrita el 26 de mayo de 2024,may 2024 • Amigos,2 contribuciones,2 contribuciones,SteakBurger L,Escrita el 30 de mayo de 2024,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,2,Leer más,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,
